claim,panel,excision,value,committed,bar,survives
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on U56",U56,SPYDD,0.9490739160049918,,0.69 <= |rho| <= 0.97,True
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on B136",B136,SPYDD,0.9644537911021647,,0.69 <= |rho| <= 0.97,True
K6 ex-ante agreement span stays below 1.0 (not a beta cap),all,SPYDD,0.9732142857142857,0.983,max agree < 1.0,True
K7 U56 POPULATION < 0 and ESTIMATOR > 0,U56,SPYDD,0.0,,pop < 0 and est > 0,False
K7 B136 POPULATION < 0 and ESTIMATOR > 0,B136,SPYDD,0.0,,pop < 0 and est > 0,False
K8 containment share on U56,U56,SPYDD,0.14285714285714285,0.9286,within 0.05 of committed 0.9286,False
K8 containment share on B136,B136,SPYDD,0.25,0.8929,within 0.05 of committed 0.8929,False
K8 containment share on SMALL,SMALL,SPYDD,0.0,0.0,within 0.05 of committed 0.0000,True
K1 DDWIN reaches 0.95 on U56,U56,CRASH,0.8482142857142857,0.9531,agree >= 0.95,False
K2 DDWIN reaches 0.95 on B136,B136,CRASH,0.875,0.9833,agree >= 0.95,False
K2b DDWIN B136 has 0 disagreeing pairs,B136,CRASH,12.0,0.0,n_disagree == 0,False
K3 U56/ROLL clears BAR-A,U56,CRASH,0.9196428571428571,0.9844,BAR-A qualifies,False
K4 B136/SPYDD clears BAR-A,B136,CRASH,0.9196428571428571,1.0,BAR-A qualifies,False
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on U56",U56,CRASH,0.947260458386677,,0.69 <= |rho| <= 0.97,True
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on B136",B136,CRASH,0.9647964710507314,,0.69 <= |rho| <= 0.97,True
K6 ex-ante agreement span stays below 1.0 (not a beta cap),all,CRASH,0.9553571428571429,0.983,max agree < 1.0,True
K7 U56 POPULATION < 0 and ESTIMATOR > 0,U56,CRASH,0.0,,pop < 0 and est > 0,False
K7 B136 POPULATION < 0 and ESTIMATOR > 0,B136,CRASH,0.0,,pop < 0 and est > 0,False
K8 containment share on U56,U56,CRASH,0.14285714285714285,0.9286,within 0.05 of committed 0.9286,False
K8 containment share on B136,B136,CRASH,0.25,0.8929,within 0.05 of committed 0.8929,False
K8 containment share on SMALL,SMALL,CRASH,0.0,0.0,within 0.05 of committed 0.0000,True
K1 DDWIN reaches 0.95 on U56,U56,H1_20,0.8482142857142857,0.9531,agree >= 0.95,False
K2 DDWIN reaches 0.95 on B136,B136,H1_20,0.875,0.9833,agree >= 0.95,False
K2b DDWIN B136 has 0 disagreeing pairs,B136,H1_20,12.0,0.0,n_disagree == 0,False
K3 U56/ROLL clears BAR-A,U56,H1_20,0.8928571428571429,0.9844,BAR-A qualifies,False
K4 B136/SPYDD clears BAR-A,B136,H1_20,0.9196428571428571,1.0,BAR-A qualifies,False
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on U56",U56,H1_20,0.9477177252980783,,0.69 <= |rho| <= 0.97,True
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on B136",B136,H1_20,0.9654356020489563,,0.69 <= |rho| <= 0.97,True
K6 ex-ante agreement span stays below 1.0 (not a beta cap),all,H1_20,0.9464285714285714,0.983,max agree < 1.0,True
K7 U56 POPULATION < 0 and ESTIMATOR > 0,U56,H1_20,0.0,,pop < 0 and est > 0,False
K7 B136 POPULATION < 0 and ESTIMATOR > 0,B136,H1_20,0.0,,pop < 0 and est > 0,False
K8 containment share on U56,U56,H1_20,0.14285714285714285,0.9286,within 0.05 of committed 0.9286,False
K8 containment share on B136,B136,H1_20,0.25,0.8929,within 0.05 of committed 0.8929,False
K8 containment share on SMALL,SMALL,H1_20,0.0,0.0,within 0.05 of committed 0.0000,True
K1 DDWIN reaches 0.95 on U56,U56,CAL20,0.8482142857142857,0.9531,agree >= 0.95,False
K2 DDWIN reaches 0.95 on B136,B136,CAL20,0.8660714285714286,0.9833,agree >= 0.95,False
K2b DDWIN B136 has 0 disagreeing pairs,B136,CAL20,20.0,0.0,n_disagree == 0,False
K3 U56/ROLL clears BAR-A,U56,CAL20,0.9196428571428571,0.9844,BAR-A qualifies,False
K4 B136/SPYDD clears BAR-A,B136,CAL20,0.9196428571428571,1.0,BAR-A qualifies,False
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on U56",U56,CAL20,0.9462138588200087,,0.69 <= |rho| <= 0.97,True
"K5 |rho(beta_FULL, MaxDD)| in [0.69,0.97] on B136",B136,CAL20,0.9657091086601338,,0.69 <= |rho| <= 0.97,True
K6 ex-ante agreement span stays below 1.0 (not a beta cap),all,CAL20,0.9375,0.983,max agree < 1.0,True
K7 U56 POPULATION < 0 and ESTIMATOR > 0,U56,CAL20,0.0,,pop < 0 and est > 0,False
K7 B136 POPULATION < 0 and ESTIMATOR > 0,B136,CAL20,0.0,,pop < 0 and est > 0,False
K8 containment share on U56,U56,CAL20,0.14285714285714285,0.9286,within 0.05 of committed 0.9286,False
K8 containment share on B136,B136,CAL20,0.21428571428571427,0.8929,within 0.05 of committed 0.8929,False
K8 containment share on SMALL,SMALL,CAL20,0.0,0.0,within 0.05 of committed 0.0000,True
