panel,q,c,narrow_days,ann_eff_on_narrow_pp,book_pp_yr,book_pp_yr_ex22,ann_eff_narrow_ex22_pp,off_state_pp_yr,pos_years,episodes,pos_episodes,pos_episodes_ex22,dSharpe,dMaxDD_pp,dOOS_Sharpe
U56,0.3,0.5,977,3.2798927293599554,0.6045066059542159,0.3680335807852921,2.7858484573816145,-0.15050559582724216,9/13,32,16/32,15/30,-0.023035577958480546,-4.136671874117981,0.011938405917328643
U56,0.3,0.75,977,-0.17037080567613583,-0.0870671417982902,-0.1146401022637634,-0.3611349994928047,-0.0635582799818099,9/13,32,17/32,15/30,-0.034814164373601963,-0.29069429274093395,-0.03226299756442419
U56,0.4,0.25,1469,8.59704722353695,2.6267495940233014,1.8966086638514834,7.286932140405857,-0.3262360011805884,10/16,39,28/39,27/38,-0.006865124651330046,-8.621528998538663,-0.030680040254198238
U56,0.4,0.35,1469,5.149874833558805,1.520449488885467,0.7742345681589319,3.3183852990882294,-0.2747107236819186,9/16,39,24/39,23/38,-0.018419634661819284,-6.308187932563558,-0.006625232756490851
U56,0.4,0.5,1469,2.2269608507873717,0.603126833121295,0.41117497356033905,1.8938072500833365,-0.2000422483438455,8/16,39,26/39,25/38,-0.04092753682253414,-4.136671874117992,-0.02851874141141786
U56,0.4,0.75,1469,0.0023135010959087743,-0.054741270222917374,-0.05428701704795958,0.015569095856554123,-0.08296129011091602,8/16,39,19/39,19/38,-0.04010196615926942,-0.29069429274093395,-0.04456278730386609
B136,0.1,0.25,204,-20.316486529701468,-0.9932799277748766,-0.882409506743212,-37.78102195666808,-0.0624808376230406,1/7,11,5/11,3/7,-0.10478663855906034,-8.068717191251029,-0.15315797889487548
B136,0.1,0.35,204,-14.59188822843625,-0.7197912164988848,-0.7069578195637092,-30.20568670568224,-0.05157213965467638,2/7,11,5/11,3/7,-0.08059564011639364,-7.910475222174174,-0.12061589024662489
B136,0.1,0.5,204,-5.20518172153336,-0.2745381747718126,-0.2475579952388775,-10.00685308659987,-0.037029016911279834,2/7,11,6/11,3/7,-0.029121565615577327,-3.4124008678591666,-0.03731862311799661
B136,0.1,0.75,204,-3.4959977273403773,-0.176581831524256,-0.22989979359016405,-9.835008176186562,-0.016685528632523105,3/7,11,3/11,2/7,-0.016750804270454833,-2.0621045041847474,-0.020745444153327908
B136,0.2,0.25,588,1.8347166919114988,0.1393390701719823,-0.37398175063023614,-2.94071964821082,-0.11952409305389047,6/11,19,10/19,9/18,-0.06528838118043057,-8.36405301698273,-0.06488194765136468
B136,0.2,0.35,588,-0.1620102754728978,-0.1076514518963961,-0.759948516795099,-7.342709022169858,-0.09935153284602397,5/11,19,9/19,8/18,-0.06707160211077323,-7.474804717299377,-0.0521179031250083
B136,0.2,0.5,588,-0.10341870249964868,-0.0755131122481002,-0.38496422068723285,-3.520027886775807,-0.07125227426630057,5/11,19,8/19,7/18,-0.03444522563981167,-3.8199032978674996,-0.022170894927108553
B136,0.2,0.75,588,-1.258055824293214,-0.19116647215622015,-0.34913500637593303,-3.535799434990842,-0.028265682995858524,5/11,19,10/19,9/18,-0.024470637538516193,-2.371891089137035,-0.021314150689687672
B136,0.3,0.25,1043,4.400628314561113,0.8508809849835381,0.5131194380766587,3.6264778836279854,-0.23933882206870322,9/14,33,15/33,14/31,-0.05575278308746601,-8.36405301698273,-0.06601846702951297
B136,0.3,0.35,1043,1.9663030390144633,0.30832390944885857,-0.27371981023848246,-0.5941299581551573,-0.20088463947249766,6/14,33,11/33,10/31,-0.065898406848521,-7.474804717299389,-0.04910655168688827
B136,0.3,0.5,1043,0.14052174967581613,-0.07808538562529746,-0.38854707146974427,-1.4121981094868752,-0.14522532735647034,6/14,33,14/33,13/31,-0.0542553516220603,-3.8199032978674996,-0.03518272803262079
B136,0.3,0.75,1043,-0.059641715133590664,-0.05757466044372781,-0.24425228013885336,-1.0251250111135832,-0.056939814141747105,8/14,33,19/33,17/31,-0.021219792732927845,-2.371891089137057,0.0017280995798096832
B136,0.4,0.25,1566,6.978072295334665,2.18360974242915,1.855949926885446,6.777528865046911,-0.4297311409158,9/17,52,29/52,28/51,-0.022255455460753026,-8.36405301698272,-0.024529747285655823
B136,0.4,0.35,1566,3.8305031958431526,1.1197373148595275,0.5346958404162828,2.4585103413787275,-0.3578329495401792,8/17,52,29/52,28/51,-0.04385087672873367,-7.474804717299399,-0.027085436317604294
B136,0.4,0.5,1566,2.2800623750797024,0.6361291542507923,0.3204550710722175,1.5717578640376177,-0.2599374742970927,9/17,52,33/52,32/51,-0.0252817197150097,-3.8199032978674885,0.0035513004930018965
B136,0.4,0.75,1566,0.33799531733614047,0.04782340389039095,-0.1342408068423375,-0.1844905357236713,-0.11034200385623062,11/17,52,34/52,33/51,-0.021893749149423658,-2.371891089137068,0.00037387626251350614
SMALL439,0.1,0.25,318,-21.566791217607584,-1.8083741114083414,-0.9858152318728608,-15.583191374640707,-0.0707699521795355,2/8,14,5/14,2/10,-0.12815247047001943,-8.907479748276604,-0.1356270498594817
SMALL439,0.1,0.35,318,-17.380446293156307,-1.4570664060088963,-0.7321887868684227,-11.51777112759078,-0.05672492257060096,2/8,14,5/14,2/10,-0.10147226246720126,-7.4905214679709236,-0.12161615083509059
SMALL439,0.1,0.5,318,-1.9113576645120594,-0.19181518957931168,-0.07615585473821129,-0.7894633122798443,-0.04059436352051377,2/8,14,7/14,4/10,-0.02386638315951789,-6.686126687149507,-0.03365517684494174
SMALL439,0.1,0.75,318,2.428450179915364,0.1839419461274322,0.2665745061900102,4.589726782526123,-0.013445669565201261,4/8,14,9/14,6/10,0.007458599645736308,-0.3065893232366723,0.013778614828598157
SMALL439,0.2,0.25,671,-2.115920018147108,-0.4762480521451752,-0.6841285590942962,-4.197336516888437,-0.13906757737125697,4/13,20,8/20,7/18,-0.07072672736446811,-7.751624686310999,-0.0130630028116554
SMALL439,0.2,0.35,671,-3.8470786822500935,-0.7516726017736085,-0.849455255895178,-5.529946125591734,-0.11513644486287591,6/13,20,9/20,8/18,-0.07011276753843254,-7.311030122356643,-0.03672247952726493
SMALL439,0.2,0.5,671,2.928294072637506,0.4303776364653583,0.11389742340703843,1.2896700179149112,-0.08329135791757503,6/13,20,11/20,9/18,0.007153297841167472,-5.209116276941705,0.019858345211193895
SMALL439,0.2,0.75,671,4.578751255060303,0.7541588367396396,0.5768799227917752,4.369952370285116,-0.032326456761177236,8/13,20,13/20,12/18,0.040062944817444934,1.0850401407187737,0.05744258358840515
SMALL439,0.3,0.25,985,-3.460375231581471,-1.0131607567641205,-0.9387898346264835,-3.6604279107789157,-0.19576290742702634,7/15,28,12/28,11/26,-0.11104145922655628,-8.015955381380657,-0.06279602761977165
SMALL439,0.3,0.35,985,-5.272135299994286,-1.4427457669928943,-1.5078827416703986,-6.407509529634899,-0.16368551266723436,6/15,28,11/28,10/26,-0.1158829484127688,-8.226690468657328,-0.07974524806030958
SMALL439,0.3,0.5,985,2.239448652089231,0.47586821470309815,0.14952442199482116,1.0857722562060186,-0.11318798428820093,8/15,28,12/28,10/26,0.003834710292134391,-4.579915383128785,-0.00152085934163948
SMALL439,0.3,0.75,985,2.9013529776356664,0.69352657898387,0.6203481384584238,3.0195372861077656,-0.043912892929327554,9/15,28,14/28,13/26,0.03389955303004699,2.1484243220511345,0.05402115073001912
SMALL439,0.4,0.25,1417,-4.37295314881819,-1.7684067675479413,-1.314395707092271,-3.4765133394299124,-0.30212062441725407,6/15,37,17/37,16/34,-0.16465924307338875,-9.517265013606435,-0.17811972878561283
SMALL439,0.4,0.35,1417,-5.292003112486906,-2.065788155491127,-1.9670336268010828,-5.5992901030587,-0.2495201403687525,5/15,37,16/37,15/34,-0.15883638547068119,-7.908674394589776,-0.17540271819000003
SMALL439,0.4,0.5,1417,-0.14117857532855746,-0.16379399025113808,-0.4157428590977375,-0.9453288990473332,-0.17652583091275745,7/15,37,19/37,17/34,-0.038346951935583906,-3.663082059285694,-0.04804368831278866
SMALL439,0.4,0.75,1417,1.4011943035442715,0.46039927390165497,0.5052603297297285,1.6903195275155651,-0.06924178966750986,9/15,37,20/37,18/34,0.01736051637280739,2.2993399248682045,0.014693523585471824
