,,,diff,diff,diff,diff,resolved,resolved,resolved,resolved,z,z,z,z
SM_DOM,25,5,-0.0031475213946035446,-0.0050301491538878515,0.0024608453388266288,0.001208635431251992,1.0,1.0,0.0,0.0,-2.0326030177976375,-4.238685719788472,1.6000197648905752,0.679977418309033
SM_DOM,25,10,-0.0026191677668651603,-0.0038509848024026044,0.0023766565937509525,0.0027414792066872973,1.0,1.0,1.0,0.0,-2.352203522858624,-4.62664181297566,2.3038246765051413,1.9822565421665985
SM_DOM,25,20,-0.0011880690284134798,-0.0018370769220625305,0.003758091922196487,0.0029900143302487997,0.0,1.0,1.0,1.0,-1.6075005953666937,-2.901084192563293,4.1162190919594694,2.953189388850395
SM_DOM,25,40,-0.00020177661569814598,-0.0012726193614232047,0.003381665029470871,0.002313925780431325,0.0,1.0,1.0,1.0,-0.37569361233140985,-2.8071261576570445,5.799173218390785,3.5132768199780013
SM_SPLIT2,0,5,-0.0034895419712724363,-0.005186321442575727,-0.0017683158380559566,-0.0011234226814884063,1.0,1.0,0.0,0.0,-2.122906949245215,-3.964008265818472,-1.072958080005328,-0.6635980941621411
SM_SPLIT2,0,10,-0.0008607963597020152,-0.0018784891016105816,-6.587133881601616e-05,-4.532081781799535e-05,0.0,1.0,0.0,0.0,-0.8734080389783738,-2.0851451781720405,-0.058863547430773495,-0.03546164154237199
SM_SPLIT2,0,20,-0.0010831456098827352,-0.0010631071645199296,0.0014300927952113768,0.00010039401710315587,0.0,0.0,0.0,0.0,-1.551893839390609,-1.6468011049994775,1.5301590338879747,0.14736660875995528
SM_SPLIT2,0,40,8.494810914749795e-05,-0.0010054478764164824,0.002072674022137653,0.0007069195906834191,0.0,1.0,1.0,0.0,0.14001498262365022,-2.018197870714345,3.4335830758603043,1.1026196242605
SM_SPLIT2,10,5,-0.0031634113443095857,-0.004750009359502441,-0.0019363184193789313,-0.0009667199227792467,0.0,1.0,0.0,0.0,-1.9206537292576737,-3.6209120763902685,-1.1821887306981997,-0.5656478902703925
SM_SPLIT2,10,10,-0.0005416961051521452,-0.0017641839260684744,-0.0002117410983262138,4.930719304868658e-05,0.0,0.0,0.0,0.0,-0.5523300457040276,-1.9594263001069152,-0.19021971679434885,0.03988384635831616
SM_SPLIT2,10,20,-0.00046324945021403163,-0.0009139777181542651,0.0013407454468190082,0.000478544431555622,0.0,0.0,0.0,0.0,-0.616998397357154,-1.4169035883233954,1.4501541165970209,0.6761273734437442
SM_SPLIT2,10,40,0.00010382532548514067,-0.0008424910268188084,0.0020329877064910354,0.0009825429666855123,0.0,0.0,1.0,0.0,0.16542412458956443,-1.6822928054099493,3.317379166384208,1.4411932081075336
SM_SPLIT2,25,5,-0.0019411417396062308,-0.004163495490499519,-0.00227526195172762,-0.001344185283151722,0.0,1.0,0.0,0.0,-1.3708140029968392,-3.1670981151179802,-1.3875719382760021,-0.7533885319746776
SM_SPLIT2,25,10,-0.0003840938013613959,-0.00161403852872255,-0.0003658041385093227,0.00039719889987510637,0.0,0.0,0.0,0.0,-0.35204590962156873,-1.7989096218669935,-0.331753643109248,0.2928055253735692
SM_SPLIT2,25,20,-0.0002455009704792066,-0.0006848293258521661,0.0010853173623611408,0.0004776519648539007,0.0,0.0,0.0,0.0,-0.31477849045574774,-1.0554578559111625,1.2027723177158205,0.6834758223127939
SM_SPLIT2,25,40,0.0003516921505105214,-0.0005078456081651517,0.0019269982893683009,0.0007565038193363405,0.0,0.0,1.0,0.0,0.5864705922490772,-1.0096713327841904,3.048402087308354,1.1796686796288227
SM_UNIF,0,5,-0.0003494188939487941,-0.00011783928777667901,0.0001278691495361856,-0.0007689689811411493,0.0,0.0,0.0,0.0,-0.20648038861209253,-0.08655679157842809,0.07259457225364224,-0.43467347041857973
SM_UNIF,0,10,-0.00018819267424100006,6.698952691653465e-05,-0.0002805151319926495,-0.0016181723030838646,0.0,0.0,0.0,0.0,-0.17070456855112137,0.07353254168446664,-0.2816702137403043,-1.201264264028119
SM_UNIF,0,20,-0.001788579789491651,-0.001236290196950228,0.00031068650889371624,-0.0005039043102313678,1.0,0.0,0.0,0.0,-2.489964060172606,-1.8261535713318067,0.49174896847367455,-0.7350492155552001
SM_UNIF,0,40,-7.977224737454325e-05,-0.0007649719531976039,-0.00017150136355507516,-0.0008303804599462117,0.0,0.0,0.0,0.0,-0.1499737738578388,-1.582464249942564,-0.3313382047975128,-1.3964406127937172
SM_UNIF,10,5,4.779066110147112e-05,6.473022013023244e-06,0.000175815265158287,-0.0009290098068750752,0.0,0.0,0.0,0.0,0.027196656324284054,0.004789486028536412,0.10105225188963701,-0.5113210616136354
SM_UNIF,10,10,0.00010133051431795992,3.480050666270634e-05,-0.0002907351199231637,-0.0011245433274589822,0.0,0.0,0.0,0.0,0.09475364020777682,0.038369468545520265,-0.2933237053574445,-0.8411081903632204
SM_UNIF,10,20,-0.0018578754700408484,-0.0012058725612080594,0.0002979860759037922,7.981168054349563e-05,1.0,0.0,0.0,0.0,-2.856039835145031,-1.791925773120632,0.47251615048058593,0.11539107213025325
SM_UNIF,10,40,-0.0001456048725497483,-0.0007256376003738334,-0.00014321637386042706,-0.00044562653444962796,0.0,0.0,0.0,0.0,-0.2844955748871313,-1.5065983062950896,-0.2838493588384829,-0.7727539658093401
SM_UNIF,25,5,0.0015378158255675983,0.0001597739245410429,0.00018089020059582246,-0.0012960456653261648,0.0,0.0,0.0,0.0,0.9316862242202734,0.11981963464348028,0.10624232633462041,-0.7032597958404734
SM_UNIF,25,10,-0.00021513734770362003,-7.400604795816321e-05,-0.0002793303161589117,-0.001085104266961373,0.0,0.0,0.0,0.0,-0.190091483290486,-0.08221446280077017,-0.28522406811355966,-0.7155608503184043
SM_UNIF,25,20,-0.0015515554860076053,-0.001199599543601642,0.00025849382035691634,-4.8402905313660316e-05,1.0,0.0,0.0,0.0,-2.0455272162856657,-1.800122267426227,0.4073741547517676,-0.07192489997216839
SM_UNIF,25,40,6.903791719028995e-05,-0.0006635786393994376,-0.00010199643900864747,-0.0004448304327998587,0.0,0.0,0.0,0.0,0.12076328162194021,-1.4064487534252672,-0.21065887546264492,-0.8720062640608001
