ticker,sic2
SHEN,48
SHOE,56
SIBN,38
SIGA,28
SILC,35
SLVM,26
SMP,37
SMPL,20
SMWB,73
SND,14
SONO,36
SPH,59
SPOK,48
SPWR,UNK
SRTA,80
SSTI,73
SSTK,73
SSYS,35
STIM,38
STLN,80
STOK,28
STRA,82
STRT,37
STRZ,78
SVV,59
SWBI,34
SWIM,30
SXC,33
TATT,37
TAYD,35
TBCH,36
TBPH,28
TCMD,38
TDOC,80
TEN,44
TGLS,32
TH,UNK
THRM,37
THRY,73
TITN,59
TK,44
TLRY,28
TLS,73
TNC,35
TNDM,38
TOYO,36
TRIP,73
TRNS,38
TROX,28
TRS,34
TUYA,73
TWI,33
TWIN,35
TXO,13
TYGO,UNK
UAMY,33
UAN,28
UFI,22
UIS,73
ULCC,45
UPBD,73
UPWK,73
USNA,28
USPH,80
UTI,82
UTL,49
UTMD,38
UVV,51
VATE,34
VISN,36
VITL,20
VMD,80
VREX,36
VRRM,47
VSTS,51
VTOL,45
VTS,13
VYX,35
WBTN,27
WEAV,73
WEN,58
WEST,20
WEYS,51
WGO,37
WINA,59
WKC,51
WLDN,87
WLFC,50
WMK,54
WNC,37
WS,33
WTI,13
WWW,31
WYY,73
XERS,28
XGN,80
XHR,70
XIFR,49
XPEL,34
XPER,73
YELP,72
YEXT,73
YORW,49
ZD,48
ZUMZ,56
