grid,fallback,floor,n_slots,n_declined,n_scored,OOS_4b,OOS_4a,med_OOS_Sharpe,mean_OOS_Sharpe,med_OOS_CAGR,mean_OOS_CAGR,med_OOS_MaxDD,mean_OOS_MaxDD,med_FULL_Sharpe,med_FULL_MaxDD
MQ18,FB_SPY,0.0,18,0,18,0,0,0.8312,0.7523,0.1181,0.1403,-0.3414,-0.3235,1.0132,-0.3414
MQ18,FB_SPY,0.1,18,6,18,0,0,0.9849,0.9517,0.1533,0.1442,-0.2611,-0.2753,1.0538,-0.2611
MQ18,FB_SPY,0.25,18,6,18,0,0,0.9849,0.9762,0.1533,0.1433,-0.2527,-0.2723,1.0538,-0.2527
MQ18,FB_SPY,0.4,18,6,18,3,0,1.0011,1.0142,0.1216,0.1305,-0.2332,-0.256,1.0538,-0.2332
MQ18,FB_SPY,0.5,18,6,18,3,0,1.0011,1.0142,0.1216,0.1305,-0.2332,-0.256,1.0538,-0.2332
MQ18,FB_SPY,0.75,18,12,18,0,0,0.8769,0.9252,0.1521,0.1385,-0.3372,-0.2997,0.883,-0.3372
MQ18,FB_SPY,0.9,18,18,18,0,0,0.8769,0.875,0.1533,0.1529,-0.3372,-0.3372,0.883,-0.3372
MQ18,FB_LIVE,0.0,18,0,18,0,0,0.8312,0.7523,0.1181,0.1403,-0.3414,-0.3235,1.0132,-0.3414
MQ18,FB_LIVE,0.1,18,6,18,0,0,0.9849,0.8461,0.1152,0.1056,-0.2271,-0.2092,1.0538,-0.2271
MQ18,FB_LIVE,0.25,18,6,18,0,0,0.9849,0.8706,0.1124,0.1047,-0.2271,-0.2062,1.0538,-0.2271
MQ18,FB_LIVE,0.4,18,6,18,3,0,1.0011,0.9087,0.11,0.0919,-0.2,-0.1899,1.0538,-0.2
MQ18,FB_LIVE,0.5,18,6,18,3,0,1.0011,0.9087,0.11,0.0919,-0.2,-0.1899,1.0538,-0.2
MQ18,FB_LIVE,0.75,18,12,18,0,0,1.0274,0.9547,0.0945,0.0807,-0.1389,-0.1614,1.0601,-0.1389
MQ18,FB_LIVE,0.9,18,18,18,0,0,1.1061,0.9809,0.0788,0.0703,-0.1224,-0.1273,1.0994,-0.1224
DW18,FB_NONE,0.0,18,0,18,4,0,0.9361,0.8973,0.1052,0.1105,-0.1616,-0.1959,0.9163,-0.1616
DW18,FB_NONE,0.1,18,12,6,0,0,1.1041,1.0501,0.1382,0.1311,-0.2088,-0.194,1.0449,-0.2088
DW18,FB_NONE,0.25,18,15,3,0,0,1.105,1.0736,0.1052,0.1051,-0.1616,-0.1667,1.0993,-0.1616
DW18,FB_NONE,0.4,18,15,3,0,0,1.105,1.0736,0.1052,0.1051,-0.1616,-0.1667,1.0993,-0.1616
DW18,FB_NONE,0.5,18,15,3,0,0,1.105,1.0736,0.1052,0.1051,-0.1616,-0.1667,1.0993,-0.1616
DW18,FB_NONE,0.75,18,15,3,0,0,1.105,1.0736,0.1052,0.1051,-0.1616,-0.1667,1.0993,-0.1616
DW18,FB_NONE,0.9,18,18,0,0,0,,,,,,,,
DW18,FB_CASH,0.0,18,0,18,4,0,0.9361,0.8973,0.1052,0.1105,-0.1616,-0.1959,0.9163,-0.1616
DW18,FB_CASH,0.1,18,12,18,0,0,0.0,0.35,0.0,0.0437,0.0,-0.0647,0.0,0.0
DW18,FB_CASH,0.25,18,15,18,0,0,0.0,0.1789,0.0,0.0175,0.0,-0.0278,0.0,0.0
DW18,FB_CASH,0.4,18,15,18,0,0,0.0,0.1789,0.0,0.0175,0.0,-0.0278,0.0,0.0
DW18,FB_CASH,0.5,18,15,18,0,0,0.0,0.1789,0.0,0.0175,0.0,-0.0278,0.0,0.0
DW18,FB_CASH,0.75,18,15,18,0,0,0.0,0.1789,0.0,0.0175,0.0,-0.0278,0.0,0.0
DW18,FB_CASH,0.9,18,18,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DW18,FB_SPY,0.0,18,0,18,4,0,0.9361,0.8973,0.1052,0.1105,-0.1616,-0.1959,0.9163,-0.1616
DW18,FB_SPY,0.1,18,12,18,0,0,0.8769,0.9337,0.1527,0.1457,-0.3372,-0.2894,0.8846,-0.3372
DW18,FB_SPY,0.25,18,15,18,0,0,0.8769,0.9078,0.1527,0.1449,-0.3372,-0.3088,0.883,-0.3372
DW18,FB_SPY,0.4,18,15,18,0,0,0.8769,0.9078,0.1527,0.1449,-0.3372,-0.3088,0.883,-0.3372
DW18,FB_SPY,0.5,18,15,18,0,0,0.8769,0.9078,0.1527,0.1449,-0.3372,-0.3088,0.883,-0.3372
DW18,FB_SPY,0.75,18,15,18,0,0,0.8769,0.9078,0.1527,0.1449,-0.3372,-0.3088,0.883,-0.3372
DW18,FB_SPY,0.9,18,18,18,0,0,0.8769,0.875,0.1533,0.1529,-0.3372,-0.3372,0.883,-0.3372
DW18,FB_LIVE,0.0,18,0,18,4,0,0.9361,0.8973,0.1052,0.1105,-0.1616,-0.1959,0.9163,-0.1616
DW18,FB_LIVE,0.1,18,12,18,0,0,1.1041,0.9338,0.0867,0.0851,-0.1389,-0.1515,1.0449,-0.1389
DW18,FB_LIVE,0.25,18,15,18,0,0,1.1056,0.9755,0.0867,0.0747,-0.1307,-0.1347,1.0993,-0.1307
DW18,FB_LIVE,0.4,18,15,18,0,0,1.1056,0.9755,0.0867,0.0747,-0.1307,-0.1347,1.0993,-0.1307
DW18,FB_LIVE,0.5,18,15,18,0,0,1.1056,0.9755,0.0867,0.0747,-0.1307,-0.1347,1.0993,-0.1307
DW18,FB_LIVE,0.75,18,15,18,0,0,1.1056,0.9755,0.0867,0.0747,-0.1307,-0.1347,1.0993,-0.1307
DW18,FB_LIVE,0.9,18,18,18,0,0,1.1061,0.9809,0.0788,0.0703,-0.1224,-0.1273,1.0994,-0.1224
