panel,T_trade,cost,family,chooser,legal,target,h,R_refresh,cell,is_Sharpe,is_MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,turn_py,gross_mean,keep4b_full,keep4b_oos,keep4b,keep4a,keep4a_oos,bind,base_oos_Sharpe,base_oos_CAGR,base_oos_MaxDD,spy_oos_Sharpe,spy_oos_CAGR,spy_oos_MaxDD
B136,M,0,SYM_TD,C_ISLEGS,True,0.1,0.2,h,SYM_TD h=0.20,1.2591724010826055,-0.12403636477305191,0.12959960493886213,1.2613049697029433,-0.13641858249809702,2.266906020026974,0.7815708746836709,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,SYM_TD,C_ISDD,False,0.08,0.08,h,SYM_TD h=0.08,1.1353553153018596,-0.08902827221627052,0.1143347312945322,1.3119380133055658,-0.10243035129698363,3.548172663817534,0.6775512781754565,True,True,True,True,True,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,DOWN_TD,C_ISSHARPE,True,0.2,0.2,h,DOWN_TD h=0.20,1.2864472242902376,-0.15883416535368344,0.16270166271723885,1.1750607209371082,-0.21977124667747217,0.9471064336119221,0.9518687835376551,False,False,False,False,False,L4_DD,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,DOWN_TD,C_ISCALMAR,True,0.16,0.2,h,DOWN_TD h=0.20,1.2835167262554492,-0.14669664135350358,0.15570831002336294,1.217383009162519,-0.18223032579538023,1.1697175658895336,0.915008446626478,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,DOWN_TD,C_ISLEGS,True,0.1,0.2,h,DOWN_TD h=0.20,1.2305391444055709,-0.12367264996969252,0.12850224945472588,1.2798005153787768,-0.13641858249809724,2.1205218455520636,0.757917281701129,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,DOWN_TD,C_ISDD,False,0.08,0.12,h,DOWN_TD h=0.12,1.1827207270048594,-0.08553889562330941,0.10934145411490737,1.3017857432290967,-0.11596536043375005,2.528247180476734,0.6370646409171418,False,True,False,True,True,L5_CAGR,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,UP_TD,C_ISSHARPE,True,0.2,0.25,h,UP_TD h=0.25,1.2632456780455554,-0.15883416535368367,0.1707758463532123,1.1223639833302923,-0.29657590879004514,0.9537814785086415,0.9642968959856266,False,False,False,False,False,L4_DD,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,UP_TD,C_ISCALMAR,True,0.08,0.16,h,UP_TD h=0.16,1.2212002820733514,-0.09454546823067811,0.11778762210485394,1.2033550452635737,-0.16122742553839842,2.720991804038116,0.7180187771922978,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,UP_TD,C_ISLEGS,True,0.1,0.2,h,UP_TD h=0.20,1.2527807574497845,-0.11694347411093764,0.13337573108432843,1.2013428454524322,-0.1983646543081269,2.1422523423535944,0.8074773362928955,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,0,UP_TD,C_ISDD,False,0.08,0.16,h,UP_TD h=0.16,1.2212002820733514,-0.09454546823067811,0.11778762210485394,1.2033550452635737,-0.16122742553839842,2.720991804038116,0.7180187771922978,True,True,True,False,False,none,1.1313567037098642,0.08074281555114382,-0.12211674782076976,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,CAL,C_ISSHARPE,True,0.2,,M,R=M,1.2661336960613039,-0.15895622491818484,0.1626749659754536,1.082416560136597,-0.296669409852657,0.9337441661472567,0.9591818212085452,False,False,False,False,False,L4_DD,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,CAL,C_ISCALMAR,True,0.2,,M,R=M,1.2661336960613039,-0.15895622491818484,0.1626749659754536,1.082416560136597,-0.296669409852657,0.9337441661472567,0.9591818212085452,False,False,False,False,False,L4_DD,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,CAL,C_ISLEGS,True,0.1,,M,R=M,1.2029305591777755,-0.11708793758646718,0.13048107802973363,1.2000101248389705,-0.19873936611768628,1.9991079023564786,0.7840688869173739,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,CAL,C_ISDD,False,0.08,,W,R=W,1.0671338078114339,-0.09345381207673065,0.10959403102865406,1.2466267519380154,-0.10856630804032974,3.689160794265325,0.6751143468507363,False,True,False,True,True,L5_CAGR,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,SYM,C_ISSHARPE,True,0.2,0.16,h,SYM h=0.16,1.2485012121079542,-0.16233964864521222,0.1662735193676108,1.1956977950075844,-0.1941834434451194,0.9738355926245921,0.9517312618658845,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,SYM,C_ISCALMAR,True,0.16,0.25,h,SYM h=0.25,1.243175346388513,-0.1271273277317968,0.14060341111388763,1.1943633177244155,-0.1784651535572811,0.731522322125001,0.7937994678288595,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,SYM,C_ISLEGS,True,0.16,0.25,h,SYM h=0.25,1.243175346388513,-0.1271273277317968,0.14060341111388763,1.1943633177244155,-0.1784651535572811,0.731522322125001,0.7937994678288595,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,SYM,C_ISDD,False,0.08,0.12,h,SYM h=0.12,1.0712432940381067,-0.09282015797054999,0.11237898267929891,1.2744115977502823,-0.10753127304417776,3.0968707422441404,0.6767699189082574,False,True,False,True,True,L5_CAGR,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,SYM_TD,C_ISSHARPE,True,0.2,0.2,h,SYM_TD h=0.20,1.2644940514049934,-0.1633227722307049,0.1690643392804323,1.201753305636904,-0.22022771511661965,0.978562036180872,0.9589519369838339,False,False,False,False,False,L4_DD,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,SYM_TD,C_ISCALMAR,True,0.16,0.2,h,SYM_TD h=0.20,1.2630326583625908,-0.1470114600823217,0.15325468805140874,1.1786028045292396,-0.18286383692187425,1.248403158716509,0.9239857668740405,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,SYM_TD,C_ISLEGS,True,0.1,0.2,h,SYM_TD h=0.20,1.2348545053878706,-0.12439981418609569,0.12725774083924013,1.2407341944957697,-0.13699764805373316,2.266906020026974,0.7815708746836709,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,SYM_TD,C_ISDD,False,0.08,0.08,h,SYM_TD h=0.08,1.0914175821926366,-0.09000579942461306,0.11058880181129105,1.2724847527721397,-0.10314099757309791,3.548172663817534,0.6775512781754565,False,True,False,True,True,L5_CAGR,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,DOWN_TD,C_ISSHARPE,True,0.2,0.2,h,DOWN_TD h=0.20,1.2804548310118538,-0.15895622491818484,0.16151028475433993,1.167557931136848,-0.22022771511661998,0.9471064336119221,0.9518687835376551,False,False,False,False,False,L4_DD,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,DOWN_TD,C_ISCALMAR,True,0.2,0.2,h,DOWN_TD h=0.20,1.2804548310118538,-0.15895622491818484,0.16151028475433993,1.167557931136848,-0.22022771511661998,0.9471064336119221,0.9518687835376551,False,False,False,False,False,L4_DD,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,DOWN_TD,C_ISLEGS,True,0.1,0.2,h,DOWN_TD h=0.20,1.2073303264180628,-0.12423476258725863,0.12634927179982003,1.2604599335771602,-0.13699764805373305,2.1205218455520636,0.757917281701129,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,DOWN_TD,C_ISDD,False,0.08,0.12,h,DOWN_TD h=0.12,1.1510062206155032,-0.08626904697934035,0.10666752352106412,1.2724589108042381,-0.11640857674649963,2.528247180476734,0.6370646409171418,False,False,False,True,True,L5_CAGR,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,UP_TD,C_ISSHARPE,True,0.2,0.25,h,UP_TD h=0.25,1.2573328186101638,-0.1589562249181845,0.16956202260037223,1.1154377539711828,-0.2966694098526569,0.9537814785086415,0.9642968959856266,False,False,False,False,False,L4_DD,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,UP_TD,C_ISCALMAR,True,0.08,0.16,h,UP_TD h=0.16,1.1908838096141208,-0.09492313028353261,0.11490202702695829,1.1766491633499867,-0.1615343260675559,2.720991804038116,0.7180187771922978,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,UP_TD,C_ISLEGS,True,0.1,0.2,h,UP_TD h=0.20,1.2313016918076218,-0.11725433611578617,0.1311626749075263,1.1834797845942886,-0.1987393661176856,2.1422523423535944,0.8074773362928955,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,10,UP_TD,C_ISDD,False,0.08,0.25,h,UP_TD h=0.25,1.1963186113864153,-0.09492313028353228,0.11440026151449012,1.190942822441833,-0.1615343260675558,2.5020329504253964,0.7032024104522323,True,True,True,False,False,none,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,CAL,C_ISSHARPE,True,0.2,,M,R=M,1.2572990518537575,-0.15913928943517697,0.16091016968388394,1.0722396107865717,-0.29680966144657506,0.9337441661472567,0.9591818212085452,False,False,False,False,False,L4_DD,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,CAL,C_ISCALMAR,True,0.2,,M,R=M,1.2572990518537575,-0.15913928943517697,0.16091016968388394,1.0722396107865717,-0.29680966144657506,0.9337441661472567,0.9591818212085452,False,False,False,False,False,L4_DD,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,CAL,C_ISLEGS,True,0.1,,M,R=M,1.1721184110674685,-0.11785425663612803,0.12744513840905491,1.1748816085435194,-0.19930143383202448,1.9991079023564786,0.7840688869173739,True,True,True,False,False,none,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,CAL,C_ISDD,False,0.08,,W,R=W,1.0010796617891968,-0.09521848891225693,0.1035907471170241,1.1834381219801646,-0.10919674661922563,3.689160794265325,0.6751143468507363,False,False,False,True,True,L5_CAGR,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,SYM,C_ISSHARPE,True,0.2,0.16,h,SYM h=0.16,1.2394046091297264,-0.1634471026119293,0.16441409327834267,1.183916034353961,-0.1949114771366265,0.9738355926245921,0.9517312618658845,True,True,True,False,False,none,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,SYM,C_ISCALMAR,True,0.16,0.25,h,SYM h=0.25,1.2345554496273303,-0.1272789793641157,0.13926238243348799,1.184004714618093,-0.1789583199083471,0.731522322125001,0.7937994678288595,True,True,True,False,False,none,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,SYM,C_ISLEGS,True,0.16,0.25,h,SYM h=0.25,1.2345554496273303,-0.1272789793641157,0.13926238243348799,1.184004714618093,-0.1789583199083471,0.731522322125001,0.7937994678288595,True,True,True,False,False,none,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,SYM,C_ISDD,False,0.08,0.12,h,SYM h=0.12,1.0154000514852297,-0.0937458488692352,0.1073664458928354,1.2218557156685812,-0.10966678518900508,3.0968707422441404,0.6767699189082574,False,True,False,True,True,L5_CAGR,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,SYM_TD,C_ISSHARPE,True,0.2,0.2,h,SYM_TD h=0.20,1.255161494555408,-0.1646331046007481,0.1672129707694181,1.1902893106619168,-0.22091209286716462,0.978562036180872,0.9589519369838339,False,False,False,False,False,L4_DD,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,SYM_TD,C_ISCALMAR,True,0.16,0.2,h,SYM_TD h=0.20,1.250107661721042,-0.14748355905432986,0.15093593752172918,1.162783693304354,-0.1838134772659511,1.248403158716509,0.9239857668740405,True,True,True,False,False,none,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,SYM_TD,C_ISLEGS,True,0.1,0.2,h,SYM_TD h=0.20,1.1982919376035839,-0.12496967129360137,0.12375324079196681,1.2097926191397381,-0.13786579233763785,2.266906020026974,0.7815708746836709,True,True,True,False,False,none,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,SYM_TD,C_ISDD,False,0.08,0.08,h,SYM_TD h=0.08,1.0254264562124142,-0.0914702972437208,0.1049925768650164,1.2131749985332938,-0.10420618628943512,3.548172663817534,0.6775512781754565,False,False,False,True,True,L5_CAGR,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,DOWN_TD,C_ISSHARPE,True,0.2,0.2,h,DOWN_TD h=0.20,1.271452231606508,-0.15983843664365427,0.15972514945504157,1.1562843466768227,-0.22091209286716473,0.9471064336119221,0.9518687835376551,False,False,False,False,False,L4_DD,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,DOWN_TD,C_ISCALMAR,True,0.2,0.2,h,DOWN_TD h=0.20,1.271452231606508,-0.15983843664365427,0.15972514945504157,1.1562843466768227,-0.22091209286716473,0.9471064336119221,0.9518687835376551,False,False,False,False,False,L4_DD,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,DOWN_TD,C_ISLEGS,True,0.1,0.2,h,DOWN_TD h=0.20,1.1723944154190393,-0.12510232693453616,0.12312664475994595,1.2313484280502027,-0.13786579233763752,2.1205218455520636,0.757917281701129,True,True,True,False,False,none,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,DOWN_TD,C_ISDD,False,0.08,0.12,h,DOWN_TD h=0.12,1.1032147547279683,-0.08736342993423862,0.10266764751582103,1.228302967948147,-0.117073089995546,2.528247180476734,0.6370646409171418,False,False,False,True,True,L5_CAGR,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,UP_TD,C_ISSHARPE,True,0.2,0.25,h,UP_TD h=0.25,1.2484490580825278,-0.15913928943517675,0.1677431980307973,1.1050312531062294,-0.2968096614465745,0.9537814785086415,0.9642968959856266,False,False,False,False,False,L4_DD,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,UP_TD,C_ISCALMAR,True,0.2,0.25,h,UP_TD h=0.25,1.2484490580825278,-0.15913928943517675,0.1677431980307973,1.1050312531062294,-0.2968096614465745,0.9537814785086415,0.9642968959856266,False,False,False,False,False,L4_DD,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,UP_TD,C_ISLEGS,True,0.1,0.2,h,UP_TD h=0.20,1.1989813836534557,-0.11772050201248874,0.12785021366679783,1.1566012975471933,-0.1993014338320247,2.1422523423535944,0.8074773362928955,True,True,True,False,False,none,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,25,UP_TD,C_ISDD,False,0.08,0.16,h,UP_TD h=0.16,1.1452429082902331,-0.0954894229255846,0.11058626061488286,1.1364388510731145,-0.16199467686129154,2.720991804038116,0.7180187771922978,True,True,True,False,False,none,1.057138821217919,0.07507655272231117,-0.12285153570594698,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,CAL,C_ISSHARPE,True,0.2,,M,R=M,1.242537952388131,-0.15944433075876374,0.15797358902107184,1.0552313326302978,-0.2970434141031043,0.9337441661472567,0.9591818212085452,False,False,False,False,False,L4_DD,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,CAL,C_ISCALMAR,True,0.2,,M,R=M,1.242537952388131,-0.15944433075876374,0.15797358902107184,1.0552313326302978,-0.2970434141031043,0.9337441661472567,0.9591818212085452,False,False,False,False,False,L4_DD,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,CAL,C_ISLEGS,True,0.1,,M,R=M,1.1204468136983163,-0.11913047939848143,0.12240060430559896,1.1327640418877185,-0.20023821335592173,1.9991079023564786,0.7840688869173739,True,True,True,False,False,none,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,CAL,C_ISDD,False,0.08,,M,R=M,1.0819322546712111,-0.09689992121779167,0.10190653784727344,1.0883563191399583,-0.16276192818418556,2.29170473939595,0.6797388672441897,False,False,False,False,False,L5_CAGR,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,SYM,C_ISSHARPE,True,0.2,0.16,h,SYM h=0.16,1.2242130874718984,-0.16529028107497012,0.1613207135842707,1.1642360222248678,-0.19612383979659087,0.9738355926245921,0.9517312618658845,True,True,True,False,False,none,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,SYM,C_ISCALMAR,True,0.16,0.25,h,SYM h=0.25,1.220150898634849,-0.12753168830224593,0.13703012792834968,1.16669630779626,-0.18007956256659363,0.731522322125001,0.7937994678288595,True,True,True,False,False,none,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,SYM,C_ISLEGS,True,0.16,0.25,h,SYM h=0.25,1.220150898634849,-0.12753168830224593,0.13703012792834968,1.16669630779626,-0.18007956256659363,0.731522322125001,0.7937994678288595,True,True,True,False,False,none,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,SYM,C_ISDD,False,0.08,0.12,h,SYM h=0.12,0.922043309078944,-0.09719204508720491,0.09905965901235114,1.13398886888827,-0.11321553886567226,3.0968707422441404,0.6767699189082574,False,False,False,True,True,L5_CAGR,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,SYM_TD,C_ISSHARPE,True,0.2,0.2,h,SYM_TD h=0.20,1.239574593979197,-0.1668132791731186,0.16413294406398937,1.171133673189066,-0.2220518562938506,0.978562036180872,0.9589519369838339,False,False,False,False,False,L4_DD,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,SYM_TD,C_ISCALMAR,True,0.16,0.2,h,SYM_TD h=0.20,1.2285043553175345,-0.14827004643434138,0.14708035562672972,1.1363451441679508,-0.18539454174355852,1.248403158716509,0.9239857668740405,True,True,True,False,False,none,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,SYM_TD,C_ISLEGS,True,0.1,0.2,h,SYM_TD h=0.20,1.1371529296233776,-0.12654064020946598,0.11793446715689804,1.1580141725428479,-0.13931148907498614,2.266906020026974,0.7815708746836709,True,True,True,False,False,none,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,SYM_TD,C_ISDD,False,0.08,0.08,h,SYM_TD h=0.08,0.9152800354657779,-0.09390635268438563,0.09572567472650606,1.1140340483247504,-0.10597942048649789,3.548172663817534,0.6775512781754565,False,False,False,False,True,L5_CAGR,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,DOWN_TD,C_ISSHARPE,True,0.2,0.2,h,DOWN_TD h=0.20,1.2564113401400079,-0.16204408689011773,0.15675506861545419,1.1374449227629218,-0.2220518562938505,0.9471064336119221,0.9518687835376551,False,False,False,False,False,L4_DD,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,DOWN_TD,C_ISCALMAR,True,0.16,0.2,h,DOWN_TD h=0.20,1.2413569987846627,-0.14827004643434105,0.14868566794767335,1.1685313844388312,-0.1853945417435584,1.1697175658895336,0.915008446626478,True,True,True,False,False,none,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,DOWN_TD,C_ISLEGS,True,0.12,0.2,h,DOWN_TD h=0.20,1.1243654825405407,-0.1317170202178014,0.13632876134562721,1.2222271045888287,-0.1747858329883737,1.668388697505358,0.8337266369073221,True,True,True,False,False,none,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,DOWN_TD,C_ISDD,False,0.08,0.12,h,DOWN_TD h=0.12,1.023044840029004,-0.08918515238630453,0.09603047586126179,1.154321529021764,-0.11817978250095695,2.528247180476734,0.6370646409171418,False,False,False,True,True,L5_CAGR,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
B136,M,50,UP_TD,C_ISSHARPE,True,0.2,0.25,h,UP_TD h=0.25,1.2336051368086283,-0.1594443307587633,0.1647169137118074,1.0876428796062854,-0.2970434141031041,0.9537814785086415,0.9642968959856266,False,False,False,False,False,L4_DD,0.9827932668211912,0.06943916638398329,-0.12358608812190786,0.8736721309012504,0.15257181383948715,-0.3371595330739301
