panel,k,band,n,Ebar,sd_Ebar,breadth,CAGR,Sharpe,sd_Sharpe,MaxDD,H1,H2,oosC,oosS,oosD,p4a,p4b
SMALL439,20,0.03,8,6.770933734939759,1.0609734673310363,0.33854668674698796,0.040027514902768624,0.4730533318069811,0.10599946343584664,-0.22706718223133388,0.5003322975801321,0.43791246142259954,0.03469886450781093,0.41561636920529976,-0.22633321049651967,0,0
SMALL439,20,0.08,8,6.770933734939759,1.0609734673310363,0.33854668674698796,0.04747872300704847,0.5431328098372706,0.11322315557198608,-0.2129168375311572,0.6077281148810457,0.4725540338872062,0.040432194332303856,0.47017112788386606,-0.21050147934661387,0,0
SMALL439,36,0.0,8,11.284638554216867,0.5797002694329259,0.31346218206157966,0.03880787943873293,0.4943435136187479,0.14924168517397393,-0.189462425850779,0.4052653311271399,0.5722223178420155,0.04688591463999395,0.5717022605710138,-0.17652840946133358,0,0
SMALL439,36,0.03,8,11.284638554216867,0.5797002694329259,0.31346218206157966,0.040297667912436164,0.5121099454293083,0.12804339486332825,-0.19130065077541009,0.4159952335173037,0.5967345155469214,0.048127972816920606,0.5875504056400742,-0.17934607500798583,0,0
SMALL439,36,0.08,8,11.284638554216867,0.5797002694329259,0.31346218206157966,0.04743602267432792,0.5822587541214087,0.15819960192627214,-0.1837031795342733,0.532949614104148,0.6257400290449281,0.054633410188134834,0.6444390041631795,-0.1795795532524994,0,0
SMALL439,55,0.0,8,17.783885542168676,0.7993506523943513,0.3233433734939759,0.03470331425353665,0.47519658699960543,0.15276864836672674,-0.17426613594481583,0.39298542336676334,0.5488863743258017,0.03929894931997657,0.5193865086746954,-0.16687028289527178,0,0
SMALL439,55,0.03,8,17.783885542168676,0.7993506523943513,0.3233433734939759,0.036047140907602276,0.4912966056359075,0.14943503008473236,-0.17683694736737754,0.4236532308479159,0.5525121582438522,0.039007388122007575,0.5161021205778017,-0.17206945805258567,0,0
SMALL439,55,0.08,8,17.783885542168676,0.7993506523943513,0.3233433734939759,0.04194342677863108,0.5542168665233936,0.12991767907876448,-0.17296716711961685,0.515305987152726,0.5904365187941044,0.04516884269889773,0.5781699592498178,-0.17296716711961685,0,0
U56,20,0.0,8,13.069711538461538,0.6968968507901164,0.653485576923077,0.08278371808043275,1.0958002335421362,0.1133439691124988,-0.12350628473713537,1.1359352527681208,1.062534146414052,0.0910433378658593,1.1638784994452849,-0.12350628473713542,0,0
U56,20,0.03,8,13.069711538461538,0.6968968507901164,0.653485576923077,0.08714225433192285,1.1298240868078981,0.11031854333748135,-0.12339420586753554,1.1719258874605596,1.095425176345472,0.09493406657927284,1.189818232838665,-0.12339420586753545,1,0
U56,20,0.08,8,13.069711538461538,0.6968968507901164,0.653485576923077,0.0860616141832472,1.0788590817198087,0.14055414977970088,-0.15034482035663013,1.176892341082919,0.9990861844563429,0.09086014295952524,1.0906719228451762,-0.15034482035663005,1,0
U56,36,0.0,8,23.15544871794872,0.35050179381408636,0.6432069088319088,0.08205126281396097,1.1501597853237278,0.06299086153111136,-0.11965951307118881,1.1555322194161237,1.1491526287176856,0.09216965000762267,1.2411586597634128,-0.1196595130711887,1,0
U56,36,0.03,8,23.15544871794872,0.35050179381408636,0.6432069088319088,0.08619914709307819,1.1797260302110357,0.06503831488547249,-0.11943403422667051,1.1997493092987523,1.1669237892436373,0.09590561705502373,1.2567657377043895,-0.11943403422667054,2,0
U56,36,0.08,8,23.15544871794872,0.35050179381408636,0.6432069088319088,0.0862076025699631,1.1407305334114504,0.05911469085183921,-0.14251543387803145,1.218379831324042,1.0802269897008916,0.09252699947800913,1.1684384205492235,-0.1425154338780314,0,0
U56,55,0.0,1,36.14209401709402,,0.6571289821289821,0.0817636695143944,1.1709021771172157,,-0.1206209455485463,1.197117685084476,1.149977040337353,0.09035493707201114,1.256484960939638,-0.12062094554854674,0,0
