panel,rung,chooser,pick,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4b,fail4b,pass4a,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,base4b_of_cell
U56,50.0,C_ISCAGR,TOP10/Q,1.0631531838603268,0.14893782087563245,0.12457565457406017,0.7747023088293168,-0.24461287519528208,False,"L2_H2,L3_OOS,L4_DD",False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.08674545766095254,1.1780484467589214,-0.12155437161885863,0.02
U56,50.0,C_ISLEGS,EWELIG/Q,1.064933074966528,0.1082477556364354,0.10603527130766843,0.9588647115870198,-0.22205956064031973,False,"L4_DD,L5_CAGR",False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.08674545766095254,1.1780484467589214,-0.12155437161885863,0.0
B136,0.0,C_ISSHARPE,TOP10/Q,1.3920806370827765,0.22399218170674073,0.14652848325446333,0.8170048695365938,-0.2861259748354532,False,"L2_H2,L3_OOS,L4_DD",False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.08111872133378806,1.135749924987383,-0.12211590879264556,0.065
B136,0.0,C_ISCAGR,TOP10/Q,1.3920806370827765,0.22399218170674073,0.14652848325446333,0.8170048695365938,-0.2861259748354532,False,"L2_H2,L3_OOS,L4_DD",False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.08111872133378806,1.135749924987383,-0.12211590879264556,0.065
B136,0.0,C_ISLEGS,TOP20/M,1.2785371575055917,0.1773791233097981,0.16306149422920968,1.0419540620776013,-0.26066677445919995,False,L4_DD,False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.08111872133378806,1.135749924987383,-0.12211590879264556,0.15
B136,10.0,C_ISSHARPE,TOP10/Q,1.3684881701166405,0.2195649852429553,0.14135772498500287,0.7930873566740441,-0.2861259748354531,False,"L2_H2,L3_OOS,L4_DD",False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07884939392053303,1.1061149281164175,-0.12240985403190019,0.05
B136,10.0,C_ISCAGR,TOP10/Q,1.3684881701166405,0.2195649852429553,0.14135772498500287,0.7930873566740441,-0.2861259748354531,False,"L2_H2,L3_OOS,L4_DD",False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07884939392053303,1.1061149281164175,-0.12240985403190019,0.05
B136,10.0,C_ISLEGS,TOP20/M,1.2342405889547707,0.17034458257656926,0.15548074428192016,1.000411926222563,-0.2610525610883291,False,L4_DD,False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07884939392053303,1.1061149281164175,-0.12240985403190019,0.075
B136,25.0,C_ISSHARPE,TOP10/Q,1.332726025388064,0.21294602680466967,0.13363407171754282,0.7570135253718181,-0.28612597483545366,False,"L2_H2,L3_OOS,L4_DD",False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07545408045393409,1.0616191233203185,-0.12285070124478226,0.02
B136,25.0,C_ISCAGR,TOP10/Q,1.332726025388064,0.21294602680466967,0.13363407171754282,0.7570135253718181,-0.28612597483545366,False,"L2_H2,L3_OOS,L4_DD",False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07545408045393409,1.0616191233203185,-0.12285070124478226,0.02
B136,25.0,C_ISLEGS,TOP20/M,1.1673905880605258,0.15986430315872857,0.1441939518208475,0.9378057983731926,-0.26163124103202273,False,L4_DD,False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07545408045393409,1.0616191233203185,-0.12285070124478226,0.0
B136,50.0,C_ISSHARPE,TOP10/Q,1.2722183666036029,0.20197249633436143,0.12084762050200015,0.6964519102930994,-0.286125974835453,False,"L2_H2,L3_OOS,L4_DD",False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.06981828866687434,0.9873597526196625,-0.12358525821931621,0.0
B136,50.0,C_ISCAGR,TOP10/Q,1.2722183666036029,0.20197249633436143,0.12084762050200015,0.6964519102930994,-0.286125974835453,False,"L2_H2,L3_OOS,L4_DD",False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.06981828866687434,0.9873597526196625,-0.12358525821931621,0.0
B136,50.0,C_ISLEGS,EWELIG/Q,1.0459860343676706,0.11089571805552034,0.10047486417274443,0.8961390181518989,-0.2443602482382723,False,"L2_H2,L4_DD,L5_CAGR",False,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.06981828866687434,0.9873597526196625,-0.12358525821931621,0.0
