panel,rung,seed,cost,Sharpe,CAGR,MaxDD,OOS,H1,H2,turn,gross,fail4b
U56,2x,1563,10.0,0.9648612988029259,0.09193390402468227,-0.16209506634312387,1.0691563055698141,0.9428372675069617,0.9865280398444152,19.405708093117376,0.7195032573289902,H1+CAGR
U56,2x,1564,10.0,1.0311215602714443,0.09867501278839796,-0.14472448555854345,1.0854915279184667,1.0431378419537676,1.0218364085576876,19.06020989892591,0.7195032573289902,CAGR
U56,2x,1565,10.0,0.9246441466921399,0.08714874781572957,-0.1484626324438616,1.0290650988099583,0.9053467842751461,0.9437536193238191,19.163431340055826,0.7195032573289902,H1+CAGR
U56,2x,1566,10.0,0.8923858332125446,0.08503938723780435,-0.15900552970530113,0.9706358127573778,0.875956183395336,0.9089502116128122,19.05058683232818,0.7195032573289902,H1+CAGR
U56,2x,1567,10.0,1.0598778809982148,0.10318729643542168,-0.16392458362323004,1.1330886277725314,1.0788190895918746,1.0447065816490866,19.141200846703505,0.7195032573289902,CAGR
U56,2x,1568,10.0,0.95943495009151,0.09214458517510282,-0.1522475724175032,1.0112352105653464,0.995644933772674,0.9289307534830455,19.16621704660354,0.7195032573289902,CAGR
U56,2x,1569,10.0,0.9608716505325062,0.09132786870243192,-0.15806882849014592,1.0916381055517064,0.9289698804797203,0.9918414722162338,18.961065248678757,0.7195032573289902,H1+CAGR
U56,2x,1570,10.0,0.9478213142464526,0.09034317792442259,-0.15376233832648334,0.9978820421246523,0.99053646410833,0.9110471214417084,19.316184275788547,0.7195032573289902,CAGR
U56,2x,1571,10.0,0.9996608427538602,0.09483566497559659,-0.15466888756856412,1.0735169195472036,1.0136818666061354,0.9884078328229542,19.17211647220085,0.7195032573289902,CAGR
U56,2x,1572,10.0,1.0239902278499344,0.09772454733959557,-0.1379588725516674,1.1133422187955053,1.0033320989980286,1.0447859865265765,19.442417378261748,0.7195032573289902,CAGR
U56,2x,1573,10.0,0.9219315360016754,0.08745805082645419,-0.15325287479480965,0.9747031794460068,0.9562023355608882,0.8939948344911226,19.56218404370875,0.7195032573289902,H1+CAGR
U56,2x,1574,10.0,0.9531322383829948,0.09160679352926193,-0.1689316003628396,1.0367540099292853,0.9591992110155595,0.949644383148244,19.292033394028515,0.7195032573289902,H1+CAGR
U56,2x,1575,10.0,1.0144674350945955,0.09705880009764756,-0.17116297962826088,1.1393558066280132,0.9159785288398009,1.10558479995172,19.29723591849259,0.7195032573289902,H1+CAGR
U56,2x,1576,10.0,1.0278523184176072,0.09730219888506286,-0.16425763236208812,1.1675550259670666,0.9355794780363844,1.1147814787139738,19.260624206480628,0.7195032573289902,H1+CAGR
