panel,arm,conv,f,cad,be_H1,be_H2,be_DD,be_CAGR,binding,be_joint
u56,S4,natural,0.0,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,natural,0.0,D,,11.5,11.0,3.0,H1 (never),
u56,S4,natural,0.25,W,7.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.25,M,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.25,D,2.5,12.5,28.5,,CAGR (never),
u56,S4,natural,0.5,W,10.5,27.0,30.0,,CAGR (never),
u56,S4,natural,0.5,M,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.5,D,5.0,13.0,30.0,,CAGR (never),
u56,S4,natural,0.75,W,4.0,12.5,30.0,,CAGR (never),
u56,S4,natural,0.75,M,1.5,7.5,30.0,,CAGR (never),
u56,S4,natural,0.75,D,3.5,8.0,30.0,,CAGR (never),
u56,S4,natural,1.0,W,,,30.0,,CAGR|H1|H2 (never),
u56,S4,natural,1.0,M,,,30.0,,CAGR|H1|H2 (never),
u56,S4,natural,1.0,D,,,24.0,,CAGR|H1|H2 (never),
broad,S3,g1.00,0.0,W,22.0,14.5,,30.0,DD (never),
broad,S3,g1.00,0.0,M,30.0,30.0,,30.0,DD (never),
broad,S3,g1.00,0.0,D,2.5,8.5,,17.0,DD (never),
broad,S3,g1.00,0.25,W,30.0,16.0,30.0,30.0,H2,16.0
broad,S3,g1.00,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S3,g1.00,0.25,D,8.0,9.5,9.5,14.5,H1,8.0
broad,S3,g1.00,0.5,W,30.0,15.0,30.0,24.0,H2,15.0
broad,S3,g1.00,0.5,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S3,g1.00,0.5,D,12.5,9.0,14.5,10.0,H2,9.0
broad,S3,g1.00,0.75,W,30.0,7.0,30.0,2.5,CAGR,2.5
broad,S3,g1.00,0.75,M,30.0,30.0,30.0,22.5,CAGR,22.5
broad,S3,g1.00,0.75,D,12.5,5.5,20.5,1.5,CAGR,1.5
broad,S3,g1.00,1.0,W,,,,,CAGR|DD|H1|H2 (never),
broad,S3,g1.00,1.0,M,,,,,CAGR|DD|H1|H2 (never),
broad,S3,g1.00,1.0,D,,,,,CAGR|DD|H1|H2 (never),
broad,S3,natural,0.0,W,26.0,14.5,,30.0,DD (never),
broad,S3,natural,0.0,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S3,natural,0.0,D,4.5,9.0,,11.5,DD (never),
broad,S3,natural,0.25,W,30.0,17.5,30.0,14.0,CAGR,14.0
broad,S3,natural,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S3,natural,0.25,D,8.5,11.0,30.0,4.5,CAGR,4.5
broad,S3,natural,0.5,W,30.0,19.5,30.0,,CAGR (never),
broad,S3,natural,0.5,M,30.0,30.0,30.0,,CAGR (never),
broad,S3,natural,0.5,D,12.0,12.5,30.0,,CAGR (never),
broad,S3,natural,0.75,W,29.0,12.0,30.0,,CAGR (never),
broad,S3,natural,0.75,M,30.0,24.0,30.0,,CAGR (never),
broad,S3,natural,0.75,D,10.0,10.5,30.0,,CAGR (never),
broad,S3,natural,1.0,W,,,30.0,,CAGR|H1|H2 (never),
broad,S3,natural,1.0,M,,,30.0,,CAGR|H1|H2 (never),
broad,S3,natural,1.0,D,,,27.5,,CAGR|H1|H2 (never),
broad,S4,g1.00,0.0,W,22.0,14.5,,30.0,DD (never),
broad,S4,g1.00,0.0,M,30.0,30.0,,30.0,DD (never),
broad,S4,g1.00,0.0,D,2.5,8.5,,17.0,DD (never),
broad,S4,g1.00,0.25,W,28.5,14.5,0.5,30.0,DD,0.5
broad,S4,g1.00,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S4,g1.00,0.25,D,6.5,9.0,2.0,14.0,DD,2.0
broad,S4,g1.00,0.5,W,30.0,12.5,30.0,22.0,H2,12.5
broad,S4,g1.00,0.5,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S4,g1.00,0.5,D,10.0,8.5,13.0,9.0,H2,8.5
broad,S4,g1.00,0.75,W,28.0,4.0,30.0,,CAGR (never),
broad,S4,g1.00,0.75,M,30.0,16.5,30.0,,CAGR (never),
broad,S4,g1.00,0.75,D,9.5,5.0,18.0,0.5,CAGR,0.5
broad,S4,g1.00,1.0,W,,,,,CAGR|DD|H1|H2 (never),
broad,S4,g1.00,1.0,M,,,,,CAGR|DD|H1|H2 (never),
broad,S4,g1.00,1.0,D,,,,,CAGR|DD|H1|H2 (never),
broad,S4,natural,0.0,W,26.0,14.5,,30.0,DD (never),
broad,S4,natural,0.0,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S4,natural,0.0,D,4.5,9.0,,11.5,DD (never),
broad,S4,natural,0.25,W,30.0,16.0,30.0,13.0,CAGR,13.0
broad,S4,natural,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S4,natural,0.25,D,7.0,10.0,30.0,4.0,CAGR,4.0
broad,S4,natural,0.5,W,30.0,17.0,30.0,,CAGR (never),
broad,S4,natural,0.5,M,30.0,30.0,30.0,,CAGR (never),
broad,S4,natural,0.5,D,9.5,11.0,30.0,,CAGR (never),
broad,S4,natural,0.75,W,23.5,10.0,30.0,,CAGR (never),
broad,S4,natural,0.75,M,30.0,16.5,30.0,,CAGR (never),
broad,S4,natural,0.75,D,8.5,9.0,30.0,,CAGR (never),
broad,S4,natural,1.0,W,,,30.0,,CAGR|H1|H2 (never),
broad,S4,natural,1.0,M,,,30.0,,CAGR|H1|H2 (never),
broad,S4,natural,1.0,D,,,24.0,,CAGR|H1|H2 (never),
