load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv

==================================================================================================================================================================================================================
UNIVERSE universe_broad.json (136, PRIMARY): 136 names, 2008-01-02 -> 2026-09-03 | eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01
INDEX SANITY: 251.6 rows/yr (must be ~252; the calendar-day bug of idea 38 gave ~365)  -> OK trading-day index
SPY   CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS 0.884
RULES v1 @10bps  CAGR 6.44%  Sharpe 0.640  MaxDD -21.19%  halves 0.762/0.537
4b bars: Sharpe > 0.957(H1) / 0.837(H2) / 0.884(OOS), MaxDD <= 20.23%, CAGR >= 10.68%
mean eligible names E_t = 91.5
==================================================================================================================================================================================================================

--- universe_broad.json (136, PRIMARY) | gross convention MATCHED | 10 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b          fails
20 0.100  2 CTRL 17.829  0.750 13.019 0.120   0.832 -0.212 0.974 0.721    0.804  0.122  -0.212 False False         H2,OOS,DD
20 0.200  4   HI 15.783  0.749 17.134 0.084   0.660 -0.208 0.745 0.592    0.686  0.093  -0.208 False False H1,H2,OOS,DD,CAGR
20 0.200  4   LO 15.783  0.749 16.569 0.113   0.740 -0.259 0.908 0.603    0.694  0.110  -0.259 False False      H1,H2,OOS,DD
20 0.200  4 CTRL 15.869  0.750 13.312 0.129   0.858 -0.213 1.026 0.727    0.803  0.127  -0.213 False False         H2,OOS,DD
20 0.300  6   HI 13.786  0.746 19.122 0.072   0.587 -0.220 0.733 0.468    0.566  0.072  -0.220 False False H1,H2,OOS,DD,CAGR
20 0.300  6   LO 13.786  0.746 18.262 0.113   0.705 -0.299 0.898 0.543    0.640  0.105  -0.299 False False      H1,H2,OOS,DD
20 0.300  6 CTRL 13.907  0.750 13.655 0.138   0.887 -0.215 1.066 0.746    0.824  0.135  -0.215 False False         H2,OOS,DD
20 0.500 10   HI  9.816  0.742 23.466 0.047   0.425 -0.223 0.472 0.389    0.467  0.055  -0.223 False False H1,H2,OOS,DD,CAGR
20 0.500 10   LO  9.816  0.742 21.043 0.139   0.805 -0.247 0.955 0.684    0.756  0.137  -0.247 False False      H1,H2,OOS,DD
20 0.500 10 CTRL  9.966  0.750 14.736 0.161   0.949 -0.225 1.149 0.796    0.874  0.157  -0.225 False False         H2,OOS,DD
30 0.000  0   HI 29.462  0.750 11.429 0.111   0.859 -0.203 0.992 0.750    0.846  0.114  -0.203  True False         H2,OOS,DD
30 0.100  3   HI 26.462  0.750 13.637 0.095   0.781 -0.199 0.899 0.682    0.786  0.100  -0.199  True False    H1,H2,OOS,CAGR
30 0.100  3   LO 26.462  0.750 13.736 0.109   0.805 -0.229 0.922 0.707    0.797  0.112  -0.229 False False      H1,H2,OOS,DD
30 0.100  3 CTRL 26.580  0.750 11.692 0.114   0.863 -0.204 0.991 0.757    0.853  0.118  -0.204  True False         H2,OOS,DD
30 0.200  6   HI 23.466  0.746 15.509 0.078   0.678 -0.199 0.796 0.578    0.683  0.082  -0.199  True False    H1,H2,OOS,CAGR
30 0.200  6   LO 23.466  0.746 15.615 0.103   0.729 -0.299 0.893 0.584    0.676  0.097  -0.299 False False H1,H2,OOS,DD,CAGR
30 0.200  6 CTRL 23.677  0.750 12.038 0.111   0.826 -0.211 0.938 0.735    0.822  0.116  -0.211  True False      H1,H2,OOS,DD
30 0.300  9   HI 20.486  0.743 17.093 0.071   0.639 -0.199 0.746 0.548    0.648  0.075  -0.199 False False    H1,H2,OOS,CAGR
30 0.300  9   LO 20.486  0.743 16.940 0.114   0.789 -0.219 0.911 0.686    0.778  0.117  -0.219 False False      H1,H2,OOS,DD
30 0.300  9 CTRL 20.758  0.750 12.486 0.115   0.828 -0.212 0.956 0.724    0.803  0.117  -0.212  True False      H1,H2,OOS,DD
30 0.500 15   HI 14.573  0.735 21.346 0.051   0.503 -0.193 0.556 0.460    0.540  0.057  -0.193 False False    H1,H2,OOS,CAGR
30 0.500 15   LO 14.573  0.735 19.821 0.127   0.803 -0.249 1.010 0.638    0.727  0.119  -0.249 False False         H2,OOS,DD
30 0.500 15 CTRL 14.888  0.750 13.484 0.131   0.857 -0.213 1.029 0.723    0.799  0.128  -0.213 False False         H2,OOS,DD

--- universe_broad.json (136, PRIMARY) | gross convention LITERAL | 10 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b          fails
10 0.000  0   HI  9.966  0.747 14.598 0.188   1.080 -0.214 1.282 0.927    1.003  0.185  -0.214 False False             DD
10 0.100  1   HI  8.966  0.672 15.580 0.165   1.083 -0.188 1.256 0.953    1.038  0.169  -0.188  True  True              -
10 0.100  1   LO  8.966  0.672 15.315 0.172   1.056 -0.200 1.273 0.889    0.965  0.166  -0.200  True  True              -
10 0.100  1 CTRL  8.976  0.748 14.710 0.184   1.042 -0.221 1.271 0.870    0.927  0.173  -0.221 False False             DD
10 0.200  2   HI  7.966  0.597 15.490 0.130   0.994 -0.170 1.200 0.836    0.934  0.130  -0.170  True False             H2
10 0.200  2   LO  7.966  0.597 14.845 0.161   1.060 -0.201 1.333 0.849    0.931  0.149  -0.201  True  True              -
10 0.200  2 CTRL  7.984  0.748 15.142 0.190   1.047 -0.230 1.315 0.840    0.897  0.170  -0.230 False False             DD
10 0.300  3   HI  6.966  0.522 15.111 0.104   0.924 -0.136 1.132 0.765    0.862  0.103  -0.136  True False    H2,OOS,CAGR
10 0.300  3   LO  6.966  0.522 14.092 0.148   1.073 -0.184 1.381 0.831    0.919  0.133  -0.184  True False             H2
10 0.300  3 CTRL  6.991  0.749 15.577 0.186   0.995 -0.232 1.258 0.795    0.860  0.168  -0.232 False False      H2,OOS,DD
10 0.500  5   HI  4.967  0.373 13.226 0.056   0.734 -0.116 0.987 0.535    0.649  0.053  -0.099 False False    H2,OOS,CAGR
10 0.500  5   LO  4.967  0.373 12.255 0.118   1.081 -0.133 1.203 0.987    1.022  0.118  -0.133  True  True              -
10 0.500  5 CTRL  4.999  0.750 16.492 0.206   1.010 -0.264 1.294 0.786    0.849  0.178  -0.264 False False      H2,OOS,DD
20 0.000  0   HI 19.782  0.742 12.391 0.139   0.970 -0.210 1.118 0.852    0.938  0.142  -0.210  True False             DD
20 0.100  2   HI 17.782  0.667 13.358 0.116   0.933 -0.184 1.106 0.794    0.885  0.115  -0.184  True False             H2
20 0.100  2   LO 17.782  0.667 13.161 0.126   0.932 -0.193 1.072 0.821    0.902  0.128  -0.193  True False             H2
20 0.100  2 CTRL 17.829  0.743 12.718 0.144   0.974 -0.211 1.130 0.852    0.935  0.145  -0.211  True False             DD
20 0.200  4   HI 15.783  0.592 13.343 0.092   0.864 -0.167 0.983 0.771    0.866  0.098  -0.167  True False    H2,OOS,CAGR
20 0.200  4   LO 15.783  0.592 12.850 0.115   0.923 -0.182 1.111 0.772    0.863  0.113  -0.182  True False         H2,OOS
20 0.200  4 CTRL 15.869  0.744 13.039 0.153   0.996 -0.212 1.176 0.857    0.934  0.151  -0.212 False False             DD
20 0.300  6   HI 13.786  0.517 13.050 0.074   0.813 -0.147 0.985 0.673    0.774  0.074  -0.147  True False    H2,OOS,CAGR
20 0.300  6   LO 13.786  0.517 12.364 0.108   0.937 -0.155 1.139 0.775    0.871  0.105  -0.155  True False         H2,OOS
20 0.300  6 CTRL 13.907  0.745 13.417 0.163   1.021 -0.214 1.206 0.877    0.956  0.160  -0.214 False False             DD
20 0.500 10   HI  9.816  0.368 11.587 0.044   0.716 -0.103 0.782 0.666    0.748  0.049  -0.103  True False H1,H2,OOS,CAGR
20 0.500 10   LO  9.816  0.368 10.399 0.086   0.957 -0.124 1.168 0.786    0.863  0.082  -0.124  True False    H2,OOS,CAGR
20 0.500 10 CTRL  9.966  0.747 14.598 0.188   1.080 -0.214 1.282 0.927    1.003  0.185  -0.214 False False             DD
30 0.000  0   HI 29.462  0.737 10.887 0.130   1.004 -0.202 1.159 0.875    0.971  0.132  -0.202  True  True              -
30 0.100  3   HI 26.462  0.662 11.691 0.107   0.959 -0.178 1.112 0.831    0.935  0.109  -0.178  True False             H2
30 0.100  3   LO 26.462  0.662 11.707 0.120   0.978 -0.184 1.119 0.862    0.953  0.122  -0.184  True  True              -
30 0.100  3 CTRL 26.580  0.738 11.220 0.134   1.006 -0.202 1.157 0.882    0.979  0.137  -0.202  True False             DD
30 0.200  6   HI 23.466  0.587 11.807 0.084   0.879 -0.159 1.033 0.749    0.855  0.085  -0.159  True False    H2,OOS,CAGR
30 0.200  6   LO 23.466  0.587 11.770 0.110   0.974 -0.169 1.148 0.829    0.918  0.108  -0.169  True False             H2
30 0.200  6 CTRL 23.677  0.740 11.626 0.132   0.969 -0.209 1.102 0.861    0.948  0.136  -0.209  True False             DD
30 0.300  9   HI 20.486  0.512 11.513 0.070   0.864 -0.140 1.006 0.742    0.845  0.071  -0.140  True False    H2,OOS,CAGR
30 0.300  9   LO 20.486  0.512 11.404 0.100   0.969 -0.155 1.175 0.797    0.894  0.096  -0.155  True False        H2,CAGR
30 0.300  9 CTRL 20.758  0.741 12.130 0.138   0.971 -0.211 1.115 0.855    0.934  0.139  -0.211  True False             DD
30 0.500 15   HI 14.573  0.364 10.436 0.043   0.785 -0.095 0.866 0.718    0.803  0.045  -0.095  True False H1,H2,OOS,CAGR
30 0.500 15   LO 14.573  0.364  9.686 0.077   0.957 -0.113 1.179 0.778    0.871  0.074  -0.113  True False    H2,OOS,CAGR
30 0.500 15 CTRL 14.888  0.744 13.227 0.154   0.994 -0.212 1.176 0.853    0.930  0.153  -0.212  True False             DD

--- universe_broad.json (136, PRIMARY) | gross convention LITERAL | 25 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b          fails
10 0.000  0   HI  9.966  0.747 14.598 0.162   0.954 -0.225 1.148 0.805    0.882  0.158  -0.225 False False      H2,OOS,DD
10 0.100  1   HI  8.966  0.672 15.580 0.138   0.929 -0.198 1.091 0.806    0.891  0.142  -0.198  True False             H2
10 0.100  1   LO  8.966  0.672 15.315 0.145   0.915 -0.210 1.123 0.754    0.831  0.139  -0.210  True False      H2,OOS,DD
10 0.100  1 CTRL  8.976  0.748 14.710 0.158   0.918 -0.231 1.138 0.751    0.810  0.147  -0.231 False False      H2,OOS,DD
10 0.200  2   HI  7.966  0.597 15.490 0.104   0.817 -0.182 1.012 0.668    0.765  0.103  -0.182  True False    H2,OOS,CAGR
10 0.200  2   LO  7.966  0.597 14.845 0.135   0.913 -0.211 1.175 0.709    0.793  0.123  -0.211  True False      H2,OOS,DD
10 0.200  2 CTRL  7.984  0.748 15.142 0.163   0.922 -0.240 1.183 0.721    0.778  0.143  -0.240 False False      H2,OOS,DD
10 0.300  3   HI  6.966  0.522 15.111 0.079   0.725 -0.161 0.919 0.575    0.671  0.078  -0.161  True False H1,H2,OOS,CAGR
10 0.300  3   LO  6.966  0.522 14.092 0.124   0.919 -0.193 1.216 0.684    0.774  0.109  -0.193  True False         H2,OOS
10 0.300  3 CTRL  6.991  0.749 15.577 0.158   0.871 -0.241 1.122 0.680    0.746  0.141  -0.241 False False      H2,OOS,DD
10 0.500  5   HI  4.967  0.373 13.226 0.036   0.482 -0.126 0.719 0.294    0.407  0.031  -0.126 False False H1,H2,OOS,CAGR
10 0.500  5   LO  4.967  0.373 12.255 0.097   0.911 -0.141 1.029 0.820    0.856  0.097  -0.141  True False    H2,OOS,CAGR
10 0.500  5 CTRL  4.999  0.750 16.492 0.177   0.891 -0.276 1.171 0.669    0.732  0.148  -0.276 False False      H2,OOS,DD
20 0.000  0   HI 19.782  0.742 12.391 0.118   0.842 -0.211 0.981 0.730    0.815  0.120  -0.211  True False      H2,OOS,DD
20 0.100  2   HI 17.782  0.667 13.358 0.093   0.773 -0.185 0.934 0.643    0.733  0.093  -0.185  True False H1,H2,OOS,CAGR
20 0.100  2   LO 17.782  0.667 13.161 0.104   0.788 -0.194 0.917 0.685    0.765  0.106  -0.194  True False H1,H2,OOS,CAGR
20 0.100  2 CTRL 17.829  0.743 12.718 0.122   0.846 -0.212 0.992 0.731    0.814  0.124  -0.212 False False      H2,OOS,DD
20 0.200  4   HI 15.783  0.592 13.343 0.071   0.680 -0.168 0.787 0.595    0.689  0.076  -0.168  True False H1,H2,OOS,CAGR
20 0.200  4   LO 15.783  0.592 12.850 0.094   0.771 -0.183 0.945 0.630    0.721  0.092  -0.183  True False H1,H2,OOS,CAGR
20 0.200  4 CTRL 15.869  0.744 13.039 0.130   0.869 -0.213 1.040 0.737    0.813  0.128  -0.213 False False      H2,OOS,DD
20 0.300  6   HI 13.786  0.517 13.050 0.053   0.601 -0.156 0.760 0.470    0.568  0.052  -0.156 False False H1,H2,OOS,CAGR
20 0.300  6   LO 13.786  0.517 12.364 0.087   0.777 -0.158 0.967 0.625    0.719  0.085  -0.158  True False    H2,OOS,CAGR
20 0.300  6 CTRL 13.907  0.745 13.417 0.139   0.895 -0.215 1.074 0.756    0.833  0.136  -0.215 False False      H2,OOS,DD
20 0.500 10   HI  9.816  0.368 11.587 0.026   0.439 -0.112 0.493 0.397    0.475  0.030  -0.112 False False H1,H2,OOS,CAGR
20 0.500 10   LO  9.816  0.368 10.399 0.069   0.784 -0.129 0.983 0.622    0.700  0.065  -0.129  True False    H2,OOS,CAGR
20 0.500 10 CTRL  9.966  0.747 14.598 0.162   0.954 -0.225 1.148 0.805    0.882  0.158  -0.225 False False      H2,OOS,DD
30 0.000  0   HI 29.462  0.737 10.887 0.112   0.878 -0.203 1.023 0.759    0.856  0.114  -0.203  True False      H2,OOS,DD
30 0.100  3   HI 26.462  0.662 11.691 0.088   0.803 -0.180 0.943 0.686    0.790  0.090  -0.180  True False H1,H2,OOS,CAGR
30 0.100  3   LO 26.462  0.662 11.707 0.100   0.836 -0.186 0.964 0.729    0.820  0.103  -0.186  True False    H2,OOS,CAGR
30 0.100  3 CTRL 26.580  0.738 11.220 0.115   0.881 -0.204 1.021 0.766    0.862  0.118  -0.204  True False      H2,OOS,DD
30 0.200  6   HI 23.466  0.587 11.807 0.065   0.696 -0.161 0.835 0.578    0.684  0.066  -0.161  True False H1,H2,OOS,CAGR
30 0.200  6   LO 23.466  0.587 11.770 0.091   0.819 -0.170 0.983 0.682    0.770  0.089  -0.170  True False    H2,OOS,CAGR
30 0.200  6 CTRL 23.677  0.740 11.626 0.113   0.843 -0.211 0.965 0.743    0.830  0.117  -0.211  True False      H2,OOS,DD
30 0.300  9   HI 20.486  0.512 11.513 0.052   0.653 -0.142 0.779 0.544    0.646  0.053  -0.142  True False H1,H2,OOS,CAGR
30 0.300  9   LO 20.486  0.512 11.404 0.081   0.804 -0.156 1.001 0.640    0.737  0.077  -0.156  True False    H2,OOS,CAGR
30 0.300  9 CTRL 20.758  0.741 12.130 0.117   0.844 -0.212 0.979 0.735    0.813  0.118  -0.212  True False      H2,OOS,DD
30 0.500 15   HI 14.573  0.364 10.436 0.027   0.501 -0.105 0.556 0.455    0.535  0.030  -0.105 False False H1,H2,OOS,CAGR
30 0.500 15   LO 14.573  0.364  9.686 0.062   0.778 -0.118 0.986 0.610    0.702  0.059  -0.118  True False    H2,OOS,CAGR
30 0.500 15 CTRL 14.888  0.744 13.227 0.132   0.867 -0.213 1.040 0.733    0.808  0.129  -0.213 False False      H2,OOS,DD

--- universe_broad.json (136, PRIMARY) | HI minus CTRL (MATCHED gross, 10 bps) — 'does the vol screen beat simply holding K-D names?' ---
 K       d  D  dS_HI_CTRL  dC_HI_CTRL  dS_LO_CTRL  dC_LO_CTRL  dS_HI_LO  dC_HI_LO
10 +0.1000  1     +0.0480     +0.0012     +0.0129     +0.0071   +0.0351   -0.0058
10 +0.2000  2     -0.0451     -0.0262     +0.0048     +0.0087   -0.0499   -0.0349
10 +0.3000  3     -0.0676     -0.0379     +0.0760     +0.0253   -0.1436   -0.0633
10 +0.5000  5     -0.2710     -0.0960     +0.0485     +0.0252   -0.3195   -0.1211
20 +0.1000  2     -0.0337     -0.0142     -0.0587     -0.0067   +0.0250   -0.0075
20 +0.2000  4     -0.1390     -0.0391     -0.0931     -0.0108   -0.0459   -0.0283
20 +0.3000  6     -0.2101     -0.0590     -0.1496     -0.0184   -0.0606   -0.0406
20 +0.5000 10     -0.3723     -0.1028     -0.0994     -0.0112   -0.2729   -0.0916
30 +0.1000  3     -0.0488     -0.0161     -0.0401     -0.0019   -0.0087   -0.0142
30 +0.2000  6     -0.0872     -0.0281     -0.0708     -0.0020   -0.0164   -0.0261
30 +0.3000  9     -0.1018     -0.0376     -0.0018     +0.0068   -0.1000   -0.0444
30 +0.5000 15     -0.1938     -0.0684     -0.0029     +0.0070   -0.1908   -0.0754
HI beats CTRL on Sharpe in 1/12 cells (mean -0.1269); LO beats CTRL in 4/12 (mean -0.0312); HI beats LO in 2/12 (mean -0.0957).

--- universe_broad.json (136, PRIMARY) | WALK-FORWARD (rule 8): params chosen on IS <= 2016-12-31 inside arm HI, MATCHED gross, 10 bps; evaluated on OOS >= 2017-01-01 ---
 K     d  D  isSharpe  isCAGR  isMaxDD
10 0.000  0     1.204   0.192   -0.174
10 0.100  1     1.161   0.179   -0.174
10 0.200  2     1.092   0.163   -0.166
10 0.300  3     1.024   0.149   -0.178
30 0.000  0     1.023   0.127   -0.135
20 0.000  0     1.001   0.134   -0.160
20 0.100  2     0.971   0.125   -0.155
30 0.100  3     0.953   0.112   -0.130
30 0.200  6     0.881   0.100   -0.128
30 0.300  9     0.864   0.095   -0.128
10 0.500  5     0.863   0.119   -0.221
20 0.300  6     0.848   0.101   -0.136
20 0.200  4     0.827   0.101   -0.161
30 0.500 15     0.766   0.078   -0.125
20 0.500 10     0.658   0.072   -0.136
IS pick (argmax IS Sharpe; ties -> larger K then smaller d): K=10 d=0.0 D=0  | IS Sharpe spread over the 15-point grid = 0.546
                        CAGR  Sharpe  MaxDD
what                                       
idea21 HI K=10 d=0.0   0.183   0.996 -0.214
idea21 LO K=10 d=0.0   0.183   0.996 -0.214
idea21 CTRL K=10 d=0.0 0.183   0.996 -0.214
RULES v1 baseline      0.060   0.581 -0.212
SPY                    0.155   0.884 -0.337

--- universe_broad.json (136, PRIMARY) | ROBUSTNESS: ranker = v1 composite (no vol scaler) instead of raw 12-1 momentum, MATCHED gross, 10 bps ---
 K     d  D  arm  CAGR  Sharpe  MaxDD    H1    H2   p4a   p4b             fails
10 0.000  0   HI 0.143   0.895 -0.214 1.118 0.711 False False         H2,OOS,DD
10 0.100  1   HI 0.138   0.890 -0.209 1.202 0.632  True False         H2,OOS,DD
10 0.100  1   LO 0.148   0.891 -0.227 1.117 0.706 False False         H2,OOS,DD
