panel,subwin,arm,mean_gross_frac,min_gross_frac
B136,Y2014,CAND20,1.0003823204654145,0.9877747112109033
B136,Y2014,EWELIG,1.0003008101670046,0.9944277720627159
B136,Y2014,CAND20_NG,1.0003831875289972,0.9869191903802665
B136,Y2014,EWALL,1.000300407736025,0.9947956140242167
B136,Y2014,BAND03,0.8127681473459368,0.5419847328244275
B136,Y2015,CAND20,1.000117748139833,0.9884189233066462
B136,Y2015,EWELIG,1.0000455369655923,0.9872832391418364
B136,Y2015,CAND20_NG,1.0001121827854234,0.9882760978680115
B136,Y2015,EWALL,1.0000310043017528,0.9874230816690274
B136,Y2015,BAND03,0.6259553367603062,0.25190839694656486
B136,Y2016,CAND20,1.0004308674428763,0.986292373500547
B136,Y2016,EWELIG,1.0003680151850762,0.9863771153791565
B136,Y2016,CAND20_NG,1.0005065285681862,0.986292373500547
B136,Y2016,EWALL,1.0003269730731557,0.9876162182871752
B136,Y2016,BAND03,0.6945949281390297,0.28030303030303033
SMALL,ISH1_HALF,CAND20,1.0002172108626926,0.9764513382135266
SMALL,ISH1_HALF,EWELIG,0.9999887299928661,0.9833286910752252
SMALL,ISH1_HALF,CAND20_NG,1.0003680377910313,0.9748642106681639
SMALL,ISH1_HALF,EWALL,1.0001672808290818,0.9781958360970728
SMALL,ISH1_HALF,BAND03,0.6421087895313716,0.16455696202531647
SMALL,ISH2_HALF,CAND20,1.0001667113094193,0.9812307360253055
SMALL,ISH2_HALF,EWELIG,1.0001098772068435,0.9903249653944294
SMALL,ISH2_HALF,CAND20_NG,1.0000668531169283,0.976659600590778
SMALL,ISH2_HALF,EWALL,1.000041692127767,0.9862556636437283
SMALL,ISH2_HALF,BAND03,0.5625654904679277,0.2222222222222222
SMALL,CAL0912,CAND20,0.9999279503569566,0.9764513382135266
SMALL,CAL0912,EWELIG,0.9997860252018668,0.9833286910752252
SMALL,CAL0912,CAND20_NG,1.0000927901513257,0.9748642106681639
SMALL,CAL0912,EWALL,1.0000426325005505,0.9781958360970728
SMALL,CAL0912,BAND03,0.5738384545157981,0.16455696202531647
SMALL,CAL1112,CAND20,0.9999279503569566,0.9764513382135266
SMALL,CAL1112,EWELIG,0.9997860252018668,0.9833286910752252
SMALL,CAL1112,CAND20_NG,1.0000927901513257,0.9748642106681639
SMALL,CAL1112,EWALL,1.0000426325005505,0.9781958360970728
SMALL,CAL1112,BAND03,0.5738384545157981,0.16455696202531647
SMALL,CAL1316,CAND20,1.0003213472965469,0.9812307360253055
SMALL,CAL1316,EWELIG,1.00017833090998,0.9903249653944294
SMALL,CAL1316,CAND20_NG,1.0002785364455582,0.976659600590778
SMALL,CAL1316,EWALL,1.0001347998366283,0.9862556636437283
SMALL,CAL1316,BAND03,0.6163037576871723,0.2222222222222222
SMALL,Y2011,CAND20,0.9996171311099062,0.9764513382135266
SMALL,Y2011,EWELIG,0.9994986794477622,0.9833286910752252
SMALL,Y2011,CAND20_NG,0.9998125631782543,0.9748642106681639
SMALL,Y2011,EWALL,0.9998401771259077,0.9781958360970728
SMALL,Y2011,BAND03,0.5241676724743183,0.16455696202531647
SMALL,Y2012,CAND20,1.0002313099420779,0.9865742965086232
SMALL,Y2012,EWELIG,1.000066474657873,0.9917261183130486
SMALL,Y2012,CAND20_NG,1.0003662916770433,0.9882551131106011
SMALL,Y2012,EWALL,1.000240228946202,0.9908231450343298
SMALL,Y2012,BAND03,0.6223171377882822,0.40954773869346733
SMALL,Y2013,CAND20,1.0007827868483965,0.9833389947731725
SMALL,Y2013,EWELIG,1.0003965914963373,0.9915247966484414
SMALL,Y2013,CAND20_NG,1.0009219174998834,0.9826922512825376
SMALL,Y2013,EWALL,1.0004190333130276,0.9917872256449355
SMALL,Y2013,BAND03,0.7732672860871995,0.5851700873423252
SMALL,Y2014,CAND20,1.0000752052459554,0.9846997728320405
SMALL,Y2014,EWELIG,1.0001035872804873,0.992894355775646
SMALL,Y2014,CAND20_NG,0.9999325685960252,0.976659600590778
SMALL,Y2014,EWALL,1.0000531284642347,0.9921568703299735
SMALL,Y2014,BAND03,0.5896213616950531,0.36765498569322896
SMALL,Y2015,CAND20,1.0002642568114635,0.9812307360253055
SMALL,Y2015,EWELIG,0.9999258765190241,0.991181081635354
SMALL,Y2015,CAND20_NG,1.0000862323298862,0.9789608616711561
SMALL,Y2015,EWALL,0.9997811118974642,0.9897619368237724
SMALL,Y2015,BAND03,0.5166421808190699,0.3133047210300429
SMALL,Y2016,CAND20,1.000163140280373,0.9865648676318601
SMALL,Y2016,EWELIG,1.0002872683440718,0.9903249653944294
SMALL,Y2016,CAND20_NG,1.0001734273564382,0.9870208991211394
SMALL,Y2016,EWALL,1.0002859256717878,0.9862556636437283
