panel,q,k,draw,Ebar,Emed,breadth,Ebar_IS,breadth_IS,selectivity20,prov,C_Ebar,C_Emed,C_Emax,C_Esd,C_cover,I_breadth,I_bmed,I_bmax,I_bsd,I_cover,X_select,R_rand,n_is_days
MIX q=1.00 k=80 d0,1.0,80.0,0,28.363855421686747,29.0,0.3545481927710843,28.40923076923077,0.3551153846153846,0.7051227593237618,laneB,28.40923076923077,31.0,46.0,10.50023108324381,67.0,0.3551153846153846,0.3875,0.575,0.13125288854054762,0.8375,0.7039965341709087,0.5006112068926208,325
MIX q=1.00 k=80 d1,1.0,80.0,1,27.76144578313253,29.0,0.34701807228915665,27.71076923076923,0.3463846153846154,0.720423574342505,laneB,27.71076923076923,30.0,45.0,9.647300573584044,61.0,0.3463846153846154,0.375,0.5625,0.12059125716980054,0.7625,0.7217410615145459,0.2109961231426366,325
MIX q=1.00 k=80 d2,1.0,80.0,2,26.27590361445783,27.0,0.32844879518072284,24.532307692307693,0.3066538461538461,0.7611536521619515,laneB,24.532307692307693,26.0,38.0,7.528733184395855,53.0,0.30665384615384617,0.325,0.475,0.09410916480494819,0.6625,0.8152514737238179,0.5177620722296431,325
MIX q=1.00 k=80 d3,1.0,80.0,3,24.97469879518072,26.0,0.31218373493975904,22.523076923076925,0.2815384615384615,0.8008104587775581,new,22.523076923076925,23.0,38.0,8.394787647053754,55.0,0.28153846153846157,0.2875,0.475,0.10493484558817193,0.6875,0.8879781420765027,0.17121861492308144,325
MIX q=1.00 k=80 d4,1.0,80.0,4,25.920481927710842,27.0,0.32400602409638557,24.852307692307694,0.31065384615384617,0.7715905921725389,new,24.852307692307694,26.0,41.0,9.010438180317845,57.0,0.31065384615384617,0.325,0.5125,0.11263047725397306,0.7125,0.8047542404358053,0.20255684959988418,325
MIX q=1.00 k=80 d5,1.0,80.0,5,24.250602409638553,25.0,0.3031325301204819,22.224615384615383,0.2778076923076923,0.8247217806041336,new,22.224615384615383,22.0,38.0,8.750414994907151,47.0,0.2778076923076923,0.275,0.475,0.1093801874363394,0.5875,0.8999030873598228,0.5234043849122713,325
MIX q=1.00 k=80 d6,1.0,80.0,6,25.942168674698795,27.0,0.3242771084337349,24.28923076923077,0.3036153846153846,0.7709455693851013,new,24.28923076923077,25.0,40.0,8.826659307456843,54.0,0.3036153846153846,0.3125,0.5,0.11033324134321054,0.675,0.8234101849505954,0.49369465434686544,325
MIX q=1.00 k=80 d7,1.0,80.0,7,26.4710843373494,27.5,0.33088855421686747,23.12923076923077,0.2891153846153846,0.7555413954758545,new,23.12923076923077,24.0,37.0,8.072314427035586,56.0,0.2891153846153846,0.3,0.4625,0.10090393033794483,0.7,0.8647066648929094,0.8401257299744078,325
MIX q=1.00 k=100 d0,1.0,100.0,0,33.92409638554217,35.0,0.3392409638554217,33.59076923076923,0.3359076923076923,0.5895514436907341,laneB,33.59076923076923,36.0,51.0,10.390607746649343,70.0,0.33590769230769235,0.36,0.51,0.10390607746649343,0.7,0.5954016671246679,0.9693535655668566,325
MIX q=1.00 k=100 d1,1.0,100.0,1,32.39518072289157,33.0,0.32395180722891564,29.24923076923077,0.2924923076923077,0.6173757810175543,laneB,29.24923076923077,30.0,45.0,9.166971763894443,63.0,0.2924923076923077,0.3,0.45,0.09166971763894444,0.63,0.6837786661056174,0.9561562968016764,325
MIX q=1.00 k=100 d2,1.0,100.0,2,34.973493975903615,36.0,0.34973493975903613,34.54461538461538,0.3454461538461539,0.571861650819898,laneB,34.54461538461538,35.0,53.0,11.241815002854501,74.0,0.34544615384615385,0.35,0.53,0.11241815002854501,0.74,0.5789614322615124,0.5685055176049639,325
MIX q=1.00 k=100 d3,1.0,100.0,3,32.89518072289157,35.0,0.32895180722891565,32.99384615384616,0.32993846153846157,0.6079917957733583,new,32.99384615384616,34.0,51.0,11.357815019328998,70.0,0.32993846153846157,0.34,0.51,0.11357815019328997,0.7,0.6061736454350461,0.2998181020445999,325
MIX q=1.00 k=100 d4,1.0,100.0,4,34.81325301204819,36.0,0.348132530120482,35.683076923076925,0.35683076923076923,0.574493857068697,new,35.683076923076925,38.0,56.0,12.21140391458133,71.0,0.35683076923076923,0.38,0.56,0.1221140391458133,0.71,0.560489781840131,0.7409373684187024,325
MIX q=1.00 k=100 d5,1.0,100.0,5,32.96746987951807,34.0,0.32967469879518074,30.89846153846154,0.3089846153846154,0.6066586266125791,new,30.89846153846154,33.0,54.0,11.129103381237654,72.0,0.3089846153846154,0.33,0.54,0.11129103381237654,0.72,0.6472814180442142,0.70209356519324,325
MIX q=1.00 k=100 d6,1.0,100.0,6,30.13855421686747,30.0,0.3013855421686747,27.744615384615386,0.27744615384615384,0.663601838896662,new,27.744615384615386,27.0,46.0,10.249631591832024,61.0,0.27744615384615384,0.27,0.46,0.10249631591832024,0.61,0.7208605966507707,0.28162573993444695,325
MIX q=1.00 k=100 d7,1.0,100.0,7,32.94939759036144,34.0,0.32949397590361446,30.307692307692307,0.3030769230769231,0.6069913704841305,new,30.307692307692307,32.0,51.0,11.152040001781266,68.0,0.3030769230769231,0.32,0.51,0.11152040001781266,0.68,0.6598984771573604,0.31374957471846787,325
MIX q=1.00 k=200 d0,1.0,200.0,0,64.37710843373495,68.0,0.3218855421686747,61.70153846153846,0.30850769230769237,0.3106694364905582,idea685,61.70153846153846,65.0,93.0,20.433575706281793,136.0,0.3085076923076923,0.325,0.465,0.10216787853140896,0.68,0.32414102628035707,0.6976919679995884,325
MIX q=1.00 k=200 d1,1.0,200.0,1,60.65542168674699,63.0,0.3032771084337349,54.206153846153846,0.27103076923076924,0.32973144764023515,idea685,54.206153846153846,57.0,83.0,17.820537785139006,128.0,0.27103076923076924,0.285,0.415,0.08910268892569503,0.64,0.3689617982630414,0.8884880824339716,325
MIX q=1.00 k=200 d2,1.0,200.0,2,66.67710843373494,69.0,0.33338554216867466,65.05538461538461,0.3252769230769231,0.29995301940659896,idea685,65.05538461538461,67.0,103.0,21.58109906045496,143.0,0.3252769230769231,0.335,0.515,0.1079054953022748,0.715,0.3074303552003027,0.02901938024111661,325
MIX q=1.00 k=200 d3,1.0,200.0,3,68.02289156626506,70.0,0.34011445783132527,65.67076923076922,0.3283538461538461,0.2940186684142475,new,65.67076923076922,68.0,104.0,21.833246558188623,143.0,0.3283538461538461,0.34,0.52,0.10916623279094312,0.715,0.30454950100735606,0.2685135235497689,325
MIX q=1.00 k=200 d4,1.0,200.0,4,66.06265060240963,69.0,0.33031325301204817,62.77230769230769,0.31386153846153847,0.3027429238400934,new,62.77230769230769,66.0,99.0,22.094993481376505,142.0,0.31386153846153847,0.33,0.495,0.11047496740688252,0.71,0.3186118327532964,0.9905265919316574,325
MIX q=1.00 k=200 d5,1.0,200.0,5,63.651807228915665,65.0,0.3182590361445783,58.78769230769231,0.29393846153846154,0.314209460354716,new,58.78769230769231,62.0,99.0,20.135371399269363,135.0,0.29393846153846154,0.31,0.495,0.10067685699634682,0.675,0.34020726473359153,0.21607121377878635,325
MIX q=1.00 k=200 d6,1.0,200.0,6,64.28795180722892,67.0,0.3214397590361445,61.261538461538464,0.30630769230769234,0.3111002829888116,new,61.261538461538464,64.0,96.0,20.34204194434121,137.0,0.30630769230769234,0.32,0.48,0.10171020972170605,0.685,0.3264691109994977,0.33802116251040404,325
MIX q=1.00 k=200 d7,1.0,200.0,7,65.10120481927711,68.0,0.32550602409638557,60.08615384615385,0.3004307692307692,0.3072139763852389,new,60.08615384615385,63.0,95.0,21.542205752428465,131.0,0.3004307692307692,0.315,0.475,0.10771102876214232,0.655,0.3328553871364195,0.10480368786419791,325
MIX q=1.00 k=400 d0,1.0,400.0,0,127.72409638554217,133.0,0.31931024096385546,121.40615384615384,0.30351538461538463,0.1565875239361953,idea685,121.40615384615384,127.0,183.0,40.03819116964142,270.0,0.30351538461538463,0.3175,0.4575,0.10009547792410356,0.675,0.164736295207441,0.8569910522790438,325
MIX q=1.00 k=400 d1,1.0,400.0,1,128.62048192771084,134.0,0.32155120481927707,121.43692307692308,0.3035923076923077,0.1554962296847923,idea685,121.43692307692308,126.0,187.0,40.65102753788691,270.0,0.3035923076923077,0.315,0.4675,0.10162756884471728,0.675,0.16469455494463728,0.6471735733387182,325
MIX q=1.00 k=400 d2,1.0,400.0,2,128.38192771084337,135.0,0.3209548192771084,121.1723076923077,0.3029307692307692,0.15578516662443576,idea685,121.1723076923077,127.0,183.0,40.50081354042037,269.0,0.3029307692307692,0.3175,0.4575,0.10125203385105092,0.6725,0.1650542139610472,0.197604634717775,325
MIX q=1.00 k=400 d3,1.0,400.0,3,126.60120481927711,132.0,0.31650301204819276,120.19076923076923,0.3004769230769231,0.1579763796762436,new,120.19076923076923,126.0,183.0,39.99784609585487,269.0,0.3004769230769231,0.315,0.4575,0.09999461523963717,0.6725,0.16640212994726333,0.7878433052518367,325
MIX q=1.00 k=400 d4,1.0,400.0,4,128.76626506024095,135.0,0.32191566265060234,121.30461538461539,0.30326153846153847,0.15532018413862794,new,121.30461538461539,126.0,183.0,39.737908444221965,267.0,0.30326153846153847,0.315,0.4575,0.09934477111055491,0.6675,0.16487418831168832,0.5311616742215839,325
MIX q=1.00 k=400 d5,1.0,400.0,5,128.49277108433736,134.0,0.32123192771084336,122.22461538461539,0.3055615384615385,0.15565077966038124,new,122.22461538461539,128.0,185.0,40.88793035851593,269.0,0.3055615384615385,0.32,0.4625,0.10221982589628982,0.6725,0.16363315963044078,0.40932985310110637,325
MIX q=1.00 k=400 d6,1.0,400.0,6,131.63855421686748,138.5,0.3290963855421687,126.43076923076923,0.31607692307692303,0.1519311733479773,new,126.43076923076923,133.0,188.0,41.51162607890831,275.0,0.3160769230769231,0.3325,0.47,0.10377906519727077,0.6875,0.15818934047213434,0.3200359840892819,325
MIX q=1.00 k=400 d7,1.0,400.0,7,128.9120481927711,136.0,0.32228012048192767,121.92307692307692,0.30480769230769234,0.15514453676271295,new,121.92307692307692,128.0,188.0,41.262673957322036,272.0,0.3048076923076923,0.32,0.47,0.1031566848933051,0.68,0.1640378548895899,0.31412978981606055,325
