panel,anchor,cost_bps,chooser,pick_H,anchor_H,reach_anchor,pick_is_FAST,pick_OOS_S,anchor_OOS_S,delta_vs_anchor,ladder_mean_OOS_S,best_OOS_S,worst_OOS_S,spy_OOS_S,pick_OOS_CAGR,pick_OOS_DD,anchor_OOS_CAGR,anchor_OOS_DD,spy_OOS_CAGR,spy_OOS_DD,rank_IS_OOS,keep4b,fail4b,keep4a,fail4a
U56,A,50.0,C_ISCAGR,189,126,0,0,0.9903982695664051,1.0854938944272363,-0.09509562486083123,0.9882355399299261,1.1366129679889785,0.8528735329612611,0.8747033226162612,0.1481856798636214,-0.22263050997110945,0.15658409434335852,-0.19351324617376342,0.1527838188994346,-0.3371726770846233,0.8,False,L_DD,False,"A_H2,A_DD"
U56,A,50.0,C_ISDD,21,126,0,1,0.9362197556275919,1.0854938944272363,-0.14927413879964446,0.9882355399299261,1.1366129679889785,0.8528735329612611,0.8747033226162612,0.12585223790586153,-0.20492534019713327,0.15658409434335852,-0.19351324617376342,0.1527838188994346,-0.3371726770846233,0.8,False,L_DD,False,"A_H1,A_H2,A_DD"
U56,A,100.0,C_ISSHARPE,189,126,0,0,0.9121968723912096,0.9807600551314326,-0.068563182740223,0.8095778978076984,1.0612356685236122,0.4604046535045525,0.8747033226162612,0.13476572700428546,-0.22324922492294352,0.13950368269421176,-0.19659125813239808,0.1527838188994346,-0.3371726770846233,0.9166666666666667,False,L_DD,False,"A_H2,A_DD"
U56,A,100.0,C_ISCAGR,189,126,0,0,0.9121968723912096,0.9807600551314326,-0.068563182740223,0.8095778978076984,1.0612356685236122,0.4604046535045525,0.8747033226162612,0.13476572700428546,-0.22324922492294352,0.13950368269421176,-0.19659125813239808,0.1527838188994346,-0.3371726770846233,0.9166666666666667,False,L_DD,False,"A_H2,A_DD"
U56,A,100.0,C_ISDD,189,126,0,0,0.9121968723912096,0.9807600551314326,-0.068563182740223,0.8095778978076984,1.0612356685236122,0.4604046535045525,0.8747033226162612,0.13476572700428546,-0.22324922492294352,0.13950368269421176,-0.19659125813239808,0.1527838188994346,-0.3371726770846233,0.9166666666666667,False,L_DD,False,"A_H2,A_DD"
U56,B,0.0,C_ISSHARPE,189,63,0,0,0.8797588887384472,1.0446250500747918,-0.16486616133634457,1.0847624166245824,1.2633798971089447,0.8797588887384472,0.8747033226162612,0.10360505875131376,-0.1986913602981818,0.12167004693796635,-0.19250428498744976,0.1527838188994346,-0.3371726770846233,-0.6302521008403363,False,L_H2,False,"A_H2,A_DD"
U56,B,0.0,C_ISCAGR,189,63,0,0,0.8797588887384472,1.0446250500747918,-0.16486616133634457,1.0847624166245824,1.2633798971089447,0.8797588887384472,0.8747033226162612,0.10360505875131376,-0.1986913602981818,0.12167004693796635,-0.19250428498744976,0.1527838188994346,-0.3371726770846233,-0.6302521008403363,False,L_H2,False,"A_H2,A_DD"
U56,B,0.0,C_ISDD,5,63,0,0,1.2633798971089447,1.0446250500747918,0.21875484703415293,1.0847624166245824,1.2633798971089447,0.8797588887384472,0.8747033226162612,0.14260535954226627,-0.16781372624210955,0.12167004693796635,-0.19250428498744976,0.1527838188994346,-0.3371726770846233,-0.6302521008403363,True,-,False,"A_H1,A_DD"
U56,B,10.0,C_ISSHARPE,189,63,0,0,0.8677921130534038,1.0222691173123764,-0.1544770042589726,1.061279655257418,1.223483720996983,0.8677921130534038,0.8747033226162612,0.10200107376052858,-0.2001629306880196,0.1187423494236457,-0.1926002722543556,0.1527838188994346,-0.3371726770846233,-0.6470588235294119,False,"L_H2,L_OOS",False,"A_H2,A_DD"
U56,B,10.0,C_ISCAGR,189,63,0,0,0.8677921130534038,1.0222691173123764,-0.1544770042589726,1.061279655257418,1.223483720996983,0.8677921130534038,0.8747033226162612,0.10200107376052858,-0.2001629306880196,0.1187423494236457,-0.1926002722543556,0.1527838188994346,-0.3371726770846233,-0.6470588235294119,False,"L_H2,L_OOS",False,"A_H2,A_DD"
U56,B,10.0,C_ISDD,5,63,0,0,1.223483720996983,1.0222691173123764,0.20121460368460675,1.061279655257418,1.223483720996983,0.8677921130534038,0.8747033226162612,0.1375383391693774,-0.1682005261377869,0.1187423494236457,-0.1926002722543556,0.1527838188994346,-0.3371726770846233,-0.6470588235294119,True,-,False,"A_H1,A_DD"
U56,B,25.0,C_ISSHARPE,189,63,0,0,0.8497705312197668,0.9885726551677105,-0.13880212394794378,1.0258713528243681,1.1632639021843758,0.8497705312197668,0.8747033226162612,0.09959825865198013,-0.2023661678806249,0.11436272251522173,-0.1927442531547141,0.1527838188994346,-0.3371726770846233,-0.5462184873949582,False,"L_H2,L_OOS,L_DD",False,"A_H2,A_DD"
U56,B,25.0,C_ISCAGR,189,63,0,0,0.8497705312197668,0.9885726551677105,-0.13880212394794378,1.0258713528243681,1.1632639021843758,0.8497705312197668,0.8747033226162612,0.09959825865198013,-0.2023661678806249,0.11436272251522173,-0.1927442531547141,0.1527838188994346,-0.3371726770846233,-0.5462184873949582,False,"L_H2,L_OOS,L_DD",False,"A_H2,A_DD"
U56,B,25.0,C_ISDD,5,63,0,0,1.1632639021843758,0.9885726551677105,0.17469124701666527,1.0258713528243681,1.1632639021843758,0.8497705312197668,0.8747033226162612,0.12997592758912657,-0.16878072598130256,0.11436272251522173,-0.1927442531547141,0.1527838188994346,-0.3371726770846233,-0.5462184873949582,True,-,False,"A_H1,A_H2,A_DD"
U56,B,50.0,C_ISSHARPE,189,63,0,0,0.8195559675546046,0.9320250418444017,-0.11246907428979713,0.9664283787434348,1.0620439341081926,0.8195559675546046,0.8747033226162612,0.09560198913190998,-0.2060272694283687,0.10709503483674454,-0.1929842213219788,0.1527838188994346,-0.3371726770846233,-0.49579831932773116,False,"L_H2,L_OOS,L_DD,L_CAGR",False,"A_H2,A_DD"
U56,B,50.0,C_ISCAGR,189,63,0,0,0.8195559675546046,0.9320250418444017,-0.11246907428979713,0.9664283787434348,1.0620439341081926,0.8195559675546046,0.8747033226162612,0.09560198913190998,-0.2060272694283687,0.10709503483674454,-0.1929842213219788,0.1527838188994346,-0.3371726770846233,-0.49579831932773116,False,"L_H2,L_OOS,L_DD,L_CAGR",False,"A_H2,A_DD"
U56,B,50.0,C_ISDD,5,63,0,0,1.0620439341081926,0.9320250418444017,0.13001889226379093,0.9664283787434348,1.0620439341081926,0.8195559675546046,0.8747033226162612,0.11747294842248301,-0.16974772572049468,0.10709503483674454,-0.1929842213219788,0.1527838188994346,-0.3371726770846233,-0.49579831932773116,False,"L_H1,L_CAGR",False,"A_H1,A_H2,A_DD"
U56,B,100.0,C_ISSHARPE,189,63,0,0,0.758538930595697,0.8178009230974834,-0.05926199250178643,0.8463617444656335,0.9790737247028072,0.758538930595697,0.8747033226162612,0.08764096183103787,-0.21791159915858127,0.09267786350067397,-0.19346415765650804,0.1527838188994346,-0.3371726770846233,-0.10924369747899161,False,"L_H2,L_OOS,L_DD,L_CAGR",False,"A_H2,A_DD"
U56,B,100.0,C_ISCAGR,189,63,0,0,0.758538930595697,0.8178009230974834,-0.05926199250178643,0.8463617444656335,0.9790737247028072,0.758538930595697,0.8747033226162612,0.08764096183103787,-0.21791159915858127,0.09267786350067397,-0.19346415765650804,0.1527838188994346,-0.3371726770846233,-0.10924369747899161,False,"L_H2,L_OOS,L_DD,L_CAGR",False,"A_H2,A_DD"
U56,B,100.0,C_ISDD,90,63,0,0,0.7666305983077528,0.8178009230974834,-0.051170324789730603,0.8463617444656335,0.9790737247028072,0.758538930595697,0.8747033226162612,0.0886129179276085,-0.21820244332902328,0.09267786350067397,-0.19346415765650804,0.1527838188994346,-0.3371726770846233,-0.10924369747899161,False,"L_H2,L_OOS,L_DD,L_CAGR",False,"A_H2,A_DD"
B135,A,0.0,C_ISSHARPE,21,126,0,1,1.0471053380071362,1.0318070287949073,0.015298309212228967,1.0017360395674992,1.0616979472852506,0.91094816397449,0.8769078511614361,0.16465276063966616,-0.25614955958680297,0.16422215641898896,-0.2061899124811417,0.15331427255204866,-0.3371595330739301,-0.2,False,L_DD,False,"A_H2,A_DD"
