selector,pick,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,book,family,m,cost,dOOS
S2LF IS-argmax (leak-free),REBASED/NEG,0.7015668393634996,0.11457681787762453,-0.36105521737190327,SMALL439,SMALL,1.0,25.0,0.3999666850271061
RANDOM (same pool),REBASED/POS,0.11546213543287864,0.005769437750718254,-0.44406216988399094,SMALL439,SMALL,1.0,25.0,-0.1861380189035149
C-MOM/POS,MOM/POS,0.5382324003749528,0.0830892767877145,-0.2556795845353369,SMALL439,SMALL,1.0,25.0,0.23663224603855926
C-MOM/NEG,MOM/NEG,-0.3108254300513882,-0.06199456244998902,-0.5977905299892781,SMALL439,SMALL,1.0,25.0,-0.6124255843877817
C-R3/POS,R3/POS,0.3327840442259385,0.04336401405942869,-0.29731470930849946,SMALL439,SMALL,1.0,25.0,0.031183889889544958
C-R3/NEG,R3/NEG,0.12106627087145262,0.006403888698718108,-0.4571770698772125,SMALL439,SMALL,1.0,25.0,-0.18053388346494093
C-REBASED/POS,REBASED/POS,0.11546213543287864,0.005769437750718254,-0.44406216988399094,SMALL439,SMALL,1.0,25.0,-0.1861380189035149
C-REBASED/NEG,REBASED/NEG,0.7015668393634996,0.11457681787762453,-0.36105521737190327,SMALL439,SMALL,1.0,25.0,0.3999666850271061
ORACLE-OOS,REBASED/NEG,0.7015668393634996,0.11457681787762453,-0.36105521737190327,SMALL439,SMALL,1.0,25.0,0.3999666850271061
S0 do-nothing,-,1.17749120356185,0.14486778681551393,-0.18207063572861204,U56,U56,0.2,10.0,0.0
S2LF IS-argmax (leak-free),REBASED/POS,1.1924768246052269,0.1510085887002086,-0.184636253291109,U56,U56,0.2,10.0,0.014985621043376751
RANDOM (same pool),MOM/POS,1.1290066053923982,0.13930530150821507,-0.18808622253200535,U56,U56,0.2,10.0,-0.04848459816945194
C-MOM/POS,MOM/POS,1.1290066053923982,0.13930530150821507,-0.18808622253200535,U56,U56,0.2,10.0,-0.04848459816945194
C-MOM/NEG,MOM/NEG,1.1749635900319988,0.1418874941143573,-0.1802636284543695,U56,U56,0.2,10.0,-0.0025276135298513136
C-R3/POS,R3/POS,1.1299940148049923,0.1372056344672954,-0.18405595345033587,U56,U56,0.2,10.0,-0.04749718875685782
C-R3/NEG,R3/NEG,1.1036501381664408,0.13615902322834827,-0.18961412592281923,U56,U56,0.2,10.0,-0.07384106539540936
C-REBASED/POS,REBASED/POS,1.1924768246052269,0.1510085887002086,-0.184636253291109,U56,U56,0.2,10.0,0.014985621043376751
C-REBASED/NEG,REBASED/NEG,1.172590835698202,0.13942156465095001,-0.1829282047227253,U56,U56,0.2,10.0,-0.004900367863648114
ORACLE-OOS,REBASED/POS,1.1924768246052269,0.1510085887002086,-0.184636253291109,U56,U56,0.2,10.0,0.014985621043376751
S0 do-nothing,-,1.0617574699026993,0.12892455052135476,-0.18334972497388902,U56,U56,0.2,25.0,0.0
S2LF IS-argmax (leak-free),REBASED/POS,1.0817634081700984,0.13527802176988102,-0.18577921910917727,U56,U56,0.2,25.0,0.02000593826739916
RANDOM (same pool),REBASED/NEG,1.048563329786578,0.12295626417476191,-0.18442411446762652,U56,U56,0.2,25.0,-0.0131941401161213
C-MOM/POS,MOM/POS,1.0165950687058372,0.12377796705271371,-0.18949002246115731,U56,U56,0.2,25.0,-0.0451624011968621
C-MOM/NEG,MOM/NEG,1.0480838734564626,0.12476184390161604,-0.1814054731073128,U56,U56,0.2,25.0,-0.013673596446236669
C-R3/POS,R3/POS,1.0035174189888085,0.12003911894155395,-0.18528619953198766,U56,U56,0.2,25.0,-0.05824005091389073
C-R3/NEG,R3/NEG,0.9939850471792145,0.12100293788615013,-0.1911004316529903,U56,U56,0.2,25.0,-0.06777242272348472
C-REBASED/POS,REBASED/POS,1.0817634081700984,0.13527802176988102,-0.18577921910917727,U56,U56,0.2,25.0,0.02000593826739916
C-REBASED/NEG,REBASED/NEG,1.048563329786578,0.12295626417476191,-0.18442411446762652,U56,U56,0.2,25.0,-0.0131941401161213
ORACLE-OOS,REBASED/POS,1.0817634081700984,0.13527802176988102,-0.18577921910917727,U56,U56,0.2,25.0,0.02000593826739916
S0 do-nothing,-,1.17749120356185,0.14486778681551393,-0.18207063572861204,U56,U56,0.5,10.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,1.0937042457671404,0.1348979165530646,-0.1865459482798142,U56,U56,0.5,10.0,-0.08378695779470968
RANDOM (same pool),REBASED/POS,1.1812027454106684,0.1521988005519912,-0.1841712838991112,U56,U56,0.5,10.0,0.0037115418488182783
C-MOM/POS,MOM/POS,1.0937042457671404,0.1348979165530646,-0.1865459482798142,U56,U56,0.5,10.0,-0.08378695779470968
C-MOM/NEG,MOM/NEG,1.1610527354082332,0.13335174542828865,-0.17366544716415688,U56,U56,0.5,10.0,-0.016438468153616936
C-R3/POS,R3/POS,1.1722443708615558,0.13990060218802047,-0.178096643878477,U56,U56,0.5,10.0,-0.005246832700294357
C-R3/NEG,R3/NEG,1.0300978231066977,0.1248414694260418,-0.1930099837497542,U56,U56,0.5,10.0,-0.14739338045515238
C-REBASED/POS,REBASED/POS,1.1812027454106684,0.1521988005519912,-0.1841712838991112,U56,U56,0.5,10.0,0.0037115418488182783
C-REBASED/NEG,REBASED/NEG,1.057486079614884,0.11558760565198334,-0.17350589265259853,U56,U56,0.5,10.0,-0.12000512394696616
ORACLE-OOS,REBASED/POS,1.1812027454106684,0.1521988005519912,-0.1841712838991112,U56,U56,0.5,10.0,0.0037115418488182783
S0 do-nothing,-,1.0617574699026993,0.12892455052135476,-0.18334972497388902,U56,U56,0.5,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,0.9868669360560497,0.12014922332582456,-0.18795701429413603,U56,U56,0.5,25.0,-0.07489053384664957
RANDOM (same pool),MOM/POS,0.9868669360560497,0.12014922332582456,-0.18795701429413603,U56,U56,0.5,25.0,-0.07489053384664957
C-MOM/POS,MOM/POS,0.9868669360560497,0.12014922332582456,-0.18795701429413603,U56,U56,0.5,25.0,-0.07489053384664957
C-MOM/NEG,MOM/NEG,0.9981205912951475,0.11263263842113602,-0.17499649971988962,U56,U56,0.5,25.0,-0.06363687860755174
C-R3/POS,R3/POS,1.033421944931059,0.12144871039461647,-0.179247335893018,U56,U56,0.5,25.0,-0.028335524971640158
C-R3/NEG,R3/NEG,0.9157838546185343,0.10936219392884983,-0.19466810635718657,U56,U56,0.5,25.0,-0.14597361528416497
C-REBASED/POS,REBASED/POS,1.0784115173337423,0.13729930799462742,-0.18531389035152201,U56,U56,0.5,25.0,0.01665404743104304
C-REBASED/NEG,REBASED/NEG,0.9142238747879124,0.09830503202563423,-0.17511430449806942,U56,U56,0.5,25.0,-0.1475335951147868
ORACLE-OOS,REBASED/POS,1.0784115173337423,0.13729930799462742,-0.18531389035152201,U56,U56,0.5,25.0,0.01665404743104304
S0 do-nothing,-,1.17749120356185,0.14486778681551393,-0.18207063572861204,U56,U56,1.0,10.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,1.073310727489327,0.13206488349625167,-0.1878745832571599,U56,U56,1.0,10.0,-0.10418047607252312
RANDOM (same pool),R3/NEG,0.8468704385076548,0.08980712225453269,-0.18647167913591445,U56,U56,1.0,10.0,-0.33062076505419535
C-MOM/POS,MOM/POS,1.073310727489327,0.13206488349625167,-0.1878745832571599,U56,U56,1.0,10.0,-0.10418047607252312
C-MOM/NEG,MOM/NEG,1.0733526686543082,0.09889428582513027,-0.14708955263087087,U56,U56,1.0,10.0,-0.10413853490754188
C-R3/POS,R3/POS,1.150331133999372,0.13527602223702617,-0.17878140663049902,U56,U56,1.0,10.0,-0.027160069562478073
C-R3/NEG,R3/NEG,0.8468704385076548,0.08980712225453269,-0.18647167913591445,U56,U56,1.0,10.0,-0.33062076505419535
C-REBASED/POS,REBASED/POS,1.2006948605239285,0.15598683386063827,-0.18442051411461624,U56,U56,1.0,10.0,0.02320365696207838
C-REBASED/NEG,REBASED/NEG,0.9314083713076272,0.08497682205520518,-0.1618672741869408,U56,U56,1.0,10.0,-0.2460828322542229
ORACLE-OOS,REBASED/POS,1.2006948605239285,0.15598683386063827,-0.18442051411461624,U56,U56,1.0,10.0,0.02320365696207838
S0 do-nothing,-,1.0617574699026993,0.12892455052135476,-0.18334972497388902,U56,U56,1.0,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,0.9668463553971578,0.11740284703738735,-0.18946307024587417,U56,U56,1.0,25.0,-0.09491111450554146
RANDOM (same pool),MOM/POS,0.9668463553971578,0.11740284703738735,-0.18946307024587417,U56,U56,1.0,25.0,-0.09491111450554146
C-MOM/POS,MOM/POS,0.9668463553971578,0.11740284703738735,-0.18946307024587417,U56,U56,1.0,25.0,-0.09491111450554146
C-MOM/NEG,MOM/NEG,0.8219466824324259,0.07389269443903967,-0.1489315788628548,U56,U56,1.0,25.0,-0.2398107874702734
C-R3/POS,R3/POS,1.001736665397549,0.11586960411486302,-0.18011450777899707,U56,U56,1.0,25.0,-0.06002080450515024
C-R3/NEG,R3/NEG,0.6118475534114495,0.06242449400567063,-0.1895224985581132,U56,U56,1.0,25.0,-0.4499099164912498
C-REBASED/POS,REBASED/POS,1.1086253740425116,0.1425026612692426,-0.18547045683343688,U56,U56,1.0,25.0,0.046867904139812344
C-REBASED/NEG,REBASED/NEG,0.7674624998061959,0.0687493328756541,-0.163689211599377,U56,U56,1.0,25.0,-0.2942949700965034
ORACLE-OOS,REBASED/POS,1.1086253740425116,0.1425026612692426,-0.18547045683343688,U56,U56,1.0,25.0,0.046867904139812344
S0 do-nothing,-,0.9048869067847203,0.07628977943243997,-0.1523376759698125,ETF36,ETF,0.2,10.0,0.0
S2LF IS-argmax (leak-free),R3/NEG,0.9566177185539556,0.08137249674808555,-0.15277476073832208,ETF36,ETF,0.2,10.0,0.05173081176923533
RANDOM (same pool),R3/NEG,0.9566177185539556,0.08137249674808555,-0.15277476073832208,ETF36,ETF,0.2,10.0,0.05173081176923533
C-MOM/POS,MOM/POS,0.9499547728102428,0.08069485909788132,-0.1472391783183925,ETF36,ETF,0.2,10.0,0.045067866025522485
C-MOM/NEG,MOM/NEG,0.8603557958523214,0.0714913324363573,-0.1523376759698125,ETF36,ETF,0.2,10.0,-0.04453111093239892
C-R3/POS,R3/POS,0.8713261212701211,0.0728005908264715,-0.15233767596981262,ETF36,ETF,0.2,10.0,-0.03356078551459918
C-R3/NEG,R3/NEG,0.9566177185539556,0.08137249674808555,-0.15277476073832208,ETF36,ETF,0.2,10.0,0.05173081176923533
C-REBASED/POS,REBASED/POS,0.9550491281430721,0.08142916409957834,-0.15182116455566697,ETF36,ETF,0.2,10.0,0.0501622213583518
C-REBASED/NEG,REBASED/NEG,0.872793355576613,0.07262246672235584,-0.15039720867971074,ETF36,ETF,0.2,10.0,-0.03209355120810731
ORACLE-OOS,R3/NEG,0.9566177185539556,0.08137249674808555,-0.15277476073832208,ETF36,ETF,0.2,10.0,0.05173081176923533
S0 do-nothing,-,0.7864322871775655,0.06548265804414322,-0.15383024277290558,ETF36,ETF,0.2,25.0,0.0
S2LF IS-argmax (leak-free),R3/NEG,0.8464090166657525,0.07124000059910118,-0.1541704597315504,ETF36,ETF,0.2,25.0,0.059976729488187
RANDOM (same pool),MOM/POS,0.837398593117327,0.0703612029499705,-0.14869882916194488,ETF36,ETF,0.2,25.0,0.05096630593976148
C-MOM/POS,MOM/POS,0.837398593117327,0.0703612029499705,-0.14869882916194488,ETF36,ETF,0.2,25.0,0.05096630593976148
C-MOM/NEG,MOM/NEG,0.7291135508165167,0.059699783056082145,-0.15383024277290536,ETF36,ETF,0.2,25.0,-0.05731873636104878
C-R3/POS,R3/POS,0.7458059328100369,0.061465127989726254,-0.15383024277290513,ETF36,ETF,0.2,25.0,-0.040626354367528594
C-R3/NEG,R3/NEG,0.8464090166657525,0.07124000059910118,-0.1541704597315504,ETF36,ETF,0.2,25.0,0.059976729488187
C-REBASED/POS,REBASED/POS,0.8447105713449048,0.0712325788229522,-0.15312363241617422,ETF36,ETF,0.2,25.0,0.05827828416733927
C-REBASED/NEG,REBASED/NEG,0.7452063381179681,0.061151177736112894,-0.15189668693513247,ETF36,ETF,0.2,25.0,-0.04122594905959742
ORACLE-OOS,R3/NEG,0.8464090166657525,0.07124000059910118,-0.1541704597315504,ETF36,ETF,0.2,25.0,0.059976729488187
S0 do-nothing,-,0.9048869067847203,0.07628977943243997,-0.1523376759698125,ETF36,ETF,0.5,10.0,0.0
S2LF IS-argmax (leak-free),R3/NEG,0.9314436908907681,0.07806866080086827,-0.15975442814794083,ETF36,ETF,0.5,10.0,0.02655678410604778
RANDOM (same pool),REBASED/NEG,0.8083444371616352,0.06429973841767711,-0.14896705630647544,ETF36,ETF,0.5,10.0,-0.0965424696230851
C-MOM/POS,MOM/POS,0.9760972561426144,0.0829621754415284,-0.14674084806393106,ETF36,ETF,0.5,10.0,0.07121034935789416
C-MOM/NEG,MOM/NEG,0.784262751774856,0.06294468383001006,-0.16106782741799242,ETF36,ETF,0.5,10.0,-0.12062415500986423
C-R3/POS,R3/POS,0.8354114158385662,0.06888125705230275,-0.1523376759698125,ETF36,ETF,0.5,10.0,-0.06947549094615413
C-R3/NEG,R3/NEG,0.9314436908907681,0.07806866080086827,-0.15975442814794083,ETF36,ETF,0.5,10.0,0.02655678410604778
C-REBASED/POS,REBASED/POS,0.9678869490674167,0.08257621633624246,-0.15273407972775466,ETF36,ETF,0.5,10.0,0.0630000422826964
C-REBASED/NEG,REBASED/NEG,0.8083444371616352,0.06429973841767711,-0.14896705630647544,ETF36,ETF,0.5,10.0,-0.0965424696230851
ORACLE-OOS,MOM/POS,0.9760972561426144,0.0829621754415284,-0.14674084806393106,ETF36,ETF,0.5,10.0,0.07121034935789416
S0 do-nothing,-,0.7864322871775655,0.06548265804414322,-0.15383024277290558,ETF36,ETF,0.5,25.0,0.0
S2LF IS-argmax (leak-free),R3/NEG,0.8136124636096939,0.06739671029700589,-0.16141846955930406,ETF36,ETF,0.5,25.0,0.027180176432128333
RANDOM (same pool),R3/POS,0.699486741196059,0.056773046446410014,-0.15383024277290536,ETF36,ETF,0.5,25.0,-0.0869455459815065
C-MOM/POS,MOM/POS,0.8684644884475031,0.0730601480130828,-0.14815352823626238,ETF36,ETF,0.5,25.0,0.0820322012699376
C-MOM/NEG,MOM/NEG,0.6267332755761145,0.04929436824218225,-0.16262864095762086,ETF36,ETF,0.5,25.0,-0.15969901160145106
C-R3/POS,R3/POS,0.699486741196059,0.056773046446410014,-0.15383024277290536,ETF36,ETF,0.5,25.0,-0.0869455459815065
C-R3/NEG,R3/NEG,0.8136124636096939,0.06739671029700589,-0.16141846955930406,ETF36,ETF,0.5,25.0,0.027180176432128333
C-REBASED/POS,REBASED/POS,0.8660335695235496,0.07317829788373698,-0.15412768098640928,ETF36,ETF,0.5,25.0,0.07960128234598407
C-REBASED/NEG,REBASED/NEG,0.6681147795227774,0.052256737225172545,-0.150375850662971,ETF36,ETF,0.5,25.0,-0.1183175076547881
ORACLE-OOS,MOM/POS,0.8684644884475031,0.0730601480130828,-0.14815352823626238,ETF36,ETF,0.5,25.0,0.0820322012699376
S0 do-nothing,-,0.9048869067847203,0.07628977943243997,-0.1523376759698125,ETF36,ETF,1.0,10.0,0.0
S2LF IS-argmax (leak-free),REBASED/POS,0.9216965614127891,0.07773884294224542,-0.14752013175568857,ETF36,ETF,1.0,10.0,0.016809654628068826
RANDOM (same pool),R3/POS,0.8008589220046999,0.06540891190866227,-0.15151545633011476,ETF36,ETF,1.0,10.0,-0.1040279847800204
C-MOM/POS,MOM/POS,0.950797513731371,0.08000886156900577,-0.14674084806393117,ETF36,ETF,1.0,10.0,0.04591060694665072
C-MOM/NEG,MOM/NEG,0.6761225898516996,0.049789480849736556,-0.14336382023920957,ETF36,ETF,1.0,10.0,-0.22876431693302068
C-R3/POS,R3/POS,0.8008589220046999,0.06540891190866227,-0.15151545633011476,ETF36,ETF,1.0,10.0,-0.1040279847800204
C-R3/NEG,R3/NEG,0.786854517211707,0.06034347431816256,-0.14808824136549958,ETF36,ETF,1.0,10.0,-0.11803238957301332
C-REBASED/POS,REBASED/POS,0.9216965614127891,0.07773884294224542,-0.14752013175568857,ETF36,ETF,1.0,10.0,0.016809654628068826
C-REBASED/NEG,REBASED/NEG,0.778208314455324,0.05697051497724814,-0.1286239562504501,ETF36,ETF,1.0,10.0,-0.12667859232939627
ORACLE-OOS,MOM/POS,0.950797513731371,0.08000886156900577,-0.14674084806393117,ETF36,ETF,1.0,10.0,0.04591060694665072
S0 do-nothing,-,0.7864322871775655,0.06548265804414322,-0.15383024277290558,ETF36,ETF,1.0,25.0,0.0
S2LF IS-argmax (leak-free),REBASED/POS,0.8175005565113617,0.06823048103856522,-0.14873440292199158,ETF36,ETF,1.0,25.0,0.03106826933379614
RANDOM (same pool),MOM/POS,0.8421873756056786,0.07012745485735183,-0.1481535282362626,ETF36,ETF,1.0,25.0,0.05575508842811305
C-MOM/POS,MOM/POS,0.8421873756056786,0.07012745485735183,-0.1481535282362626,ETF36,ETF,1.0,25.0,0.05575508842811305
C-MOM/NEG,MOM/NEG,0.4799712939012554,0.0342545902639384,-0.15882960978838223,ETF36,ETF,1.0,25.0,-0.3064609932763101
C-R3/POS,R3/POS,0.6529033391932105,0.052335427596458706,-0.1529145161905181,ETF36,ETF,1.0,25.0,-0.133528947984355
C-R3/NEG,R3/NEG,0.5931581204549258,0.04440279019631088,-0.14978691077715445,ETF36,ETF,1.0,25.0,-0.19327416672263975
C-REBASED/POS,REBASED/POS,0.8175005565113617,0.06823048103856522,-0.14873440292199158,ETF36,ETF,1.0,25.0,0.03106826933379614
C-REBASED/NEG,REBASED/NEG,0.6192163394367477,0.044494769718419036,-0.12988799018819386,ETF36,ETF,1.0,25.0,-0.16721594774081783
ORACLE-OOS,MOM/POS,0.8421873756056786,0.07012745485735183,-0.1481535282362626,ETF36,ETF,1.0,25.0,0.05575508842811305
S0 do-nothing,-,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
RANDOM (same pool),REBASED/POS,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
C-MOM/POS,MOM/POS,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
C-MOM/NEG,MOM/NEG,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
C-R3/POS,R3/POS,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
C-R3/NEG,R3/NEG,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
C-REBASED/POS,REBASED/POS,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
C-REBASED/NEG,REBASED/NEG,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
ORACLE-OOS,MOM/POS,-0.3379145760638534,-0.02061496445863875,-0.2725488406509181,SMALLk20d00,SMALL,0.2,10.0,0.0
S0 do-nothing,-,-0.42734144668651763,-0.025583377333148194,-0.3033257462703628,SMALLk20d00,SMALL,0.2,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,-0.42734144668651763,-0.025583377333148194,-0.3033257462703628,SMALLk20d00,SMALL,0.2,25.0,0.0
RANDOM (same pool),REBASED/NEG,-0.42734144668651763,-0.025583377333148194,-0.3033257462703628,SMALLk20d00,SMALL,0.2,25.0,0.0
C-MOM/POS,MOM/POS,-0.42734144668651763,-0.025583377333148194,-0.3033257462703628,SMALLk20d00,SMALL,0.2,25.0,0.0
C-MOM/NEG,MOM/NEG,-0.42734144668651763,-0.025583377333148194,-0.3033257462703628,SMALLk20d00,SMALL,0.2,25.0,0.0
C-R3/POS,R3/POS,-0.42734144668651763,-0.025583377333148194,-0.3033257462703628,SMALLk20d00,SMALL,0.2,25.0,0.0
