kind,key,key_val,q,k_a,n_a,k_b,n_b,bind_a,bind_b,tied_a,tied_b,unique,agree,d_joint,d_rate
MATCHED-CONC,conc,0.5,0.25,20,10.0,100,50.0,H2,H2,1,1,True,True,0.5833333333333334,0.3833333333333334
MATCHED-CONC,conc,0.5,0.25,40,20.0,80,40.0,H2,H2,1,2,False,True,0.08333333333333331,0.06666666666666665
MATCHED-CONC,conc,0.5,0.25,40,20.0,100,50.0,H2,H2,1,1,True,True,0.4166666666666667,0.16666666666666669
MATCHED-CONC,conc,0.5,0.25,80,40.0,100,50.0,H2,H2,2,1,False,True,0.33333333333333337,0.10000000000000002
MATCHED-CONC,conc,0.5,0.5,20,10.0,40,20.0,H2,H2,1,2,False,True,0.08333333333333333,0.18333333333333335
MATCHED-CONC,conc,0.5,0.5,20,10.0,80,40.0,H2,H2,1,2,False,True,0.0,0.1
MATCHED-CONC,conc,0.5,0.5,20,10.0,100,50.0,H2,CAGRfloor,1,1,True,False,0.0,0.21666666666666665
MATCHED-CONC,conc,0.5,0.5,40,20.0,80,40.0,H2,H2,2,2,False,True,0.08333333333333333,0.18333333333333332
MATCHED-CONC,conc,0.5,0.5,40,20.0,100,50.0,H2,CAGRfloor,2,1,False,False,0.08333333333333333,0.1
MATCHED-CONC,conc,0.5,0.5,80,40.0,100,50.0,H2,CAGRfloor,2,1,False,False,0.0,0.15000000000000002
MATCHED-CONC,conc,0.5,0.75,20,10.0,40,20.0,H2,H1,3,4,False,False,0.0,0.06666666666666668
MATCHED-CONC,conc,0.5,0.75,20,10.0,80,40.0,H2,H1,3,3,False,False,0.0,0.16666666666666669
MATCHED-CONC,conc,0.5,0.75,20,10.0,100,50.0,H2,H1,3,4,False,False,0.0,0.15000000000000002
MATCHED-CONC,conc,0.5,0.75,40,20.0,80,40.0,H1,H1,4,3,False,True,0.0,0.09999999999999999
MATCHED-CONC,conc,0.5,0.75,40,20.0,100,50.0,H1,H1,4,4,False,True,0.0,0.08333333333333333
MATCHED-CONC,conc,0.5,0.75,80,40.0,100,50.0,H1,H1,3,4,False,True,0.0,0.016666666666666666
MATCHED-CONC,conc,0.5,1.0,20,10.0,40,20.0,H1,H1,4,4,False,True,0.0,0.01666666666666667
MATCHED-CONC,conc,0.5,1.0,20,10.0,80,40.0,H1,H1,4,4,False,True,0.0,0.05
MATCHED-CONC,conc,0.5,1.0,20,10.0,100,50.0,H1,H1,4,4,False,True,0.0,0.03333333333333333
MATCHED-CONC,conc,0.5,1.0,40,20.0,80,40.0,H1,H1,4,4,False,True,0.0,0.03333333333333334
MATCHED-CONC,conc,0.5,1.0,40,20.0,100,50.0,H1,H1,4,4,False,True,0.0,0.016666666666666663
MATCHED-CONC,conc,0.5,1.0,80,40.0,100,50.0,H1,H1,4,4,False,True,0.0,0.016666666666666673
MATCHED-CONC,conc,1.0,0.0,20,20.0,40,40.0,CAGRfloor,CAGRfloor,1,1,True,True,0.0,0.033333333333333326
MATCHED-CONC,conc,1.0,0.25,20,20.0,40,40.0,CAGRfloor,CAGRfloor,1,1,True,True,0.0,0.06666666666666665
MATCHED-CONC,conc,1.0,0.5,20,20.0,40,40.0,H2,CAGRfloor,3,1,False,False,0.0,0.11666666666666667
MATCHED-CONC,conc,1.0,0.75,20,20.0,40,40.0,H2,H2,3,3,False,True,0.0,0.0
MATCHED-CONC,conc,1.0,1.0,20,20.0,40,40.0,H1,H1,4,4,False,True,0.0,0.06666666666666668
MATCHED-N,n,5.0,0.0,20,5.0,40,5.0,DDcap,H2,1,3,False,False,0.08333333333333333,0.1333333333333333
MATCHED-N,n,5.0,0.0,20,5.0,80,5.0,DDcap,DDcap,1,1,True,True,0.08333333333333333,0.1833333333333333
MATCHED-N,n,5.0,0.0,20,5.0,100,5.0,DDcap,H1,1,4,False,False,0.08333333333333333,0.3
MATCHED-N,n,5.0,0.0,40,5.0,80,5.0,H2,DDcap,3,1,False,False,0.0,0.18333333333333338
MATCHED-N,n,5.0,0.0,40,5.0,100,5.0,H2,H1,3,4,False,False,0.0,0.16666666666666669
MATCHED-N,n,5.0,0.0,80,5.0,100,5.0,DDcap,H1,1,4,False,False,0.0,0.18333333333333335
MATCHED-N,n,5.0,0.25,20,5.0,40,5.0,DDcap,H2,1,3,False,False,0.08333333333333333,0.2
MATCHED-N,n,5.0,0.25,20,5.0,80,5.0,DDcap,OOS,1,2,False,False,0.08333333333333333,0.2333333333333333
