panel,dial,res,family,pts,step,exhausted,w_pts,w_frac,w_units,lo,hi,n_pass
SMALL439,gross,x4,4b_window,57,0.0125,0,0,0.0,,,,0
SMALL439,gross,x4,plateau,57,0.0125,0,57,1.0,0.7,0.3,1.0,57
SMALL439,gross,x4,IS_4b_window,57,0.0125,0,0,0.0,,,,0
SMALL439,n,x1,4b_window,10,4.0,0,0,0.0,,,,0
SMALL439,n,x1,plateau,10,4.0,0,4,0.4,12.0,24.0,36.0,6
SMALL439,n,x1,IS_4b_window,10,4.0,0,0,0.0,,,,0
SMALL439,n,x2,4b_window,19,2.0,0,0,0.0,,,,0
SMALL439,n,x2,plateau,19,2.0,0,4,0.21052631578947367,6.0,32.0,38.0,10
SMALL439,n,x2,IS_4b_window,19,2.0,0,0,0.0,,,,0
SMALL439,n,x4,4b_window,37,1.0,0,0,0.0,,,,0
SMALL439,n,x4,plateau,37,1.0,0,1,0.02702702702702703,0.0,5.0,5.0,3
SMALL439,n,x4,IS_4b_window,37,1.0,0,0,0.0,,,,0
