panel,book,draws,cost,null_4a,null_4b,null_Sharpe_med,null_CAGR_med,null_MaxDD_med,null_OOS_Sharpe_med,null_gross_med,null_turnover_med,cand_gross,cand_turnover,cand_Sharpe,cand_CAGR,cand_MaxDD,cand_OOS_Sharpe,cand_keep4b,pct_Sharpe,pct_CAGR,pct_MaxDD,pct_OOS_Sharpe,p_Sharpe
U56,RANDROT,500,0.0,0.0,0.79,1.1355444872314542,0.11025657719015902,-0.15721551704823516,1.2086108125904507,0.7195032573289902,36.49059242776849,0.7167345276872964,9.637599733674872,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,True,0.772,1.0,0.0,0.672,0.22799999999999998
U56,RANDROT,500,10.0,0.0,0.0,0.756048810430191,0.07040959311961636,-0.1592508431143384,0.8237564863720226,0.7195032573289902,36.49059242776849,0.7167345276872964,9.637599733674872,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,True,1.0,1.0,0.0,1.0,0.0
U56,RANDROT,500,25.0,0.0,0.0,0.18556072353595882,0.013360551572801027,-0.2196100634165804,0.2463545868733361,0.7195032573289902,36.49059242776849,0.7167345276872964,9.637599733674872,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,True,1.0,1.0,0.918,1.0,0.0
U56,RANDROT,1000,0.0,0.0,0.781,1.1335738237290989,0.11007507284016094,-0.15724604005327547,1.2038923236074295,0.7195032573289902,36.4821875259075,0.7167345276872964,9.637599733674872,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,True,0.782,1.0,0.001,0.689,0.21799999999999997
U56,RANDROT,1000,10.0,0.0,0.0,0.7546597389711993,0.07032810828090097,-0.1591740439160586,0.8200235667133148,0.7195032573289902,36.4821875259075,0.7167345276872964,9.637599733674872,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,True,1.0,1.0,0.001,1.0,0.0
U56,RANDROT,1000,25.0,0.0,0.0,0.18509126310923268,0.013298066816779697,-0.2217292115092041,0.24206628038810718,0.7195032573289902,36.4821875259075,0.7167345276872964,9.637599733674872,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,True,1.0,1.0,0.917,1.0,0.0
B136,RANDFIX,250,0.0,0.024,0.0,1.0305674368137807,0.07266735404189673,-0.12006095607226186,1.0504869438415914,0.5076970108695652,3.31172316930319,0.7391168478260869,13.77325913183038,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,True,0.604,1.0,0.0,0.308,0.396
B136,RANDFIX,250,10.0,0.012,0.0,0.9849819419521986,0.06937778802186023,-0.12232015441005428,1.0028323391676892,0.5076970108695652,3.31172316930319,0.7391168478260869,13.77325913183038,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,0.42,1.0,0.0,0.208,0.5800000000000001
B136,RANDFIX,250,25.0,0.012,0.0,0.9144511639848503,0.06397956424172158,-0.12374293190867786,0.9306837532070589,0.5076970108695652,3.31172316930319,0.7391168478260869,13.77325913183038,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,0.128,1.0,0.0,0.096,0.872
B136,RANDFIX,500,0.0,0.03,0.004,1.0242961562002506,0.0721809073943569,-0.12126474004848464,1.045526724431035,0.5072690217391305,3.316221930056114,0.7391168478260869,13.77325913183038,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,True,0.644,1.0,0.0,0.324,0.356
B136,RANDFIX,500,10.0,0.018,0.0,0.9781952946716926,0.06864282273237643,-0.12286344158517681,0.9976070620689659,0.5072690217391305,3.316221930056114,0.7391168478260869,13.77325913183038,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,0.428,1.0,0.0,0.21,0.5720000000000001
B136,RANDFIX,500,25.0,0.012,0.0,0.9061958947293414,0.06326244982543006,-0.12490561965262986,0.9264686001697497,0.5072690217391305,3.316221930056114,0.7391168478260869,13.77325913183038,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,0.148,1.0,0.0,0.104,0.852
B136,RANDFIX,1000,0.0,0.038,0.004,1.020803159284421,0.07192252472484861,-0.12044297843019086,1.0399489634681238,0.5058627717391304,3.3181658778582195,0.7391168478260869,13.77325913183038,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,True,0.641,1.0,0.0,0.348,0.359
B136,RANDFIX,1000,10.0,0.027,0.001,0.9737633798950316,0.06835329693489,-0.12194292369805887,0.9898530575023461,0.5058627717391304,3.3181658778582195,0.7391168478260869,13.77325913183038,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,0.436,1.0,0.0,0.226,0.5640000000000001
B136,RANDFIX,1000,25.0,0.021,0.0,0.9039640552104122,0.06312662224494126,-0.1238764480408393,0.9177746981695811,0.5058627717391304,3.3181658778582195,0.7391168478260869,13.77325913183038,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,0.176,1.0,0.0,0.121,0.8240000000000001
B136,RANDROT,250,0.0,0.0,0.872,1.079515051203631,0.11661615246993007,-0.17622629634979325,1.0682696498523998,0.7418885869565217,59.86322219389982,0.7391168478260869,13.77325913183038,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,True,0.296,1.0,0.024,0.188,0.704
B136,RANDROT,250,10.0,0.0,0.0,0.5211334460088117,0.051728546307046264,-0.19295441743791353,0.5045690606642439,0.7418885869565217,59.86322219389982,0.7391168478260869,13.77325913183038,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,1.0,1.0,0.316,1.0,0.0
B136,RANDROT,250,25.0,0.0,0.0,-0.30502573675750955,-0.03871013357954867,-0.5729330448908516,-0.33028538662496165,0.7418885869565217,59.86322219389982,0.7391168478260869,13.77325913183038,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,1.0,1.0,1.0,1.0,0.0
B136,RANDROT,500,0.0,0.0,0.88,1.0854039445519397,0.11728534317258821,-0.1767715018336471,1.0668549980716049,0.7418885869565217,59.86451788631689,0.7391168478260869,13.77325913183038,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,True,0.304,1.0,0.024,0.19,0.696
B136,RANDROT,500,10.0,0.0,0.0,0.5277258548921075,0.05237932648128518,-0.19226868056604035,0.5041389826322338,0.7418885869565217,59.86451788631689,0.7391168478260869,13.77325913183038,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,1.0,1.0,0.316,1.0,0.0
B136,RANDROT,500,25.0,0.0,0.0,-0.30044460467554335,-0.03805028463768095,-0.5727733036578742,-0.3310145636337587,0.7418885869565217,59.86451788631689,0.7391168478260869,13.77325913183038,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,1.0,1.0,1.0,1.0,0.0
B136,RANDROT,1000,0.0,0.0,0.88,1.0852082060602823,0.11728126309058529,-0.17702281814745302,1.0666429073515522,0.7418885869565217,59.868954939355795,0.7391168478260869,13.77325913183038,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,True,0.323,1.0,0.025,0.195,0.677
B136,RANDROT,1000,10.0,0.0,0.0,0.5277258548921075,0.05240243428158575,-0.19217244200029565,0.5045690606642439,0.7418885869565217,59.868954939355795,0.7391168478260869,13.77325913183038,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,1.0,1.0,0.329,1.0,0.0
B136,RANDROT,1000,25.0,0.0,0.0,-0.30066278087039,-0.03805192969303789,-0.5746808711564158,-0.3281939377096089,0.7418885869565217,59.868954939355795,0.7391168478260869,13.77325913183038,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,1.0,1.0,1.0,1.0,0.0
SMALL439,RANDFIX,250,0.0,0.004,0.0,0.27469919600648907,0.014803198803533424,-0.15964386585779178,0.2198318926487719,0.24384191176470588,3.187493301754958,0.7450827205882352,20.19590102343125,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,0.98,1.0,0.04,0.992,0.020000000000000018
SMALL439,RANDFIX,250,10.0,0.004,0.0,0.21875533224580643,0.011334281726291362,-0.16996218339433455,0.16072793003756206,0.24384191176470588,3.187493301754958,0.7450827205882352,20.19590102343125,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,0.916,1.0,0.028,0.964,0.08399999999999996
SMALL439,RANDFIX,250,25.0,0.004,0.0,0.1357484560206983,0.00618060302021628,-0.19045561906933622,0.0724506237991461,0.24384191176470588,3.187493301754958,0.7450827205882352,20.19590102343125,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,0.796,0.996,0.004,0.852,0.20399999999999996
SMALL439,RANDFIX,500,0.0,0.002,0.0,0.28711372646699773,0.014986286161807416,-0.15813917814021683,0.22079004374416222,0.2414751838235294,3.158258669890812,0.7450827205882352,20.19590102343125,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,0.978,1.0,0.044,0.978,0.02200000000000002
SMALL439,RANDFIX,500,10.0,0.002,0.0,0.23178465547315624,0.011464441269591008,-0.16843340586417888,0.1617088342612959,0.2414751838235294,3.158258669890812,0.7450827205882352,20.19590102343125,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,0.926,1.0,0.032,0.942,0.07399999999999995
SMALL439,RANDFIX,500,25.0,0.002,0.0,0.1458449303958894,0.006875648620012553,-0.18727177488917351,0.0728773397049193,0.2414751838235294,3.158258669890812,0.7450827205882352,20.19590102343125,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,0.788,0.998,0.006,0.838,0.21199999999999997
SMALL439,RANDFIX,1000,0.0,0.003,0.0,0.2811520605801556,0.014361949306986865,-0.15661048832692448,0.21469082822412128,0.24113051470588234,3.1599789331758465,0.7450827205882352,20.19590102343125,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,0.968,1.0,0.039,0.965,0.03200000000000003
SMALL439,RANDFIX,1000,10.0,0.002,0.0,0.22663951075736052,0.011224615498240165,-0.16791205046069002,0.15346808430124925,0.24113051470588234,3.1599789331758465,0.7450827205882352,20.19590102343125,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,0.918,1.0,0.03,0.935,0.08199999999999996
SMALL439,RANDFIX,1000,25.0,0.002,0.0,0.14241747039551328,0.006364968478072552,-0.18583341962512034,0.06741523108462681,0.24113051470588234,3.1599789331758465,0.7450827205882352,20.19590102343125,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,0.797,0.995,0.005,0.842,0.20299999999999996
SMALL439,RANDROT,250,0.0,0.0,0.0,0.40351855115653834,0.04852010642812288,-0.33830845168131335,0.39315294119682476,0.745220588235294,66.78454036264995,0.7450827205882352,20.19590102343125,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,0.948,0.996,1.0,0.952,0.052000000000000046
SMALL439,RANDROT,250,10.0,0.0,0.0,-0.06298649136768547,-0.019355398737857576,-0.49462556732751684,-0.05906583600983012,0.745220588235294,66.78454036264995,0.7450827205882352,20.19590102343125,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,1.0,1.0,1.0,1.0,0.0
SMALL439,RANDROT,250,25.0,0.0,0.0,-0.7486336250640238,-0.11303285140491787,-0.8632046294003466,-0.7270412423972161,0.745220588235294,66.78454036264995,0.7450827205882352,20.19590102343125,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,1.0,1.0,1.0,1.0,0.0
SMALL439,RANDROT,500,0.0,0.0,0.0,0.4048487035942785,0.04883910142757941,-0.3390679544021368,0.37838514534550927,0.745220588235294,66.79618509029882,0.7450827205882352,20.19590102343125,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,0.958,0.992,0.998,0.954,0.04200000000000004
SMALL439,RANDROT,500,10.0,0.0,0.0,-0.06114883993627246,-0.018934545910710365,-0.49430705007847414,-0.07187078999064517,0.745220588235294,66.79618509029882,0.7450827205882352,20.19590102343125,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,1.0,1.0,1.0,1.0,0.0
SMALL439,RANDROT,500,25.0,0.0,0.0,-0.7484982058988252,-0.11291321834030199,-0.8626652930822538,-0.7388191661005582,0.745220588235294,66.79618509029882,0.7450827205882352,20.19590102343125,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,1.0,1.0,1.0,1.0,0.0
SMALL439,RANDROT,1000,0.0,0.0,0.0,0.41085343722262113,0.049927793238353835,-0.3384790712763472,0.38662161298946307,0.745220588235294,66.78123538359307,0.7450827205882352,20.19590102343125,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,0.954,0.991,0.995,0.955,0.04600000000000004
SMALL439,RANDROT,1000,10.0,0.0,0.0,-0.05485584888931741,-0.018100475247025904,-0.4923306792894046,-0.06387316503291508,0.745220588235294,66.78123538359307,0.7450827205882352,20.19590102343125,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,1.0,1.0,1.0,1.0,0.0
SMALL439,RANDROT,1000,25.0,0.0,0.0,-0.7433061791990423,-0.11189420021340524,-0.8618901615425777,-0.7304601019639039,0.745220588235294,66.78123538359307,0.7450827205882352,20.19590102343125,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,1.0,1.0,1.0,1.0,0.0
