panel,book,bookset,gross,cost_bps,chooser,grid,phase,n_reb_per_yr,IS_Sharpe,IS_CAGR,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,turn_per_yr,spy_CAGR,spy_Sharpe,spy_MaxDD,spy_H1,spy_H2,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,spy_OOS_H1,spy_OOS_H2,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,base_OOS_H1,base_OOS_H2,pass4b_REC,fail4b_REC,pass4b_OOSPURE,pass4a
B136,EWELIG,SPREAD,EXT,50.0,IS_PHASE_W,W,1,52.3448275862069,0.7655639766160373,0.10287973333448241,0.10156033875228876,0.7647882669486217,-0.2637113869394918,0.8895891562487981,0.6463410028256948,0.1004744866220093,0.7642235863648821,-0.2637113869394919,0.9592149194292771,0.5498251795376873,10.60077647867714,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR",False,False
B136,EWELIG,SPREAD,EXT,50.0,IS_GRIDPHASE,Q,57,4.0344827586206895,1.1634560932878961,0.1677093964970231,0.14295949652456197,0.9679539997651126,-0.3179110537015618,1.2720999190095785,0.7159212097482947,0.1229628953485109,0.8229784933672843,-0.3179110537015617,0.9562355299770534,0.6663546497392635,2.50527185360636,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,False,"L2_H2,L3_OOS,L4_DD",False,False
B136,EWELIG,SPREAD,EXT,50.0,IS_GRID_CANON,K63,0,4.0344827586206895,1.0990011867127922,0.15633377404772153,0.13721750111680286,0.9310549779081966,-0.3200902012413256,1.2104348095737552,0.7043633634823042,0.12170544012774842,0.8091075848442034,-0.3200902012413255,0.8966433076156787,0.7110031140105818,2.5329870366886507,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,False,"L2_H2,L3_OOS,L4_DD",False,False
B136,EWELIG,SPREAD,EXT,50.0,MAXREB_CANON,K05,0,50.37931034482759,0.7188305446902264,0.09506152023029935,0.09659730528538302,0.726658742281135,-0.25211807610306847,0.8485593820867244,0.6149858710140081,0.0978642439069406,0.7330712872734033,-0.252118076103068,0.8645786370155433,0.5877799525225037,10.504505262369014,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,False,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR",False,False
B136,BAND03,SPREAD,CORE,0.0,CANON_W,W,0,52.3448275862069,1.117762399408692,0.08296373397117662,0.0819517642114449,1.127231074085467,-0.12211590879264533,1.2607813305616684,0.996054622230517,0.08111872133378806,1.135749924987383,-0.12211590879264556,1.3036674901675518,0.9408072043841207,2.0109291095246453,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.08111872133378806,1.135749924987383,-0.12211590879264556,1.3036674901675518,0.9408072043841207,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,0.0,IS_PHASE_W,W,1,52.3448275862069,1.1234689330455738,0.08391068285909298,0.08175491806402624,1.1233804674594117,-0.12572982766527374,1.2642999118358957,0.9837210181418082,0.07998202330651072,1.1239089308904016,-0.12572982766527419,1.2914964119497976,0.9295431269743317,2.00786383618336,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.08111872133378806,1.135749924987383,-0.12211590879264556,1.3036674901675518,0.9408072043841207,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,0.0,IS_GRIDPHASE,Q,57,4.0344827586206895,1.1590269795489558,0.09276759679031588,0.08339127730580076,0.9826646066117495,-0.22287875674147262,1.290702531668053,0.736190127183099,0.07572668391584547,0.8577305396766329,-0.22287875674147306,0.9031424869517102,0.8499188189445254,0.8908066194625464,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.08111872133378806,1.135749924987383,-0.12211590879264556,1.3036674901675518,0.9408072043841207,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",False,False
B136,BAND03,SPREAD,CORE,0.0,IS_GRID_CANON,W,0,52.3448275862069,1.117762399408692,0.08296373397117662,0.0819517642114449,1.127231074085467,-0.12211590879264533,1.2607813305616684,0.996054622230517,0.08111872133378806,1.135749924987383,-0.12211590879264556,1.3036674901675518,0.9408072043841207,2.0109291095246453,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.08111872133378806,1.135749924987383,-0.12211590879264556,1.3036674901675518,0.9408072043841207,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,0.0,MAXREB_CANON,K05,0,50.37931034482759,1.0951383007173665,0.08130372197100288,0.08308855272449756,1.1366415853289962,-0.1219596529138649,1.237824480827179,1.0379483633072795,0.08456127315153705,1.17230436763582,-0.1219596529138649,1.3207677870676306,1.0029737665872003,2.0103405340984795,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.08111872133378806,1.135749924987383,-0.12211590879264556,1.3036674901675518,0.9408072043841207,False,L5_CAGR,False,True
B136,BAND03,SPREAD,CORE,5.0,CANON_W,W,0,52.3448275862069,1.1048712403512102,0.08193540916389219,0.0808647716055293,1.1133066610593616,-0.12226288612209701,1.2479555824688056,0.9810466795693308,0.0799834783511002,1.1209354714377004,-0.12226288612209668,1.291550547727985,0.9222857780996803,2.0109291095246453,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.0799834783511002,1.1209354714377004,-0.12226288612209668,1.291550547727985,0.9222857780996803,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,5.0,IS_PHASE_W,W,1,52.3448275862069,1.1106210015918383,0.08288111709758073,0.08066984033606839,1.1095055318667018,-0.1260134159147207,1.251529239552116,0.9687401065532819,0.07885138103013967,1.109140838344997,-0.1260134159147206,1.279567722225234,0.9109315910959387,2.00786383618336,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.0799834783511002,1.1209354714377004,-0.12226288612209668,1.291550547727985,0.9222857780996803,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,5.0,IS_GRIDPHASE,Q,57,4.0344827586206895,1.153981439138857,0.0923176533370953,0.08290934631514824,0.9774831777270773,-0.2228787567414725,1.285553647432045,0.7309913721411558,0.07521883720707812,0.8524611716971962,-0.22287875674147273,0.8988715713413743,0.8425987195599326,0.8908066194625464,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.0799834783511002,1.1209354714377004,-0.12226288612209668,1.291550547727985,0.9222857780996803,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",False,False
B136,BAND03,SPREAD,CORE,5.0,IS_GRID_CANON,W,0,52.3448275862069,1.1048712403512102,0.08193540916389219,0.0808647716055293,1.1133066610593616,-0.12226288612209701,1.2479555824688056,0.9810466795693308,0.0799834783511002,1.1209354714377004,-0.12226288612209668,1.291550547727985,0.9222857780996803,2.0109291095246453,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.0799834783511002,1.1209354714377004,-0.12226288612209668,1.291550547727985,0.9222857780996803,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,5.0,MAXREB_CANON,K05,0,50.37931034482759,1.082228488390302,0.08027153436615064,0.08200061514280166,1.1227625120241957,-0.12211220561248493,1.22503249538825,1.0230148042747185,0.08342726951325785,1.1575915212344823,-0.12211220561248481,1.3086849479068845,0.9846829417137617,2.0103405340984795,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.0799834783511002,1.1209354714377004,-0.12226288612209668,1.291550547727985,0.9222857780996803,False,L5_CAGR,False,True
B136,BAND03,SPREAD,CORE,10.0,CANON_W,W,0,52.3448275862069,1.0919754546493738,0.08090803114345646,0.07977883927766838,1.0993768630350007,-0.12240985403190008,1.2351246935053817,0.9660332011509825,0.07884939392053303,1.1061149281164175,-0.12240985403190019,1.279428081760618,0.9037574908540386,2.0109291095246453,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07884939392053303,1.1061149281164175,-0.12240985403190019,1.279428081760618,0.9037574908540386,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,10.0,IS_PHASE_W,W,1,52.3448275862069,1.09776906110236,0.08185249913172155,0.07958581932934172,1.0956249855670723,-0.12629694436590755,1.2387538482798885,0.9537526578999658,0.07772188947966896,1.0943655342945366,-0.12629694436590788,1.2676324748304706,0.8923122403183308,2.00786383618336,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07884939392053303,1.1061149281164175,-0.12240985403190019,1.279428081760618,0.9037574908540386,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,10.0,IS_GRIDPHASE,Q,57,4.0344827586206895,1.1489250285606754,0.09186783820092126,0.08242756507724991,0.972293376991163,-0.2228787567414725,1.2803925341760802,0.7257870621770538,0.0747111593978842,0.8471851450100534,-0.22287875674147217,0.8945958444965377,0.8352663049153036,0.8908066194625464,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07884939392053303,1.1061149281164175,-0.12240985403190019,1.279428081760618,0.9037574908540386,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",False,False
B136,BAND03,SPREAD,CORE,10.0,IS_GRID_CANON,W,0,52.3448275862069,1.0919754546493738,0.08090803114345646,0.07977883927766838,1.0993768630350007,-0.12240985403190008,1.2351246935053817,0.9660332011509825,0.07884939392053303,1.1061149281164175,-0.12240985403190019,1.279428081760618,0.9037574908540386,2.0109291095246453,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07884939392053303,1.1061149281164175,-0.12240985403190019,1.279428081760618,0.9037574908540386,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,10.0,MAXREB_CANON,K05,0,50.37931034482759,1.069313049429607,0.07924030008331351,0.08091373712682315,1.1088784086927197,-0.12226474709625446,1.2122342955584187,1.0080775895929235,0.08229441728959341,1.1428742970114552,-0.12226474709625423,1.296598035281177,0.9663873133085166,2.0103405340984795,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07884939392053303,1.1061149281164175,-0.12240985403190019,1.279428081760618,0.9037574908540386,False,L5_CAGR,False,True
B136,BAND03,SPREAD,CORE,25.0,CANON_W,W,0,52.3448275862069,1.0532620363518639,0.07783156935316082,0.0765273939239357,1.057557199290819,-0.1228507012447817,1.1966028568299851,0.9209619762099341,0.07545408045393409,1.0616191233203185,-0.12285070124478226,1.2430290566341324,0.8481354592458729,2.0109291095246453,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07545408045393409,1.0616191233203185,-0.12285070124478226,1.2430290566341324,0.8481354592458729,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,25.0,IS_PHASE_W,W,1,52.3448275862069,1.0591908972216502,0.07877232355231656,0.07634008664693837,1.0539517042646955,-0.1271471710012072,1.2004010457512047,0.9087534693418456,0.07434030780110978,1.0499986663189977,-0.12714717100120732,1.2317888182282708,0.8364112972552725,2.00786383618336,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07545408045393409,1.0616191233203185,-0.12285070124478226,1.2430290566341324,0.8481354592458729,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,25.0,IS_GRIDPHASE,Q,57,4.0344827586206895,1.1336917468399794,0.09051916246595892,0.0809831195863635,0.9566749937437703,-0.2228787567414724,1.2648370427565563,0.710142046698941,0.07318913900990798,0.8313183991579111,-0.2228787567414724,0.881740520026327,0.8131984415761014,0.8908066194625464,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07545408045393409,1.0616191233203185,-0.12285070124478226,1.2430290566341324,0.8481354592458729,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",False,False
B136,BAND03,SPREAD,CORE,25.0,IS_GRID_CANON,M,0,12.10344827586207,1.0625951475481015,0.08242624681159172,0.08116420896334864,1.0589078307009292,-0.15720369314844163,1.1938996358386924,0.9295935550941266,0.08012553219293839,1.0559161104376436,-0.15720369314844151,1.1697675953513698,0.9294164290806143,1.3913444365713235,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07545408045393409,1.0616191233203185,-0.12285070124478226,1.2430290566341324,0.8481354592458729,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,25.0,MAXREB_CANON,K05,0,50.37931034482759,1.0305348192791335,0.07615230864580069,0.07765945046866185,1.0671980465143618,-0.12272230426129704,1.1738042160774829,0.9632464617672131,0.07890275775686129,1.0986987420019787,-0.12272230426129671,1.2603143981221705,0.9114755825946687,2.0103405340984795,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.07545408045393409,1.0616191233203185,-0.12285070124478226,1.2430290566341324,0.8481354592458729,False,L5_CAGR,False,True
B136,BAND03,SPREAD,CORE,50.0,CANON_W,W,0,52.3448275862069,0.9886630156590192,0.07272299001523952,0.07112943034135544,0.9877691320526296,-0.12358525821931565,1.1323126399524246,0.8457552192653007,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,2.0109291095246453,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,50.0,IS_PHASE_W,W,1,52.3448275862069,0.9948297676233417,0.07365757468906065,0.07095157350202852,0.9844029242702038,-0.12856302009355625,1.136401076198451,0.8336463412835018,0.06872724678186093,0.9759313000047949,-0.12856302009355614,1.1719316387050578,0.7431241529920182,2.00786383618336,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,50.0,IS_GRIDPHASE,Q,57,4.0344827586206895,1.1080965998732,0.08827393378080406,0.07857870274897705,0.9304886758440307,-0.22287875674147228,1.2386782013490922,0.6839675837061476,0.07065581301551593,0.8047527195042641,-0.22287875674147273,0.8602255392523475,0.7762031186308065,0.8908066194625464,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",False,False
B136,BAND03,SPREAD,CORE,50.0,IS_GRID_CANON,M,0,12.10344827586207,1.020069103242103,0.07887568476141626,0.07741092605847077,1.0133891951546823,-0.15774882910779475,1.1511394448366958,0.8814228055636989,0.07620561791827996,1.007874056038997,-0.15774882910779509,1.1307939849133493,0.8681642614049696,1.3913444365713235,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,False,L5_CAGR,False,False
B136,BAND03,SPREAD,CORE,50.0,MAXREB_CANON,K05,0,50.37931034482759,0.965809171400605,0.07102464327063718,0.07225673744781913,0.9976500602826077,-0.12348467526580587,1.109646692453729,0.8884776751216013,0.073272914396187,1.0250075275856303,-0.12348467526580631,1.1997745987364772,0.8198970747678738,2.0103405340984795,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.06981828866687434,0.9873597526196625,-0.12358525821931621,1.1822677025051775,0.7553322010415916,False,L5_CAGR,False,True
B136,BAND03,SPREAD,EXT,0.0,CANON_W,W,0,52.3448275862069,1.1186212075341617,0.11088636091961601,0.10948271728218284,1.1269629266792238,-0.1612048083450095,1.261636751759607,0.994814628719815,0.10832759969189776,1.1344927078090896,-0.1612048083450096,1.3011761790712335,0.9410360464422396,2.666067752269463,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.08111872133378806,1.135749924987383,-0.12211590879264556,1.3036674901675518,0.9408072043841207,True,-,True,False
B136,BAND03,SPREAD,EXT,0.0,IS_PHASE_W,W,1,52.3448275862069,1.1237659516130292,0.11216354025787423,0.10918069137136954,1.1225730302743173,-0.166072558047894,1.2645026450561632,0.9819829740415561,0.10672915891002543,1.1221379253853414,-0.16607255804789411,1.2876557614721662,0.9302991768823137,2.6630883364914886,0.15163389387763448,0.8861754876770278,-0.3371595330739303,0.9597783591726315,0.8261290624177297,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.9806509496829798,0.7652768412049584,0.08111872133378806,1.135749924987383,-0.12211590879264556,1.3036674901675518,0.9408072043841207,True,-,False,False
