panel,shape,eps,draw,pick_flip,ref_pick,pick,is_Sharpe,oos_CAGR,oos_Sharpe,oos_MaxDD,base_oos_CAGR,base_oos_Sharpe,base_oos_MaxDD,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD
U56,IID,0.0001,22,False,BAND08@g1.00,BAND08@g1.00,1.1224863258344822,0.11996728467023576,1.161582983490593,-0.19049597151982245,0.0944756951546224,1.2746111640592626,-0.12053876282865106,0.15236309272813364,0.8721582198207265,-0.3371640624917276
U56,IID,0.0001,23,False,BAND08@g1.00,BAND08@g1.00,1.1224597554901938,0.11987484564769368,1.1594174312919563,-0.19050292580428996,0.09446906315837578,1.2745582730769014,-0.1205432502216881,0.15238027372563812,0.8724136422125299,-0.3370740331109926
U56,IID,0.0003,0,False,BAND08@g1.00,BAND08@g1.00,1.1223123603929333,0.11991930509871818,1.1611296625333298,-0.19052422587367046,0.09435094289260948,1.2731698559989275,-0.12053626277212848,0.15237307861069738,0.8718260538341216,-0.33718990445773933
U56,IID,0.0003,1,False,BAND08@g1.00,BAND08@g1.00,1.1221596895479142,0.11988909698437422,1.1595502565015026,-0.19050347903761544,0.09431575671491288,1.272662880291522,-0.12052565590113773,0.15233154090110013,0.8718520400748032,-0.3372572498691162
U56,IID,0.0003,2,False,BAND08@g1.00,BAND08@g1.00,1.1239937787133016,0.1199770272459475,1.1618244551702226,-0.1904932037572279,0.0943059449862842,1.2725140810457563,-0.12055287936617287,0.15237164904519118,0.8713120669773531,-0.3371398941315077
U56,IID,0.0003,3,False,BAND08@g1.00,BAND08@g1.00,1.121933354030458,0.11998978875932687,1.1603019632851566,-0.1905068284912873,0.09434400216886307,1.272852227871852,-0.12054224879481767,0.15235992565494727,0.871735971813593,-0.3370584190535395
U56,IID,0.0003,4,False,BAND08@g1.00,BAND08@g1.00,1.122355221120739,0.11996553669226473,1.161516254831562,-0.19052775987851434,0.09438626448806953,1.273415584930801,-0.120560716345127,0.15237292400438984,0.8715422569551908,-0.3370908851691098
U56,IID,0.0003,5,False,BAND08@g1.00,BAND08@g1.00,1.122682027548738,0.11991094429963645,1.1597877515794273,-0.19047004774128207,0.09432952844903197,1.272871644006495,-0.12051292742490938,0.15233456118338085,0.8718020367273454,-0.3371596828517893
U56,IID,0.0003,6,False,BAND08@g1.00,BAND08@g1.00,1.1231727583986706,0.11991686249041855,1.159921972751064,-0.19051956024333838,0.09427228239064145,1.2722894483972735,-0.12055773016997373,0.152348478413582,0.8710796484768205,-0.3372890949573717
U56,IID,0.0003,7,False,BAND08@g1.00,BAND08@g1.00,1.1219495127518628,0.12027989188920407,1.1635433438367504,-0.19048937540692812,0.094531332845605,1.2753028362782381,-0.12054709948787212,0.152380390612747,0.8723860352361033,-0.33718726100049523
U56,IID,0.0003,8,False,BAND08@g1.00,BAND08@g1.00,1.1224027474369787,0.11996581166873033,1.1617119870208155,-0.19051393703568964,0.09447440571865351,1.27482735221973,-0.12056526237071785,0.15240446676341945,0.871967974129677,-0.3371959054382663
U56,IID,0.0003,9,False,BAND08@g1.00,BAND08@g1.00,1.1234549206732092,0.11980381651620786,1.1588349412338337,-0.19051126910221994,0.09448998893957894,1.2750878315868583,-0.12054673288796247,0.15235033466382153,0.8719976709163464,-0.3368571082100341
U56,IID,0.0003,10,False,BAND08@g1.00,BAND08@g1.00,1.1222698686463257,0.1202662854319092,1.1634206888270708,-0.19050499159871193,0.09451569503587542,1.2753146051242352,-0.12054590978456681,0.1523691093294317,0.8717662573506997,-0.337337039581207
U56,IID,0.0003,11,False,BAND08@g1.00,BAND08@g1.00,1.1227177541893,0.11996170408761131,1.1617191432057996,-0.19052124937532244,0.0943578519928141,1.2730056538282775,-0.12056451093732468,0.1523895486866651,0.871805150071978,-0.3371821782514909
U56,IID,0.0003,12,False,BAND08@g1.00,BAND08@g1.00,1.1237896073830587,0.11988416457467399,1.159630989451489,-0.1904763424198227,0.09440939465918263,1.273805121740211,-0.12052855069382218,0.15236496539954114,0.872184646480208,-0.33709857981281965
U56,IID,0.0003,13,False,BAND08@g1.00,BAND08@g1.00,1.1244385233948686,0.11986992449430711,1.1593319766044703,-0.19051511939047838,0.09447193881783233,1.274584673438759,-0.12054790454716946,0.15238520768291353,0.871879649454964,-0.3372670428275406
U56,IID,0.0003,14,False,BAND08@g1.00,BAND08@g1.00,1.1233168291901166,0.11992777433415913,1.161153958081758,-0.19048468311139577,0.09430989377368526,1.2726266602531926,-0.1205548562043951,0.15235880444638972,0.8720636262033019,-0.3373300588655176
U56,IID,0.0003,15,False,BAND08@g1.00,BAND08@g1.00,1.1249837537885938,0.11985504229530952,1.1593614061441841,-0.19051967175137186,0.09432437707294872,1.27280252794176,-0.12053072160104106,0.15236594927772096,0.871641282801698,-0.3369449439972614
U56,IID,0.0003,16,False,BAND08@g1.00,BAND08@g1.00,1.1224849853447036,0.1198972765943016,1.160921050373778,-0.19051487863956817,0.09434804707887468,1.2727745740258982,-0.1205735005587707,0.15233059916632818,0.8719040693998319,-0.3371863166874619
U56,IID,0.0003,17,False,BAND08@g1.00,BAND08@g1.00,1.123007180247903,0.11991500635335828,1.1610078193153328,-0.19050964603997933,0.09420694911050309,1.2713149622072664,-0.12053792208257497,0.15241107058956027,0.8720783335257842,-0.33721287185671134
