anchor,family,point,n,mean_d,t,wins,losses,sign_p
6W,ALL,2M,115,0.046066412361020756,2.675572583283752,55,60,0.7093227303228257
6W,ALL,10W,115,-0.08650881553475134,-4.142360823973938,42,73,0.0049281538522553126
6W,ALL,Q,115,-0.24114347105590098,-10.549732162827036,29,86,9.758911934869407e-08
6W,ALL,16W,115,-0.14995136373948473,-5.680536920361271,44,71,0.014964671136824323
6W,ALL,2Q,115,-0.13354391552849143,-6.131137452910838,35,80,3.284442087365602e-05
6W,SMALL,D,49,-0.09077239524929125,-4.154123624338826,13,36,0.001402688503695515
6W,SMALL,2D,49,-0.03189467846274109,-1.42070852461216,21,28,0.3916029105474905
6W,SMALL,W,49,-0.01631496689265622,-0.8050688306272323,21,28,0.3916029105474905
6W,SMALL,2W,49,-0.006790506367355245,-0.33739300522477317,21,28,0.3916029105474905
6W,SMALL,M,49,0.0815169981532328,3.778284983584566,31,18,0.08543313315739454
6W,SMALL,6W,49,0.0,,0,0,1.0
6W,SMALL,7W,49,-0.005960732876491025,-0.30080820125853747,19,30,0.15240777196147803
6W,SMALL,8W,49,0.08369546067542959,5.351379456728506,39,10,3.845911694355664e-05
6W,SMALL,2M,49,0.21989741040865501,10.556273963027364,47,2,4.355626970209414e-12
6W,SMALL,10W,49,0.1428173492903866,6.6421260529560975,42,7,3.6245783263666453e-07
6W,SMALL,Q,49,0.014956769680952865,0.7377048656632923,29,20,0.2528697301676033
6W,SMALL,16W,49,0.15617661980141323,8.469624012032108,44,5,7.59715845788378e-09
6W,SMALL,2Q,49,0.10590804517347663,5.128671639209269,35,14,0.003801654409748778
6W,U56,D,33,-0.20677999521102267,-17.027091411398736,0,33,2.3283064365386963e-10
6W,U56,2D,33,-0.17796159284584342,-19.07117144630993,0,33,2.3283064365386963e-10
6W,U56,W,33,-0.16399889114265231,-15.686748759644683,1,32,7.916241884231567e-09
6W,U56,2W,33,-0.1496884426613914,-18.31726825754491,0,33,2.3283064365386963e-10
6W,U56,M,33,-0.11710410144441757,-13.986667055047974,0,33,2.3283064365386963e-10
6W,U56,6W,33,0.0,,0,0,1.0
6W,U56,7W,33,-0.31078555131283453,-29.64872330167444,0,33,2.3283064365386963e-10
6W,U56,8W,33,-0.2981432248730206,-25.981690550632646,0,33,2.3283064365386963e-10
6W,U56,2M,33,-0.08423956446081318,-6.7914859112073005,4,29,1.0928604751825333e-05
6W,U56,10W,33,-0.2625496184177653,-30.821931770982193,0,33,2.3283064365386963e-10
6W,U56,Q,33,-0.41118270532856316,-34.37572955656715,0,33,2.3283064365386963e-10
6W,U56,16W,33,-0.41906664689357115,-37.923932851309274,0,33,2.3283064365386963e-10
6W,U56,2Q,33,-0.32738406228333,-27.220572912235298,0,33,2.3283064365386963e-10
6W,ETF,D,33,-0.20993750116774196,-21.557038468155906,0,33,2.3283064365386963e-10
6W,ETF,2D,33,-0.1848007711322092,-20.866331730068005,0,33,2.3283064365386963e-10
6W,ETF,W,33,-0.15999981918895356,-13.972569957980514,1,32,7.916241884231567e-09
6W,ETF,2W,33,-0.15738523856788628,-18.427157387041728,0,33,2.3283064365386963e-10
6W,ETF,M,33,-0.0869642952465214,-16.355828802131963,0,33,2.3283064365386963e-10
6W,ETF,6W,33,0.0,,0,0,1.0
6W,ETF,7W,33,-0.2859469379656128,-19.928203726804643,0,33,2.3283064365386963e-10
6W,ETF,8W,33,-0.2763391452515201,-21.750786392846486,0,33,2.3283064365386963e-10
6W,ETF,2M,33,-0.08174030488787495,-7.566650976203559,4,29,1.0928604751825333e-05
6W,ETF,10W,33,-0.25098262102845736,-32.90190387078468,0,33,2.3283064365386963e-10
6W,ETF,Q,33,-0.45137429121068834,-45.189693785314674,0,33,2.3283064365386963e-10
6W,ETF,16W,33,-0.3353897531158225,-36.345055663765294,0,33,2.3283064365386963e-10
6W,ETF,2Q,33,-0.2952536498159691,-24.645564700777253,0,33,2.3283064365386963e-10
