panel,book,conv,tranche,gross,turnover_yr,mean_names,mean_shy,mean_spy,mean_etf_nav,mean_gross,max_gross,max_w,n_excluded
U56,CAND,DEGROSS,STOCKS,0.75,2.5704542942043678,14.926516853932585,0.7233763891900287,0.0,0.0,1.0,1.0000000000000009,1.0,35
U56,CAND,DEGROSS,STOCKS,1.0,3.39271011891874,14.926516853932585,0.631266138012527,0.0,0.0,1.0,1.000000000000001,1.0,35
B136,CAP2,RESPREAD,NONE,0.75,4.6751254264368125,93.29361510791367,0.27167498251814204,0.006002529193181666,0.18427893654394126,1.0,1.0000000000000009,1.0,0
B136,CAP2,RESPREAD,NONE,1.0,5.829629100658772,93.19671762589928,0.043684543105946945,0.008000853111463072,0.2424621016271588,1.0,1.0000000000000009,1.0,0
B136,CAP2,RESPREAD,NOBROAD,0.75,4.67801262066771,87.14568345323741,0.272107612534251,0.0,0.14819665412257635,1.0,1.0000000000000009,1.0,8
B136,CAP2,RESPREAD,NOBROAD,1.0,5.83652850518843,87.04878597122303,0.04450055658843796,0.0,0.19432275534273918,1.0,1.0000000000000009,1.0,8
B136,CAP2,RESPREAD,NOEQETF,0.75,4.619814871790578,76.24437949640287,0.27445493977998847,0.0,0.06704438864998404,1.0,1.0000000000000007,1.0,24
B136,CAP2,RESPREAD,NOEQETF,1.0,5.7484357477139545,76.14748201438849,0.04989571243475339,0.0,0.08645333108056892,1.0,1.0000000000000009,1.0,24
B136,CAP2,RESPREAD,STOCKS,0.75,4.757566625052874,69.66726618705036,0.2827433844367088,0.0,0.0,1.0,1.0000000000000007,1.0,35
B136,CAP2,RESPREAD,STOCKS,1.0,5.841840698253781,69.5714928057554,0.06515342532654281,0.0,0.0,1.0,1.0000000000000007,1.0,35
B136,CAP2,DEGROSS,NONE,0.75,4.6751254264368125,93.29361510791367,0.27167498251814204,0.006002529193181666,0.18427893654394126,1.0,1.0000000000000009,1.0,0
B136,CAP2,DEGROSS,NONE,1.0,5.829629100658772,93.19671762589928,0.043684543105946945,0.008000853111463072,0.2424621016271588,1.0,1.0000000000000009,1.0,0
B136,CAP2,DEGROSS,NOBROAD,0.75,4.574585842838587,87.14568345323741,0.31689675267600376,0.0,0.13903183272093747,1.0,1.0000000000000009,1.0,8
B136,CAP2,DEGROSS,NOBROAD,1.0,5.722560241060081,87.14568345323741,0.10394070895545417,0.0,0.18216405336991118,1.0,1.0000000000000007,1.0,8
B136,CAP2,DEGROSS,NOEQETF,0.75,4.269814993479445,76.24437949640287,0.3997083655341212,0.0,0.05618137077066947,1.0,1.0000000000000007,1.0,24
B136,CAP2,DEGROSS,NOEQETF,1.0,5.289216526608645,76.24437949640287,0.21359076318410125,0.0,0.0724493889006678,1.0,1.0000000000000009,1.0,24
B136,CAP2,DEGROSS,STOCKS,0.75,3.9701577535855517,69.66726618705036,0.4558818470099053,0.0,0.0,1.0,1.0000000000000009,1.0,35
B136,CAP2,DEGROSS,STOCKS,1.0,4.956508431350962,69.66726618705036,0.2860246814192486,0.0,0.0,1.0,1.0000000000000007,1.0,35
B136,CAND,RESPREAD,NONE,0.75,4.906022705624986,93.29361510791367,0.2583124798520131,0.006002529193181666,0.18927294507837492,1.0,1.0000000000000009,1.0,0
B136,CAND,RESPREAD,NONE,1.0,6.3167439960259175,93.17378597122303,0.01135025745787052,0.008000853111463072,0.25229829581810786,1.0,1.0000000000000009,1.0,0
B136,CAND,RESPREAD,NOBROAD,0.75,4.908988514115262,87.14568345323741,0.2587451098681221,0.0,0.15319066265701003,1.0,1.0000000000000009,1.0,8
B136,CAND,RESPREAD,NOBROAD,1.0,6.322960603730182,87.02585431654676,0.011930643048070481,0.0,0.2042025595935609,1.0,1.0000000000000009,1.0,8
B136,CAND,RESPREAD,NOEQETF,0.75,4.857975806575968,76.24437949640287,0.2597789249191806,0.0,0.07194788317414332,1.0,1.0000000000000007,1.0,24
B136,CAND,RESPREAD,NOEQETF,1.0,6.259485119571764,76.12455035971223,0.013318537196344047,0.0,0.0959073854328139,1.0,1.0000000000000009,1.0,24
B136,CAND,RESPREAD,STOCKS,0.75,5.197867721354295,69.66726618705036,0.261946049494192,0.0,0.0,1.0,1.0000000000000007,1.0,35
B136,CAND,RESPREAD,STOCKS,1.0,6.697581729615731,69.54743705035972,0.016234797698375106,0.0,0.0,1.0,1.0000000000000004,1.0,35
B136,CAND,DEGROSS,NONE,0.75,4.906022705624986,93.29361510791367,0.2583124798520131,0.006002529193181666,0.18927294507837492,1.0,1.0000000000000009,1.0,0
B136,CAND,DEGROSS,NONE,1.0,6.3167439960259175,93.17378597122303,0.01135025745787052,0.008000853111463072,0.25229829581810786,1.0,1.0000000000000009,1.0,0
B136,CAND,DEGROSS,NOBROAD,0.75,4.813495136482843,87.14568345323741,0.3035342500098749,0.0,0.14402584125537113,1.0,1.0000000000000009,1.0,8
B136,CAND,DEGROSS,NOBROAD,1.0,6.250009708397241,87.12275179856115,0.07161715016135563,0.0,0.1919893804120537,1.0,1.0000000000000007,1.0,8
B136,CAND,DEGROSS,NOEQETF,0.75,4.544756429963825,76.24437949640287,0.3867880236404126,0.0,0.06073360291674508,1.0,1.0000000000000007,1.0,24
B136,CAND,DEGROSS,NOEQETF,1.0,5.940619942429292,76.24325539568345,0.1825815524996535,0.0,0.08096187028014686,1.0,1.0000000000000009,1.0,24
