panel,frame,cost_bps,chooser,pick_cadence,pick_maxvol,fellback,oCAGR,oSharpe,oMaxDD,d_vs_anchor,d_vs_live,d_vs_spy,keep4a_oos,keep4b_oos
U56,INC,25.0,C_ANCHOR,W,0.60,False,0.16805521021708936,1.1546480761334221,-0.19202939307160527,0.0,-0.08538799477917314,0.28080792907870855,False,True
B136,LIVE,10.0,C_SHARPE,W,none,False,0.07847283605551292,1.1019125044197382,-0.12241069123223425,0.0,0.0,0.22806136068372285,False,False
B136,LIVE,10.0,C_MEMO,W,none,True,0.07847283605551292,1.1019125044197382,-0.12241069123223425,0.0,0.0,0.22806136068372285,False,False
B136,LIVE,10.0,C_ANCHOR,W,none,False,0.07847283605551292,1.1019125044197382,-0.12241069123223425,0.0,0.0,0.22806136068372285,False,False
B136,LIVE,25.0,C_SHARPE,M,none,False,0.07968375762465629,1.0511899311275812,-0.15720193004044214,-0.006165494707142116,-0.006165494707141894,0.17733878739156583,False,False
B136,LIVE,25.0,C_MEMO,W,none,True,0.07507655272231117,1.0573554258347233,-0.12285153570594698,0.0,2.220446049250313e-16,0.18350428209870795,False,False
B136,LIVE,25.0,C_ANCHOR,W,none,False,0.07507655272231117,1.0573554258347233,-0.12285153570594698,0.0,2.220446049250313e-16,0.18350428209870795,False,False
B136,INC,10.0,C_SHARPE,D,0.80,False,0.16423402651352692,0.9015117000670312,-0.2830402374691965,-0.11644206443788585,-0.20040080435270702,0.02766055633101583,False,False
B136,INC,10.0,C_MEMO,W,0.60,True,0.16187458516000497,1.017953764504917,-0.2074018763117904,0.0,-0.08395873991482117,0.14410262076890168,False,False
B136,INC,10.0,C_ANCHOR,W,0.60,False,0.16187458516000497,1.017953764504917,-0.2074018763117904,0.0,-0.08395873991482117,0.14410262076890168,False,False
B136,INC,25.0,C_SHARPE,D,0.80,False,0.1562792273941691,0.865211451947587,-0.2834278067005195,-0.12041468001415068,-0.1921439738871361,-0.008639691788428383,False,False
B136,INC,25.0,C_MEMO,W,0.60,True,0.15592441719969807,0.9856261319617377,-0.2092202300433016,0.0,-0.07172929387298543,0.1117749882257223,False,False
B136,INC,25.0,C_ANCHOR,W,0.60,False,0.15592441719969807,0.9856261319617377,-0.2092202300433016,0.0,-0.07172929387298543,0.1117749882257223,False,False
SMALL,LIVE,10.0,C_SHARPE,M,0.45,False,0.013086884445797198,0.30072543491257353,-0.13924345160308838,-0.24404857396289448,-0.3466161587552308,-0.57311471214214,False,False
SMALL,LIVE,10.0,C_MEMO,W,none,True,0.036280008883579296,0.544774008875468,-0.14161687822607494,0.0,-0.1025675847923363,-0.32906613817924557,False,False
SMALL,LIVE,10.0,C_ANCHOR,W,none,False,0.036280008883579296,0.544774008875468,-0.14161687822607494,0.0,-0.1025675847923363,-0.32906613817924557,False,False
SMALL,LIVE,25.0,C_SHARPE,M,0.45,False,0.01021717433747793,0.24025165137873714,-0.1430497630684351,-0.24748948108152416,-0.3498685615074151,-0.6335884956759764,False,False
SMALL,LIVE,25.0,C_MEMO,W,none,True,0.032156984002618794,0.4877411324602613,-0.14680778072435452,0.0,-0.10237908042589094,-0.3860990145944523,False,False
SMALL,LIVE,25.0,C_ANCHOR,W,none,False,0.032156984002618794,0.4877411324602613,-0.14680778072435452,0.0,-0.10237908042589094,-0.3860990145944523,False,False
SMALL,INC,10.0,C_SHARPE,M,none,False,0.11714202877417113,0.5847199630583164,-0.42181700134117084,0.14487303279276564,-0.06262163060948789,-0.28912018399639716,False,False
SMALL,INC,10.0,C_MEMO,W,0.60,True,0.06698806653983369,0.4398469302655508,-0.3651051671527562,0.0,-0.20749466340225353,-0.4339932167891628,False,False
SMALL,INC,10.0,C_ANCHOR,W,0.60,False,0.06698806653983369,0.4398469302655508,-0.3651051671527562,0.0,-0.20749466340225353,-0.4339932167891628,False,False
SMALL,INC,25.0,C_SHARPE,M,none,False,0.11140592143412942,0.5630273782393943,-0.4264268636641704,0.15806304793000242,-0.027092834646757935,-0.3108127688153193,False,False
SMALL,INC,25.0,C_MEMO,W,0.60,True,0.060052866790714754,0.4049643303093919,-0.3712006215128405,0.0,-0.18515588257676036,-0.4688758167453217,False,False
SMALL,INC,25.0,C_ANCHOR,W,0.60,False,0.060052866790714754,0.4049643303093919,-0.3712006215128405,0.0,-0.18515588257676036,-0.4688758167453217,False,False
