[b] PREMISE AUDIT — idea 133's published grid, re-derived here (the queue's two rows)
panel  book       arm   cost  CAGR  Sharpe  MaxDD  OOS_Sharpe  OOS_MaxDD  gross  m_CAGR  floor_only  pass4b
  u56 S3-50  vol60-dg 10.000 0.086   1.196 -0.092       1.199     -0.092  0.731  -0.021        True   False
  u56 S3-50  vol60-dg 25.000 0.072   1.010 -0.093       1.029     -0.093  0.731  -0.035        True   False
  u56 S3-50 ebud-0.10 10.000 0.099   1.291 -0.111       1.277     -0.111  0.730  -0.007        True   False
  u56 S3-50 ebud-0.10 25.000 0.087   1.136 -0.112       1.136     -0.112  0.730  -0.020        True   False
  u56 S4-50  vol60-dg 10.000 0.088   1.177 -0.099       1.227     -0.099  0.731  -0.019        True   False
  u56 S4-50  vol60-dg 25.000 0.074   0.997 -0.100       1.060     -0.100  0.731  -0.033        True   False
  u56 S4-50 ebud-0.10 10.000 0.101   1.264 -0.118       1.298     -0.118  0.732  -0.005        True   False
  u56 S4-50 ebud-0.10 25.000 0.088   1.113 -0.119       1.158     -0.119  0.732  -0.018        True   False
broad S3-50  vol60-dg 10.000 0.083   1.039 -0.101       0.964     -0.101  0.728  -0.024        True   False
broad S3-50  vol60-dg 25.000 0.065   0.831 -0.102       0.768     -0.102  0.728  -0.041       False   False
broad S3-50 ebud-0.10 10.000 0.095   1.138 -0.119       1.019     -0.119  0.708  -0.011        True   False
broad S3-50 ebud-0.10 25.000 0.081   0.972 -0.120       0.866     -0.120  0.708  -0.026       False   False
broad S4-50  vol60-dg 10.000 0.085   1.029 -0.108       1.002     -0.108  0.728  -0.022        True   False
broad S4-50  vol60-dg 25.000 0.067   0.825 -0.109       0.807     -0.109  0.728  -0.040       False   False
broad S4-50 ebud-0.10 10.000 0.096   1.108 -0.128       1.035     -0.128  0.709  -0.011        True   False
broad S4-50 ebud-0.10 25.000 0.081   0.945 -0.129       0.883     -0.129  0.709  -0.026       False   False
    NOTE: the queue's label 'SLV50' is not a book name in that file; the f=0.50 sleeve
    books there are S3-50 and S4-50.  The queue's 8.7%/1.292/-13.6% headline is closest
    to u56/S3-50/ebud-0.10 @10bps (9.94%/1.291/-11.1%, OOS 1.277); nothing below
    depends on resolving the label — this run re-derives every f=0.50 row itself.
    idea 133 sleeve rows in the 4b-defensive class: 101; CAGR-floor shortfall (m_CAGR) min -4.10 median -1.29 max -0.06 pp/yr — the queue's '2.0-3.0 pp/yr' is the tail, not the median.

[panel] u56: 56 cols, 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: MaxDD <= 20.23%, CAGR >= 10.66%
[a] engine-equivalence over 13 ungated books: max|diff| = 0.000e+00 (EXACT)

[panel] broad: 136 cols, 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: MaxDD <= 20.23%, CAGR >= 10.66%
[a] engine-equivalence over 13 ungated books: max|diff| = 0.000e+00 (EXACT)

[c] reproduction of idea 133's f=0.50 sleeve rows: 136 matched, max|diff| CAGR 9.71e-17 Sharpe 2.22e-16 MaxDD 9.71e-17 OOS_Sharpe 2.22e-16 gross 0.00e+00  EXACT
  u56   R20 0.000          v1gate-dg 10.000 0.118   1.065 -0.165 1.075 1.061     0.132       1.133     -0.165  0.681  9.242   0.012  0.037   False    True                 -       False   False
  u56   R20 0.000          v1gate-dg 25.000 0.103   0.940 -0.166 0.939 0.945     0.117       1.016     -0.166  0.681  9.242  -0.004  0.036   False   False           H1,CAGR       False   False
  u56   R20 0.000          v1gate-rw 10.000 0.127   1.092 -0.183 1.088 1.102     0.144       1.168     -0.183  0.717  9.631   0.020  0.019   False    True                 -       False   False
  u56   R20 0.000          v1gate-rw 25.000 0.110   0.967 -0.184 0.954 0.984     0.127       1.050     -0.184  0.717  9.631   0.004  0.018   False   False                H1       False   False
  u56   R20 0.000             stop15 10.000 0.144   1.135 -0.231 1.254 1.047     0.151       1.116     -0.231  0.740 10.479   0.038 -0.028   False   False                DD       False   False
  u56   R20 0.000             stop15 25.000 0.127   1.010 -0.234 1.121 0.928     0.133       0.997     -0.234  0.740 10.479   0.020 -0.031   False   False                DD       False   False
  u56   R20 0.000             stop25 10.000 0.153   1.164 -0.238 1.266 1.093     0.163       1.156     -0.238  0.746  9.299   0.046 -0.036   False   False                DD       False   False
  u56   R20 0.000             stop25 25.000 0.137   1.056 -0.240 1.147 0.993     0.147       1.056     -0.240  0.746  9.299   0.030 -0.038   False   False                DD       False   False
  u56   R20 0.000 ddctl-8/.5/recover 10.000 0.114   1.042 -0.166 1.139 0.959     0.119       1.051     -0.166  0.613  7.744   0.007  0.037   False    True                 -       False   False
  u56   R20 0.000 ddctl-8/.5/recover 25.000 0.098   0.927 -0.167 1.039 0.832     0.102       0.925     -0.167  0.604  7.565  -0.008  0.036   False   False           H2,CAGR       False   False
  u56   R20 0.000    ddctl-8/.5/high 10.000 0.099   0.997 -0.166 1.073 0.929     0.106       1.034     -0.166  0.555  6.928  -0.008  0.037   False   False              CAGR        True   False
  u56   R20 0.000    ddctl-8/.5/high 25.000 0.091   0.929 -0.128 0.939 0.921     0.105       1.017     -0.128  0.551  6.860  -0.016  0.075    True   False           H1,CAGR       False   False
  u56   R20 0.000          ebud-0.10 10.000 0.151   1.177 -0.205 1.243 1.136     0.166       1.199     -0.205  0.724  8.287   0.045 -0.003   False   False                DD       False   False
  u56   R20 0.000          ebud-0.10 25.000 0.137   1.079 -0.206 1.132 1.048     0.152       1.109     -0.206  0.724  8.287   0.030 -0.003   False   False                DD       False   False
  u56   R20 0.000          ebud-0.20 10.000 0.155   1.170 -0.223 1.268 1.105     0.166       1.167     -0.223  0.746  9.048   0.048 -0.020   False   False                DD       False   False
  u56   R20 0.000          ebud-0.20 25.000 0.139   1.066 -0.224 1.150 1.011     0.151       1.071     -0.224  0.746  9.048   0.032 -0.022   False   False                DD       False   False
  u56  S3-5 0.050            control 10.000 0.149   1.173 -0.214 1.276 1.103     0.160       1.165     -0.214  0.750  9.166   0.043 -0.012   False   False                DD       False   False
  u56  S3-5 0.050            control 25.000 0.134   1.063 -0.215 1.152 1.004     0.144       1.064     -0.215  0.750  9.166   0.027 -0.013   False   False                DD       False   False
  u56  S3-5 0.050            g200-dg 10.000 0.136   1.143 -0.190 1.215 1.097     0.150       1.164     -0.190  0.712  9.070   0.029  0.012   False    True                 -       False   False
  u56  S3-5 0.050            g200-dg 25.000 0.121   1.027 -0.192 1.083 0.993     0.135       1.059     -0.192  0.712  9.070   0.014  0.011   False    True                 -       False   False
  u56  S3-5 0.050            g200-rw 10.000 0.140   1.122 -0.204 1.205 1.070     0.153       1.134     -0.204  0.750 10.165   0.034 -0.001   False   False                DD       False   False
  u56  S3-5 0.050            g200-rw 25.000 0.123   0.999 -0.206 1.067 0.957     0.136       1.021     -0.206  0.750 10.165   0.016 -0.003   False   False                DD       False   False
  u56  S3-5 0.050           band3-dg 10.000 0.138   1.155 -0.192 1.217 1.117     0.153       1.182     -0.192  0.709  8.674   0.032  0.010   False    True                 -       False   False
  u56  S3-5 0.050           band3-dg 25.000 0.124   1.045 -0.194 1.091 1.018     0.139       1.082     -0.194  0.709  8.674   0.017  0.009   False    True                 -       False   False
  u56  S3-5 0.050           band3-rw 10.000 0.142   1.139 -0.205 1.199 1.105     0.158       1.168     -0.205  0.750  9.247   0.036 -0.002   False   False                DD       False   False
  u56  S3-5 0.050           band3-rw 25.000 0.127   1.026 -0.207 1.072 1.003     0.143       1.064     -0.207  0.750  9.247   0.020 -0.004   False   False                DD       False   False
  u56  S3-5 0.050           abs12-dg 10.000 0.130   1.100 -0.214 1.187 1.051     0.146       1.120     -0.214  0.690  8.627   0.024 -0.011   False   False                DD       False   False
  u56  S3-5 0.050           abs12-dg 25.000 0.116   0.990 -0.215 1.060 0.952     0.131       1.020     -0.215  0.690  8.627   0.009 -0.013   False   False                DD       False   False
  u56  S3-5 0.050           abs12-rw 10.000 0.139   1.108 -0.219 1.202 1.054     0.154       1.120     -0.219  0.750  9.535   0.032 -0.016   False   False                DD       False   False
  u56  S3-5 0.050           abs12-rw 25.000 0.123   0.993 -0.220 1.070 0.950     0.137       1.015     -0.220  0.750  9.535   0.016 -0.018   False   False                DD       False   False
  u56  S3-5 0.050           vol60-dg 10.000 0.123   1.094 -0.163 1.136 1.060     0.132       1.127     -0.163  0.717  9.467   0.017  0.039   False    True                 -       False   False
  u56  S3-5 0.050           vol60-dg 25.000 0.107   0.967 -0.164 1.001 0.940     0.116       1.007     -0.164  0.717  9.467   0.001  0.038   False    True                 -       False   False
  u56  S3-5 0.050           vol60-rw 10.000 0.134   1.133 -0.187 1.162 1.114     0.146       1.175     -0.187  0.750  9.668   0.027  0.016   False    True                 -       False   False
  u56  S3-5 0.050           vol60-rw 25.000 0.118   1.009 -0.189 1.029 0.997     0.129       1.056     -0.189  0.750  9.668   0.011  0.014   False    True                 -       False   False
  u56  S3-5 0.050          v1gate-dg 10.000 0.114   1.064 -0.161 1.079 1.055     0.127       1.126     -0.161  0.682  9.324   0.007  0.041   False    True                 -       False   False
  u56  S3-5 0.050          v1gate-dg 25.000 0.098   0.933 -0.162 0.937 0.933     0.112       1.004     -0.162  0.682  9.324  -0.008  0.041   False   False           H1,CAGR       False   False
  u56  S3-5 0.050          v1gate-rw 10.000 0.125   1.073 -0.176 1.079 1.074     0.140       1.139     -0.176  0.750 10.811   0.018  0.026   False    True                 -       False   False
  u56  S3-5 0.050          v1gate-rw 25.000 0.107   0.933 -0.177 0.931 0.940     0.122       1.004     -0.177  0.750 10.811  -0.000  0.025   False   False           H1,CAGR       False   False
  u56  S3-5 0.050             stop15 10.000 0.139   1.136 -0.223 1.262 1.043     0.145       1.112     -0.223  0.743 10.557   0.033 -0.021   False   False                DD       False   False
  u56  S3-5 0.050             stop15 25.000 0.121   1.005 -0.226 1.122 0.918     0.127       0.988     -0.226  0.743 10.557   0.015 -0.024   False   False                DD       False   False
  u56  S3-5 0.050             stop25 10.000 0.147   1.165 -0.230 1.274 1.090     0.156       1.153     -0.230  0.749  9.412   0.041 -0.028   False   False                DD       False   False
  u56  S3-5 0.050             stop25 25.000 0.131   1.052 -0.232 1.148 0.985     0.140       1.047     -0.232  0.749  9.412   0.025 -0.030   False   False                DD       False   False
  u56  S3-5 0.050 ddctl-8/.5/recover 10.000 0.111   1.032 -0.160 1.136 0.939     0.114       1.031     -0.160  0.623  7.894   0.004  0.042   False    True                 -       False   False
  u56  S3-5 0.050 ddctl-8/.5/recover 25.000 0.094   0.901 -0.161 1.022 0.797     0.096       0.891     -0.161  0.611  7.739  -0.013  0.041   False   False           H2,CAGR       False   False
  u56  S3-5 0.050    ddctl-8/.5/high 10.000 0.100   0.998 -0.160 1.088 0.910     0.102       1.014     -0.160  0.571  7.171  -0.007  0.042   False   False              CAGR        True   False
  u56  S3-5 0.050    ddctl-8/.5/high 25.000 0.086   0.901 -0.124 0.919 0.885     0.097       0.982     -0.124  0.550  6.902  -0.021  0.079    True   False           H1,CAGR       False   False
  u56  S3-5 0.050          ebud-0.10 10.000 0.146   1.178 -0.199 1.252 1.132     0.160       1.194     -0.199  0.728  8.413   0.039  0.004   False    True                 -       False   False
  u56  S3-5 0.050          ebud-0.10 25.000 0.132   1.075 -0.200 1.135 1.038     0.145       1.100     -0.200  0.728  8.413   0.025  0.003   False    True                 -       False   False
  u56  S3-5 0.050          ebud-0.20 10.000 0.149   1.172 -0.214 1.276 1.103     0.160       1.164     -0.214  0.749  9.171   0.043 -0.012   False   False                DD       False   False
  u56  S3-5 0.050          ebud-0.20 25.000 0.133   1.063 -0.215 1.151 1.004     0.144       1.064     -0.215  0.749  9.171   0.027 -0.013   False   False                DD       False   False
  u56 S3-10 0.100            control 10.000 0.144   1.185 -0.202 1.292 1.113     0.154       1.174     -0.202  0.750  9.070   0.038  0.000   False    True                 -       False   False
  u56 S3-10 0.100            control 25.000 0.129   1.072 -0.203 1.163 1.011     0.139       1.070     -0.203  0.750  9.070   0.022 -0.001   False   False                DD       False   False
  u56 S3-10 0.100            g200-dg 10.000 0.132   1.152 -0.182 1.228 1.104     0.144       1.170     -0.182  0.709  8.959   0.025  0.021   False    True                 -       False   False
  u56 S3-10 0.100            g200-dg 25.000 0.116   1.033 -0.183 1.092 0.997     0.129       1.062     -0.183  0.709  8.959   0.010  0.019   False    True                 -       False   False
  u56 S3-10 0.100            g200-rw 10.000 0.137   1.135 -0.194 1.215 1.084     0.149       1.148     -0.194  0.750 10.045   0.030  0.008   False    True                 -       False   False
  u56 S3-10 0.100            g200-rw 25.000 0.120   1.009 -0.196 1.073 0.968     0.132       1.032     -0.196  0.750 10.045   0.013  0.006   False    True                 -       False   False
  u56 S3-10 0.100           band3-dg 10.000 0.134   1.164 -0.183 1.227 1.126     0.147       1.189     -0.183  0.705  8.516   0.027  0.020   False    True                 -       False   False
  u56 S3-10 0.100           band3-dg 25.000 0.119   1.052 -0.184 1.098 1.025     0.133       1.087     -0.184  0.705  8.516   0.013  0.018   False    True                 -       False   False
  u56 S3-10 0.100           band3-rw 10.000 0.139   1.156 -0.194 1.213 1.122     0.154       1.184     -0.194  0.750  9.090   0.033  0.008   False    True                 -       False   False
  u56 S3-10 0.100           band3-rw 25.000 0.124   1.041 -0.196 1.084 1.018     0.139       1.079     -0.196  0.750  9.090   0.017  0.007   False    True                 -       False   False
  u56 S3-10 0.100           abs12-dg 10.000 0.126   1.107 -0.202 1.193 1.058     0.141       1.127     -0.202  0.686  8.539   0.019  0.001   False    True                 -       False   False
  u56 S3-10 0.100           abs12-dg 25.000 0.111   0.994 -0.203 1.062 0.957     0.126       1.024     -0.203  0.686  8.539   0.005 -0.001   False   False                DD       False   False
  u56 S3-10 0.100           abs12-rw 10.000 0.134   1.115 -0.206 1.203 1.064     0.149       1.130     -0.206  0.750  9.489   0.028 -0.004   False   False                DD       False   False
  u56 S3-10 0.100           abs12-rw 25.000 0.118   0.996 -0.208 1.066 0.956     0.133       1.022     -0.208  0.750  9.489   0.012 -0.005   False   False                DD       False   False
  u56 S3-10 0.100           vol60-dg 10.000 0.120   1.107 -0.155 1.152 1.070     0.128       1.137     -0.155  0.718  9.357   0.013  0.048   False    True                 -       False   False
  u56 S3-10 0.100           vol60-dg 25.000 0.104   0.976 -0.156 1.012 0.947     0.112       1.013     -0.156  0.718  9.357  -0.003  0.046    True   False              CAGR        True   False
  u56 S3-10 0.100           vol60-rw 10.000 0.130   1.145 -0.177 1.178 1.123     0.141       1.183     -0.177  0.750  9.555   0.023  0.025   False    True                 -       False   False
  u56 S3-10 0.100           vol60-rw 25.000 0.114   1.017 -0.179 1.040 1.002     0.124       1.061     -0.179  0.750  9.555   0.007  0.023   False    True                 -       False   False
  u56 S3-10 0.100          v1gate-dg 10.000 0.110   1.074 -0.153 1.092 1.062     0.122       1.132     -0.153  0.680  9.202   0.004  0.049   False    True                 -       False   False
  u56 S3-10 0.100          v1gate-dg 25.000 0.095   0.939 -0.154 0.946 0.937     0.107       1.006     -0.154  0.680  9.202  -0.011  0.048    True   False           H1,CAGR       False   False
  u56 S3-10 0.100          v1gate-rw 10.000 0.121   1.083 -0.169 1.088 1.083     0.136       1.147     -0.169  0.750 10.670   0.015  0.033   False    True                 -       False   False
  u56 S3-10 0.100          v1gate-rw 25.000 0.104   0.939 -0.171 0.937 0.945     0.118       1.009     -0.171  0.750 10.670  -0.003  0.032   False   False           H1,CAGR       False   False
  u56 S3-10 0.100             stop15 10.000 0.135   1.149 -0.211 1.277 1.052     0.140       1.122     -0.211  0.744 10.407   0.028 -0.009   False   False                DD       False   False
  u56 S3-10 0.100             stop15 25.000 0.117   1.014 -0.214 1.132 0.925     0.122       0.994     -0.214  0.744 10.407   0.011 -0.012   False   False                DD       False   False
  u56 S3-10 0.100             stop25 10.000 0.142   1.178 -0.218 1.290 1.100     0.151       1.162     -0.218  0.749  9.304   0.036 -0.016   False   False                DD       False   False
  u56 S3-10 0.100             stop25 25.000 0.127   1.061 -0.220 1.159 0.992     0.135       1.054     -0.220  0.749  9.304   0.020 -0.018   False   False                DD       False   False
  u56 S3-10 0.100 ddctl-8/.5/recover 10.000 0.107   1.025 -0.150 1.130 0.933     0.110       1.023     -0.150  0.627  7.868   0.000  0.052   False    True                 -       False   False
  u56 S3-10 0.100 ddctl-8/.5/recover 25.000 0.094   0.919 -0.152 1.074 0.783     0.092       0.876     -0.152  0.620  7.737  -0.013  0.051    True   False       H2,OOS,CAGR       False   False
  u56 S3-10 0.100    ddctl-8/.5/high 10.000 0.098   1.006 -0.150 1.086 0.930     0.101       1.030     -0.150  0.582  7.248  -0.009  0.052   False   False              CAGR        True   False
  u56 S3-10 0.100    ddctl-8/.5/high 25.000 0.084   0.881 -0.136 0.965 0.801     0.086       0.890     -0.136  0.564  7.025  -0.023  0.067    True   False           H2,CAGR       False   False
  u56 S3-10 0.100          ebud-0.10 10.000 0.141   1.192 -0.188 1.269 1.142     0.154       1.204     -0.188  0.731  8.379   0.035  0.015   False    True                 -       False   False
  u56 S3-10 0.100          ebud-0.10 25.000 0.127   1.084 -0.188 1.147 1.045     0.140       1.105     -0.188  0.731  8.379   0.021  0.014   False    True                 -       False   False
  u56 S3-10 0.100          ebud-0.20 10.000 0.144   1.185 -0.202 1.291 1.113     0.154       1.174     -0.202  0.750  9.077   0.038  0.000   False    True                 -       False   False
  u56 S3-10 0.100          ebud-0.20 25.000 0.129   1.071 -0.203 1.162 1.011     0.138       1.070     -0.203  0.750  9.077   0.022 -0.001   False   False                DD       False   False
  u56 S3-15 0.150            control 10.000 0.139   1.198 -0.191 1.308 1.123     0.148       1.183     -0.191  0.750  8.995   0.033  0.011   False    True                 -       False   False
  u56 S3-15 0.150            control 25.000 0.124   1.080 -0.192 1.173 1.017     0.133       1.076     -0.192  0.750  8.995   0.018  0.010   False    True                 -       False   False
  u56 S3-15 0.150            g200-dg 10.000 0.127   1.162 -0.173 1.240 1.110     0.138       1.175     -0.173  0.705  8.868   0.020  0.029   False    True                 -       False   False
  u56 S3-15 0.150            g200-dg 25.000 0.112   1.039 -0.175 1.099 0.999     0.124       1.063     -0.175  0.705  8.868   0.006  0.028   False    True                 -       False   False
  u56 S3-15 0.150            g200-rw 10.000 0.133   1.148 -0.185 1.225 1.097     0.145       1.161     -0.185  0.750  9.948   0.026  0.017   False    True                 -       False   False
  u56 S3-15 0.150            g200-rw 25.000 0.116   1.018 -0.187 1.079 0.978     0.128       1.041     -0.187  0.750  9.948   0.010  0.015   False    True                 -       False   False
  u56 S3-15 0.150           band3-dg 10.000 0.129   1.173 -0.173 1.236 1.134     0.142       1.196     -0.173  0.700  8.376   0.023  0.029   False    True                 -       False   False
  u56 S3-15 0.150           band3-dg 25.000 0.115   1.058 -0.175 1.103 1.031     0.128       1.092     -0.175  0.700  8.376   0.008  0.027   False    True                 -       False   False
  u56 S3-15 0.150           band3-rw 10.000 0.136   1.172 -0.183 1.227 1.139     0.150       1.200     -0.183  0.750  8.954   0.030  0.019   False    True                 -       False   False
  u56 S3-15 0.150           band3-rw 25.000 0.121   1.055 -0.185 1.095 1.032     0.135       1.092     -0.185  0.750  8.954   0.015  0.017   False    True                 -       False   False
  u56 S3-15 0.150           abs12-dg 10.000 0.121   1.115 -0.190 1.199 1.066     0.135       1.133     -0.190  0.682  8.471   0.014  0.013   False    True                 -       False   False
  u56 S3-15 0.150           abs12-dg 25.000 0.107   0.997 -0.191 1.063 0.961     0.121       1.027     -0.191  0.682  8.471   0.000  0.011   False    True                 -       False   False
  u56 S3-15 0.150           abs12-rw 10.000 0.130   1.122 -0.194 1.202 1.074     0.144       1.141     -0.194  0.750  9.478   0.024  0.008   False    True                 -       False   False
  u56 S3-15 0.150           abs12-rw 25.000 0.114   0.998 -0.196 1.061 0.963     0.128       1.028     -0.196  0.750  9.478   0.008  0.007   False    True                 -       False   False
  u56 S3-15 0.150           vol60-dg 10.000 0.116   1.120 -0.147 1.169 1.080     0.123       1.146     -0.147  0.720  9.268   0.009  0.056   False    True                 -       False   False
  u56 S3-15 0.150           vol60-dg 25.000 0.100   0.984 -0.148 1.022 0.953     0.108       1.019     -0.148  0.720  9.268  -0.006  0.055    True   False              CAGR        True   False
  u56 S3-15 0.150           vol60-rw 10.000 0.125   1.158 -0.168 1.194 1.132     0.135       1.191     -0.168  0.750  9.463   0.019  0.035   False    True                 -       False   False
  u56 S3-15 0.150           vol60-rw 25.000 0.109   1.025 -0.170 1.050 1.007     0.119       1.066     -0.170  0.750  9.463   0.003  0.033   False    True                 -       False   False
  u56 S3-15 0.150          v1gate-dg 10.000 0.107   1.084 -0.145 1.105 1.068     0.117       1.137     -0.145  0.677  9.099   0.000  0.057   False    True                 -       False   False
  u56 S3-15 0.150          v1gate-dg 25.000 0.092   0.945 -0.146 0.954 0.940     0.103       1.008     -0.146  0.677  9.099  -0.015  0.056    True   False           H1,CAGR       False   False
  u56 S3-15 0.150          v1gate-rw 10.000 0.118   1.092 -0.162 1.098 1.092     0.131       1.155     -0.162  0.750 10.551   0.012  0.040   False    True                 -       False   False
