thresh,dsplit,klass,peak,trough,dur,depth,panel,book,gate,ret_p2t,ret_full
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,top20,abs,-0.049722901461189406,0.017549905465833904
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,top20,both,-0.049722901461189406,0.017549905465833904
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,top20,band3,-0.050118053067072954,0.017126779958728244
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,ew-all,none,-0.06634987557193062,-0.0010103269564376571
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,ew-all,200d,-0.06465570582505697,-0.012846500916714132
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,ew-all,abs,-0.043747530833268766,0.022451239739868623
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,ew-all,both,-0.045731004523581587,0.010894047269719653
0.08,30,SLOW,2012-04-02,2012-06-04,43,-0.09687028487274241,broad,ew-all,band3,-0.06507365818112032,-0.007892856477213939
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,top20,none,-0.08329478588761319,-0.014045196991798514
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,top20,200d,-0.0784303345119618,-0.026189537781144745
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,top20,abs,-0.10727030035606544,-0.036562477973679064
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,top20,both,-0.0864999901273853,-0.04804810103021051
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,top20,band3,-0.08352842596299492,-0.028063471014888153
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,ew-all,none,-0.0828592839451382,0.018878210313745036
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,ew-all,200d,-0.06486530521093181,-0.005258569532980206
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,ew-all,abs,-0.09322437812887285,-0.003564617429129502
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,ew-all,both,-0.09120599941138396,-0.019936084181092828
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,u56,ew-all,band3,-0.06163623866278867,-0.0010366567488178102
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,top20,none,-0.09760586387437331,-0.02581247112435725
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,top20,200d,-0.08224878970437421,-0.015313483292843655
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,top20,abs,-0.10017296115886576,-0.018353965138209194
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,top20,both,-0.08848119585287262,-0.010004792957417408
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,top20,band3,-0.0945235357381431,-0.025501352977544745
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,ew-all,none,-0.08945105308880563,0.01586179521521469
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,ew-all,200d,-0.0772009342869665,-0.005931284566990658
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,ew-all,abs,-0.0971053267756431,-0.005129676704537234
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,ew-all,both,-0.08868321823885406,-0.014994220873932207
0.08,30,SLOW,2015-07-20,2016-02-11,143,-0.1302284592022631,broad,ew-all,band3,-0.0703543343804719,0.0015827148312186345
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,top20,none,-0.06807955855489756,0.061218402644767744
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,top20,200d,-0.06807955855489756,0.05814874993071917
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,top20,abs,-0.06807955855489756,0.057768121604583555
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,top20,both,-0.06807955855489756,0.05470844908361783
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,top20,band3,-0.06807955855489756,0.061218402644767744
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,ew-all,none,-0.059359261794094564,0.025129196985944846
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,ew-all,200d,-0.06675193634165966,0.015166069282832373
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,ew-all,abs,-0.05922024160958839,0.023080480778780554
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,ew-all,both,-0.06453503169707675,0.017697727031266597
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,u56,ew-all,band3,-0.06274476529889161,0.021332064777832338
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,top20,none,-0.06333272818547508,0.03137397228785499
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,top20,200d,-0.06333272818547508,0.03137397228785499
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,top20,abs,-0.06333272818547508,0.03137397228785499
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,top20,both,-0.06333272818547508,0.03137397228785499
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,top20,band3,-0.06333272818547508,0.03137397228785499
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,ew-all,none,-0.06450310590643116,0.020299452672750684
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,ew-all,200d,-0.06718688962271235,0.011024860266031666
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,ew-all,abs,-0.06405957832921438,0.01711174588589026
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,ew-all,both,-0.0666971212350308,0.00951178330573299
0.08,30,FAST,2018-01-26,2018-02-08,9,-0.1010184439188091,broad,ew-all,band3,-0.06523149687149254,0.013849550401962452
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,top20,none,-0.11850407715268663,-0.020140915351283928
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,top20,200d,-0.10913120915213403,-0.048094235155773046
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,top20,abs,-0.13477611787790245,-0.012352171855185334
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,top20,both,-0.10815363670276579,-0.0510118162252563
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,top20,band3,-0.09378255226474796,-0.03194221574456302
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,ew-all,none,-0.11295476967469342,0.027718509699364624
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,ew-all,200d,-0.11894767617034963,-0.0469225148896375
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,ew-all,abs,-0.1416261128524986,-0.011438930769299471
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,ew-all,both,-0.14013892975806874,-0.04449495105987933
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,u56,ew-all,band3,-0.10388771955255927,-0.030820452875130577
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,top20,none,-0.140832404354728,-0.013060821599792827
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,top20,200d,-0.1382838645667691,-0.02039418395988868
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,top20,abs,-0.140832404354728,-0.008675632641501396
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,top20,both,-0.13433620962895765,-0.01673089104319303
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,top20,band3,-0.14467037473073552,-0.02207451863166976
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,ew-all,none,-0.12085325276997949,0.03759696920185229
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,ew-all,200d,-0.1214074881353101,-0.011685660344957438
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,ew-all,abs,-0.13048849654570638,0.026909633909863562
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,ew-all,both,-0.13185554300980817,-0.005916861780212224
0.08,30,SLOW,2018-09-20,2018-12-24,65,-0.19348915262727218,broad,ew-all,band3,-0.11918504789223783,-0.00986410103413049
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,top20,none,-0.16590663963165952,-0.021649442190430412
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,top20,200d,-0.14154956579687283,-0.007651858232860853
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,top20,abs,-0.15722294688001315,-0.02055024544988182
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,top20,both,-0.14416230253073392,-0.024118018125052987
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,top20,band3,-0.1363656237185782,0.0012592156203004023
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,ew-all,none,-0.16048013874877398,0.018761552355504696
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,ew-all,200d,-0.11699777876553141,0.01692863157739044
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,ew-all,abs,-0.1434866423223039,0.023254620692118033
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,ew-all,both,-0.11723794320920888,0.0015887091428470335
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,u56,ew-all,band3,-0.10003319039036473,0.048386853986308154
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,top20,none,-0.1918256189844053,-0.06906771062339478
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,top20,200d,-0.1520165025662612,-0.0416638263071234
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,top20,abs,-0.19240114771462757,-0.07136967114710835
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,top20,both,-0.1520165025662612,-0.043308678249631916
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,top20,band3,-0.143845370949664,-0.027612604533570173
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,ew-all,none,-0.19219213516870215,-0.041985105566593295
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,ew-all,200d,-0.1594074967325081,-0.05697526006282305
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,ew-all,abs,-0.18383258817011194,-0.03638695108718726
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,ew-all,both,-0.16204947205819598,-0.06153234343150393
0.08,30,FAST,2020-02-19,2020-03-23,23,-0.33717235283398306,broad,ew-all,band3,-0.12596558018804604,-0.011063653822126152
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,top20,none,-0.08437374224716976,-0.02765480515297869
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,top20,200d,-0.08437374224716976,-0.02765480515297869
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,top20,abs,-0.08405039100773537,-0.02747716696287994
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,top20,both,-0.08405039100773537,-0.02747716696287994
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,top20,band3,-0.08437374224716976,-0.02765480515297869
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,ew-all,none,-0.05415441829848522,0.004325921526346699
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,ew-all,200d,-0.05584498468398025,0.0012207443184504285
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,ew-all,abs,-0.053689900484373165,0.0015911835245627781
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,ew-all,both,-0.05446883941344771,0.0004984582946885308
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,u56,ew-all,band3,-0.056000658121741154,0.0032840325868424003
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,top20,none,-0.09146539344644156,-0.0338841473968885
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,top20,200d,-0.09146539344644156,-0.0338841473968885
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,top20,abs,-0.09146539344644156,-0.0338841473968885
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,top20,both,-0.09146539344644156,-0.0338841473968885
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,top20,band3,-0.09146539344644156,-0.0338841473968885
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,ew-all,none,-0.046698739927711785,0.02966797641250829
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,ew-all,200d,-0.04841661165163791,0.0209619899383231
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,ew-all,abs,-0.04690239610012692,0.02024522781120952
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,ew-all,both,-0.048891046874695476,0.01840171431926718
0.08,30,FAST,2020-09-02,2020-09-23,14,-0.0944042548670202,broad,ew-all,band3,-0.04878948454718035,0.01823137221751936
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,top20,none,-0.124679555710144,0.11644946733712547
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,top20,200d,-0.0905959960618149,0.11337414887748865
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,top20,abs,-0.08707058029650683,0.08583399178330953
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,top20,both,-0.07450710034645203,0.0700562293854845
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,top20,band3,-0.07771590670479933,0.14268353238601605
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,ew-all,none,-0.15141595543505404,0.08799139873629924
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,ew-all,200d,-0.12821672011229635,0.06471420406836037
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,ew-all,abs,-0.12070594580451244,0.041401060225076725
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,ew-all,both,-0.11327106707002699,0.05032043533856023
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,u56,ew-all,band3,-0.10363654842404035,0.11913010118171985
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,top20,none,-0.1563078285182644,0.00979224412300761
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,top20,200d,-0.16749944410395412,-0.005677727863638959
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,top20,abs,-0.15078115159991246,0.024982207425672476
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,top20,both,-0.15233475767675508,0.021150299244306003
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,top20,band3,-0.16657116344490697,-0.005210550823185445
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,ew-all,none,-0.14086422943927768,0.09754010054932394
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,ew-all,200d,-0.14450945935063708,0.03585955436994537
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,ew-all,abs,-0.1271914045083007,0.06353743655346622
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,ew-all,both,-0.11801094879519047,0.06093205012014957
0.08,30,SLOW,2022-01-03,2022-10-12,195,-0.24496403005741663,broad,ew-all,band3,-0.1450622645179993,0.03656103964805424
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,top20,none,-0.09665235854189724,-0.015441054664934062
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,top20,200d,-0.09665235854189724,-0.015441054664934062
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,top20,abs,-0.09643319930855454,-0.013165537439055242
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,top20,both,-0.09643319930855454,-0.013165537439055242
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,top20,band3,-0.09665235854189724,-0.015441054664934062
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,ew-all,none,-0.04918112663828578,0.022490516258197202
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,ew-all,200d,-0.04916068261518647,0.019112078892896456
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,ew-all,abs,-0.051600988839626494,0.021897755920220696
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,ew-all,both,-0.05123343798085511,0.017973591584051762
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,u56,ew-all,band3,-0.05150640396899753,0.017724665649972327
0.08,30,FAST,2024-07-16,2024-08-05,14,-0.08405644031112158,broad,top20,none,-0.09808554212669196,-0.038428187724917295
