panel,kind,q,draw,Ebar,Emed,selectivity20,EW_Sharpe,EW_OOS_Sharpe,ADAPT_Sharpe,S1_rho_n_OOS,S2_overlap,S3_reversal,S4_argmax_n,S5_fix_minus_adapt,best_prem,breadth,breadth_IS,breadth_OOS
MIX q=0.1 d4,mix,0.1,4.0,24.343373493975903,26.0,0.8215788171244741,0.9587970438877756,0.9368286134769683,0.9657610227318896,0.7714285714285715,0.9276515151515151,0.6,20.0,0.1455992599295104,0.15256323877362432,0.6013392857142857,0.5877611940298508,0.6103465346534654
MIX q=0.1 d5,mix,0.1,5.0,25.759036144578314,28.0,0.7764265668849392,0.9578385014193055,0.9122195683368731,0.9439557004484349,1.0,0.9162773722627738,1.0,40.0,0.0847923535153885,0.08633031436780791,0.6363095238095238,0.628955223880597,0.6411881188118812
MIX q=0.2 d0,mix,0.2,0.0,24.898795180722892,26.0,0.8032517177973483,0.944175141439288,0.8878092178855731,0.9572798361923498,1.0,0.9167904903417533,0.8666666666666667,20.0,0.06899663580696624,0.082101330560028,0.6150595238095239,0.6018656716417911,0.6238118811881188
MIX q=0.2 d1,mix,0.2,1.0,25.189156626506023,27.0,0.7939924427225332,1.0395316190546153,1.0004136137371928,1.0689733627433629,0.48571428571428577,0.9099402092675636,0.4666666666666667,20.0,0.021470735288822818,0.05091247897757034,0.6222321428571429,0.6346268656716417,0.614009900990099
MIX q=0.2 d2,mix,0.2,2.0,25.74457831325301,28.0,0.7768625982777986,0.8696954055508725,0.7898143327052713,0.8259427492688819,1.0,0.8995508982035928,0.8666666666666667,40.0,0.11999641868503286,0.1421280370765352,0.635952380952381,0.6355223880597014,0.6362376237623761
MIX q=0.2 d3,mix,0.2,3.0,25.406024096385543,27.0,0.787214871721914,0.7108101690529719,0.6291179959378406,0.701619599689481,1.0,0.9134498480243161,0.8666666666666667,40.0,0.02230210799119281,0.09288230216656057,0.6275892857142856,0.6393283582089552,0.6198019801980198
MIX q=0.2 d4,mix,0.2,4.0,26.210843373493976,28.0,0.7630429786256033,0.8111367052150129,0.7231681755644226,0.7720953834995471,1.0,0.9167625899280577,1.0,40.0,0.13952272404464539,0.12829178993172352,0.6474702380952381,0.6467910447761195,0.647920792079208
MIX q=0.2 d5,mix,0.2,5.0,26.32168674698795,28.0,0.7598297249050213,0.8961176260899896,0.8783815923224458,0.8875339374037461,0.8285714285714287,0.9114022662889517,0.8666666666666667,30.0,0.10668253799242622,0.13594283819322517,0.6502083333333333,0.6408208955223881,0.6564356435643565
MIX q=0.3 d0,mix,0.3,0.0,21.812048192771083,23.0,0.9169244365885992,1.0177498981187048,0.9712498776841574,1.0135970625548596,0.7714285714285715,0.9307155322862128,0.8,20.0,0.11694599033188258,0.11279315476803742,0.5388095238095238,0.5388805970149253,0.5387623762376237
MIX q=0.3 d1,mix,0.3,1.0,22.76144578313253,24.0,0.8786788058437434,0.9123403562239959,0.9667644847193451,0.8823858319116454,0.6571428571428573,0.9199200000000001,0.6666666666666666,30.0,-0.10312256035194012,-0.06312542698115642,0.5622619047619047,0.5731343283582089,0.5550495049504951
