X,n_lo,n_hi,mn,arm,form
14125375.45,24,50,24,DV,DEC
15848931.92,25,46,25,DV,DEC
17782794.1,24,43,24,DV,DEC
19952623.15,22,39,22,DV,DEC
22387211.39,19,34,19,DV,DEC
25118864.32,15,33,15,DV,DEC
28183829.31,13,28,13,DV,DEC
31622776.6,10,26,10,DV,DEC
0.18,26,30,26,VOL,MULT
0.19,32,38,32,VOL,MULT
0.2,38,43,38,VOL,MULT
0.21,47,54,47,VOL,MULT
0.22,57,67,57,VOL,MULT
0.23,66,75,66,VOL,MULT
0.24,74,87,74,VOL,MULT
0.25,77,95,77,VOL,MULT
0.26,80,103,80,VOL,MULT
0.27,90,110,90,VOL,MULT
0.28,97,117,97,VOL,MULT
0.29,104,121,104,VOL,MULT
0.3,107,129,107,VOL,MULT
0.31,118,138,118,VOL,MULT
0.32,124,142,124,VOL,MULT
0.33,127,149,127,VOL,MULT
0.34,136,150,136,VOL,MULT
0.35,139,154,139,VOL,MULT
0.36,145,155,145,VOL,MULT
0.37,155,158,155,VOL,MULT
0.38,156,157,156,VOL,MULT
0.39,158,159,158,VOL,MULT
0.4,157,161,157,VOL,MULT
0.41,158,161,158,VOL,MULT
0.42,154,158,154,VOL,MULT
0.43,153,160,153,VOL,MULT
0.44,152,157,152,VOL,MULT
0.45,152,153,152,VOL,MULT
0.46,150,150,150,VOL,MULT
0.47,143,144,143,VOL,MULT
0.48,140,142,140,VOL,MULT
0.49,140,141,140,VOL,MULT
0.5,139,138,138,VOL,MULT
0.51,141,136,136,VOL,MULT
0.52,138,135,135,VOL,MULT
0.53,135,133,133,VOL,MULT
0.54,132,130,130,VOL,MULT
0.55,131,123,123,VOL,MULT
0.56,126,121,121,VOL,MULT
0.57,122,117,117,VOL,MULT
0.58,119,112,112,VOL,MULT
0.59,118,111,111,VOL,MULT
0.6,115,110,110,VOL,MULT
0.61,111,101,101,VOL,MULT
0.62,108,96,96,VOL,MULT
0.63,104,94,94,VOL,MULT
0.64,102,90,90,VOL,MULT
0.65,101,89,89,VOL,MULT
0.66,100,85,85,VOL,MULT
0.67,99,83,83,VOL,MULT
0.68,99,82,82,VOL,MULT
0.69,95,77,77,VOL,MULT
0.7,95,75,75,VOL,MULT
0.71,88,71,71,VOL,MULT
0.72,86,69,69,VOL,MULT
0.73,83,67,67,VOL,MULT
0.74,81,64,64,VOL,MULT
0.75,78,63,63,VOL,MULT
0.76,76,60,60,VOL,MULT
0.77,75,58,58,VOL,MULT
0.78,73,55,55,VOL,MULT
0.79,73,51,51,VOL,MULT
0.8,68,49,49,VOL,MULT
0.002,6,5,5,ROLL,MULT
0.0025,11,13,11,ROLL,MULT
0.003,16,25,16,ROLL,MULT
0.0035,21,30,21,ROLL,MULT
0.004,26,35,26,ROLL,MULT
0.0045,41,41,41,ROLL,MULT
0.005,53,44,44,ROLL,MULT
0.0055,66,48,48,ROLL,MULT
0.006,81,50,50,ROLL,MULT
0.0065,85,48,48,ROLL,MULT
0.007,103,51,51,ROLL,MULT
0.0075,112,46,46,ROLL,MULT
0.008,124,42,42,ROLL,MULT
0.0085,128,39,39,ROLL,MULT
0.009,145,38,38,ROLL,MULT
0.0095,157,38,38,ROLL,MULT
0.01,167,36,36,ROLL,MULT
0.0105,178,33,33,ROLL,MULT
0.011,187,31,31,ROLL,MULT
0.0115,189,26,26,ROLL,MULT
0.012,196,24,24,ROLL,MULT
0.0125,197,23,23,ROLL,MULT
0.013,197,22,22,ROLL,MULT
0.0135,192,21,21,ROLL,MULT
0.014,193,16,16,ROLL,MULT
0.0145,193,14,14,ROLL,MULT
0.015,190,12,12,ROLL,MULT
0.0155,182,9,9,ROLL,MULT
0.016,181,9,9,ROLL,MULT
0.0165,180,8,8,ROLL,MULT
0.017,180,8,8,ROLL,MULT
0.0175,175,4,4,ROLL,MULT
0.018,167,4,4,ROLL,MULT
0.0185,161,3,3,ROLL,MULT
0.019,160,3,3,ROLL,MULT
0.0195,153,2,2,ROLL,MULT
0.02,151,2,2,ROLL,MULT
0.0205,147,2,2,ROLL,MULT
0.021,143,2,2,ROLL,MULT
0.0215,139,1,1,ROLL,MULT
0.022,138,1,1,ROLL,MULT
0.0225,133,1,1,ROLL,MULT
0.023,126,1,1,ROLL,MULT
0.0235,118,1,1,ROLL,MULT
0.024,115,1,1,ROLL,MULT
0.0245,108,1,1,ROLL,MULT
0.025,103,1,1,ROLL,MULT
0.0255,99,1,1,ROLL,MULT
0.026,93,1,1,ROLL,MULT
0.0265,89,1,1,ROLL,MULT
0.027,85,1,1,ROLL,MULT
0.0275,82,1,1,ROLL,MULT
0.028,75,1,1,ROLL,MULT
0.0285,72,1,1,ROLL,MULT
0.029,65,1,1,ROLL,MULT
0.0295,62,1,1,ROLL,MULT
0.03,57,1,1,ROLL,MULT
0.0305,50,1,1,ROLL,MULT
0.031,49,1,1,ROLL,MULT
0.0315,43,1,1,ROLL,MULT
0.032,43,0,0,ROLL,MULT
0.0325,41,0,0,ROLL,MULT
0.033,40,0,0,ROLL,MULT
0.0335,38,0,0,ROLL,MULT
0.034,34,0,0,ROLL,MULT
0.0345,33,0,0,ROLL,MULT
0.035,31,0,0,ROLL,MULT
0.0355,32,0,0,ROLL,MULT
0.036,32,0,0,ROLL,MULT
0.0365,29,0,0,ROLL,MULT
0.037,29,0,0,ROLL,MULT
0.0375,28,0,0,ROLL,MULT
0.038,26,0,0,ROLL,MULT
0.0385,26,0,0,ROLL,MULT
0.039,24,0,0,ROLL,MULT
0.0395,23,0,0,ROLL,MULT
0.04,23,0,0,ROLL,MULT
0.0405,22,0,0,ROLL,MULT
0.041,21,0,0,ROLL,MULT
0.0415,21,0,0,ROLL,MULT
0.042,19,0,0,ROLL,MULT
0.0425,18,0,0,ROLL,MULT
0.043,17,0,0,ROLL,MULT
0.0435,17,0,0,ROLL,MULT
0.044,17,0,0,ROLL,MULT
0.0445,15,0,0,ROLL,MULT
0.045,15,0,0,ROLL,MULT
0.0455,15,0,0,ROLL,MULT
0.046,14,0,0,ROLL,MULT
0.0465,14,0,0,ROLL,MULT
0.047,14,0,0,ROLL,MULT
0.0475,14,0,0,ROLL,MULT
0.048,14,0,0,ROLL,MULT
0.0485,14,0,0,ROLL,MULT
0.049,13,0,0,ROLL,MULT
0.0495,13,0,0,ROLL,MULT
0.05,13,0,0,ROLL,MULT
0.0505,13,0,0,ROLL,MULT
0.051,12,0,0,ROLL,MULT
0.0515,11,0,0,ROLL,MULT
0.052,10,0,0,ROLL,MULT
0.0525,10,0,0,ROLL,MULT
0.053,10,0,0,ROLL,MULT
0.0535,10,0,0,ROLL,MULT
0.054,9,0,0,ROLL,MULT
0.0545,9,0,0,ROLL,MULT
0.055,9,0,0,ROLL,MULT
0.0555,8,0,0,ROLL,MULT
0.056,8,0,0,ROLL,MULT
0.0565,8,0,0,ROLL,MULT
0.057,8,0,0,ROLL,MULT
0.0575,8,0,0,ROLL,MULT
0.058,8,0,0,ROLL,MULT
0.0585,8,0,0,ROLL,MULT
0.059,8,0,0,ROLL,MULT
0.0595,8,0,0,ROLL,MULT
0.06,8,0,0,ROLL,MULT
