panel,key,n,p,p_over_n,lam,preregistered,t_raw,R2_raw,raw_signal_strong,b_resid,t_resid,pR2,survive,kill,R2_control_reproduces_key,R2_fit_y,ctrl_t_resid,ctrl_survive,V_KILL,V_SIGN,V_SIG,readable
U56,sd_ann_ret,50,10,0.2,1.0,True,1.93277683278786,0.07220607062445983,False,-0.22727100333248845,-0.6647186927470604,0.009121264607130586,,,0.6834747057506221,0.4832732360641878,5.593714208893719,0.4027144363979942,,-1,False,False
U56,sd_ann_ret,50,10,0.2,10.0,False,1.93277683278786,0.07220607062445983,False,0.15970453114272573,0.43539731507396295,0.003933855785392737,,,0.5478751655122202,0.4083784371875644,13.19357548750224,0.799921482309631,,1,False,False
U56,sd_ann_ret,50,10,0.2,100.0,True,1.93277683278786,0.07220607062445983,False,0.7158403185539663,1.6507698170896588,0.05372180950241923,,,0.15409337983685378,0.12961853984962501,38.40182398958082,0.9883310111969793,,1,False,False
U56,sd_ann_ret,50,10,0.2,1000.0,False,1.93277683278786,0.07220607062445983,False,0.8692352395766284,1.9019848476125967,0.07008365595837107,,,0.01868873496720147,0.016247490671078557,47.53870729400522,0.9992759586447462,,1,False,False
U56,sd_ann_ret,50,20,0.4,0.0,False,1.93277683278786,0.07220607062445983,False,0.011734082862751639,0.048729723053965286,4.946809255579332e-05,,,0.8568702853860795,0.7460190814202501,2.6935689176478728,0.13399704640073518,,1,False,False
U56,sd_ann_ret,50,20,0.4,0.001,False,1.93277683278786,0.07220607062445983,False,0.011793587324779154,0.04897684490749807,4.997107229010034e-05,,,0.8568702738253242,0.7460190529713748,2.6950593955808477,0.13412588526530086,,1,False,False
U56,sd_ann_ret,50,20,0.4,0.01,True,1.93277683278786,0.07220607062445983,False,0.01232780550305238,0.05119520239193224,5.4600117579850505e-05,,,0.8568691370331074,0.7460162550331024,2.7084523511934395,0.13528510073264366,,1,False,False
U56,sd_ann_ret,50,20,0.4,0.1,False,1.93277683278786,0.07220607062445983,False,0.017545966743997343,0.0728297314266238,0.00011049132739404666,,,0.8567626183478534,0.745753861542005,2.840354127933911,0.14684055373966265,,1,False,False
U56,sd_ann_ret,50,20,0.4,1.0,True,1.93277683278786,0.07220607062445983,False,0.061544825748006786,0.24812883036400027,0.001281021804465876,,,0.8501685913654281,0.7301921858119929,4.01374380954301,0.25643993952419114,,1,False,False
U56,sd_ann_ret,50,20,0.4,10.0,False,1.93277683278786,0.07220607062445983,False,0.3013593715975506,0.9413186357818966,0.018125420570435202,,,0.7191301079181338,0.5427967977741426,11.887951267372493,0.7617682365006858,,1,False,False
U56,sd_ann_ret,50,20,0.4,100.0,True,1.93277683278786,0.07220607062445983,False,0.7289820134987531,1.7176002499399186,0.05790268689641598,,,0.24532306708207163,0.16254233569216325,39.873616378487114,0.990593691743642,,1,False,False
