panel,device,turn_yr,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,FULL_4b,FULL_4a_POOLED,FULL_4a_H2_MIN,FULL_4a_H2_ALL,FULL_4a_T3_MIN,FULL_4a_T3_ALL,FULL_4a_Y_MIN,FULL_4a_Y_ALL,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_4b,IS_4a_POOLED,IS_4a_H2_MIN,IS_4a_H2_ALL,IS_4a_T3_MIN,IS_4a_T3_ALL,IS_4a_Y_MIN,IS_4a_Y_ALL,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_4a_POOLED,OOS_4a_H2_MIN,OOS_4a_H2_ALL,OOS_4a_T3_MIN,OOS_4a_T3_ALL,OOS_4a_Y_MIN,OOS_4a_Y_ALL
SMALL,MAXVOL0.80_G1.00,14.18383481412807,0.06705076371028285,0.4702522775844455,-0.47872998385438437,False,False,False,False,False,False,False,False,0.08776084516442983,0.6741649086599488,-0.22814557816836833,False,False,False,False,False,False,False,False,0.05450384230259875,0.38114612183662655,-0.4787299838543848,False,False,False,False,False,False,False,False
SMALL,TOP10_G1.00,34.18838367512133,0.12167103459820039,0.5757936150848723,-0.3715553105208471,False,False,False,False,False,False,False,False,0.1272331439812846,0.6315599443012819,-0.2636438926182678,False,False,False,False,False,False,False,False,0.11826219669346982,0.5485248694036164,-0.37155531052084734,False,False,False,False,False,False,False,False
SMALL,TOP20_G1.00,28.416125063300896,0.09908032556813962,0.5414593027413278,-0.42010835288449433,False,False,False,False,False,False,False,False,0.09777189664762309,0.5702932623077407,-0.26168771693615367,False,False,False,False,False,False,False,False,0.09988620504430812,0.5283419577904036,-0.4201083528844938,False,False,False,False,False,False,False,False
SMALL,TOP40_G1.00,25.134066463466603,0.0662225507926657,0.42757493622937226,-0.4255977034082167,False,False,False,False,False,False,False,False,0.06244530599248499,0.43906165276666537,-0.2670473361063668,False,False,False,False,False,False,False,False,0.06855344185375212,0.4242403107157031,-0.4255977034082179,False,False,False,False,False,False,False,False
SMALL,RULESv1,33.60490653825319,0.09696161065781239,0.8642577413509702,-0.3150213402189773,False,False,False,False,False,False,False,False,0.12807633520702888,1.1272879714855175,-0.1396799028796265,False,False,False,False,False,False,False,False,0.0782440773808677,0.7072610659474738,-0.31502134021897643,False,False,False,False,False,False,False,False
U56,BAND0.00_G0.75,3.1327106349295484,0.08165184515098312,1.1669654581755387,-0.12011689731741959,False,False,False,False,True,False,True,False,0.07117866491405733,1.054776069169689,-0.08704598669344177,False,False,False,False,False,False,False,False,0.09033959987573437,1.2550738924501,-0.12011689731741948,False,False,True,False,True,False,True,False
U56,BAND0.03_G0.75,1.773555812069992,0.08618487105855244,1.2009973252288961,-0.12054956914840909,False,False,True,False,True,False,True,False,0.07609481030855947,1.1042698858397506,-0.07887209552613339,False,False,True,False,True,False,True,False,0.09455179369762767,1.276620821629499,-0.12054956914840886,False,False,True,False,True,False,True,False
U56,BAND0.08_G0.75,1.125063222352518,0.08504228251208534,1.1448593606743658,-0.14466929080934032,False,False,False,False,False,False,False,False,0.07940250579121688,1.1222410600224608,-0.08467564665012739,False,False,False,False,False,False,False,False,0.08970139705213254,1.1634623622573341,-0.14466929080934032,False,False,False,False,False,False,False,False
U56,MAXVOL0.60_G0.75,8.198860354821166,0.1036256186991058,1.0458078150338668,-0.15874718333907423,False,False,False,False,False,False,False,False,0.09295489792576372,0.9696539320665039,-0.11203324998169295,False,False,False,False,False,False,False,False,0.11247712575630597,1.105916450065323,-0.15874718333907456,True,False,False,False,False,False,False,False
U56,MAXVOL0.80_G0.75,7.867748908325839,0.10680598809405639,1.0523818905322382,-0.16096291502767557,True,False,False,False,False,False,False,False,0.10221080403277205,1.0460098385866479,-0.1098368729454069,False,False,False,False,False,False,False,False,0.11059851452098157,1.0580932452229062,-0.16096291502767668,True,False,False,False,False,False,False,False
