scope,neutral,q,tau,n,abstain_rate,D_raw,t_raw,D_net,t_net,FREE,t_free,verdict_raw,verdict_net,flips,file
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,0.3,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,0.4,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,0.5,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,0.6,4.437930580447994e-05,10,0.6,0.0,,-0.00629416121001769,-2.3079153842339974,0.00629416121001769,2.3079153842339974,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,0.7,0.00030319658252755987,10,0.7,0.0,,-0.00629416121001769,-2.3079153842339974,0.00629416121001769,2.3079153842339974,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,0.8,0.0009720854913914602,10,0.8,-0.00046457326076208003,-1.0000000000000002,-0.006437293233440699,-2.389442378187927,0.0059727199726786195,2.112919885522785,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,0.9,0.002736779060602677,10,0.9,0.03818185118671394,0.9865908033785157,0.01675539776886537,0.6967300538978871,0.02142645341784857,1.424330377540767,POS,POS,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,1.0,inf,10,1.0,0.04237989886081875,1.1017040117037433,0.018589826344965036,0.7753363258013538,0.023790072515853713,1.601636053979282,POS,POS,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,0.1,0.0,18,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,0.2,0.0,18,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,0.3,0.0,18,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,0.4,0.0001286362931581601,18,0.3888888888888889,0.0,,-0.023137983635665132,-2.053928034516435,0.023137983635665132,2.053928034516435,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,0.5,0.0028858515773153,18,0.5,0.0,,-0.02638888390350018,-2.378580041290682,0.02638888390350018,2.378580041290682,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
