
========================================================================================================================================================================================================
PANEL u56: 56 tradable names, 2008-01-02 -> 2026-09-04 | eval from 2009-01-13 | IS <= 2016-12-31 | OOS >= 2017-01-01
  SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: DD cap 20.23%, CAGR floor 10.66%
  regime spy200     armed 0.171 (757 days) | IS 0.177 OOS 0.165
  regime breadth20  armed 0.087 (384 days) | IS 0.031 OOS 0.132
  CHECK(a) run_cond(no instrument) == engine.backtest @0bps: max|diff| = 0.000e+00
  CHECK(a) run_cond(no instrument) == engine.backtest @10bps: max|diff| = 0.000e+00
  CHECK(a) run_cond(no instrument) == engine.backtest @25bps: max|diff| = 0.000e+00

========================================================================================================================================================================================================
PANEL broad: 136 tradable names, 2008-01-02 -> 2026-09-04 | eval from 2009-01-13 | IS <= 2016-12-31 | OOS >= 2017-01-01
  SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: DD cap 20.23%, CAGR floor 10.66%
  regime spy200     armed 0.171 (757 days) | IS 0.177 OOS 0.165
  regime breadth20  armed 0.081 (359 days) | IS 0.025 OOS 0.127

========================================================================================================================================================================================================
PANEL small: 439 tradable names, 2010-01-04 -> 2026-09-04 | eval from 2011-01-13 | IS <= 2016-12-31 | OOS >= 2017-01-01
  SPY CAGR 14.13% Sharpe 0.862 MaxDD -33.72% halves 0.891/0.858 OOS 0.882 | 4b bars: DD cap 20.23%, CAGR floor 9.89%
  regime spy200     armed 0.153 (603 days) | IS 0.134 OOS 0.165
  regime breadth20  armed 0.123 (484 days) | IS 0.049 OOS 0.169

========================================================================================================================================================================================================
LIVE-BASELINE CONTEXT — idea 246's imported `keep_paths` judges 4a against RULES v1 (the pre-2026-09-06 convention).  RULES v2 has been live since 2026-09-06 and is printed here so no 4a count in this file is read as a claim against the live book:
panel    cost            book   CAGR  Sharpe   MaxDD     H1     H2  OOS_CAGR  OOS_Sharpe
  u56  0.0000        RULES v1 0.0900  0.8954 -0.1359 0.8786 0.9149    0.1044      0.9780
  u56  0.0000 RULES v2 (LIVE) 0.0885  1.2307 -0.1203 1.2511 1.2158    0.0973      1.3096
  u56 10.0000        RULES v1 0.0646  0.6647 -0.1383 0.6421 0.6878    0.0773      0.7471
  u56 10.0000 RULES v2 (LIVE) 0.0866  1.2056 -0.1205 1.2259 1.1909    0.0953      1.2851
  u56 25.0000        RULES v1 0.0276  0.3174 -0.1563 0.2860 0.3460    0.0378      0.3992
  u56 25.0000 RULES v2 (LIVE) 0.0837  1.1681 -0.1209 1.1881 1.1534    0.0924      1.2483
broad  0.0000        RULES v1 0.0956  0.9118 -0.1835 1.0363 0.8070    0.0928      0.8569
broad  0.0000 RULES v2 (LIVE) 0.0825  1.1336 -0.1221 1.2547 1.0144    0.0821      1.1481
broad 10.0000        RULES v1 0.0639  0.6350 -0.2119 0.7562 0.5320    0.0594      0.5763
broad 10.0000 RULES v2 (LIVE) 0.0803  1.1058 -0.1224 1.2291 0.9844    0.0798      1.1185
broad 25.0000        RULES v1 0.0179  0.2195 -0.2672 0.3350 0.1198    0.0111      0.1554
broad 25.0000 RULES v2 (LIVE) 0.0770  1.0640 -0.1228 1.1906 0.9393    0.0764      1.0740
small  0.0000        RULES v1 0.1182  0.8281 -0.2930 0.9329 0.7359    0.1157      0.8010
small  0.0000 RULES v2 (LIVE) 0.0409  0.6113 -0.1433 0.6095 0.6153    0.0414      0.6071
small 10.0000        RULES v1 0.0815  0.6027 -0.3284 0.6894 0.5263    0.0792      0.5807
small 10.0000 RULES v2 (LIVE) 0.0380  0.5710 -0.1470 0.5682 0.5757    0.0384      0.5665
small 25.0000        RULES v1 0.0286  0.2645 -0.4304 0.3240 0.2115    0.0267      0.2501
small 25.0000 RULES v2 (LIVE) 0.0337  0.5106 -0.1527 0.5064 0.5164    0.0339      0.5056

========================================================================================================================================================================================================
GRID: 1107 runs written to 2026-09-08_do-de-grossing-instruments-belong-armed-only-in-crashes-after-all_B.grid.csv (25 arm labels x 3 panels x 3 books x 3 cost rungs)
GROSS MATCH QUALITY: max |achieved - target| mean gross over all 432 matched controls = 8.63e-05 (tolerance 0.0001); mu range 0.8262 - 1.0571

----- FULL GRID (every point) -----
panel  book    cost                        arm            regime  armed_frac  mean_gross  turnover   CAGR  Sharpe   MaxDD     H1      H2  OOS_Sharpe  pass4a  pass4b
  u56   V1u  0.0000    MATCHED[ddctl08/spy200]    matched-spy200      0.1705      0.7681   23.7992 0.0901  0.8958 -0.1418 0.9181  0.8812      0.9487   False   False
  u56   V1u  0.0000                    ddctl08         breadth20      0.0865      0.7393   23.2770 0.0851  0.8732 -0.1458 0.9151  0.8410      0.9120   False   False
  u56   V1u  0.0000 MATCHED[ddctl08/breadth20] matched-breadth20      0.0865      0.7816   24.2168 0.0916  0.8957 -0.1441 0.9181  0.8810      0.9486   False   False
  u56   V1u  0.0000                    ddctl12            always      1.0000      0.6969   21.5192 0.0680  0.7562 -0.1518 0.9181  0.5970      0.6970   False   False
  u56   V1u  0.0000                    ddctl12            spy200      0.1705      0.7450   23.2237 0.0870  0.8880 -0.1379 0.9181  0.8665      0.9353   False   False
  u56   V1u  0.0000    MATCHED[ddctl12/spy200]    matched-spy200      0.1705      0.7875   24.4020 0.0923  0.8957 -0.1452 0.9182  0.8810      0.9486   False   False
  u56   V1u  0.0000                    ddctl12         breadth20      0.0865      0.7474   23.2924 0.0873  0.8903 -0.1386 0.9181  0.8707      0.9392   False   False
  u56   V1u  0.0000 MATCHED[ddctl12/breadth20] matched-breadth20      0.0865      0.7901   24.4822 0.0926  0.8957 -0.1456 0.9182  0.8809      0.9485   False   False
  u56   V1u  0.0000                    ddctl16            always      1.0000      0.7499   23.2356 0.0880  0.8959 -0.1386 0.9181  0.8814      0.9489   False   False
  u56   V1u  0.0000                    ddctl16            spy200      0.1705      0.7499   23.2356 0.0880  0.8959 -0.1386 0.9181  0.8814      0.9489   False   False
  u56   V1u  0.0000    MATCHED[ddctl16/spy200]    matched-spy200      0.1705      0.7927   24.5624 0.0929  0.8957 -0.1460 0.9182  0.8809      0.9485   False   False
  u56   V1u  0.0000                    ddctl16         breadth20      0.0865      0.7499   23.2356 0.0880  0.8959 -0.1386 0.9181  0.8814      0.9489   False   False
  u56   V1u  0.0000 MATCHED[ddctl16/breadth20] matched-breadth20      0.0865      0.7927   24.5624 0.0929  0.8957 -0.1460 0.9182  0.8809      0.9485   False   False
  u56   V1u 10.0000                    CONTROL              none      1.0000      0.7499   23.2356 0.0630  0.6633 -0.1567 0.6831  0.6498      0.7136   False   False
  u56   V1u 10.0000                    gross00            always      1.0000      0.0000    0.0000 0.0000     NaN  0.0000    NaN     NaN         NaN   False   False
  u56   V1u 10.0000                    gross00            spy200      0.1705      0.6192   22.0349 0.0567  0.6249 -0.1342 0.6445  0.6104      0.6806   False   False
  u56   V1u 10.0000    MATCHED[gross00/spy200]    matched-spy200      0.1705      0.6547   20.2882 0.0554  0.6637 -0.1380 0.6828  0.6508      0.7144   False   False
  u56   V1u 10.0000                    gross00         breadth20      0.0865      0.6831   22.6594 0.0560  0.6074 -0.1521 0.6561  0.5661      0.6383   False   False
  u56   V1u 10.0000 MATCHED[gross00/breadth20] matched-breadth20      0.0865      0.7222   22.3771 0.0608  0.6635 -0.1513 0.6830  0.6501      0.7138   False   False
  u56   V1u 10.0000                    gross25            always      1.0000      0.1876    5.8282 0.0164  0.6650 -0.0413 0.6809  0.6549      0.7178   False   False
  u56   V1u 10.0000                    gross25            spy200      0.1705      0.6519   22.3305 0.0584  0.6403 -0.1342 0.6588  0.6269      0.6957   False   False
  u56   V1u 10.0000    MATCHED[gross25/spy200]    matched-spy200      0.1705      0.6892   21.3566 0.0582  0.6636 -0.1448 0.6829  0.6504      0.7141   False   False
  u56   V1u 10.0000                    gross25         breadth20      0.0865      0.6998   22.8002 0.0578  0.6243 -0.1479 0.6633  0.5919      0.6621   False   False
  u56   V1u 10.0000 MATCHED[gross25/breadth20] matched-breadth20      0.0865      0.7398   22.9234 0.0622  0.6634 -0.1548 0.6830  0.6499      0.7137   False   False
  u56   V1u 10.0000                    gross50            always      1.0000      0.3751   11.6383 0.0324  0.6646 -0.0811 0.6817  0.6533      0.7165   False   False
  u56   V1u 10.0000                    gross50            spy200      0.1705      0.6846   22.6257 0.0600  0.6519 -0.1342 0.6701  0.6390      0.7062   False   False
  u56   V1u 10.0000    MATCHED[gross50/spy200]    matched-spy200      0.1705      0.7237   22.4251 0.0609  0.6635 -0.1516 0.6830  0.6501      0.7138   False   False
  u56   V1u 10.0000                    gross50         breadth20      0.0865      0.7165   22.9410 0.0596  0.6393 -0.1440 0.6702  0.6146      0.6827   False   False
  u56   V1u 10.0000 MATCHED[gross50/breadth20] matched-breadth20      0.0865      0.7574   23.4697 0.0636  0.6633 -0.1582 0.6831  0.6498      0.7135   False   False
  u56   V1u 10.0000                    gross75            always      1.0000      0.5625   17.4371 0.0479  0.6640 -0.1196 0.6825  0.6516      0.7151   False   False
  u56   V1u 10.0000                    gross75            spy200      0.1705      0.7172   22.9213 0.0616  0.6596 -0.1422 0.6782  0.6466      0.7121   False   False
  u56   V1u 10.0000    MATCHED[gross75/spy200]    matched-spy200      0.1705      0.7582   23.4936 0.0637  0.6633 -0.1583 0.6831  0.6497      0.7135   False   False
  u56   V1u 10.0000                    gross75         breadth20      0.0865      0.7332   23.0823 0.0613  0.6524 -0.1406 0.6768  0.6339      0.6999   False   False
  u56   V1u 10.0000 MATCHED[gross75/breadth20] matched-breadth20      0.0865      0.7751   24.0160 0.0650  0.6632 -0.1616 0.6831  0.6496      0.7134   False   False
  u56   V1u 10.0000                    ddctl04            always      1.0000      0.4484   14.3302 0.0167  0.2822 -0.1200 0.2158  0.3425      0.3736   False   False
  u56   V1u 10.0000                    ddctl04            spy200      0.1705      0.6963   22.7447 0.0587  0.6372 -0.1445 0.6652  0.6156      0.6841   False   False
  u56   V1u 10.0000    MATCHED[ddctl04/spy200]    matched-spy200      0.1705      0.7361   22.8092 0.0619  0.6634 -0.1540 0.6830  0.6500      0.7137   False   False
  u56   V1u 10.0000                    ddctl04         breadth20      0.0865      0.7206   23.0359 0.0582  0.6249 -0.1441 0.6702  0.5877      0.6574   False   False
  u56   V1u 10.0000 MATCHED[ddctl04/breadth20] matched-breadth20      0.0865      0.7617   23.6024 0.0640  0.6633 -0.1590 0.6831  0.6497      0.7135   False   False
  u56   V1u 10.0000                    ddctl08            always      1.0000      0.5827   18.3276 0.0430  0.5425 -0.1264 0.5375  0.5475      0.5856   False   False
  u56   V1u 10.0000                    ddctl08            spy200      0.1705      0.7197   23.0338 0.0603  0.6448 -0.1612 0.6646  0.6308      0.6970   False   False
  u56   V1u 10.0000    MATCHED[ddctl08/spy200]    matched-spy200      0.1705      0.7609   23.5753 0.0639  0.6633 -0.1589 0.6831  0.6497      0.7135   False   False
  u56   V1u 10.0000                    ddctl08         breadth20      0.0865      0.7386   23.2682 0.0604  0.6413 -0.1609 0.6804  0.6103      0.6775   False   False
  u56   V1u 10.0000 MATCHED[ddctl08/breadth20] matched-breadth20      0.0865      0.7808   24.1919 0.0655  0.6632 -0.1627 0.6831  0.6495      0.7133   False   False
  u56   V1u 10.0000                    ddctl12            always      1.0000      0.6567   20.2263 0.0436  0.5253 -0.1604 0.6090  0.4415      0.4864   False   False
  u56   V1u 10.0000                    ddctl12            spy200      0.1705      0.7431   23.1794 0.0604  0.6407 -0.1711 0.6831  0.6071      0.6742   False   False
  u56   V1u 10.0000    MATCHED[ddctl12/spy200]    matched-spy200      0.1705      0.7855   24.3384 0.0658  0.6632 -0.1636 0.6832  0.6495      0.7133   False   False
  u56   V1u 10.0000                    ddctl12         breadth20      0.0865      0.7463   23.3159 0.0609  0.6445 -0.1683 0.6831  0.6144      0.6809   False   False
  u56   V1u 10.0000 MATCHED[ddctl12/breadth20] matched-breadth20      0.0865      0.7889   24.4435 0.0661  0.6632 -0.1643 0.6832  0.6494      0.7132   False   False
  u56   V1u 10.0000                    ddctl16            always      1.0000      0.7499   23.2356 0.0630  0.6633 -0.1567 0.6831  0.6498      0.7136   False   False
  u56   V1u 10.0000                    ddctl16            spy200      0.1705      0.7499   23.2356 0.0630  0.6633 -0.1567 0.6831  0.6498      0.7136   False   False
  u56   V1u 10.0000    MATCHED[ddctl16/spy200]    matched-spy200      0.1705      0.7927   24.5624 0.0664  0.6632 -0.1650 0.6832  0.6494      0.7132   False   False
  u56   V1u 10.0000                    ddctl16         breadth20      0.0865      0.7499   23.2356 0.0630  0.6633 -0.1567 0.6831  0.6498      0.7136   False   False
  u56   V1u 10.0000 MATCHED[ddctl16/breadth20] matched-breadth20      0.0865      0.7927   24.5624 0.0664  0.6632 -0.1650 0.6832  0.6494      0.7132   False   False
  u56   V1u 25.0000                    CONTROL              none      1.0000      0.7499   23.2356 0.0266  0.3132 -0.1995 0.3288  0.3014      0.3592   False   False
  u56   V1u 25.0000                    gross00            always      1.0000      0.0000    0.0000 0.0000     NaN  0.0000    NaN     NaN         NaN   False   False
  u56   V1u 25.0000                    gross00            spy200      0.1705      0.6192   22.0349 0.0223  0.2784 -0.1550 0.2842  0.2746      0.3373   False   False
  u56   V1u 25.0000    MATCHED[gross00/spy200]    matched-spy200      0.1705      0.6547   20.2882 0.0238  0.3135 -0.1760 0.3284  0.3023      0.3599   False   False
  u56   V1u 25.0000                    gross00         breadth20      0.0865      0.6831   22.6594 0.0207  0.2586 -0.1721 0.3041  0.2191      0.2848   False   False
  u56   V1u 25.0000 MATCHED[gross00/breadth20] matched-breadth20      0.0865      0.7222   22.3771 0.0258  0.3133 -0.1927 0.3287  0.3017      0.3594   False   False
  u56   V1u 25.0000                    gross25            always      1.0000      0.1876    5.8282 0.0075  0.3136 -0.0532 0.3251  0.3054      0.3623   False   False
  u56   V1u 25.0000                    gross25            spy200      0.1705      0.6519   22.3305 0.0235  0.2902 -0.1522 0.2978  0.2847      0.3465   False   False
  u56   V1u 25.0000    MATCHED[gross25/spy200]    matched-spy200      0.1705      0.6892   21.3566 0.0248  0.3134 -0.1846 0.3285  0.3020      0.3597   False   False
  u56   V1u 25.0000                    gross25         breadth20      0.0865      0.6998   22.8002 0.0222  0.2738 -0.1633 0.3105  0.2423      0.3062   False   False
  u56   V1u 25.0000 MATCHED[gross25/breadth20] matched-breadth20      0.0865      0.7398   22.9234 0.0263  0.3132 -0.1970 0.3288  0.3015      0.3593   False   False
  u56   V1u 25.0000                    gross50            always      1.0000      0.3751   11.6383 0.0145  0.3137 -0.1041 0.3266  0.3043      0.3615   False   False
  u56   V1u 25.0000                    gross50            spy200      0.1705      0.6846   22.6257 0.0246  0.3000 -0.1664 0.3100  0.2927      0.3533   False   False
  u56   V1u 25.0000    MATCHED[gross50/spy200]    matched-spy200      0.1705      0.7237   22.4251 0.0258  0.3133 -0.1931 0.3287  0.3017      0.3594   False   False
  u56   V1u 25.0000                    gross50         breadth20      0.0865      0.7165   22.9410 0.0237  0.2881 -0.1642 0.3168  0.2639      0.3259   False   False
  u56   V1u 25.0000 MATCHED[gross50/breadth20] matched-breadth20      0.0865      0.7574   23.4697 0.0268  0.3132 -0.2013 0.3288  0.3014      0.3591   False   False
  u56   V1u 25.0000                    gross75            always      1.0000      0.5625   17.4371 0.0209  0.3136 -0.1529 0.3279  0.3030      0.3605   False   False
  u56   V1u 25.0000                    gross75            spy200      0.1705      0.7172   22.9213 0.0257  0.3078 -0.1830 0.3205  0.2983      0.3576   False   False
  u56   V1u 25.0000    MATCHED[gross75/spy200]    matched-spy200      0.1705      0.7582   23.4936 0.0268  0.3132 -0.2015 0.3288  0.3014      0.3591   False   False
  u56   V1u 25.0000                    gross75         breadth20      0.0865      0.7332   23.0823 0.0252  0.3013 -0.1819 0.3229  0.2839      0.3438   False   False
  u56   V1u 25.0000 MATCHED[gross75/breadth20] matched-breadth20      0.0865      0.7751   24.0160 0.0273  0.3131 -0.2056 0.3289  0.3012      0.3590   False   False
  u56   V1u 25.0000                    ddctl04            always      1.0000      0.4097   12.8796 0.0050  0.1146 -0.1240 0.1015  0.1266      0.1860   False   False
  u56   V1u 25.0000                    ddctl04            spy200      0.1705      0.6943   22.7184 0.0234  0.2872 -0.1811 0.3052  0.2727      0.3345   False   False
  u56   V1u 25.0000    MATCHED[ddctl04/spy200]    matched-spy200      0.1705      0.7340   22.7429 0.0261  0.3132 -0.1956 0.3287  0.3016      0.3593   False   False
  u56   V1u 25.0000                    ddctl04         breadth20      0.0865      0.7185   23.0095 0.0225  0.2753 -0.1820 0.3168  0.2401      0.3035   False   False
  u56   V1u 25.0000 MATCHED[ddctl04/breadth20] matched-breadth20      0.0865      0.7596   23.5361 0.0269  0.3132 -0.2018 0.3288  0.3013      0.3591   False   False
  u56   V1u 25.0000                    ddctl08            always      1.0000      0.4614   14.3699 0.0101  0.1834 -0.1430 0.1408  0.2226      0.2698   False   False
  u56   V1u 25.0000                    ddctl08            spy200      0.1705      0.7102   22.9010 0.0243  0.2942 -0.1988 0.2956  0.2943      0.3540   False   False
  u56   V1u 25.0000    MATCHED[ddctl08/spy200]    matched-spy200      0.1705      0.7508   23.2625 0.0266  0.3132 -0.1997 0.3288  0.3014      0.3592   False   False
  u56   V1u 25.0000                    ddctl08         breadth20      0.0865      0.7327   23.2228 0.0244  0.2933 -0.1998 0.3265  0.2658      0.3268   False   False
  u56   V1u 25.0000 MATCHED[ddctl08/breadth20] matched-breadth20      0.0865      0.7746   24.0005 0.0273  0.3131 -0.2055 0.3289  0.3012      0.3590   False   False
  u56   V1u 25.0000                    ddctl12            always      1.0000      0.6164   18.8076 0.0169  0.2395 -0.1626 0.2755  0.2014      0.2418   False   False
  u56   V1u 25.0000                    ddctl12            spy200      0.1705      0.7378   23.0827 0.0250  0.2992 -0.2082 0.3288  0.2748      0.3352   False   False
  u56   V1u 25.0000    MATCHED[ddctl12/spy200]    matched-spy200      0.1705      0.7799   24.1665 0.0275  0.3131 -0.2068 0.3289  0.3011      0.3590   False   False
  u56   V1u 25.0000                    ddctl12         breadth20      0.0865      0.7435   23.3226 0.0244  0.2924 -0.2108 0.3288  0.2623      0.3232   False   False
  u56   V1u 25.0000 MATCHED[ddctl12/breadth20] matched-breadth20      0.0865      0.7860   24.3545 0.0276  0.3131 -0.2082 0.3289  0.3011      0.3589   False   False
  u56   V1u 25.0000                    ddctl16            always      1.0000      0.6761   20.7240 0.0246  0.3094 -0.1900 0.3288  0.2900      0.3580   False   False
  u56   V1u 25.0000                    ddctl16            spy200      0.1705      0.7490   23.2512 0.0260  0.3072 -0.2005 0.3288  0.2902      0.3488   False   False
  u56   V1u 25.0000    MATCHED[ddctl16/spy200]    matched-spy200      0.1705      0.7918   24.5348 0.0278  0.3130 -0.2096 0.3289  0.3010      0.3589   False   False
  u56   V1u 25.0000                    ddctl16         breadth20      0.0865      0.7495   23.2433 0.0261  0.3079 -0.1995 0.3288  0.2916      0.3500   False   False
