panel,N,H,gross,cadence,full_CAGR,full_Sharpe,full_MaxDD,h1_CAGR,h1_Sharpe,h1_MaxDD,h2_CAGR,h2_Sharpe,h2_MaxDD,is__CAGR,is__Sharpe,is__MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4a,keep4b,fail4a,fail4b
SMALL663,10,126,0.75,W,0.08738597229771328,0.5077088915611145,-0.4343984789946609,0.11003103134623515,0.666107198430406,-0.3307160371512059,0.06520288114452955,0.38965604063737835,-0.4343984789946608,0.10069123529781288,0.5980266152300765,-0.3307160371512059,0.07926243405057654,0.4602242647267605,-0.43439847899466055,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,12,126,0.75,W,0.08895523755641577,0.5246180417374494,-0.4124306128087869,0.1133365071640231,0.7020594090803277,-0.3440499130229171,0.06510790023599511,0.39376820175143434,-0.41243061280878746,0.09044102146749511,0.5634894924867215,-0.3440499130229171,0.08804013525720511,0.5055573913359058,-0.41243061280878723,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,15,126,0.75,W,0.08504516999461353,0.5204801991869468,-0.4038952750462089,0.11809408335689553,0.7524202797906945,-0.30002946765490424,0.052973124939467375,0.34802962958597217,-0.3878193863810382,0.09945481566586789,0.6265349944603038,-0.30002946765490424,0.07625468508135591,0.4651833510314538,-0.4038952750462086,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,10,0.75,W,0.09472015579549531,0.6238090738480946,-0.3456361154647498,0.11544400965747315,0.813001336461145,-0.1676341350172177,0.07438133077868936,0.4802151884732042,-0.3403369334722237,0.11096364725319052,0.7734019906236804,-0.1676341350172177,0.08482325609089925,0.5482539936731646,-0.34563611546475115,False,False,"H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.25,W,0.029191545782957684,0.5049207609070724,-0.13183902235094602,0.03381058393987346,0.6607163624959433,-0.09038952678717382,0.02459314536551438,0.39198019888495894,-0.13183902235094602,0.03261687716598072,0.6090483803908999,-0.09038952678717382,0.027085204471689384,0.45114586804116835,-0.1318390223509467,False,False,"H1,H2","H1,H2,OOS,CAGR"
SMALL663,20,126,0.35,W,0.0400906113882582,0.5054232469105441,-0.1809676143303226,0.04690828335227781,0.6613392794051325,-0.12479250945083098,0.033317337440520234,0.39242149377614505,-0.18096761433032238,0.04512763887225346,0.609618430608879,-0.12479250945083098,0.036996964200484816,0.45161823319396216,-0.1809676143303226,False,False,"H1,H2,DD","H1,H2,OOS,CAGR"
SMALL663,20,126,0.45,W,0.0505153209185647,0.5059131428140988,-0.2281109648977847,0.059737515751754566,0.6619399373761774,-0.158219606462761,0.04137338074870134,0.3928632251640825,-0.22811096489778482,0.057304836274744364,0.6101686728929586,-0.158219606462761,0.04635075735338501,0.4520840558036505,-0.2281109648977846,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.55,W,0.06044569311626957,0.5063892997069884,-0.27332084801074585,0.07228165604837611,0.6625180644728864,-0.19068982632565212,0.04874037684564425,0.3933038636925836,-0.27332084801074585,0.06913043948827102,0.6107002392487173,-0.19068982632565212,0.05512600881869556,0.4525410968837965,-0.27332084801074585,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.65,W,0.06986196257218147,0.5068516743429775,-0.3166477046397893,0.08452377359445484,0.6630719867448638,-0.2222190958783229,0.05539836638639839,0.3937449659224142,-0.3166477046397892,0.08058614177571077,0.6112115983790862,-0.2222190958783229,0.06330270992775588,0.4529902531068629,-0.31664770463978953,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.75,2M,0.10376786839218588,0.6285517831997037,-0.34374664514066244,0.11006903885538,0.7426308374579773,-0.2791906761408236,0.09750246574866339,0.5525309399371158,-0.34374664514066255,0.0842952310902585,0.5823784586904309,-0.2791906761408236,0.11594828465962714,0.6560786598320142,-0.34374664514066233,False,False,"H1,H2,DD","H1,H2,OOS,DD"
SMALL663,20,126,0.75,2Q,0.03246264009186084,0.26347101248179494,-0.5178020434442858,0.06895148750502322,0.511511165361216,-0.27246139344216413,-0.002780654084223344,0.10696558416548786,-0.47004761015165175,0.03949437441838799,0.3281525668078125,-0.27246139344216413,0.028150708089021093,0.23974576821673704,-0.5178020434442858,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.75,2W,0.08032985070843757,0.5033252236788537,-0.37129193395271654,0.08384280854274251,0.5691425238703117,-0.22539866643100714,0.07682827909420964,0.4578042781196776,-0.3712919339527164,0.07483215476746419,0.5016350557323845,-0.22539866643100714,0.08373365065987648,0.5056935981173519,-0.3712919339527164,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.75,4Q,-0.004624673451927297,0.10924540737448185,-0.6719414656763272,0.03341316892621338,0.28237870395246245,-0.3124852389525782,-0.04126242001525682,0.02920733579693456,-0.6719414656763267,0.029026584005192868,0.2525555634607225,-0.3124852389525782,-0.024822750760040035,0.06197807592992841,-0.6719414656763272,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.75,D,0.06971269552937387,0.45441270516573373,-0.3830845902276777,0.1023782893716112,0.6781391001188909,-0.21673822273224752,0.03801504620432583,0.28405523698711654,-0.36391674257253415,0.09658786977628542,0.6296048814005821,-0.21673822273224752,0.053471176631334716,0.36340366456192197,-0.3830845902276765,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.75,M,0.05383712958413378,0.38112795761881313,-0.38523856599538087,0.08187849770891509,0.6038566647867258,-0.2313886278820455,0.02652256980980483,0.23049894430859352,-0.38523856599538053,0.09404938574126431,0.6668769411652857,-0.2313886278820455,0.029782993979285077,0.24826335226879295,-0.3852385659953811,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.75,Q,0.061164932659792504,0.42217551587609187,-0.34852766785858247,0.06372414698496476,0.47465134980707147,-0.27968299325967616,0.058611875549327896,0.38657145307551954,-0.3368403246184838,0.05298925740476235,0.4072415617516762,-0.27968299325967616,0.06623753272715205,0.4324057469863783,-0.3485276678585818,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL663,20,126,0.75,W,0.07874421355849703,0.5072986475097554,-0.3581405418032815,0.09644673896794353,0.6636000386278087,-0.2528247650575779,0.061327501763825065,0.3941852280084273,-0.35814054180328125,0.09165345698554872,0.6117006929163162,-0.2528247650575779,0.070860770065448,0.45343025806528664,-0.3581405418032817,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
