panel,cost,family,n_draws,modal_pick,modal_share,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_4a,SPY_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_MaxDD,V2_OOS_CAGR,V2_OOS_Sharpe,V2_OOS_MaxDD
B136,25.0,CTRLfam,1000,EWmg30,0.46,0.08273107095346319,0.9187910993849404,-0.16036011495791444,0.03,0.002,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07545408045393409,1.0614011988341219,-0.12285070124478226
B136,25.0,BOTH,1000,EWmg30,0.27,0.08598212025512941,0.8833752347092448,-0.1759694524199088,0.029,0.002,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07545408045393409,1.0614011988341219,-0.12285070124478226
SMALL,0.0,CANDfam,1000,CAND20,0.45,0.03422978844109647,0.33898500266959314,-0.24781148984491255,0.0,0.001,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.04029350108732488,0.5980039788126044,-0.13541741507926253
SMALL,0.0,CTRLfam,1000,EWmg20,0.481,0.03234080196694289,0.33931372249935887,-0.2433120856686382,0.0,0.001,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.04029350108732488,0.5980039788126044,-0.13541741507926253
SMALL,0.0,BOTH,1000,CAND20,0.213,0.036418606913001784,0.3459486557266874,-0.2667918644521113,0.0,0.001,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.04029350108732488,0.5980039788126044,-0.13541741507926253
SMALL,10.0,CANDfam,1000,CAND20,0.475,0.024023877396941597,0.2646293612987381,-0.2555686460681226,0.0,0.001,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.0375240531953398,0.5600309406263567,-0.1389155080338328
SMALL,10.0,CTRLfam,1000,EWmg20,0.53,0.02298334234563557,0.26478690433007446,-0.24664601976500822,0.0,0.0,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.0375240531953398,0.5600309406263567,-0.1389155080338328
SMALL,10.0,BOTH,1000,CAND20,0.252,0.025093612055356204,0.26746633747381454,-0.27101355007202527,0.0,0.0,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.0375240531953398,0.5600309406263567,-0.1389155080338328
SMALL,25.0,CANDfam,1000,CAND20,0.483,0.011250460022860809,0.16026777824097285,-0.2689954057408123,0.0,0.0,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.03338339379468902,0.5030415031366235,-0.1441365411405845
SMALL,25.0,CTRLfam,1000,EWmg20,0.566,0.010859527619686133,0.15855753687266272,-0.25272320017954103,0.0,0.0,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.03338339379468902,0.5030415031366235,-0.1441365411405845
SMALL,25.0,BOTH,1000,CAND20,0.275,0.010991288264711038,0.15782121623787065,-0.2800197093458215,0.0,0.0,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.03338339379468902,0.5030415031366235,-0.1441365411405845
