scope,metric,norm,n,rho,t,p
d_ctl/ALL,Calmar,rng,0,,,
d_ctl/LINEAGE(94),Sharpe,raw,210,-0.21118875339741652,-3.0848985046794914,0.0020362162597997724
d_ctl/LINEAGE(94),Sharpe,z,210,-0.22303235357316087,-3.2637303366958466,0.0010995576560666187
d_ctl/LINEAGE(94),Sharpe,rng,210,-0.22666917053858504,-3.3188413920260906,0.0009039175539533595
d_ctl/LINEAGE(94),CAGR,raw,210,-0.09904839343434166,-1.4297460659962145,0.15278991367700323
d_ctl/LINEAGE(94),CAGR,z,210,-0.07720620484621596,-1.1130188728618706,0.2657003240229385
d_ctl/LINEAGE(94),CAGR,rng,210,-0.08171546861941727,-1.1783082329793257,0.23867374678042985
d_ctl/LINEAGE(94),MaxDD,raw,210,0.22581609932149824,3.305905711310041,0.0009466993898314957
d_ctl/LINEAGE(94),MaxDD,z,210,-0.0074232661626720976,-0.10680416344570136,0.9149443444194583
d_ctl/LINEAGE(94),MaxDD,rng,210,0.022400741384360382,0.32234446900242064,0.7471917480482475
d_ctl/LINEAGE(94),Calmar,raw,0,,,
d_ctl/LINEAGE(94),Calmar,z,0,,,
d_ctl/LINEAGE(94),Calmar,rng,0,,,
d_ctl/OUT-OF-LINEAGE,Sharpe,raw,1163,0.09782520005256978,3.342495908261842,0.0008302857939543884
d_ctl/OUT-OF-LINEAGE,Sharpe,z,1163,0.08645932817281464,2.952069113627225,0.0031565227107335225
d_ctl/OUT-OF-LINEAGE,Sharpe,rng,1163,0.16006009615965083,5.498733402413759,3.8252896406021364e-08
d_ctl/OUT-OF-LINEAGE,CAGR,raw,1150,0.45300954977421687,16.543557015007085,0.0
d_ctl/OUT-OF-LINEAGE,CAGR,z,1150,0.4730985076524915,17.40969495151088,0.0
d_ctl/OUT-OF-LINEAGE,CAGR,rng,1150,0.47263835419382605,17.38962245269594,0.0
d_ctl/OUT-OF-LINEAGE,MaxDD,raw,1132,0.36597811477998893,12.894943197583194,0.0
d_ctl/OUT-OF-LINEAGE,MaxDD,z,1132,0.017410786226601926,0.58507190414853,0.5584993695268781
d_ctl/OUT-OF-LINEAGE,MaxDD,rng,1132,-0.02300200006114615,-0.7730172452557739,0.4395121746524491
d_ctl/OUT-OF-LINEAGE,Calmar,raw,0,,,
d_ctl/OUT-OF-LINEAGE,Calmar,z,0,,,
d_ctl/OUT-OF-LINEAGE,Calmar,rng,0,,,
