panel,book,cost,instr,regime,armed_frac,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,ann_pp,d_ann,L_per_armed,total,LEAK,gross,turn_yr,pass4a_v2,pass4a_v1,pass4b,IS_Sharpe
broad,TOP20,0.0,ddctl8,hivol80,0.10858301419238567,0.1516007242586499,1.0710209545596503,-0.1857837063971597,1.210962829299996,0.946485971495651,1.0354927720138378,0.1496656408853565,-0.1857837063971597,15.117612018876727,-1.07190314294483,-9.871738696124691,-4.822713819976921,-1.2390149393481396,0.7135789103867509,13.035933105653443,False,False,True,1.1175071572371518
broad,TOP20,0.0,gross50,always,1.0,0.08075666217733035,1.0591203568711383,-0.13595746321856683,1.2301862194818611,0.9317387404750765,1.0088146577186312,0.0821436595415801,-0.1359574632185674,8.057114780041422,-8.132400381780135,-8.132400381780135,,,0.37408646779352456,6.634089056069625,False,True,False,1.1400449586627077
broad,TOP20,0.0,gross50,spy200,0.17053390403243973,0.14657719617771692,1.0818458092736514,-0.1857837063971597,1.2505858993359114,0.9525717070241324,1.0414968783612366,0.15020719232729407,-0.1857837063971598,14.59370590161852,-1.595809260203037,-9.357724314453476,-1.225323932673346,-10.382823082024432,0.6824442875608859,12.781693080834886,False,False,True,1.1480494081120247
broad,TOP20,0.0,gross50,breadth20,0.0808740707366524,0.15596053500119056,1.0782861779851431,-0.21461713403513571,1.2343923299754138,0.9478024686141214,1.0326386955113662,0.1549205561119058,-0.21461713403513594,15.538535108116236,-0.6509800537053216,-8.049304898044353,0.0830954837357627,-8.205344278102022,0.7181186751402763,13.08834426622892,False,False,False,1.142461967024291
broad,TOP20,0.0,gross50,hivol80,0.10858301419238567,0.1514947160757929,1.0784627126472297,-0.18578370639715958,1.2719231465435976,0.905536684006167,0.9982254321500509,0.1423256012080678,-0.1857837063971599,15.091186395908233,-1.0983287659133243,-10.11510662217686,-1.9827062403967286,-1.6874277324445648,0.7078592563923768,13.080295153796607,False,False,True,1.1826353210443072
broad,TOP20,10.0,control,-,,0.1468667394709784,0.9760590036829483,-0.2596966291762923,1.1398318192750843,0.8540118755049191,0.9301240819488711,0.14862653950160798,-0.2596966291762923,14.871665485195543,0.0,,,,0.7476359151109826,13.17849676626013,False,False,False,1.0502048070115417
broad,TOP20,10.0,g200-dg,always,1.0,0.1449845955368254,0.9891947252673471,-0.23309317722911127,1.1824975423374944,0.8418106440139305,0.9217135320015324,0.14279203951730723,-0.23309317722911127,14.641747422766985,-0.22991806242855795,-0.22991806242855795,,,0.7378677284248186,13.027603386187602,False,False,False,1.093625365192249
broad,TOP20,10.0,g200-dg,spy200,0.17053390403243973,0.1450490423035169,0.9895557712080164,-0.23309317722911127,1.1824975423374944,0.8424772844280295,0.9223338258776407,0.14290944823830953,-0.23309317722911127,14.647429446340773,-0.2242360388547695,-1.3149059134429615,-1.084987851014407,-0.05448727570474107,0.7379097908875287,13.027616126523752,False,False,False,1.093625365192249
broad,TOP20,10.0,g200-dg,breadth20,0.0808740707366524,0.14419165483776153,0.9768415917395525,-0.23309317722911138,1.1476934177146247,0.8424772844280295,0.9223338258776407,0.14290944823830953,-0.23309317722911127,14.592836728093635,-0.27882875710190724,-3.4476903977029703,-3.217772335274433,-0.43412838605316967,0.7439646417634115,13.141029808434686,False,False,False,1.0585053142522773
broad,TOP20,10.0,g200-dg,hivol80,0.10858301419238567,0.14440740897596416,0.9786209086130688,-0.23309317722911116,1.143263644079671,0.8500015275803439,0.9293309767341721,0.14424099583771688,-0.23309317722911127,14.61032700848873,-0.261338476706813,-2.406808087347599,-2.176890024919058,-0.08351882752381318,0.7443038563018538,13.14170224787102,False,False,False,1.053437778931349
broad,TOP20,10.0,band3-dg,always,1.0,0.1443367069347965,0.9856529640972952,-0.2167309255940405,1.171770747405783,0.8426501500994663,0.9227637111605234,0.14262669058426503,-0.21673092559404095,14.58389247870118,-0.287773006494362,-0.287773006494362,,,0.7383000424276233,12.959950503632164,False,False,False,1.0823443479485795
broad,TOP20,10.0,band3-dg,spy200,0.17053390403243973,0.1443367069347965,0.9856529640972952,-0.2167309255940405,1.171770747405783,0.8426501500994663,0.9227637111605234,0.14262669058426503,-0.21673092559404095,14.58389247870118,-0.287773006494362,-1.6874826629174016,-1.3997096564230431,0.003868667949570698,0.7383000424276233,12.959950503632164,False,False,False,1.0823443479485795
broad,TOP20,10.0,band3-dg,breadth20,0.0808740707366524,0.14376541916100627,0.9751019957476266,-0.2167309255940406,1.1426639698022583,0.8425330288941569,0.9226449003368165,0.14261791293573656,-0.21673092559404084,14.553057297305699,-0.31860818788984346,-3.939559181178315,-3.651786174683958,-0.23246683884507813,0.7445682574710331,13.142286250883561,False,False,False,1.0532328629865895
broad,TOP20,10.0,band3-dg,hivol80,0.10858301419238567,0.144677526477492,0.9816102791075171,-0.21673092559404084,1.1501015091606366,0.8493015980650699,0.9289361821363536,0.14381485628548818,-0.21673092559404095,14.629686997160979,-0.24197848803456345,-2.228511428185534,-1.9407384216911923,-0.010412502595211273,0.744639124962082,13.12591125762028,False,False,False,1.060823189776873
broad,TOP20,10.0,abs12-dg,always,1.0,0.14296878529922075,0.9759496904409792,-0.25736903526620947,1.161648314708315,0.8480352112047382,0.9253452319696148,0.14653682339747198,-0.25736903526620947,14.469483311173336,-0.40218217402220624,-0.40218217402220624,,,0.7256154323673171,12.676966741963701,False,False,False,1.067103597175375
broad,TOP20,10.0,abs12-dg,spy200,0.17053390403243973,0.14396803901638533,0.9726702826305902,-0.2573690352662097,1.1628884045129684,0.834792322982962,0.91281782552786,0.1443819727781166,-0.25736903526620947,14.5816515555997,-0.29001392959584216,-1.7006232938916028,-1.2984411198693928,-0.7235709858333982,0.735070093360213,12.866653536067206,False,False,False,1.071696593424862
broad,TOP20,10.0,abs12-dg,breadth20,0.0808740707366524,0.14602792151838395,0.9743358663203481,-0.25736903526620936,1.1402484026224595,0.8492858244884393,0.9262611574460377,0.14707568978134478,-0.25736903526620947,14.79004382656724,-0.08162165862830228,-1.0092438513956374,-0.6070616773734334,-0.07226726648661463,0.7468707863314521,13.148254219665539,False,False,False,1.050622667003548
broad,TOP20,10.0,abs12-dg,hivol80,0.10858301419238567,0.14622149377254878,0.9755548528800596,-0.25736903526620925,1.143652016149067,0.8487626983902297,0.925780526631575,0.14697242724873272,-0.25736903526620947,14.806639415620104,-0.06502606957543833,-0.5988604208410182,-0.19667824681880403,0.0,0.7466688216787362,13.131302767376358,False,False,False,1.0542948723239085
broad,TOP20,10.0,vol60-dg,always,1.0,0.12034397570803201,0.9158219511912401,-0.18368815309870978,1.0473216770520062,0.7979953445560858,0.8841683696510456,0.11840670877056025,-0.18368815309870967,12.264924649782314,-2.6067408354132287,-2.6067408354132287,,,0.707778700147059,13.363657435744182,False,True,False,0.9569778094452648
broad,TOP20,10.0,vol60-dg,spy200,0.17053390403243973,0.14090391221347964,0.9860576246625135,-0.19278385687246835,1.1395902335975014,0.8621107776539954,0.9448433650411524,0.14127277406928718,-0.19278385687246857,14.229112569152406,-0.6425529160431367,-3.7678895565594237,-1.1611487211462035,-2.2593421599098695,0.7355728641214286,13.135278819665524,False,True,True,1.0469764645118211
broad,TOP20,10.0,vol60-dg,breadth20,0.0808740707366524,0.14219273008840694,0.9788371940244619,-0.21267831768526246,1.144200629873213,0.8424884664694494,0.9252112306459478,0.13956389982061013,-0.21267831768526246,14.380546504673902,-0.49111898052164094,-6.072638313469538,-3.4658974780563403,-2.098714174458519,0.7405220309068039,13.145273989540392,False,False,False,1.0548766198193813
broad,TOP20,10.0,vol60-dg,hivol80,0.10858301419238567,0.14025255207639287,0.9770309766908865,-0.19278385687246868,1.1496576278763988,0.8319767473526312,0.9170443683811287,0.13600393310768255,-0.19278385687246835,14.184658563892102,-0.6870069213034409,-6.327020173580859,-3.7202793381676127,-0.8304597352060805,0.7379596505876763,13.17955756412991,False,True,False,1.0601876177306382
broad,TOP20,10.0,stop15,always,1.0,0.13211224835648383,0.9159706354959523,-0.288230815117154,1.1086898477837224,0.7639323782111936,0.8489738634324744,0.12829360924457256,-0.28823081511715354,13.502229006506322,-1.3694364786892201,-1.3694364786892201,,,0.7406553528067298,14.463071042155383,False,False,False,1.015645891078097
broad,TOP20,10.0,stop15,spy200,0.17053390403243973,0.1369730653378387,0.9345388435138997,-0.2951498420374703,1.111979490498359,0.7979948342041988,0.8800648716707884,0.13607875893588983,-0.2951498420374701,13.96005267071775,-0.9116128144777917,-5.34563974037902,-3.976203261689795,-0.6041778586983187,0.7445790176317534,13.737329846246682,False,False,False,1.0185909205466
broad,TOP20,10.0,stop15,breadth20,0.0808740707366524,0.1385519422187098,0.9410033852019296,-0.2951498420374703,1.12320549151357,0.7989281986658004,0.880882688721254,0.13629881724975101,-0.2951498420374705,14.106856494087285,-0.7648089911082572,-9.456788611502935,-8.087352132813743,-2.4829151164058425,0.7456714750411394,13.57013251304673,False,False,False,1.031737098133355
broad,TOP20,10.0,stop15,hivol80,0.10858301419238567,0.13986305582642422,0.9495599212121476,-0.2951498420374701,1.1301141508877595,0.8096285978999889,0.8908846999826989,0.13813575953630663,-0.2951498420374702,14.219484767587318,-0.6521807176082248,-6.006286733325539,-4.6368502546363155,0.012506253992678774,0.7455561905632323,13.55685600464242,False,False,False,1.0388795385421892
broad,TOP20,10.0,stop25,always,1.0,0.14296033716030943,0.960978518822878,-0.28225155919151723,1.1342600013049562,0.8283151550041578,0.9076216854315236,0.14254335697469211,-0.28225155919151756,14.509801991238636,-0.361863493956907,-0.361863493956907,,,0.7465081537559595,13.379963172863564,False,False,False,1.043625274465732
broad,TOP20,10.0,stop25,spy200,0.17053390403243973,0.14449369001907542,0.967287375843154,-0.2822515591915177,1.1418258145858058,0.8342748596238744,0.91255596514536,0.1440197024883918,-0.28225155919151734,14.65105554352639,-0.22060994166915293,-1.293642709470766,-0.9317792155138702,-0.11991755561053077,0.7470524629004132,13.285952888631703,False,False,False,1.0523606348053798
