panel,q,k,draw,Ebar,Emed,breadth,Ebar_IS,breadth_IS,selectivity20
MIX q=0.75 k=80 d2,0.75,80.0,2,32.38433734939759,33.0,0.40480421686746987,32.72923076923077,0.40911538461538455,0.6175824993489342
MIX q=0.75 k=100 d0,0.75,100.0,0,40.566265060240966,42.0,0.40566265060240964,39.05538461538462,0.39055384615384614,0.493020493020493
MIX q=0.75 k=100 d1,0.75,100.0,1,40.78915662650602,43.0,0.4078915662650602,41.38153846153846,0.41381538461538453,0.4903263919657363
MIX q=0.75 k=100 d2,0.75,100.0,2,40.33734939759036,42.0,0.40337349397590355,38.535384615384615,0.38535384615384616,0.49581839904420555
MIX q=0.75 k=200 d0,0.75,200.0,0,81.82530120481928,86.0,0.40912650602409645,77.78461538461538,0.3889230769230769,0.24442317602885957
MIX q=0.75 k=200 d1,0.75,200.0,1,82.46506024096385,86.0,0.4123253012048193,81.30153846153846,0.40650769230769235,0.2425269555562049
MIX q=0.75 k=200 d2,0.75,200.0,2,83.14698795180723,88.0,0.41573493975903614,82.22153846153846,0.4111076923076923,0.2405378774705848
MIX q=0.75 k=400 d0,0.75,400.0,0,164.6698795180723,174.0,0.4116746987951807,160.11384615384614,0.4002846153846154,0.1214551201381369
MIX q=0.75 k=400 d1,0.75,400.0,1,164.86024096385543,173.0,0.4121506024096386,161.03692307692307,0.4025923076923077,0.12131487788122834
MIX q=0.75 k=400 d2,0.75,400.0,2,164.98313253012049,174.0,0.4124578313253012,160.41538461538462,0.40103846153846157,0.12122451364140913
MIX q=1.00 k=40 d0,1.0,40.0,0,10.867469879518072,10.5,0.27168674698795187,8.910769230769231,0.22276923076923077,1.8403547671840355
MIX q=1.00 k=40 d1,1.0,40.0,1,13.337349397590362,14.0,0.33343373493975903,12.436923076923076,0.31092307692307697,1.4995483288166214
MIX q=1.00 k=40 d2,1.0,40.0,2,14.1,14.5,0.35250000000000004,14.418461538461539,0.3604615384615385,1.4184397163120568
MIX q=1.00 k=60 d0,1.0,60.0,0,16.50602409638554,17.0,0.2751004016064257,15.68923076923077,0.2614871794871794,1.2116788321167884
MIX q=1.00 k=60 d1,1.0,60.0,1,18.357831325301206,19.0,0.30596385542168675,16.676923076923078,0.277948717948718,1.0894533044562578
MIX q=1.00 k=60 d2,1.0,60.0,2,20.26987951807229,21.0,0.3378313253012048,18.181538461538462,0.303025641025641,0.9866856871136471
MIX q=1.00 k=80 d0,1.0,80.0,0,28.363855421686747,29.0,0.3545481927710843,28.40923076923077,0.3551153846153846,0.7051227593237618
MIX q=1.00 k=80 d1,1.0,80.0,1,27.76144578313253,29.0,0.34701807228915665,27.71076923076923,0.3463846153846154,0.720423574342505
MIX q=1.00 k=80 d2,1.0,80.0,2,26.27590361445783,27.0,0.32844879518072284,24.532307692307693,0.3066538461538461,0.7611536521619515
MIX q=1.00 k=100 d0,1.0,100.0,0,33.92409638554217,35.0,0.3392409638554217,33.59076923076923,0.3359076923076923,0.5895514436907341
MIX q=1.00 k=100 d1,1.0,100.0,1,32.39518072289157,33.0,0.32395180722891564,29.24923076923077,0.2924923076923077,0.6173757810175543
MIX q=1.00 k=100 d2,1.0,100.0,2,34.973493975903615,36.0,0.34973493975903613,34.54461538461538,0.3454461538461539,0.571861650819898
MIX q=1.00 k=200 d0,1.0,200.0,0,64.37710843373495,68.0,0.3218855421686747,61.70153846153846,0.30850769230769237,0.3106694364905582
MIX q=1.00 k=200 d1,1.0,200.0,1,60.65542168674699,63.0,0.3032771084337349,54.206153846153846,0.27103076923076924,0.32973144764023515
MIX q=1.00 k=200 d2,1.0,200.0,2,66.67710843373494,69.0,0.33338554216867466,65.05538461538461,0.3252769230769231,0.29995301940659896
MIX q=1.00 k=400 d0,1.0,400.0,0,127.72409638554217,133.0,0.31931024096385546,121.40615384615384,0.30351538461538463,0.1565875239361953
MIX q=1.00 k=400 d1,1.0,400.0,1,128.62048192771084,134.0,0.32155120481927707,121.43692307692308,0.3035923076923077,0.1554962296847923
MIX q=1.00 k=400 d2,1.0,400.0,2,128.38192771084337,135.0,0.3209548192771084,121.1723076923077,0.3029307692307692,0.15578516662443576
