clause,q,panel,ladder,stat,rungs,peak,gap,spread,floor,published_set,set_size,decided,content,exp_false,err,price,contentless,note,coarse,M
AS_WRITTEN,0.8,U56,H,DD,4,126,1.1140575191411841,6.564551170891317,inf,"[21, 63, 126, 252]",4,0,0.0,0.0,,,True,"floor inf, tie 4 of 4",,
ANNOTATED,0.8,U56,H,DD,4,126,1.1140575191411841,6.564551170891317,inf,[126],1,3,1.0,1.33,0.44333333333333336,2.255639097744361,False,"point argmax, gap 1.11406 vs floor inf",,
WIDER_RUNGS,0.8,U56,H,DD,4,126,1.1140575191411841,6.564551170891317,inf,"[21, 63, 126, 252]",4,0,0.0,0.0,,,True,"coarse 3 of 4 rungs, floor inf, 1 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,H,DD,4,21,1.1140575191411841,6.564551170891317,inf,"[21, 63, 126, 252]",4,0,0.0,0.0,,,True,"ENDS-ONLY, reported beside, never selected on",ends,
LONGER_TAPE,0.8,U56,H,DD,4,126,1.1140575191411841,6.564551170891317,inf,"[21, 63, 126, 252]",4,0,0.0,0.0,,,True,"M=2x tape, PROJECTED floor inf (was inf)",,2.0
LONGER_TAPE_M4,0.8,U56,H,DD,4,126,1.1140575191411841,6.564551170891317,inf,"[21, 126, 252]",3,1,0.3333333333333333,0.13419681195504873,0.13419681195504873,7.451741851624353,False,"M=4x tape, PROJECTED floor 3.84859 (was inf)",,4.0
LONGER_TAPE_M8,0.8,U56,H,DD,4,126,1.1140575191411841,6.564551170891317,inf,"[21, 126, 252]",3,1,0.3333333333333333,0.0587670317956962,0.0587670317956962,17.01634350832119,False,"M=8x tape, PROJECTED floor 3.84859 (was inf)",,8.0
AS_WRITTEN,0.8,U56,GROSS,S_FULL,10,0.75,0.0001556639667841253,0.0017882751492677151,0.0001556639667841253,[0.75],1,9,1.0,0.9239999999999998,0.10266666666666664,9.740259740259742,False,"floor 0.000155664, tie 1 of 10",,
ANNOTATED,0.8,U56,GROSS,S_FULL,10,0.75,0.0001556639667841253,0.0017882751492677151,0.0001556639667841253,[0.75],1,9,1.0,0.9239999999999998,0.10266666666666664,9.740259740259742,False,"point argmax, gap 0.000155664 vs floor 0.000155664",,
WIDER_RUNGS,0.8,U56,GROSS,S_FULL,10,0.75,0.0001556639667841253,0.0017882751492677151,0.0001556639667841253,"[0.35, 0.45, 0.55, 0.65, 0.75]",5,5,0.5555555555555556,0.5119999999999999,0.10239999999999998,9.765625000000002,False,"coarse 6 of 10 rungs, floor 0.000155664, 4 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,GROSS,S_FULL,10,0.75,0.0001556639667841253,0.0017882751492677151,0.0001556639667841253,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75]",9,1,0.1111111111111111,0.07799999999999996,0.07799999999999996,12.820512820512828,False,"ENDS-ONLY, reported beside, never selected on",ends,
LONGER_TAPE,0.8,U56,GROSS,S_FULL,10,0.75,0.0001556639667841253,0.0017882751492677151,0.0001556639667841253,[0.75],1,9,1.0,0.33686041423280144,0.03742893491475571,26.7172977878611,False,"M=2x tape, PROJECTED floor 0.000155664 (was 0.000155664)",,2.0
LONGER_TAPE_M4,0.8,U56,GROSS,S_FULL,10,0.75,0.0001556639667841253,0.0017882751492677151,0.0001556639667841253,[0.75],1,9,1.0,0.057111656768981556,0.0063457396409979504,157.58604301054132,False,"M=4x tape, PROJECTED floor 0.000155664 (was 0.000155664)",,4.0
LONGER_TAPE_M8,0.8,U56,GROSS,S_FULL,10,0.75,0.0001556639667841253,0.0017882751492677151,0.0001556639667841253,[0.75],1,9,1.0,0.002457408423184426,0.0002730453803538251,3662.394868956042,False,"M=8x tape, PROJECTED floor 0.000155664 (was 0.000155664)",,8.0
AS_WRITTEN,0.8,U56,GROSS,S_OOS,10,0.75,0.00019477495026443137,0.0021154912506546886,0.00019477495026443137,[0.75],1,9,1.0,1.029,0.11433333333333333,8.746355685131196,False,"floor 0.000194775, tie 1 of 10",,
ANNOTATED,0.8,U56,GROSS,S_OOS,10,0.75,0.00019477495026443137,0.0021154912506546886,0.00019477495026443137,[0.75],1,9,1.0,1.029,0.11433333333333333,8.746355685131196,False,"point argmax, gap 0.000194775 vs floor 0.000194775",,
WIDER_RUNGS,0.8,U56,GROSS,S_OOS,10,0.75,0.00019477495026443137,0.0021154912506546886,0.00019477495026443137,"[0.35, 0.45, 0.55, 0.65, 0.75]",5,5,0.5555555555555556,0.573,0.1146,8.726003490401396,False,"coarse 6 of 10 rungs, floor 0.000194775, 4 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,GROSS,S_OOS,10,0.75,0.00019477495026443137,0.0021154912506546886,0.00019477495026443137,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75]",9,1,0.1111111111111111,0.09999999999999998,0.09999999999999998,10.000000000000002,False,"ENDS-ONLY, reported beside, never selected on",ends,
LONGER_TAPE,0.8,U56,GROSS,S_OOS,10,0.75,0.00019477495026443137,0.0021154912506546886,0.00019477495026443137,[0.75],1,9,1.0,0.40110172090196383,0.04456685787799598,22.43819841949707,False,"M=2x tape, PROJECTED floor 0.000194775 (was 0.000194775)",,2.0
LONGER_TAPE_M4,0.8,U56,GROSS,S_OOS,10,0.75,0.00019477495026443137,0.0021154912506546886,0.00019477495026443137,[0.75],1,9,1.0,0.07434004070306555,0.008260004522562838,121.06530901628722,False,"M=4x tape, PROJECTED floor 0.000194775 (was 0.000194775)",,4.0
LONGER_TAPE_M8,0.8,U56,GROSS,S_OOS,10,0.75,0.00019477495026443137,0.0021154912506546886,0.00019477495026443137,[0.75],1,9,1.0,0.0033716684295295174,0.0003746298255032797,2669.301619689769,False,"M=8x tape, PROJECTED floor 0.000194775 (was 0.000194775)",,8.0
AS_WRITTEN,0.8,U56,GROSS,CAGR,10,0.75,1.0495280990911553,9.401691141620727,1.0380692471477992,[0.75],1,9,1.0,0.0,0.0,inf,False,"floor 1.03807, tie 1 of 10",,
ANNOTATED,0.8,U56,GROSS,CAGR,10,0.75,1.0495280990911553,9.401691141620727,1.0380692471477992,[0.75],1,9,1.0,0.0,0.0,inf,False,"point argmax, gap 1.04953 vs floor 1.03807",,
WIDER_RUNGS,0.8,U56,GROSS,CAGR,10,0.75,1.0495280990911553,9.401691141620727,1.0380692471477992,"[0.35, 0.45, 0.55, 0.65, 0.75]",5,5,0.5555555555555556,0.0,0.0,inf,False,"coarse 6 of 10 rungs, floor 1.04953, 4 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,GROSS,CAGR,10,0.75,1.0495280990911553,9.401691141620727,1.0380692471477992,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75]",9,1,0.1111111111111111,0.0,0.0,inf,False,"ENDS-ONLY, reported beside, never selected on",ends,
LONGER_TAPE,0.8,U56,GROSS,CAGR,10,0.75,1.0495280990911553,9.401691141620727,1.0380692471477992,[0.75],1,9,1.0,0.0,0.0,inf,False,"M=2x tape, PROJECTED floor 1.03807 (was 1.03807)",,2.0
LONGER_TAPE_M4,0.8,U56,GROSS,CAGR,10,0.75,1.0495280990911553,9.401691141620727,1.0380692471477992,[0.75],1,9,1.0,0.0,0.0,inf,False,"M=4x tape, PROJECTED floor 1.03807 (was 1.03807)",,4.0
LONGER_TAPE_M8,0.8,U56,GROSS,CAGR,10,0.75,1.0495280990911553,9.401691141620727,1.0380692471477992,[0.75],1,9,1.0,0.0,0.0,inf,False,"M=8x tape, PROJECTED floor 1.03807 (was 1.03807)",,8.0
AS_WRITTEN,0.8,U56,GROSS,DD,10,0.3,1.2859290693538092,11.137235203817976,1.1938432556992673,[0.3],1,9,1.0,0.0,0.0,inf,False,"floor 1.19384, tie 1 of 10",,
ANNOTATED,0.8,U56,GROSS,DD,10,0.3,1.2859290693538092,11.137235203817976,1.1938432556992673,[0.3],1,9,1.0,0.0,0.0,inf,False,"point argmax, gap 1.28593 vs floor 1.19384",,
WIDER_RUNGS,0.8,U56,GROSS,DD,10,0.3,1.2859290693538092,11.137235203817976,1.1938432556992673,"[0.3, 0.35, 0.45, 0.55, 0.65]",5,5,0.5555555555555556,0.0,0.0,inf,False,"coarse 6 of 10 rungs, floor 1.19384, 4 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,GROSS,DD,10,0.3,1.2859290693538092,11.137235203817976,1.1938432556992673,"[0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7]",9,1,0.1111111111111111,0.0,0.0,inf,False,"ENDS-ONLY, reported beside, never selected on",ends,
