cut,stratum,n,method,rho_IS,rho_OOS,sign_survives,block,pair,strong,survives
STRATUM:dd,kind,24,spearman,0.32695652173913037,-0.05131550458338446,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
STRATUM:gate,kind,120,spearman,0.23818660091886548,-0.04804667152944297,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
STRATUM:stop,kind,24,spearman,0.2697998259355962,-0.010434782608695651,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
POOLED,gross,204,pearson,0.10244549520156296,-0.1589871486022431,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
STRATUM:0.749893462556593,gross,8,pearson,1.0,1.0,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:0.7501646485284116,gross,8,pearson,1.0,1.0,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
POOLED,gross,204,spearman,0.026614646006912684,-0.2620656996606199,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,False,False
STRATUM:0.749893462556593,gross,8,spearman,0.9999999999999998,0.9999999999999998,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:0.7501646485284116,gross,8,spearman,0.9999999999999998,0.9999999999999998,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
POOLED,cost,204,pearson,0.10244549520156296,-0.1589871486022431,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
STRATUM:10.0,cost,102,pearson,-0.3535958991208035,-0.4843814203998778,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:25.0,cost,102,pearson,0.2901817152118482,0.0070823602360253635,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
POOLED,cost,204,spearman,0.026614646006912684,-0.2620656996606199,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,False,False
STRATUM:10.0,cost,102,spearman,-0.27871147273955504,-0.4434792444364554,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:25.0,cost,102,spearman,0.15610718972241902,-0.11445570200531174,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
POOLED,book,60,pearson,0.7970016378790714,0.33510449007026544,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:CAND20,book,30,pearson,0.7857718066149064,0.6950689155271296,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:EWall,book,30,pearson,0.8643363578132699,0.15828246833083365,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
POOLED,book,60,spearman,0.7839323467230443,0.30331219168428464,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:CAND20,book,30,spearman,0.7763975155279503,0.6713721061547149,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:EWall,book,30,spearman,0.8464144551101074,0.313382269904009,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
POOLED,universe,60,pearson,0.7970016378790714,0.33510449007026544,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:broad,universe,30,pearson,0.6174116048116977,0.03589360579090314,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:u56,universe,30,pearson,0.832982756163463,0.20149424324228388,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
POOLED,universe,60,spearman,0.7839323467230443,0.30331219168428464,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:broad,universe,30,spearman,0.6386222473178995,-0.163184641445511,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,False
STRATUM:u56,universe,30,spearman,0.8565782044042916,0.20383963862224735,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
POOLED,mode,60,pearson,0.7970016378790714,0.33510449007026544,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:entry,mode,24,pearson,0.5846503571613015,0.41298220397050395,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:total,mode,20,pearson,0.9278332034030685,0.3085218597355296,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
POOLED,mode,60,spearman,0.7839323467230443,0.30331219168428464,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:entry,mode,24,spearman,0.7217391304347825,0.33999999999999997,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
STRATUM:total,mode,20,spearman,0.8947368421052632,0.4601503759398496,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~CAGR,True,True
POOLED,book,60,pearson,-0.36093834355018095,0.35705475753729554,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:CAND20,book,30,pearson,-0.2994396954185622,0.16716745568551172,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:EWall,book,30,pearson,-0.06353827735625599,0.6616475980444986,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,False,False
POOLED,book,60,spearman,-0.3899929527836505,0.3795630725863283,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:CAND20,book,30,spearman,-0.47374364765669114,0.18012422360248448,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:EWall,book,30,spearman,-0.1360813099943535,0.52343308865048,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
POOLED,universe,60,pearson,-0.36093834355018095,0.35705475753729554,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:broad,universe,30,pearson,-0.2511886845842158,0.11085918108116724,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:u56,universe,30,pearson,-0.5806060124266065,0.23893475424125946,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
POOLED,universe,60,spearman,-0.3899929527836505,0.3795630725863283,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:broad,universe,30,spearman,-0.39920948616600793,0.11688311688311688,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:u56,universe,30,spearman,-0.6216826651609261,0.07622811970638058,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
POOLED,mode,60,pearson,-0.36093834355018095,0.35705475753729554,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:entry,mode,24,pearson,-0.09506284078908808,0.4235130626491282,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,False,False
STRATUM:total,mode,20,pearson,-0.6335990211771544,0.5698486882359957,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
POOLED,mode,60,spearman,-0.3899929527836505,0.3795630725863283,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:entry,mode,24,spearman,-0.3139130434782608,0.40347826086956523,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
STRATUM:total,mode,20,spearman,-0.4120300751879699,0.4496240601503759,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,Sharpe~MaxDD,True,False
POOLED,book,60,pearson,-0.8269443437872491,-0.5911513441209416,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,CAGR~MaxDD,True,True
STRATUM:CAND20,book,30,pearson,-0.803667041841518,-0.5752200810849833,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,CAGR~MaxDD,True,True
STRATUM:EWall,book,30,pearson,-0.4988625418602964,-0.5721563652544228,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,CAGR~MaxDD,True,True
POOLED,book,60,spearman,-0.7895701198026779,-0.5940803382663847,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,CAGR~MaxDD,True,True
STRATUM:CAND20,book,30,spearman,-0.8193111236589498,-0.39920948616600793,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,CAGR~MaxDD,True,True
STRATUM:EWall,book,30,spearman,-0.43083003952569177,-0.5708639186900057,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,CAGR~MaxDD,True,True
POOLED,universe,60,pearson,-0.8269443437872491,-0.5911513441209416,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,CAGR~MaxDD,True,True
STRATUM:broad,universe,30,pearson,-0.896452539083447,-0.8507161925228706,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,CAGR~MaxDD,True,True
STRATUM:u56,universe,30,pearson,-0.8974403761311917,-0.8329340766705104,,2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,CAGR~MaxDD,True,True
