panel,family,lag,m,se,t
B136,MADIST,10,-0.060397210206191376,0.050597187272139486,-1.1936871091537555
B136,MADIST,21,-0.07346291361325374,0.057786795046062094,-1.271275099349188
SMALL,MACRO2,1,0.020250334310919327,0.025297761670125686,0.8004792904201125
SMALL,MACRO2,2,0.018216340803795417,0.026468614482836373,0.6882241915460985
SMALL,MACRO2,3,0.0026839551754583857,0.021521958886433813,0.12470775497811189
SMALL,MACRO2,5,0.0047825599206987035,0.023357057206428725,0.20475866794479428
SMALL,MACRO2,10,-0.0070302340119471896,0.02141929730783998,-0.328219638156568
SMALL,MACRO2,21,-0.000986449291424052,0.02164452496549659,-0.04557500305488547
SMALL,SPYFILT,1,0.051085033054294016,0.11347355239734049,0.45019330033322646
SMALL,SPYFILT,2,0.042820772957625375,0.11733947578249854,0.3649306652519765
SMALL,SPYFILT,3,-0.015601328899177092,0.09176492241334872,-0.170014080422822
SMALL,SPYFILT,5,-0.004931075180912015,0.09940761948046786,-0.04960459979509819
SMALL,SPYFILT,10,-0.054233761739762354,0.0883250282921346,-0.6140248442421604
SMALL,SPYFILT,21,-0.02853054865928456,0.08994750839724774,-0.3171910947580795
SMALL,BREADTH,1,-0.043936054841969996,0.08055977642863982,-0.5453845180527374
SMALL,BREADTH,2,-0.046770398435871274,0.07689514857717719,-0.6082360110004772
SMALL,BREADTH,3,-0.047596656693196404,0.07106420669662876,-0.6697697604137802
SMALL,BREADTH,5,-0.05598384262763867,0.0709717424752962,-0.7888187703313821
SMALL,BREADTH,10,-0.10166901810396112,0.06982273317457705,-1.4561019524938839
SMALL,BREADTH,21,-0.12013384067069993,0.07959213704355156,-1.5093682005920332
SMALL,VOLTGT,1,-0.06511400616399693,0.0632315421481352,-1.0297709648050588
SMALL,VOLTGT,2,-0.09120473930786194,0.06275423380573333,-1.4533639210734706
SMALL,VOLTGT,3,-0.09054279131707654,0.05868359416613156,-1.5428978508158944
SMALL,VOLTGT,5,-0.07884516493162252,0.05475700118540805,-1.439910207366024
SMALL,VOLTGT,10,-0.08343487574832004,0.05118777853967161,-1.6299764929954177
SMALL,VOLTGT,21,-0.06963950653719891,0.06354800442637662,-1.0958567018084666
SMALL,BAND,1,-0.01939976280173744,0.012030432106021942,-1.6125574402291596
SMALL,BAND,2,-0.071919296938592,0.039950624494669365,-1.8002045737279586
SMALL,BAND,3,-0.08867333396669685,0.06764670330664553,-1.3108300867927987
SMALL,BAND,5,-0.1160042111912078,0.07904936103525266,-1.4674908142454794
SMALL,BAND,10,-0.10828091569035558,0.09423218635986516,-1.1490863140630045
SMALL,BAND,21,0.030109490549104556,0.10084529980909464,0.298571084682215
SMALL,MAXVOL,1,-0.1791600150368308,0.12407714149303248,-1.443940542802491
SMALL,MAXVOL,2,-0.15879297065607295,0.12513013439128,-1.269022617361936
SMALL,MAXVOL,5,-0.2039415162029689,0.13737605648608922,-1.4845492105359723
SMALL,MAXVOL,10,-0.1495472844782282,0.1450092797713403,-1.031294581381576
SMALL,MAXVOL,21,-0.07612159910069144,0.13497796424285918,-0.5639557503158783
SMALL,MADIST,1,0.010968911381678104,0.016749718191341315,0.6548713988124546
SMALL,MADIST,2,-0.040738187439225804,0.039012615696997203,-1.0442311214308406
SMALL,MADIST,3,-0.056923500633249524,0.057979257246332315,-0.9817907875467036
SMALL,MADIST,5,-0.11949985161159438,0.07403175938696392,-1.6141700886368078
SMALL,MADIST,10,-0.09889815496322418,0.09122711940752312,-1.0840872276305642
