chooser,panel,cadence,N,H,IS_Sharpe,IS_cstar,IS_binding,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,full_cstar,full_binding,SPY_Sharpe,SPY_H1,SPY_H2,SPY_CAGR,SPY_MaxDD,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,LIVE_OOS_Sharpe,pass_4b,pass_4b_oos,pass_4a,leg_L_H1,leg_L_H2,leg_L_OOS,leg_L_DD,leg_L_CAGR,legO_O_S,legO_O_DD,legO_O_CAGR
CH_LEGFILT,B136,M,5,21,1.3726649714731807,0.0,L_DD,0.25860162718400703,1.2048415354255426,-0.2871971488775604,1.4281270948479403,1.0456223941439255,0.25404590191981,1.1056811171063636,-0.28719714887756065,0.0,L_DD,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_TENT,B136,M,40,63,1.0437896714785713,14.11968469619751,L_DD,0.14009436296470223,1.0325524851688683,-0.27728951385115697,1.1963852222301288,0.9106290466838557,0.1488967764081035,1.0296892029713058,-0.27728951385115674,0.0,L_DD,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_ISSHARPE,SMALL,W,12,252,1.0515109187421996,0.0,L_H1,0.17493511033609122,0.9171739278363802,-0.4134964045914402,1.0694231540517838,0.7990704183402706,0.1628311305604242,0.8429043174150774,-0.4134964045914401,0.0,L_H2,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.5600309396391431,False,False,False,True,False,False,False,True,False,False,True
CH_CSTAR,SMALL,W,5,21,0.42533485902600887,0.0,L_H1,0.03138175268244581,0.24933413397950802,-0.4632926850682054,0.44706473400456026,0.0948338860424617,0.005513875335453333,0.16045580927503972,-0.4632926850682062,0.0,L_H1,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.5600309396391431,False,False,False,False,False,False,False,False,False,False,False
CH_LEGFILT,SMALL,W,12,252,1.0515109187421996,0.0,L_H1,0.17493511033609122,0.9171739278363802,-0.4134964045914402,1.0694231540517838,0.7990704183402706,0.1628311305604242,0.8429043174150774,-0.4134964045914401,0.0,L_H2,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.5600309396391431,False,False,False,True,False,False,False,True,False,False,True
CH_TENT,SMALL,W,25,21,0.7220388478093932,0.0,L_H2,0.08955795686444112,0.5914520289588188,-0.37671582603670584,0.8549845351638841,0.40114740001760313,0.08271938561452408,0.5296123429277928,-0.37671582603670606,0.0,L_H2,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.5600309396391431,False,False,False,False,False,False,False,False,False,False,False
CH_ISSHARPE,SMALL,M,15,21,0.9679209447881986,0.0,L_DD,0.10258831982628935,0.6240795077090581,-0.3378236210013461,0.862660862295495,0.4428474137865107,0.07182303828175285,0.4525571160456641,-0.337823621001346,0.0,L_H2,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.5600309396391431,False,False,False,False,False,False,False,True,False,False,False
CH_CSTAR,SMALL,M,5,21,0.558318416579407,0.0,L_H1,0.07773610794338137,0.4227298451134047,-0.5439633057125597,0.33193216402146863,0.4999913105186286,0.06194689366378947,0.3575220046920123,-0.46405877781590255,0.0,L_H1,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.5600309396391431,False,False,False,False,False,False,False,False,False,False,False
CH_LEGFILT,SMALL,M,15,21,0.9679209447881986,0.0,L_DD,0.10258831982628935,0.6240795077090581,-0.3378236210013461,0.862660862295495,0.4428474137865107,0.07182303828175285,0.4525571160456641,-0.337823621001346,0.0,L_H2,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.5600309396391431,False,False,False,False,False,False,False,True,False,False,False
CH_TENT,SMALL,M,30,21,0.7473253706448816,0.0,L_H2,0.08412860252311916,0.5830295765388953,-0.3444789763043621,0.8205771377716109,0.41162189124782167,0.07418047172899622,0.5030932740658528,-0.344478976304362,0.0,L_H1,0.858075177562748,0.9137931483770148,0.8343922814963172,0.14058393631844512,-0.33717235283398317,0.8767140742030719,0.15331699963496637,-0.33717235283398317,0.5600309396391431,False,False,False,False,False,False,False,False,False,False,False
