CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turnover,panel,form,cadence,family,dial,clause,L_H1,L_H2,L_OOS,L_DD,L_CAGR,fail4b,keep4b,keep4a,IS_keep4b,IS_fail4b,dd_gain_pp,cagr_cost_pp,cash_edge_pp,IS_cash_edge_pp
0.08002577709123648,1.1330103114930856,-0.11689994205254584,1.2437128930355252,1.0208926403297556,1.1124411494065367,0.08142347082121915,-0.07470777410827589,0.07887369555661805,1.1522247661689353,-0.11689994205254595,1.512374071222455,B136,MA-DG,M,CASH,0.95,CASH(0.95),True,True,True,True,False,CAGR,False,True,False,CAGR,0.5828670335451647,0.4270420367168182,0.0,0.0
0.08429619745840466,1.1332694244105408,-0.12272861238799748,1.2440727155640248,1.0210519566435126,1.1128506113961334,0.0857763522401298,-0.07852082245707914,0.08307622438435969,1.1523520140846,-0.12272861238799715,1.591042987642449,B136,MA-DG,M,CASH,1.0,CASH(1.0),True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.0,0.0,0.0
0.026532024935341347,0.8758986082131658,-0.06604278822926402,1.1054763748566825,0.6013627559648024,0.8776338676814238,0.029539200642703545,-0.03606431852454228,0.024056979509896825,0.8840724025385129,-0.0660427882292639,1.217703748845854,B136,MA-DG,M,VOLCAP,0.2,VOLCAP(0.2),True,False,True,True,False,"H2,CAGR",False,False,False,"H1,H2,OOS,CAGR",5.668582415873347,5.776417252306332,-1.7404186854250185,-0.8860925007514051
0.039482151066537075,0.8986619680691891,-0.09002890054585644,1.1163025347231004,0.6494436127806257,0.9486131826933628,0.04588286786330675,-0.053547267674035615,0.0342294929918483,0.8566778147039887,-0.09002890054585577,1.4430644897039329,B136,MA-DG,M,VOLCAP,0.25,VOLCAP(0.25),True,False,False,True,False,"H2,OOS,CAGR",False,False,False,"H1,CAGR",3.2699711842141044,4.481404639186759,-2.1220171690060052,-1.1739725233896188
0.049274193991234005,0.9213935788366817,-0.10260282748399796,1.1067360298470894,0.7207831265911646,0.947388983427959,0.054213648661479485,-0.06161424254891823,0.045215360332350185,0.9005096673042957,-0.1026028274839983,1.5335210476493029,B136,MA-DG,M,VOLCAP,0.3,VOLCAP(0.3),True,False,True,True,False,"H2,CAGR",False,False,False,"H1,CAGR",2.012578490399952,3.502200346717066,-2.03989228966939,-1.2413168251440718
0.06671593291699529,1.0342879286251099,-0.11391522446218816,1.170855546757249,0.8925891790611078,1.0197705109756288,0.06893129729685787,-0.07199069849830586,0.06489116909544035,1.0492071312315578,-0.11391522446218805,1.5900217186092926,B136,MA-DG,M,VOLCAP,0.4,VOLCAP(0.4),True,True,True,True,False,CAGR,False,False,False,CAGR,0.8813387925809324,1.7580264541409374,-1.1137523585835556,-0.9404352897904811
0.07385115225958527,1.0622171850357256,-0.1209265237592202,1.162037349847973,0.9594367605796346,1.017544489548722,0.07378942072672734,-0.07739240571561246,0.07390209867682751,1.1039993077662118,-0.12092652375921986,1.5998356120312134,B136,MA-DG,M,VOLCAP,0.5,VOLCAP(0.5),True,True,True,True,False,CAGR,False,False,False,CAGR,0.18020886287772875,1.0445045198819392,-0.9124731037806477,-1.0698758949773763
0.07818687569696126,1.093017553605737,-0.1209265237592202,1.2044294014999437,0.9784319065928986,1.0641745090964734,0.07946551625848364,-0.07831216376190842,0.07713282253765597,1.1205582898499715,-0.12092652375921975,1.6056609214490227,B136,MA-DG,M,VOLCAP,0.6,VOLCAP(0.6),True,True,True,True,False,CAGR,False,False,False,CAGR,0.18020886287772875,0.6109321761443409,-0.4789007600430495,-0.6072636390658068
0.07002292383885478,1.1322470332031758,-0.10452743913773155,1.3259583296249344,0.9437910984192504,1.1627358943135415,0.07256364978475194,-0.0615984864503093,0.06793073155011498,1.1065666669048466,-0.10452743913773144,1.6402237704591933,B136,MA-DG,M,VT,0.06,VT(0.06),True,True,True,True,False,CAGR,False,False,False,CAGR,1.8201173250265934,1.4273273619549887,-0.10324057154910832,0.5954496776696696
0.07932630430295173,1.1274146330340005,-0.11357730244987574,1.2654433792844169,0.9890502659715841,1.124983647402869,0.0815033830245806,-0.07084428765210538,0.07753297825843708,1.1300743653352927,-0.1135773024498753,1.6366061554804026,B136,MA-DG,M,VT,0.08,VT(0.08),True,True,True,True,False,CAGR,False,True,False,CAGR,0.9151309938121743,0.49698931554529313,0.17187923233123736,0.44703721533614627
0.08297562527776492,1.1296985347256079,-0.12263548948706837,1.2539972559064367,1.0040900386014795,1.1211264531651282,0.08526701985015817,-0.0757395518470736,0.08108830355858188,1.1381718278318596,-0.12263548948706826,1.6036316639478625,B136,MA-DG,M,VT,0.1,VT(0.1),True,True,True,True,False,CAGR,False,False,False,CAGR,0.009312290092911013,0.13205721806397452,-0.12523449675893306,0.266569715379357
0.0839812237008859,1.131486835597992,-0.12272861238799704,1.2480995657548486,1.013371871664144,1.116828522926469,0.08593530590742882,-0.07680488482148273,0.08237127230402885,1.1454798957638277,-0.12272861238799715,1.5935749358600502,B136,MA-DG,M,VT,0.12,VT(0.12),True,True,True,True,False,CAGR,False,False,False,CAGR,4.440892098500626e-14,0.03149737575187661,-0.03149737575184469,0.21178255112244554
