panel,family,q,w,realised,nominal
SMALL439,QROLL_armed,0.07,504,0.08588458412354376,0.07
SMALL439,QROLL,0.07,1008,0.051093035078800204,0.07
SMALL439,QROLL_armed,0.07,1008,0.06306871666143708,0.07
SMALL439,QROLL,0.07,2016,0.031011692933401117,0.07
SMALL439,QROLL_armed,0.07,2016,0.0559889857732905,0.07
SMALL439,QEXP,0.12,0,0.019827147941026944,0.12
SMALL439,QEXP_armed,0.12,0,0.019827147941026944,0.12
SMALL439,QROLL,0.12,252,0.16725978647686832,0.12
SMALL439,QROLL_armed,0.12,252,0.16725978647686832,0.12
SMALL439,QROLL,0.12,504,0.11921708185053381,0.12
SMALL439,QROLL_armed,0.12,504,0.1270658358168518,0.12
SMALL439,QROLL,0.12,1008,0.08693441789527198,0.12
SMALL439,QROLL_armed,0.12,1008,0.10731095073737057,0.12
SMALL439,QROLL,0.12,2016,0.04829689883070666,0.12
SMALL439,QROLL_armed,0.12,2016,0.08719596145020651,0.12
SMALL439,QEXP,0.17,0,0.04829689883070666,0.17
SMALL439,QEXP_armed,0.17,0,0.04829689883070666,0.17
SMALL439,QROLL,0.17,252,0.2150482968988307,0.17
SMALL439,QROLL_armed,0.17,252,0.2150482968988307,0.17
SMALL439,QROLL,0.17,504,0.15556685307574988,0.17
SMALL439,QROLL_armed,0.17,504,0.1658087239230561,0.17
SMALL439,QROLL,0.17,1008,0.11947127605490594,0.17
SMALL439,QROLL_armed,0.17,1008,0.14747411358644494,0.17
SMALL439,QROLL,0.17,2016,0.06888662938485003,0.17
SMALL439,QROLL_armed,0.17,2016,0.12436897659476824,0.17
SMALL439,ABS,0.3,0,0.24428063040162684,
SMALL439,ABS,0.4,0,0.49211997966446364,
SMALL439,ABS,0.5,0,0.8246059989832232,
