panel,form,cadence,cash_bps,window,slope,r2,span,mean_idle
B136,TOP10,W,0.0,FULL,0.016871404221360686,0.999287978394409,0.013479809540398735,0.3996105381048517
B136,TOP10,W,0.0,IS,0.008734251438881215,0.997286737305708,0.006969090601590455,0.3996105381048517
B136,TOP10,W,0.0,OOS,0.02266948330432526,0.9997362490168358,0.018121204377145927,0.3996105381048517
B136,TOP10,W,150.0,FULL,-0.23500011255350375,0.8015416760931955,0.23281348254856493,0.3996310184263031
B136,TOP10,W,150.0,IS,-0.2843666291474685,0.8135769720078558,0.2796402071115194,0.3996310184263031
B136,TOP10,W,150.0,OOS,-0.20572103787972906,0.7899763768803075,0.20521096283522688,0.3996310184263031
B136,TOP10,W,300.0,FULL,-0.4832453219616736,0.8119257808514859,0.4755607406447212,0.3996511985256005
B136,TOP10,W,300.0,IS,-0.5732503240357322,0.8176804771042332,0.5621258189085743,0.3996511985256005
B136,TOP10,W,300.0,OOS,-0.43082224570906225,0.8066233278908388,0.4253265804858387,0.3996511985256005
B136,TOP20,M,0.0,FULL,0.01843669239102808,0.999422401928257,0.014752666483148325,0.39826449911667616
B136,TOP20,M,0.0,IS,0.019320813759292784,0.9999231544964816,0.015462557859650117,0.39826449911667616
B136,TOP20,M,0.0,OOS,0.019550522995087645,0.9995256329989012,0.01564977242831911,0.39826449911667616
B136,TOP20,M,150.0,FULL,-0.27346697609627957,0.8016408210921553,0.27084490497762315,0.39837084368876047
B136,TOP20,M,150.0,IS,-0.30560871272892187,0.8024780672442049,0.30242406042146164,0.39837084368876047
B136,TOP20,M,150.0,OOS,-0.2515285695317167,0.7984987341181384,0.2495828002993432,0.39837084368876047
B136,TOP20,M,300.0,FULL,-0.5614349713782698,0.8114552999438286,0.5525913962110485,0.3984756340439791
B136,TOP20,M,300.0,IS,-0.6261540179853652,0.8119395363572646,0.6160209352084898,0.3984756340439791
B136,TOP20,M,300.0,OOS,-0.5189542657677646,0.8099388463209187,0.5112404220803031,0.3984756340439791
B136,TOP20,W,0.0,FULL,0.0114498746859508,0.9987627960369989,0.00914360750691412,0.3996769552113194
B136,TOP20,W,0.0,IS,0.01183233172776871,0.9989004536817083,0.009449629272979099,0.3996769552113194
B136,TOP20,W,0.0,OOS,0.011646292397618422,0.998953370584193,0.009301934112890708,0.3996769552113194
B136,TOP20,W,150.0,FULL,-0.29051555263780543,0.8107611430768016,0.2861522075635248,0.39969743666197494
B136,TOP20,W,150.0,IS,-0.3200046378867656,0.8115125238978059,0.31503860371421255,0.39969743666197494
B136,TOP20,W,150.0,OOS,-0.27088601305853743,0.8096291887688113,0.26700004351715756,0.39969743666197494
B136,TOP20,W,300.0,FULL,-0.5881335744028992,0.8162531605421456,0.5771965719868566,0.39971761787346466
B136,TOP20,W,300.0,IS,-0.6470641263651653,0.8166755516902201,0.6348550755108324,0.39971761787346466
B136,TOP20,W,300.0,OOS,-0.5493506897768636,0.8156712941313851,0.5393240335866913,0.39971761787346466
SMALL663,EWall,M,0.0,FULL,-0.006646318481793808,0.9861984400474689,0.005314209645446266,0.39932123704709893
SMALL663,EWall,M,0.0,IS,0.0013631811951897773,0.9958213800860968,0.0011023892325268125,0.39932123704709893
SMALL663,EWall,M,0.0,OOS,-0.007473721425704739,0.9945530895287178,0.0059378712305028225,0.39932123704709893
SMALL663,EWall,M,150.0,FULL,-0.3132969853891763,0.8279689193928419,0.30537546794973935,0.3994276136870848
SMALL663,EWall,M,150.0,IS,-0.38272216260413683,0.8197940015556151,0.3746940370450007,0.3994276136870848
SMALL663,EWall,M,150.0,OOS,-0.2846347838045706,0.8290482456980428,0.27714855270745486,0.3994276136870848
SMALL663,EWall,M,300.0,FULL,-0.615800874987971,0.8242127822292047,0.6013776277234059,0.3995324354528888
SMALL663,EWall,M,300.0,IS,-0.7616167327509119,0.8202495048058925,0.7454104153483122,0.3995324354528888
SMALL663,EWall,M,300.0,OOS,-0.5580470120412622,0.8247241963995537,0.5446894880948405,0.3995324354528888
SMALL663,EWall,W,0.0,FULL,-0.002946090794038743,0.9843533966165031,0.0023538714963385887,0.39988788934130853
SMALL663,EWall,W,0.0,IS,0.002638551516169398,0.9925906653541801,0.0021099368462986767,0.39988788934130853
SMALL663,EWall,W,0.0,OOS,-0.004643471432669817,0.9953657133348036,0.0037061470101888982,0.39988788934130853
SMALL663,EWall,W,150.0,FULL,-0.3030797539698365,0.8250742210622755,0.2958616356720275,0.3999083668565806
SMALL663,EWall,W,150.0,IS,-0.37718745599771203,0.8199533544846456,0.36931441264224807,0.3999083668565806
SMALL663,EWall,W,150.0,OOS,-0.2750125868491743,0.8270906759442644,0.2681097580660099,0.3999083668565806
SMALL663,EWall,W,300.0,FULL,-0.5988924190427155,0.8233226494794476,0.585143754063493,0.39992854418874363
SMALL663,EWall,W,300.0,IS,-0.7515409386826172,0.820803760926217,0.7353870384302071,0.39992854418874363
SMALL663,EWall,W,300.0,OOS,-0.5414901636101709,0.8243365952078818,0.5287077019596712,0.39992854418874363
SMALL663,MA-DG,M,0.0,FULL,0.009600409752044483,0.9998717315731619,0.0076842951437101625,0.6699602564668649
SMALL663,MA-DG,M,0.0,IS,0.00762636257454897,0.9999973577773482,0.006101993306030895,0.6699602564668649
SMALL663,MA-DG,M,0.0,OOS,0.009532354193352957,0.9997755636922203,0.007630919156211835,0.6699602564668649
SMALL663,MA-DG,M,150.0,FULL,-0.6551872292401656,0.8177028929729975,0.6422979633389441,0.6700726750411568
SMALL663,MA-DG,M,150.0,IS,-0.7132903530637397,0.8184618007073656,0.6988926944065061,0.6700726750411568
SMALL663,MA-DG,M,150.0,OOS,-0.6263984521425072,0.8177080649662053,0.6140848352326091,0.6700726750411568
SMALL663,MA-DG,M,300.0,FULL,-1.3110353444421117,0.8198068261444197,1.2835398169355692,0.6701834212098808
SMALL663,MA-DG,M,300.0,IS,-1.4245366384790819,0.8200354684998779,1.3944300989926695,0.6701834212098808
SMALL663,MA-DG,M,300.0,OOS,-1.2537608360014436,0.8198758767761183,1.2274241077296568,0.6701834212098808
SMALL663,MA-DG,W,0.0,FULL,0.0007710141263897868,0.9859709258898673,0.0006157072808745667,0.672582305731809
SMALL663,MA-DG,W,0.0,IS,0.0039654293525947844,0.9995302957562897,0.0031716992247527998,0.672582305731809
SMALL663,MA-DG,W,0.0,OOS,-0.000902368193923408,0.9895187096291757,0.0007232448892352528,0.672582305731809
SMALL663,MA-DG,W,150.0,FULL,-0.6883744636808561,0.8216157245131935,0.6732038994729641,0.6726038189044649
SMALL663,MA-DG,W,150.0,IS,-0.7542203367985428,0.820390098006483,0.7381541160703137,0.6726038189044649
SMALL663,MA-DG,W,150.0,OOS,-0.655683279836257,0.8223534653211784,0.6409414815139225,0.6726038189044649
SMALL663,MA-DG,W,300.0,FULL,-1.367652678833765,0.8217405784504008,1.337375838907287,0.6726250155100227
SMALL663,MA-DG,W,300.0,IS,-1.501557618063216,0.8211246793650833,1.468872652451032,0.6726250155100227
SMALL663,MA-DG,W,300.0,OOS,-1.3010840129818004,0.822113303733915,1.271988418589841,0.6726250155100227
SMALL663,MA-RS,M,0.0,FULL,-0.008813534907220148,0.9973708433352277,0.007057666572074961,0.39936193613765997
