period,D,est,bar,subset,n,was_inside,now_inside,to_inside,to_outside,net,net_vs_RSS,moved_share
FULL,3,PAIR_SEED,1.0,NESTED_PAIR,366,158,128,0,30,-30,-64,0.08196721311475409
FULL,3,PAIR_SEED,2.0,ALL,607,312,291,30,51,-21,-59,0.13344316309719934
FULL,3,PAIR_SEED,2.0,2PANEL,345,141,137,12,16,-4,-19,0.08115942028985507
FULL,3,PAIR_SEED,2.0,3PANEL,262,171,154,18,35,-17,-40,0.20229007633587787
FULL,3,PAIR_SEED,2.0,NESTED_PAIR,366,196,145,0,51,-51,-63,0.13934426229508196
FULL,3,PAIR_COUPLED,1.0,ALL,607,257,231,2,28,-26,-69,0.04942339373970346
FULL,3,PAIR_COUPLED,1.0,2PANEL,345,120,111,1,10,-9,-21,0.03188405797101449
FULL,3,PAIR_COUPLED,1.0,3PANEL,262,137,120,1,18,-17,-48,0.07251908396946564
FULL,3,PAIR_COUPLED,1.0,NESTED_PAIR,366,158,140,0,18,-18,-52,0.04918032786885246
FULL,3,PAIR_COUPLED,2.0,ALL,607,312,281,14,45,-31,-69,0.09719934102141681
FULL,3,PAIR_COUPLED,2.0,2PANEL,345,141,129,4,16,-12,-27,0.057971014492753624
FULL,3,PAIR_COUPLED,2.0,3PANEL,262,171,152,10,29,-19,-42,0.14885496183206107
FULL,3,PAIR_COUPLED,2.0,NESTED_PAIR,366,196,161,0,35,-35,-47,0.09562841530054644
FULL,3,PAIR_DIRECT,1.0,ALL,607,257,249,7,15,-8,-51,0.036243822075782535
FULL,3,PAIR_DIRECT,1.0,2PANEL,345,120,120,3,3,0,-12,0.017391304347826087
FULL,3,PAIR_DIRECT,1.0,3PANEL,262,137,129,4,12,-8,-39,0.061068702290076333
FULL,3,PAIR_DIRECT,1.0,NESTED_PAIR,366,158,143,0,15,-15,-49,0.040983606557377046
FULL,3,PAIR_DIRECT,2.0,ALL,607,312,309,19,22,-3,-41,0.06754530477759473
FULL,3,PAIR_DIRECT,2.0,2PANEL,345,141,147,9,3,6,-9,0.034782608695652174
FULL,3,PAIR_DIRECT,2.0,3PANEL,262,171,162,10,19,-9,-32,0.11068702290076336
FULL,3,PAIR_DIRECT,2.0,NESTED_PAIR,366,196,174,0,22,-22,-34,0.060109289617486336
FULL,6,RSS_INDEP,1.0,ALL,607,259,300,41,0,41,0,0.06754530477759473
FULL,6,RSS_INDEP,1.0,2PANEL,345,121,132,11,0,11,0,0.03188405797101449
FULL,6,RSS_INDEP,1.0,3PANEL,262,138,168,30,0,30,0,0.11450381679389313
FULL,6,RSS_INDEP,1.0,NESTED_PAIR,366,160,193,33,0,33,0,0.09016393442622951
FULL,6,RSS_INDEP,2.0,ALL,607,308,361,53,0,53,0,0.08731466227347612
FULL,6,RSS_INDEP,2.0,2PANEL,345,140,168,28,0,28,0,0.08115942028985507
FULL,6,RSS_INDEP,2.0,3PANEL,262,168,193,25,0,25,0,0.09541984732824428
FULL,6,RSS_INDEP,2.0,NESTED_PAIR,366,196,220,24,0,24,0,0.06557377049180328
FULL,6,PAIR_INDEP,1.0,ALL,607,259,277,18,0,18,-23,0.029654036243822075
FULL,6,PAIR_INDEP,1.0,2PANEL,345,121,132,11,0,11,0,0.03188405797101449
FULL,6,PAIR_INDEP,1.0,3PANEL,262,138,145,7,0,7,-23,0.026717557251908396
FULL,6,PAIR_INDEP,1.0,NESTED_PAIR,366,160,173,13,0,13,-20,0.03551912568306011
FULL,6,PAIR_INDEP,2.0,ALL,607,308,356,48,0,48,-5,0.07907742998352553
FULL,6,PAIR_INDEP,2.0,2PANEL,345,140,168,28,0,28,0,0.08115942028985507
FULL,6,PAIR_INDEP,2.0,3PANEL,262,168,188,20,0,20,-5,0.07633587786259542
FULL,6,PAIR_INDEP,2.0,NESTED_PAIR,366,196,217,21,0,21,-3,0.05737704918032787
FULL,6,PAIR_SEED,1.0,ALL,607,259,284,25,0,25,-16,0.04118616144975288
FULL,6,PAIR_SEED,1.0,2PANEL,345,121,135,14,0,14,3,0.04057971014492753
FULL,6,PAIR_SEED,1.0,3PANEL,262,138,149,11,0,11,-19,0.04198473282442748
FULL,6,PAIR_SEED,1.0,NESTED_PAIR,366,160,172,12,0,12,-21,0.03278688524590164
FULL,6,PAIR_SEED,2.0,ALL,607,308,350,42,0,42,-11,0.06919275123558484
FULL,6,PAIR_SEED,2.0,2PANEL,345,140,160,20,0,20,-8,0.057971014492753624
FULL,6,PAIR_SEED,2.0,3PANEL,262,168,190,22,0,22,-3,0.08396946564885496
FULL,6,PAIR_SEED,2.0,NESTED_PAIR,366,196,209,13,0,13,-11,0.03551912568306011
FULL,6,PAIR_COUPLED,1.0,ALL,607,259,296,37,0,37,-4,0.060955518945634266
FULL,6,PAIR_COUPLED,1.0,2PANEL,345,121,133,12,0,12,1,0.034782608695652174
FULL,6,PAIR_COUPLED,1.0,3PANEL,262,138,163,25,0,25,-5,0.09541984732824428
FULL,6,PAIR_COUPLED,1.0,NESTED_PAIR,366,160,188,28,0,28,-5,0.07650273224043716
FULL,6,PAIR_COUPLED,2.0,ALL,607,308,356,49,1,48,-5,0.08237232289950576
FULL,6,PAIR_COUPLED,2.0,2PANEL,345,140,168,28,0,28,0,0.08115942028985507
FULL,6,PAIR_COUPLED,2.0,3PANEL,262,168,188,21,1,20,-5,0.08396946564885496
FULL,6,PAIR_COUPLED,2.0,NESTED_PAIR,366,196,216,21,1,20,-4,0.060109289617486336
FULL,6,PAIR_DIRECT,1.0,ALL,607,259,288,29,0,29,-12,0.047775947281713346
FULL,6,PAIR_DIRECT,1.0,2PANEL,345,121,139,18,0,18,7,0.05217391304347826
FULL,6,PAIR_DIRECT,1.0,3PANEL,262,138,149,11,0,11,-19,0.04198473282442748
FULL,6,PAIR_DIRECT,1.0,NESTED_PAIR,366,160,172,12,0,12,-21,0.03278688524590164
FULL,6,PAIR_DIRECT,2.0,ALL,607,308,359,52,1,51,-2,0.08731466227347612
FULL,6,PAIR_DIRECT,2.0,2PANEL,345,140,168,28,0,28,0,0.08115942028985507
FULL,6,PAIR_DIRECT,2.0,3PANEL,262,168,191,24,1,23,-2,0.09541984732824428
FULL,6,PAIR_DIRECT,2.0,NESTED_PAIR,366,196,213,18,1,17,-7,0.05191256830601093
FULL,12,RSS_INDEP,1.0,ALL,607,260,302,42,0,42,0,0.06919275123558484
FULL,12,RSS_INDEP,1.0,2PANEL,345,121,134,13,0,13,0,0.03768115942028986
FULL,12,RSS_INDEP,1.0,3PANEL,262,139,168,29,0,29,0,0.11068702290076336
FULL,12,RSS_INDEP,1.0,NESTED_PAIR,366,161,192,31,0,31,0,0.08469945355191257
FULL,12,RSS_INDEP,2.0,ALL,607,315,360,45,0,45,0,0.07413509060955518
FULL,12,RSS_INDEP,2.0,2PANEL,345,145,164,19,0,19,0,0.05507246376811594
FULL,12,RSS_INDEP,2.0,3PANEL,262,170,196,26,0,26,0,0.09923664122137404
FULL,12,RSS_INDEP,2.0,NESTED_PAIR,366,198,212,14,0,14,0,0.03825136612021858
FULL,12,PAIR_INDEP,1.0,ALL,607,260,280,20,0,20,-22,0.032948929159802305
FULL,12,PAIR_INDEP,1.0,2PANEL,345,121,134,13,0,13,0,0.03768115942028986
FULL,12,PAIR_INDEP,1.0,3PANEL,262,139,146,7,0,7,-22,0.026717557251908396
FULL,12,PAIR_INDEP,1.0,NESTED_PAIR,366,161,170,9,0,9,-22,0.02459016393442623
FULL,12,PAIR_INDEP,2.0,ALL,607,315,355,40,0,40,-5,0.06589785831960461
FULL,12,PAIR_INDEP,2.0,2PANEL,345,145,164,19,0,19,0,0.05507246376811594
FULL,12,PAIR_INDEP,2.0,3PANEL,262,170,191,21,0,21,-5,0.08015267175572519
FULL,12,PAIR_INDEP,2.0,NESTED_PAIR,366,198,209,11,0,11,-3,0.030054644808743168
FULL,12,PAIR_SEED,1.0,ALL,607,260,277,18,1,17,-25,0.03130148270181219
FULL,12,PAIR_SEED,1.0,2PANEL,345,121,129,8,0,8,-5,0.02318840579710145
FULL,12,PAIR_SEED,1.0,3PANEL,262,139,148,10,1,9,-20,0.04198473282442748
FULL,12,PAIR_SEED,1.0,NESTED_PAIR,366,161,160,0,1,-1,-32,0.00273224043715847
FULL,12,PAIR_SEED,2.0,ALL,607,315,348,33,0,33,-12,0.054365733113673806
FULL,12,PAIR_SEED,2.0,2PANEL,345,145,162,17,0,17,-2,0.04927536231884058
FULL,12,PAIR_SEED,2.0,3PANEL,262,170,186,16,0,16,-10,0.061068702290076333
FULL,12,PAIR_SEED,2.0,NESTED_PAIR,366,198,201,3,0,3,-11,0.00819672131147541
FULL,12,PAIR_COUPLED,1.0,ALL,607,260,286,26,0,26,-16,0.042833607907743
FULL,12,PAIR_COUPLED,1.0,2PANEL,345,121,135,14,0,14,1,0.04057971014492753
FULL,12,PAIR_COUPLED,1.0,3PANEL,262,139,151,12,0,12,-17,0.04580152671755725
FULL,12,PAIR_COUPLED,1.0,NESTED_PAIR,366,161,176,15,0,15,-16,0.040983606557377046
FULL,12,PAIR_COUPLED,2.0,ALL,607,315,359,44,0,44,-1,0.07248764415156507
FULL,12,PAIR_COUPLED,2.0,2PANEL,345,145,167,22,0,22,3,0.06376811594202898
FULL,12,PAIR_COUPLED,2.0,3PANEL,262,170,192,22,0,22,-4,0.08396946564885496
FULL,12,PAIR_COUPLED,2.0,NESTED_PAIR,366,198,216,18,0,18,4,0.04918032786885246
FULL,12,PAIR_DIRECT,1.0,ALL,607,260,293,33,0,33,-9,0.054365733113673806
FULL,12,PAIR_DIRECT,1.0,2PANEL,345,121,137,16,0,16,3,0.0463768115942029
FULL,12,PAIR_DIRECT,1.0,3PANEL,262,139,156,17,0,17,-12,0.0648854961832061
FULL,12,PAIR_DIRECT,1.0,NESTED_PAIR,366,161,179,18,0,18,-13,0.04918032786885246
FULL,12,PAIR_DIRECT,2.0,ALL,607,315,361,47,1,46,1,0.07907742998352553
FULL,12,PAIR_DIRECT,2.0,2PANEL,345,145,170,26,1,25,6,0.0782608695652174
FULL,12,PAIR_DIRECT,2.0,3PANEL,262,170,191,21,0,21,-5,0.08015267175572519
FULL,12,PAIR_DIRECT,2.0,NESTED_PAIR,366,198,215,18,1,17,3,0.05191256830601093
FULL,24,RSS_INDEP,1.0,ALL,607,260,303,43,0,43,0,0.07084019769357495
FULL,24,RSS_INDEP,1.0,2PANEL,345,121,135,14,0,14,0,0.04057971014492753
FULL,24,RSS_INDEP,1.0,3PANEL,262,139,168,29,0,29,0,0.11068702290076336
FULL,24,RSS_INDEP,1.0,NESTED_PAIR,366,161,192,31,0,31,0,0.08469945355191257
FULL,24,RSS_INDEP,2.0,ALL,607,312,358,46,0,46,0,0.0757825370675453
FULL,24,RSS_INDEP,2.0,2PANEL,345,144,162,18,0,18,0,0.05217391304347826
FULL,24,RSS_INDEP,2.0,3PANEL,262,168,196,28,0,28,0,0.10687022900763359
FULL,24,RSS_INDEP,2.0,NESTED_PAIR,366,198,211,13,0,13,0,0.03551912568306011
FULL,24,PAIR_INDEP,1.0,ALL,607,260,281,21,0,21,-22,0.03459637561779242
FULL,24,PAIR_INDEP,1.0,2PANEL,345,121,135,14,0,14,0,0.04057971014492753
FULL,24,PAIR_INDEP,1.0,3PANEL,262,139,146,7,0,7,-22,0.026717557251908396
FULL,24,PAIR_INDEP,1.0,NESTED_PAIR,366,161,170,9,0,9,-22,0.02459016393442623
FULL,24,PAIR_INDEP,2.0,ALL,607,312,352,40,0,40,-6,0.06589785831960461
FULL,24,PAIR_INDEP,2.0,2PANEL,345,144,162,18,0,18,0,0.05217391304347826
FULL,24,PAIR_INDEP,2.0,3PANEL,262,168,190,22,0,22,-6,0.08396946564885496
FULL,24,PAIR_INDEP,2.0,NESTED_PAIR,366,198,207,9,0,9,-4,0.02459016393442623
FULL,24,PAIR_SEED,1.0,ALL,607,260,278,18,0,18,-25,0.029654036243822075
FULL,24,PAIR_SEED,1.0,2PANEL,345,121,132,11,0,11,-3,0.03188405797101449
FULL,24,PAIR_SEED,1.0,3PANEL,262,139,146,7,0,7,-22,0.026717557251908396
FULL,24,PAIR_SEED,1.0,NESTED_PAIR,366,161,166,5,0,5,-26,0.01366120218579235
FULL,24,PAIR_SEED,2.0,ALL,607,312,349,37,0,37,-9,0.060955518945634266
FULL,24,PAIR_SEED,2.0,2PANEL,345,144,161,17,0,17,-1,0.04927536231884058
FULL,24,PAIR_SEED,2.0,3PANEL,262,168,188,20,0,20,-8,0.07633587786259542
FULL,24,PAIR_SEED,2.0,NESTED_PAIR,366,198,204,6,0,6,-7,0.01639344262295082
FULL,24,PAIR_COUPLED,1.0,ALL,607,260,276,16,0,16,-27,0.026359143327841845
FULL,24,PAIR_COUPLED,1.0,2PANEL,345,121,133,12,0,12,-2,0.034782608695652174
FULL,24,PAIR_COUPLED,1.0,3PANEL,262,139,143,4,0,4,-25,0.015267175572519083
FULL,24,PAIR_COUPLED,1.0,NESTED_PAIR,366,161,170,9,0,9,-22,0.02459016393442623
FULL,24,PAIR_COUPLED,2.0,ALL,607,312,349,37,0,37,-9,0.060955518945634266
FULL,24,PAIR_COUPLED,2.0,2PANEL,345,144,158,14,0,14,-4,0.04057971014492753
FULL,24,PAIR_COUPLED,2.0,3PANEL,262,168,191,23,0,23,-5,0.08778625954198473
FULL,24,PAIR_COUPLED,2.0,NESTED_PAIR,366,198,207,9,0,9,-4,0.02459016393442623
FULL,24,PAIR_DIRECT,1.0,ALL,607,260,277,18,1,17,-26,0.03130148270181219
FULL,24,PAIR_DIRECT,1.0,2PANEL,345,121,134,13,0,13,-1,0.03768115942028986
FULL,24,PAIR_DIRECT,1.0,3PANEL,262,139,143,5,1,4,-25,0.022900763358778626
FULL,24,PAIR_DIRECT,1.0,NESTED_PAIR,366,161,169,9,1,8,-23,0.0273224043715847
FULL,24,PAIR_DIRECT,2.0,ALL,607,312,351,41,2,39,-7,0.07084019769357495
FULL,24,PAIR_DIRECT,2.0,2PANEL,345,144,160,18,2,16,-2,0.057971014492753624
FULL,24,PAIR_DIRECT,2.0,3PANEL,262,168,191,23,0,23,-5,0.08778625954198473
FULL,24,PAIR_DIRECT,2.0,NESTED_PAIR,366,198,206,10,2,8,-5,0.03278688524590164
IS,3,RSS_INDEP,1.0,ALL,607,302,336,34,0,34,0,0.05601317957166392
IS,3,RSS_INDEP,1.0,2PANEL,345,137,150,13,0,13,0,0.03768115942028986
IS,3,RSS_INDEP,1.0,3PANEL,262,165,186,21,0,21,0,0.08015267175572519
IS,3,RSS_INDEP,1.0,NESTED_PAIR,366,192,205,13,0,13,0,0.03551912568306011
IS,3,RSS_INDEP,2.0,ALL,607,354,386,32,0,32,0,0.05271828665568369
IS,3,RSS_INDEP,2.0,2PANEL,345,166,183,17,0,17,0,0.04927536231884058
IS,3,RSS_INDEP,2.0,3PANEL,262,188,203,15,0,15,0,0.05725190839694656
IS,3,RSS_INDEP,2.0,NESTED_PAIR,366,220,233,13,0,13,0,0.03551912568306011
IS,3,PAIR_INDEP,1.0,ALL,607,302,334,32,0,32,-2,0.05271828665568369
IS,3,PAIR_INDEP,1.0,2PANEL,345,137,150,13,0,13,0,0.03768115942028986
IS,3,PAIR_INDEP,1.0,3PANEL,262,165,184,19,0,19,-2,0.07251908396946564
IS,3,PAIR_INDEP,1.0,NESTED_PAIR,366,192,204,12,0,12,-1,0.03278688524590164
IS,3,PAIR_INDEP,2.0,ALL,607,354,378,24,0,24,-8,0.039538714991762765
IS,3,PAIR_INDEP,2.0,2PANEL,345,166,183,17,0,17,0,0.04927536231884058
IS,3,PAIR_INDEP,2.0,3PANEL,262,188,195,7,0,7,-8,0.026717557251908396
IS,3,PAIR_INDEP,2.0,NESTED_PAIR,366,220,227,7,0,7,-6,0.01912568306010929
IS,3,PAIR_SEED,1.0,ALL,607,302,265,10,47,-37,-71,0.09390444810543658
IS,3,PAIR_SEED,1.0,2PANEL,345,137,127,4,14,-10,-23,0.05217391304347826
IS,3,PAIR_SEED,1.0,3PANEL,262,165,138,6,33,-27,-48,0.14885496183206107
IS,3,PAIR_SEED,1.0,NESTED_PAIR,366,192,146,0,46,-46,-59,0.12568306010928962
IS,3,PAIR_SEED,2.0,ALL,607,354,328,15,41,-26,-58,0.09225700164744646
IS,3,PAIR_SEED,2.0,2PANEL,345,166,155,7,18,-11,-28,0.07246376811594203
IS,3,PAIR_SEED,2.0,3PANEL,262,188,173,8,23,-15,-30,0.1183206106870229
IS,3,PAIR_SEED,2.0,NESTED_PAIR,366,220,180,0,40,-40,-53,0.1092896174863388
IS,3,PAIR_COUPLED,1.0,ALL,607,302,300,9,11,-2,-36,0.032948929159802305
IS,3,PAIR_COUPLED,1.0,2PANEL,345,137,133,1,5,-4,-17,0.017391304347826087
IS,3,PAIR_COUPLED,1.0,3PANEL,262,165,167,8,6,2,-19,0.05343511450381679
IS,3,PAIR_COUPLED,1.0,NESTED_PAIR,366,192,190,0,2,-2,-15,0.00546448087431694
IS,3,PAIR_COUPLED,2.0,ALL,607,354,347,14,21,-7,-39,0.057660626029654036
IS,3,PAIR_COUPLED,2.0,2PANEL,345,166,162,8,12,-4,-21,0.057971014492753624
IS,3,PAIR_COUPLED,2.0,3PANEL,262,188,185,6,9,-3,-18,0.05725190839694656
IS,3,PAIR_COUPLED,2.0,NESTED_PAIR,366,220,222,2,0,2,-11,0.00546448087431694
IS,3,PAIR_DIRECT,1.0,ALL,607,302,269,8,41,-33,-67,0.08072487644151564
IS,3,PAIR_DIRECT,1.0,2PANEL,345,137,125,3,15,-12,-25,0.05217391304347826
IS,3,PAIR_DIRECT,1.0,3PANEL,262,165,144,5,26,-21,-42,0.1183206106870229
IS,3,PAIR_DIRECT,1.0,NESTED_PAIR,366,192,163,3,32,-29,-42,0.09562841530054644
IS,3,PAIR_DIRECT,2.0,ALL,607,354,322,13,45,-32,-64,0.09555189456342669
IS,3,PAIR_DIRECT,2.0,2PANEL,345,166,149,10,27,-17,-34,0.1072463768115942
IS,3,PAIR_DIRECT,2.0,3PANEL,262,188,173,3,18,-15,-30,0.08015267175572519
IS,3,PAIR_DIRECT,2.0,NESTED_PAIR,366,220,198,2,24,-22,-35,0.07103825136612021
IS,6,RSS_INDEP,1.0,ALL,607,298,335,37,0,37,0,0.060955518945634266
IS,6,RSS_INDEP,1.0,2PANEL,345,134,149,15,0,15,0,0.043478260869565216
IS,6,RSS_INDEP,1.0,3PANEL,262,164,186,22,0,22,0,0.08396946564885496
IS,6,RSS_INDEP,1.0,NESTED_PAIR,366,190,206,16,0,16,0,0.04371584699453552
IS,6,RSS_INDEP,2.0,ALL,607,352,386,34,0,34,0,0.05601317957166392
IS,6,RSS_INDEP,2.0,2PANEL,345,165,182,17,0,17,0,0.04927536231884058
IS,6,RSS_INDEP,2.0,3PANEL,262,187,204,17,0,17,0,0.0648854961832061
IS,6,RSS_INDEP,2.0,NESTED_PAIR,366,219,233,14,0,14,0,0.03825136612021858
IS,6,PAIR_INDEP,1.0,ALL,607,298,333,35,0,35,-2,0.057660626029654036
IS,6,PAIR_INDEP,1.0,2PANEL,345,134,149,15,0,15,0,0.043478260869565216
IS,6,PAIR_INDEP,1.0,3PANEL,262,164,184,20,0,20,-2,0.07633587786259542
IS,6,PAIR_INDEP,1.0,NESTED_PAIR,366,190,205,15,0,15,-1,0.040983606557377046
IS,6,PAIR_INDEP,2.0,ALL,607,352,379,27,0,27,-7,0.044481054365733116
IS,6,PAIR_INDEP,2.0,2PANEL,345,165,182,17,0,17,0,0.04927536231884058
IS,6,PAIR_INDEP,2.0,3PANEL,262,187,197,10,0,10,-7,0.03816793893129771
IS,6,PAIR_INDEP,2.0,NESTED_PAIR,366,219,230,11,0,11,-3,0.030054644808743168
IS,6,PAIR_SEED,1.0,ALL,607,298,286,9,21,-12,-49,0.04942339373970346
IS,6,PAIR_SEED,1.0,2PANEL,345,134,135,3,2,1,-14,0.014492753623188406
IS,6,PAIR_SEED,1.0,3PANEL,262,164,151,6,19,-13,-35,0.09541984732824428
IS,6,PAIR_SEED,1.0,NESTED_PAIR,366,190,175,1,16,-15,-31,0.04644808743169399
IS,6,PAIR_SEED,2.0,ALL,607,352,359,10,3,7,-27,0.0214168039538715
IS,6,PAIR_SEED,2.0,2PANEL,345,165,168,5,2,3,-14,0.020289855072463767
IS,6,PAIR_SEED,2.0,3PANEL,262,187,191,5,1,4,-13,0.022900763358778626
IS,6,PAIR_SEED,2.0,NESTED_PAIR,366,219,216,0,3,-3,-17,0.00819672131147541
IS,6,PAIR_COUPLED,1.0,ALL,607,298,341,44,1,43,6,0.07413509060955518
IS,6,PAIR_COUPLED,1.0,2PANEL,345,134,156,23,1,22,7,0.06956521739130435
IS,6,PAIR_COUPLED,1.0,3PANEL,262,164,185,21,0,21,-1,0.08015267175572519
IS,6,PAIR_COUPLED,1.0,NESTED_PAIR,366,190,213,23,0,23,7,0.06284153005464481
IS,6,PAIR_COUPLED,2.0,ALL,607,352,388,36,0,36,2,0.05930807248764415
IS,6,PAIR_COUPLED,2.0,2PANEL,345,165,188,23,0,23,6,0.06666666666666667
IS,6,PAIR_COUPLED,2.0,3PANEL,262,187,200,13,0,13,-4,0.04961832061068702
IS,6,PAIR_COUPLED,2.0,NESTED_PAIR,366,219,239,20,0,20,6,0.0546448087431694
IS,6,PAIR_DIRECT,1.0,ALL,607,298,324,26,0,26,-11,0.042833607907743
IS,6,PAIR_DIRECT,1.0,2PANEL,345,134,147,13,0,13,-2,0.03768115942028986
IS,6,PAIR_DIRECT,1.0,3PANEL,262,164,177,13,0,13,-9,0.04961832061068702
IS,6,PAIR_DIRECT,1.0,NESTED_PAIR,366,190,193,3,0,3,-13,0.00819672131147541
IS,6,PAIR_DIRECT,2.0,ALL,607,352,376,24,0,24,-10,0.039538714991762765
IS,6,PAIR_DIRECT,2.0,2PANEL,345,165,182,17,0,17,0,0.04927536231884058
IS,6,PAIR_DIRECT,2.0,3PANEL,262,187,194,7,0,7,-10,0.026717557251908396
IS,6,PAIR_DIRECT,2.0,NESTED_PAIR,366,219,227,8,0,8,-6,0.02185792349726776
IS,12,RSS_INDEP,1.0,ALL,607,299,332,33,0,33,0,0.054365733113673806
IS,12,RSS_INDEP,1.0,2PANEL,345,134,146,12,0,12,0,0.034782608695652174
IS,12,RSS_INDEP,1.0,3PANEL,262,165,186,21,0,21,0,0.08015267175572519
IS,12,RSS_INDEP,1.0,NESTED_PAIR,366,191,201,10,0,10,0,0.0273224043715847
IS,12,RSS_INDEP,2.0,ALL,607,352,384,32,0,32,0,0.05271828665568369
IS,12,RSS_INDEP,2.0,2PANEL,345,166,180,14,0,14,0,0.04057971014492753
IS,12,RSS_INDEP,2.0,3PANEL,262,186,204,18,0,18,0,0.06870229007633588
IS,12,RSS_INDEP,2.0,NESTED_PAIR,366,220,230,10,0,10,0,0.0273224043715847
IS,12,PAIR_INDEP,1.0,ALL,607,299,324,25,0,25,-8,0.04118616144975288
IS,12,PAIR_INDEP,1.0,2PANEL,345,134,146,12,0,12,0,0.034782608695652174
IS,12,PAIR_INDEP,1.0,3PANEL,262,165,178,13,0,13,-8,0.04961832061068702
IS,12,PAIR_INDEP,1.0,NESTED_PAIR,366,191,194,3,0,3,-7,0.00819672131147541
IS,12,PAIR_INDEP,2.0,ALL,607,352,378,26,0,26,-6,0.042833607907743
IS,12,PAIR_INDEP,2.0,2PANEL,345,166,180,14,0,14,0,0.04057971014492753
IS,12,PAIR_INDEP,2.0,3PANEL,262,186,198,12,0,12,-6,0.04580152671755725
IS,12,PAIR_INDEP,2.0,NESTED_PAIR,366,220,226,6,0,6,-4,0.01639344262295082
IS,12,PAIR_SEED,1.0,ALL,607,299,304,23,18,5,-28,0.06754530477759473
IS,12,PAIR_SEED,1.0,2PANEL,345,134,144,11,1,10,-2,0.034782608695652174
IS,12,PAIR_SEED,1.0,3PANEL,262,165,160,12,17,-5,-26,0.11068702290076336
IS,12,PAIR_SEED,1.0,NESTED_PAIR,366,191,174,1,18,-17,-27,0.05191256830601093
IS,12,PAIR_SEED,2.0,ALL,607,352,366,19,5,14,-18,0.039538714991762765
IS,12,PAIR_SEED,2.0,2PANEL,345,166,172,11,5,6,-8,0.0463768115942029
IS,12,PAIR_SEED,2.0,3PANEL,262,186,194,8,0,8,-10,0.030534351145038167
IS,12,PAIR_SEED,2.0,NESTED_PAIR,366,220,215,0,5,-5,-15,0.01366120218579235
IS,12,PAIR_COUPLED,1.0,ALL,607,299,323,24,0,24,-9,0.039538714991762765
IS,12,PAIR_COUPLED,1.0,2PANEL,345,134,144,10,0,10,-2,0.028985507246376812
IS,12,PAIR_COUPLED,1.0,3PANEL,262,165,179,14,0,14,-7,0.05343511450381679
IS,12,PAIR_COUPLED,1.0,NESTED_PAIR,366,191,194,3,0,3,-7,0.00819672131147541
IS,12,PAIR_COUPLED,2.0,ALL,607,352,381,29,0,29,-3,0.047775947281713346
IS,12,PAIR_COUPLED,2.0,2PANEL,345,166,183,17,0,17,3,0.04927536231884058
IS,12,PAIR_COUPLED,2.0,3PANEL,262,186,198,12,0,12,-6,0.04580152671755725
IS,12,PAIR_COUPLED,2.0,NESTED_PAIR,366,220,229,9,0,9,-1,0.02459016393442623
IS,12,PAIR_DIRECT,1.0,ALL,607,299,325,26,0,26,-7,0.042833607907743
IS,12,PAIR_DIRECT,1.0,2PANEL,345,134,147,13,0,13,1,0.03768115942028986
IS,12,PAIR_DIRECT,1.0,3PANEL,262,165,178,13,0,13,-8,0.04961832061068702
IS,12,PAIR_DIRECT,1.0,NESTED_PAIR,366,191,194,3,0,3,-7,0.00819672131147541
IS,12,PAIR_DIRECT,2.0,ALL,607,352,373,24,3,21,-11,0.044481054365733116
IS,12,PAIR_DIRECT,2.0,2PANEL,345,166,176,13,3,10,-4,0.0463768115942029
