panel,ladder,chooser,claimset,pick_at_10,n_rungs,move_rung_bps,move_rung_on_1094s_coarse_ladder_bps,moves_within_200,pick_at_0,pick_at_25,pick_at_50,pick_at_100,pick_at_200,n_distinct_picks,flickers,absorbing,turnover_non_increasing,cstar_of_10pick_bps,cstar_first_fail_bps,cstar_failing_leg,ratio_cstar_over_move
U56,L_NH94,C_ISSHARPE,DIAG,12/21,27,11.0,15.0,True,12/21,5/63,40/126,40/126,40/126,3,2,True,True,63.0,64.0,L_H1,5.7272727272727275
U56,L_NH94,C_ISDD,DIAG,40/21,27,40.0,40.0,True,40/21,40/21,40/63,40/63,40/126,3,2,True,True,38.0,39.0,L_CAGR,0.95
U56,L_NH94,C_ISCAGR,DIAG,5/63,27,111.0,,True,5/63,5/63,5/63,5/63,5/126,2,1,True,True,,0.0,fails at 0 bps,
B136,L_N,C_ISSHARPE,CORE,8,9,82.0,100.0,True,8,8,8,5,5,2,1,True,False,,0.0,fails at 0 bps,
B136,L_N,C_ISDD,CORE,30,9,42.0,50.0,True,30,30,25,25,40,3,2,True,False,,0.0,fails at 0 bps,
B136,L_N,C_ISCAGR,CORE,5,9,,,False,5,5,5,5,5,1,0,True,True,,0.0,fails at 0 bps,
B136,L_H,C_ISSHARPE,CORE,63,4,71.0,75.0,True,63,63,63,126,126,2,1,True,True,,0.0,fails at 0 bps,
B136,L_H,C_ISDD,CORE,63,4,,,False,63,63,63,63,63,1,0,True,True,,0.0,fails at 0 bps,
B136,L_H,C_ISCAGR,CORE,63,4,70.0,75.0,True,63,63,63,126,126,2,1,True,True,,0.0,fails at 0 bps,
B136,L_G,C_ISSHARPE,CORE,0.75,10,,,False,0.75,0.75,0.75,0.75,0.75,1,0,True,True,,0.0,fails at 0 bps,
B136,L_G,C_ISDD,CORE,0.3,10,,,False,0.3,0.3,0.3,0.3,0.3,1,0,True,True,,0.0,fails at 0 bps,
B136,L_G,C_ISCAGR,CORE,0.75,10,,,False,0.75,0.75,0.75,0.75,0.75,1,0,True,True,,0.0,fails at 0 bps,
B136,L_CAD,C_ISSHARPE,CORE,W,4,117.0,,True,W,W,W,W,Q,2,1,True,True,,0.0,fails at 0 bps,
B136,L_CAD,C_ISDD,CORE,D,4,,,False,D,D,D,D,D,1,0,True,True,,0.0,fails at 0 bps,
B136,L_CAD,C_ISCAGR,CORE,W,4,0.0,0.0,True,D,W,W,W,Q,3,2,False,True,,0.0,fails at 0 bps,
B136,L_NH,C_ISSHARPE,WIDE,5/63,36,142.0,,True,5/63,5/63,5/63,5/63,5/126,2,1,True,True,,0.0,fails at 0 bps,
B136,L_NH,C_ISDD,WIDE,40/63,36,,,False,40/63,40/63,40/63,40/63,40/63,1,0,True,True,,0.0,fails at 0 bps,
B136,L_NH,C_ISCAGR,WIDE,5/63,36,167.0,,True,5/63,5/63,5/63,5/63,5/126,2,1,True,True,,0.0,fails at 0 bps,
B136,L_BOOK,C_ISSHARPE,WIDE,TOP5,5,0.0,0.0,True,TOP10,TOP5,TOP5,TOP5,TOP5,2,1,False,False,,0.0,fails at 0 bps,
B136,L_BOOK,C_ISDD,WIDE,BAND03,5,,,False,BAND03,BAND03,BAND03,BAND03,BAND03,1,0,True,True,,0.0,fails at 0 bps,
B136,L_BOOK,C_ISCAGR,WIDE,TOP5,5,,,False,TOP5,TOP5,TOP5,TOP5,TOP5,1,0,True,True,,0.0,fails at 0 bps,
B136,L_MV,C_ISSHARPE,WIDE,0.4,5,182.0,,True,0.4,0.4,0.4,0.4,0.6,2,1,True,True,,0.0,fails at 0 bps,
B136,L_MV,C_ISDD,WIDE,0.4,5,,,False,0.4,0.4,0.4,0.4,0.4,1,0,True,True,,0.0,fails at 0 bps,
B136,L_MV,C_ISCAGR,WIDE,0.4,5,40.0,40.0,True,0.4,0.4,0.6,0.6,0.6,2,1,True,True,,0.0,fails at 0 bps,
B136,L_NH94,C_ISSHARPE,DIAG,5/63,27,142.0,,True,5/63,5/63,5/63,5/63,5/126,2,1,True,True,,0.0,fails at 0 bps,
B136,L_NH94,C_ISDD,DIAG,40/63,27,,,False,40/63,40/63,40/63,40/63,40/63,1,0,True,True,,0.0,fails at 0 bps,
B136,L_NH94,C_ISCAGR,DIAG,5/63,27,167.0,,True,5/63,5/63,5/63,5/63,5/126,2,1,True,True,,0.0,fails at 0 bps,
