vi,vintage,commit_date,panel,reading,postfix,rows,names,missing_univ,tape_blob,first,last,years,is_rows,oos_rows,spy_full_CAGR,spy_full_Sharpe,spy_full_MaxDD,spy_oos_Sharpe,live_full_Sharpe,blob
8,56e08b10,2026-09-11,SMALL,V_RAW,True,4198,665,0,a6aa68b8,2011-01-13,2026-09-11,15.66050650,1502,2436,0.14058394,0.85818431,-0.33717235,0.87689442,0.71300003,ee745fe4
8,56e08b10,2026-09-11,U56,V_TRUNC,True,4698,55,0,ee745fe4,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048106,-0.33717235,0.88460049,1.20765672,ee745fe4
8,56e08b10,2026-09-11,BROAD,V_TRUNC,True,4698,135,0,d165fde1,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050248,-0.33715953,0.88461421,1.10785401,ee745fe4
8,56e08b10,2026-09-11,SMALL,V_TRUNC,True,4194,665,0,a6aa68b8,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164445,-0.33717235,0.88219219,0.72215669,ee745fe4
9,b2528b96,2026-09-14,U56,V_RAW,True,4704,55,0,b20471d3,2009-01-13,2026-09-14,17.66735113,2007,2437,0.15130246,0.88460555,-0.33717268,0.87413693,1.20139279,b20471d3
9,b2528b96,2026-09-14,BROAD,V_RAW,True,4703,135,0,d165fde1,2009-01-13,2026-09-11,17.65913758,2007,2436,0.15163389,0.88617549,-0.33715953,0.87690785,1.09937686,b20471d3
9,b2528b96,2026-09-14,SMALL,V_RAW,True,4198,665,0,a6aa68b8,2011-01-13,2026-09-11,15.66050650,1502,2436,0.14058394,0.85818468,-0.33717268,0.87689399,0.71300003,b20471d3
9,b2528b96,2026-09-14,U56,V_TRUNC,True,4698,55,0,b20471d3,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048165,-0.33717268,0.88460005,1.20765683,b20471d3
9,b2528b96,2026-09-14,BROAD,V_TRUNC,True,4698,135,0,d165fde1,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050248,-0.33715953,0.88461421,1.10785401,b20471d3
9,b2528b96,2026-09-14,SMALL,V_TRUNC,True,4194,665,0,a6aa68b8,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164481,-0.33717268,0.88219175,0.72215669,b20471d3
10,868b5c36,2026-09-15,U56,V_RAW,True,4705,55,0,03c01511,2009-01-13,2026-09-15,17.67008898,2007,2438,0.15096594,0.88301472,-0.33717257,0.87130847,1.20086757,03c01511
10,868b5c36,2026-09-15,BROAD,V_RAW,True,4703,135,0,d165fde1,2009-01-13,2026-09-11,17.65913758,2007,2436,0.15163389,0.88617549,-0.33715953,0.87690785,1.09937686,03c01511
10,868b5c36,2026-09-15,SMALL,V_RAW,True,4198,665,0,a6aa68b8,2011-01-13,2026-09-11,15.66050650,1502,2436,0.14058394,0.85818444,-0.33717257,0.87689421,0.71300003,03c01511
10,868b5c36,2026-09-15,U56,V_TRUNC,True,4698,55,0,03c01511,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048064,-0.33717257,0.88460028,1.20765659,03c01511
10,868b5c36,2026-09-15,BROAD,V_TRUNC,True,4698,135,0,d165fde1,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050248,-0.33715953,0.88461421,1.10785401,03c01511
10,868b5c36,2026-09-15,SMALL,V_TRUNC,True,4194,665,0,a6aa68b8,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164458,-0.33717257,0.88219198,0.72215669,03c01511
11,6f1fcb13,2026-09-16,U56,V_RAW,True,4706,55,0,d29b35c3,2009-01-13,2026-09-16,17.67282683,2007,2439,0.15064126,0.88148386,-0.33717235,0.86858430,1.19818410,d29b35c3
11,6f1fcb13,2026-09-16,BROAD,V_RAW,True,4703,135,0,d165fde1,2009-01-13,2026-09-11,17.65913758,2007,2436,0.15163389,0.88617549,-0.33715953,0.87690785,1.09937686,d29b35c3
11,6f1fcb13,2026-09-16,SMALL,V_RAW,True,4198,665,0,a6aa68b8,2011-01-13,2026-09-11,15.66050650,1502,2436,0.14058394,0.85818415,-0.33717235,0.87689408,0.71300003,d29b35c3
11,6f1fcb13,2026-09-16,U56,V_TRUNC,True,4698,55,0,d29b35c3,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048108,-0.33717235,0.88460014,1.20765635,d29b35c3
11,6f1fcb13,2026-09-16,BROAD,V_TRUNC,True,4698,135,0,d165fde1,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050248,-0.33715953,0.88461421,1.10785401,d29b35c3
11,6f1fcb13,2026-09-16,SMALL,V_TRUNC,True,4194,665,0,a6aa68b8,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164428,-0.33717235,0.88219184,0.72215669,d29b35c3
12,1a89f791,2026-09-17,U56,V_RAW,True,4707,55,0,6126e970,2009-01-13,2026-09-17,17.67556468,2007,2440,0.15134034,0.88492258,-0.33717268,0.87470332,1.20178929,6126e970
12,1a89f791,2026-09-17,BROAD,V_RAW,True,4703,135,0,d165fde1,2009-01-13,2026-09-11,17.65913758,2007,2436,0.15163389,0.88617549,-0.33715953,0.87690785,1.09937686,6126e970
12,1a89f791,2026-09-17,SMALL,V_RAW,True,4198,665,0,a6aa68b8,2011-01-13,2026-09-11,15.66050650,1502,2436,0.14058401,0.85818461,-0.33717268,0.87689419,0.71300003,6126e970
12,1a89f791,2026-09-17,U56,V_TRUNC,True,4698,55,0,6126e970,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048122,-0.33717268,0.88460026,1.20765714,6126e970
12,1a89f791,2026-09-17,BROAD,V_TRUNC,True,4698,135,0,d165fde1,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050248,-0.33715953,0.88461421,1.10785401,6126e970
12,1a89f791,2026-09-17,SMALL,V_TRUNC,True,4194,665,0,a6aa68b8,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129863,0.86164474,-0.33717268,0.88219195,0.72215669,6126e970
13,4e19a80d,2026-09-18,U56,V_RAW,True,4708,55,0,f10724be,2009-01-13,2026-09-18,17.67830253,2007,2441,0.15122598,0.88443823,-0.33717289,0.87384015,1.20113235,f10724be
13,4e19a80d,2026-09-18,BROAD,V_RAW,True,4708,135,0,4eec90fc,2009-01-13,2026-09-18,17.67830253,2007,2441,0.15122886,0.88445673,-0.33715953,0.87385114,1.09732566,f10724be
13,4e19a80d,2026-09-18,SMALL,V_RAW,True,4203,665,0,8ef3a799,2011-01-13,2026-09-18,15.67967146,1502,2441,0.14014544,0.85621103,-0.33717289,0.87384015,0.71847463,f10724be
13,4e19a80d,2026-09-18,U56,V_TRUNC,True,4698,55,0,f10724be,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048087,-0.33717289,0.88459981,1.20765575,f10724be
13,4e19a80d,2026-09-18,BROAD,V_TRUNC,True,4698,135,0,4eec90fc,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89049943,-0.33715953,0.88461116,1.10812755,f10724be
13,4e19a80d,2026-09-18,SMALL,V_TRUNC,True,4194,665,0,8ef3a799,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129863,0.86164498,-0.33717289,0.88219150,0.72981583,f10724be
