panel,kind,arm,gross,cadence,char,flavour,level,seed,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b
cvol~POOL~L0.247206~0,DRAW,MA-RS,0.5,M,cvol,POOL,0.247206,0,0.0688577375282935,0.8660796940451942,-0.1685104794340604,1.060531309732737,0.7337782255994233,0.06336240370744517,0.75735241303308,-0.1685104794340604,False,"H2,OOS,CAGR",False
cvol~POOL~L0.247206~0,DRAW,EWall,0.75,W,cvol,POOL,0.247206,0,0.11233969553680967,0.8887507838455699,-0.2764506987970321,1.0584191359412758,0.7802413855028797,0.10667400819400652,0.8072258826274151,-0.27645069879703166,False,"H2,OOS,DD",False
cvol~POOL~L0.247206~0,DRAW,MA-RS,0.75,W,cvol,POOL,0.247206,0,0.08238331036048119,0.73100526285582,-0.23550844473620736,0.9729252792852079,0.5552621366206604,0.07397585644265381,0.6329035253730538,-0.23550844473620758,False,"H2,OOS,DD,CAGR",False
cvol~POOL~L0.247206~0,DRAW,EWall,0.75,M,cvol,POOL,0.247206,0,0.10980995464559262,0.8812350373658455,-0.2713392730045461,1.057592965036039,0.7648424521819692,0.10306262257403365,0.7945539520694407,-0.27133927300454597,False,"H2,OOS,DD",False
cvol~POOL~L0.247206~0,DRAW,MA-RS,0.75,M,cvol,POOL,0.247206,0,0.10317885474952915,0.868811568250409,-0.24678142383402468,1.0656396979919776,0.7357124083511976,0.09425488998804732,0.7592309718765009,-0.24678142383402468,False,"H2,OOS,DD",False
cvol~POOL~L0.247206~0,DRAW,EWall,1.0,W,cvol,POOL,0.247206,0,0.14844568068019992,0.8883524722435162,-0.3553560481663731,1.0602603886377153,0.7786266391224926,0.13987617334035818,0.8055285322110575,-0.35535604816637323,False,"H2,OOS,DD",False
cvol~POOL~L0.247206~0,DRAW,MA-RS,1.0,W,cvol,POOL,0.247206,0,0.10833353636869436,0.7329686115100592,-0.3049948163915164,0.975113338776108,0.5572898429354659,0.09639333877223244,0.6345987726263564,-0.3049948163915167,False,"H2,OOS,DD",False
cvol~POOL~L0.247206~0,DRAW,EWall,1.0,M,cvol,POOL,0.247206,0,0.14600400093863874,0.8816175024925191,-0.35313962862272796,1.0609802910758352,0.764599428511897,0.13618410428473982,0.7939734922657794,-0.35313962862272774,False,"H2,OOS,DD",False
cvol~POOL~L0.247206~0,DRAW,MA-RS,1.0,M,cvol,POOL,0.247206,0,0.13733029768610794,0.8714821906183902,-0.3212227537688668,1.0707331681099896,0.7377783782242207,0.12449203498266703,0.761161068564674,-0.32122275376886666,False,"H2,OOS,DD",False
cvol~POOL~L0.247206~1,DRAW,EWall,0.5,W,cvol,POOL,0.247206,1,0.07458812770577028,0.9118596263137899,-0.17186568457369344,1.0974856703086124,0.7761732577555639,0.07010532722435192,0.8351203502587862,-0.17186568457369344,False,"H2,OOS,CAGR",False
cvol~POOL~L0.247206~1,DRAW,MA-RS,0.5,W,cvol,POOL,0.247206,1,0.055395588956864916,0.7820028226468061,-0.1390129576605229,0.8298506351575399,0.7453879883686858,0.05851458594591552,0.802072680918684,-0.13901295766052313,False,"H1,H2,OOS,CAGR",False
cvol~POOL~L0.247206~1,DRAW,EWall,0.5,M,cvol,POOL,0.247206,1,0.07302258388755911,0.9072042738663026,-0.16777427484159835,1.0953330529656407,0.7672135149542207,0.06822810475726704,0.8283669040745356,-0.16777427484159857,False,"H2,OOS,CAGR",False
cvol~POOL~L0.247206~1,DRAW,MA-RS,0.5,M,cvol,POOL,0.247206,1,0.06605147632357355,0.8771206410384214,-0.16758039536336822,0.9656024378884654,0.814142451274776,0.06725387464074806,0.8593093898269103,-0.16758039536336866,False,"H2,OOS,CAGR",False
cvol~POOL~L0.247206~1,DRAW,EWall,0.75,W,cvol,POOL,0.247206,1,0.11136076423536934,0.9124639665588412,-0.2495856666822608,1.0994039562195534,0.7762088937817959,0.10414714453209539,0.8349086076813368,-0.2495856666822609,False,"H2,OOS,DD",False
cvol~POOL~L0.247206~1,DRAW,MA-RS,0.75,W,cvol,POOL,0.247206,1,0.08225749331152055,0.7823898542472094,-0.20311324589419855,0.8318998552300072,0.7445054117940987,0.08685851893386509,0.801447144112158,-0.20311324589419988,False,"H1,H2,OOS,DD,CAGR",False
cvol~POOL~L0.247206~1,DRAW,EWall,0.75,M,cvol,POOL,0.247206,1,0.10943118321689083,0.907810870045384,-0.2457208413401497,1.0982041660645376,0.7670985915463631,0.10176656148902063,0.8279008854702457,-0.2457208413401497,False,"H2,OOS,DD",False
