file,stat,is_null_file,cellkey,rows,cells,n_true,ROW,CELL,CELLANY,top_cell_row_share,herfindahl,gap_ROW_CELL_pp,gap_ROW_CELLANY_pp,gap_max_pp
2026-09-08_does-idea-404-s-both-paths-emptiness-survive-idea-142-s-two-rows_C.grid.csv,pass4b,False,panel|arm|gross|cost,288,216,84,0.2916666666666667,0.2777777777777778,0.2777777777777778,0.013888888888888888,0.006944444444444445,1.3888888888888895,1.3888888888888895,1.3888888888888895
2026-09-08_does-idea-404-s-both-paths-emptiness-survive-idea-142-s-two-rows_C.grid.csv,pass4a_v2,False,panel|arm|gross|cost,288,216,22,0.0763888888888889,0.10185185185185185,0.10185185185185185,0.013888888888888888,0.006944444444444445,2.546296296296295,2.546296296296295,2.546296296296295
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.keep.csv,pass4b,False,arm|cost_bps,25,25,25,1.0,1.0,1.0,0.04,0.04,0.0,0.0,0.0
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.keep.csv,pass4a,False,arm|cost_bps,25,25,25,1.0,1.0,1.0,0.04,0.04,0.0,0.0,0.0
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.walkforward.csv,pass4b,False,arm|cost_bps,2800,25,959,0.3425,0.3425,1.0,0.04,0.04,0.0,65.75,65.75
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.walkforward.csv,pass4a,False,arm|cost_bps,2800,25,2248,0.8028571428571428,0.8028571428571428,1.0,0.04,0.04,0.0,19.71428571428572,19.71428571428572
2026-09-08_does-the-4b-gross-100-family-survive-a-CASH-CREDIT-and-a-BORROW-charge_C.keeppaths.csv,pass4b,False,panel|gross|cadence,1260,30,171,0.1357142857142857,0.1357142857142857,0.3,0.03333333333333333,0.03333333333333333,0.0,16.428571428571427,16.428571428571427
2026-09-08_does-the-4b-gross-100-family-survive-a-CASH-CREDIT-and-a-BORROW-charge_C.keeppaths.csv,pass4a,False,panel|gross|cadence,1260,30,91,0.07222222222222222,0.07222222222222222,0.26666666666666666,0.03333333333333333,0.03333333333333333,0.0,19.444444444444446,19.444444444444446
2026-09-08_does-the-FREE-STRATUM-COUNT-generalise-as-a-null-power-certificate_cloud.grid.csv,pass4b,True,panel,294,3,64,0.21768707482993196,0.21768707482993196,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,11.564625850340136,11.564625850340136
2026-09-08_does-the-FREE-STRATUM-COUNT-generalise-as-a-null-power-certificate_cloud.grid.csv,pass4a,True,panel,294,3,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
2026-09-08_does-the-FREE-STRATUM-COUNT-generalise-as-a-null-power-certificate_cloud.keep.csv,pass4b,True,panel,288,3,62,0.2152777777777778,0.2152777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,11.805555555555552,11.805555555555552
2026-09-08_does-the-FREE-STRATUM-COUNT-generalise-as-a-null-power-certificate_cloud.keep.csv,pass4a,True,panel,288,3,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
2026-09-08_does-the-IS-WINDOW-DD-CAP-transfer-at-all_cloud.grid.csv,pass4b,False,panel|arm|gross|freq|rung,186,186,22,0.11827956989247312,0.11827956989247312,0.11827956989247312,0.005376344086021506,0.005376344086021506,0.0,0.0,0.0
