panel,H,c,cost_bps,seeds,real_CAGR,real_Sharpe,real_MaxDD,real_OOS_Sharpe,permP_CAGR,permP_Sharpe,permP_MaxDD,permP_OOS_Sharpe,se_CAGR,se_Sharpe,se_MaxDD,se_OOS_Sharpe,t_Sharpe,t_MaxDD,frac_perm_dd_better,frac_perm_sharpe_better
B136,126,0.75,10.0,20,0.14421835089442214,1.0798895050754962,-0.18236178434305095,1.0756488832971804,0.14045938341416653,0.9423819366573323,-0.2053540800032904,0.9111640717758483,0.0013433540373997222,0.007750136696319617,0.0018170186040564304,0.010245946499540033,17.742599105827832,12.653858143725081,0.0,0.0
B136,126,1.0,10.0,20,0.1383920673731096,1.0704504882634658,-0.17989060548315539,1.08045806542405,0.13114767589022946,0.8825344097118624,-0.20959026776715692,0.8584241163823743,0.0011906699449657926,0.006994495317276074,0.002741937988292429,0.01010311150816665,26.866281272282727,10.831631645505343,0.0,0.0
B136,142,0.25,10.0,20,0.18704813188019886,1.173826569444973,-0.2661613143718562,1.099848159686729,0.186936684902773,1.1346058948281923,-0.2686703708621326,1.0615260153250614,0.0003223735460117937,0.0017025984603384137,0.00046571048849553107,0.0020972082658767184,23.035774746903666,5.3875885389265,0.15,0.0
B136,142,0.5,10.0,20,0.1800918329778738,1.1715642808300832,-0.265675083194051,1.0978803677407303,0.17969958984308537,1.0941765475808782,-0.26918708458744856,1.0301675385879794,0.0008199628355756814,0.004374827181088955,0.0007964587708176284,0.004436424898344859,17.68932349687517,4.40952064573566,0.2,0.0
B136,142,0.75,10.0,20,0.17298377247564622,1.163210439575448,-0.26521034496558593,1.0898643052332724,0.1705174570846502,1.0427759638985914,-0.26869877183282337,0.9841519078111908,0.00129162388512946,0.00683458811189951,0.0013696212783560887,0.007135334193083816,17.621321680990757,2.5470010742126328,0.25,0.0
B136,142,1.0,10.0,20,0.1657748774227421,1.1479975077710896,-0.26475548432243434,1.0749064163580866,0.1619895089798078,0.9932488498743194,-0.2688887721750185,0.9389784062825592,0.0013829660085560643,0.007483651160454493,0.0016068985954292559,0.009950045167818456,20.67822972755615,2.5722144909088165,0.15,0.0
SMALL,126,0.25,10.0,20,0.08630050800320621,0.5625988162310773,-0.3521062512833161,0.4929302364104871,0.07292500821017311,0.48195991643501734,-0.3689464263728478,0.4133877129148173,0.0005062867696293128,0.0026129148264659877,0.0015125648917210304,0.004359544293127712,30.86166413817839,11.133522390811674,0.0,0.0
SMALL,126,0.5,10.0,20,0.0940966364649427,0.6141601485773036,-0.33934427094237996,0.5438443050060143,0.0650021077173623,0.4391281726317004,-0.37788257370982054,0.37777325651190086,0.0011325326348189662,0.005860610170844047,0.002520153555292021,0.0071252790589251954,29.865828103764674,15.29204547338584,0.0,0.0
SMALL,126,0.75,10.0,20,0.10164694207703584,0.6637774608443129,-0.3265987072732143,0.5926006143338592,0.05597815590837002,0.3900998783243911,-0.3826397409776148,0.32251296354749287,0.0015024222411788813,0.007769506602905601,0.006426971237507117,0.010696627491823615,35.22457686277958,8.719664618592194,0.0,0.0
SMALL,126,1.0,10.0,20,0.1090180873164801,0.7105878749281578,-0.31381937422149686,0.6385430060776239,0.053063975758135616,0.37225696936502867,-0.3967898000423389,0.3018190466162709,0.0028212194821353744,0.014482045986265984,0.007776222349157115,0.017061043142558324,23.36209302773824,10.669759954823746,0.0,0.0
SMALL,142,0.25,10.0,20,0.10422108337470104,0.6458645507961144,-0.387455551348189,0.6194206250751421,0.09415576340574874,0.5824699424582651,-0.40262016432213626,0.5566210283638254,0.0006053094932808095,0.0029951730111308825,0.0016935499565948794,0.003848827764647821,21.16559147076231,8.95433460046131,0.0,0.0
SMALL,142,0.5,10.0,20,0.1084668764924337,0.6790563473936809,-0.3786402988672475,0.6538631242866311,0.08698643458488071,0.5445389387997445,-0.40352805347772785,0.512616161597112,0.0011621746094187839,0.005661681930981022,0.004091082193706526,0.007551445744789819,23.75926628054644,6.083415935462307,0.05,0.0
SMALL,142,0.75,10.0,20,0.1124171702146115,0.7093974198222677,-0.3701220648810589,0.6855254567425922,0.07978176675545452,0.5058221373566303,-0.41420323818964144,0.48829975437034995,0.0017181260975788072,0.008511505743939305,0.006806826962212539,0.012186820320274046,23.917657884516498,6.476023785134398,0.1,0.0
SMALL,142,1.0,10.0,20,0.11614159139514424,0.7363851462398934,-0.361784248046476,0.7140373080968965,0.07118143237590427,0.45989092015646643,-0.4218628775273924,0.45594024164475655,0.0023413642985322843,0.011704610673071946,0.006477239980829369,0.013700217545663057,23.62267603821626,9.275344075367062,0.0,0.0
