path,k,N,share,family,quote
research/LEADERBOARD.md,3782,3784,0.9994714587737844,UNTYPED,"3,782 of 3,784 files"
research/LEADERBOARD.md,158,470,0.33617021276595743,UNTYPED,158 of 470 scripts
research/LEADERBOARD.md,13,14,0.9285714285714286,UNTYPED,13 of 14 files
research/LEADERBOARD.md,873,1323,0.6598639455782312,BOOKS,"873 of 1,323 files"
research/LEADERBOARD.md,280,477,0.5870020964360587,UNTYPED,280 of 477 files
research/LEADERBOARD.md,560,566,0.9893992932862191,UNTYPED,560 of 566 files
research/LEADERBOARD.md,499,606,0.8234323432343235,UNTYPED,499 of 606 files
research/LEADERBOARD.md,4,6,0.6666666666666666,UNTYPED,4 of 6 files
research/LEADERBOARD.md,92,97,0.9484536082474226,UNTYPED,92/97 files
research/LEADERBOARD.md,97,97,1.0,UNTYPED,97/97 files
research/LEADERBOARD.md,27,36,0.75,UNTYPED,27 of 36 scripts
research/LEADERBOARD.md,13,26,0.5,UNTYPED,13 of 26 artefacts
research/LEADERBOARD.md,36,60,0.6,UNTYPED,36 of 60 files
research/LEADERBOARD.md,36,151,0.23841059602649006,UNTYPED,36 of 151 scripts
research/LEADERBOARD.md,13,36,0.3611111111111111,UNTYPED,13 of 36 scripts
research/LEADERBOARD.md,2020,2022,0.9990108803165183,BOOKS,2020/2022 artefact
research/LEADERBOARD.md,533,540,0.987037037037037,PLACEBO,533/540 committed artefacts
research/LEADERBOARD.md,540,714,0.7563025210084033,PLACEBO,540/714 committed artefacts
research/LEADERBOARD.md,714,717,0.99581589958159,UNTYPED,714/717 committed artefacts
research/LEADERBOARD.md,73,543,0.13443830570902393,UNTYPED,73 of 543 files
research/LEADERBOARD.md,3,5,0.6,UNTYPED,3 of 5 files
research/LEADERBOARD.md,5,70,0.07142857142857142,PLACEBO,5 of 70 files
research/LEADERBOARD.md,42,296,0.14189189189189189,UNTYPED,42 of 296 files
research/LEADERBOARD.md,44,84,0.5238095238095238,BOOKS,44 of 84 artifacts
research/LEADERBOARD.md,97,5302,0.018294983025273482,GRIDS,"97 of 5,302 files"
research/LEADERBOARD.md,12,14,0.8571428571428571,UNTYPED,12 of 14 artefacts
research/LEADERBOARD.md,467,1501,0.3111259160559627,UNTYPED,467 of 1501 artefacts
research/LEADERBOARD.md,341,1209,0.28205128205128205,UNTYPED,"341 of 1,209 scripts"
research/LEADERBOARD.md,219,341,0.6422287390029325,UNTYPED,219 of 341 scripts
research/QUEUE.md,9,12,0.75,PLACEBO,9 of 12 artifact
research/QUEUE.md,106,132,0.803030303030303,UNTYPED,106 of 132 files
research/QUEUE.md,13,26,0.5,UNTYPED,13 of 26 files
research/QUEUE.md,341,1209,0.28205128205128205,UNTYPED,"341 of 1,209 scripts"
research/QUEUE.md,219,341,0.6422287390029325,UNTYPED,219 of 341 scripts
research/QUEUE.md,909,4759,0.19100651397352386,BOOKS,"909 of 4,759 artifacts"
research/QUEUE.md,0,118,0.0,UNTYPED,0 of 118 scripts
research/QUEUE.md,44,84,0.5238095238095238,BOOKS,44 of 84 artifacts
research/QUEUE.md,42,296,0.14189189189189189,UNTYPED,42 of 296 files
research/QUEUE.md,73,543,0.13443830570902393,UNTYPED,73 of 543 files
research/QUEUE.md,17,20,0.85,UNTYPED,17 of 20 committed scripts
research/QUEUE.md,36,60,0.6,UNTYPED,36 of 60 files
research/QUEUE.md,36,151,0.23841059602649006,UNTYPED,36 of 151 scripts
research/QUEUE.md,4,6,0.6666666666666666,UNTYPED,4 of 6 files
research/QUEUE.md,6,42,0.14285714285714285,UNTYPED,6 of 42 files
research/QUEUE.md,560,566,0.9893992932862191,UNTYPED,560 of 566 files
research/QUEUE.md,280,477,0.5870020964360587,UNTYPED,280 of 477 files
research/QUEUE.md,873,1323,0.6598639455782312,UNTYPED,"873 of 1,323 files"
research/QUEUE.md,13,14,0.9285714285714286,UNTYPED,13 of 14 files
research/QUEUE.md,14,24,0.5833333333333334,UNTYPED,14 of 24 committed artefacts
research/QUEUE.md,3,7,0.42857142857142855,UNTYPED,3 of 7 files
research/QUEUE.md,29,145,0.2,PLACEBO,29 of 145 files
research/QUEUE.md,362,439,0.8246013667425968,UNTYPED,362 of 439 committed scripts
research/QUEUE.md,57,194,0.29381443298969073,ARMS,57 of 194 files
research/QUEUE.md,7,45,0.15555555555555556,UNTYPED,7 of 45 files
research/QUEUE.md,208,254,0.8188976377952756,GRIDS,208 of 254 file
research/QUEUE.md,12,19,0.631578947368421,UNTYPED,12 of 19 files
research/QUEUE.md,60,108,0.5555555555555556,ARMS,60 of 108 files
research/QUEUE.md,68,71,0.9577464788732394,ARMS,68/71 files
research/QUEUE.md,2,379,0.005277044854881266,UNTYPED,2 of 379 files
research/QUEUE.md,7,361,0.019390581717451522,UNTYPED,7 of 361 scripts
research/QUEUE.md,28,242,0.11570247933884298,ARMS,28 of 242 files
research/QUEUE.md,39,56,0.6964285714285714,UNTYPED,39 of 56 files
research/QUEUE.md,4,4,1.0,UNTYPED,4 of 4 files
research/QUEUE.md,18,69,0.2608695652173913,GRIDS,18/69 files
research/QUEUE.md,136,292,0.4657534246575342,UNTYPED,136/292 files
research/QUEUE.md,18,91,0.1978021978021978,UNTYPED,18 of 91 files
research/QUEUE.md,87,91,0.9560439560439561,UNTYPED,87 of 91 files
research/QUEUE.md,4,9,0.4444444444444444,UNTYPED,4 of 9 scripts
research/backtests/2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.result.md,56,74,0.7567567567567568,ARMS,56 of 74 files
research/backtests/2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C.result.md,17,497,0.03420523138832998,UNTYPED,17 of 497 files
research/backtests/2026-09-06_back-fill-the-breakeven-column-arithmetically_cloud.result.md,50,75,0.6666666666666666,UNTYPED,50 of 75 files
research/backtests/2026-09-07_is-the-CAGR-floor-only-ever-closable-by-the-GROSS-dial_C.result.md,53,68,0.7794117647058824,UNTYPED,53 of 68 files
research/backtests/2026-09-07_price-the-no-trade-BANDs-DRAWDOWN-TAX-across-the-record_B.result.md,8,11,0.7272727272727273,UNTYPED,8 of 11 files
research/backtests/2026-09-07_price-the-no-trade-BANDs-DRAWDOWN-TAX-across-the-record_B.result.md,53,68,0.7794117647058824,UNTYPED,53 of 68 files
research/backtests/2026-09-08_a-within-cell-DIFFERENCE-curve-may-not-carry-a-published-sign-threshold_C.result.md,8,24,0.3333333333333333,UNTYPED,8 of 24 files
research/backtests/2026-09-08_audit-every-published-key-for-the-adjustment-leak_B.result.md,7,361,0.019390581717451522,BOOKS,7 of 361 scripts
research/backtests/2026-09-08_census-the-record-s-other-DOLLAR-floors-and-caps_C.result.md,2,379,0.005277044854881266,UNTYPED,2 of 379 committed scripts
research/backtests/2026-09-08_census-the-record-s-other-DOLLAR-floors-and-caps_C.result.md,2,379,0.005277044854881266,UNTYPED,2 of 379 files
research/backtests/2026-09-08_does-the-4b-aware-screen-only-pay-through-DD_B.result.md,4,4,1.0,UNTYPED,4 of 4 files
research/backtests/2026-09-08_is-IS-argmax-CONFIDENCE-an-inverse-signal_cloud.result.md,39,56,0.6964285714285714,UNTYPED,39 of 56 files
research/backtests/2026-09-08_is-IS-argmax-CONFIDENCE-an-inverse-signal_cloud.result.md,39,56,0.6964285714285714,ARMS,39 of 56 files
research/backtests/2026-09-08_is-cost-blind-choosing-worse-than-not-choosing-generally_C.result.md,25,59,0.423728813559322,UNTYPED,25 of 59 files
research/backtests/2026-09-08_is-the-EMPTY-POOL-RATE-the-only-dial-the-4b-screen-has_B.result.md,4,4,1.0,GRIDS,4 of 4 files
research/backtests/2026-09-08_label-the-337-undecidable-count-cells-from-the-AST_cloud.result.md,19,39,0.48717948717948717,UNTYPED,"19 of 39
files"
research/backtests/2026-09-08_make-PROTOCOL-quote-REGRET-instead-of-the-selection-MARGIN_cloud.result.md,41,44,0.9318181818181818,ARMS,41/44 files
research/backtests/2026-09-08_publish-ROOM-beside-every-abstention-and-chooser-result_C.result.md,7,45,0.15555555555555556,ARMS,7 of 45 files
research/backtests/2026-09-08_publish-ROOM-beside-every-abstention-and-chooser-result_C.result.md,7,45,0.15555555555555556,UNTYPED,7 of 45 files
research/backtests/2026-09-08_publish-ROOM-beside-every-abstention-and-chooser-result_cloud.result.md,12,19,0.631578947368421,UNTYPED,12 of 19 files
research/backtests/2026-09-08_publish-ROOM-beside-every-abstention-and-chooser-result_cloud.result.md,68,254,0.2677165354330709,ARMS,68 of 254 file
research/backtests/2026-09-08_publish-ROOM-beside-every-abstention-and-chooser-result_cloud.result.md,208,254,0.8188976377952756,GRIDS,"208
  of 254 file"
research/backtests/2026-09-08_the-DD-cap-is-what-cuts-risk-adjusted-argmaxes_cloud.result.md,88,115,0.7652173913043478,BOOKS,88 of 115 files
research/backtests/2026-09-08_the-pool-mean-as-a-leaderboard-column_B.result.md,2,21,0.09523809523809523,UNTYPED,2 of 21 files
research/backtests/2026-09-08_why-is-the-ungated-control-the-IS-argmax-on-broad136-and-SMALL439-but-not-u56_C.result.md,57,194,0.29381443298969073,ARMS,57 of 194 files
research/backtests/2026-09-09_is-S_CAGR-vs-S_SHARPE-a-general-selector-pair_B2.result.md,29,145,0.2,UNTYPED,29 of 145 files
research/backtests/2026-09-09_price-the-14-breadth-files-on-their-own-books_B.result.md,1,12,0.08333333333333333,UNTYPED,1 of 12 files
research/backtests/2026-09-09_restate-every-published-4a-count-against-the-LIVE-book_cloud.result.md,102,240,0.425,UNTYPED,102 of 240 files
research/backtests/2026-09-09_restate-the-26-characteristic-files-under-the-SIGN-FLIP_cloud.result.md,13,26,0.5,UNTYPED,13 of 26 files
research/backtests/2026-09-09_restate-the-record-s-158-REPRODUCTION-GATES-as-TOLERANCES-in-record-units_C.result.md,48,158,0.3037974683544304,UNTYPED,48 of 158 scripts
research/backtests/2026-09-09_stamp-every-committed-artefact-with-its-PANEL-VINTAGE_cloud.result.md,3782,3784,0.9994714587737844,UNTYPED,"3,782 of 3,784 artefacts"
research/backtests/2026-09-10_can-the-record-s-keys-be-made-REACHABLE-without-a-harness_cloud.result.md,499,606,0.8234323432343235,UNTYPED,499 of 606 committed files
research/backtests/2026-09-10_census-the-record-for-MaxDD-comparisons-that-are-EXACT-TIES_cloud.result.md,280,477,0.5870020964360587,UNTYPED,280 of 477 artefacts
research/backtests/2026-09-10_how-many-committed-GRID-files-cannot-state-their-own-PANEL_C.result.md,4,6,0.6666666666666666,UNTYPED,4 of 6 files
research/backtests/2026-09-10_is-FLIP1-already-dead-at-10-bps_C.result.md,6,42,0.14285714285714285,UNTYPED,6 of 42 files
research/backtests/2026-09-10_publish-the-PENALTY-beside-every-residualisation_cloud.result.md,5,8,0.625,UNTYPED,5 of 8 artefacts
research/backtests/2026-09-10_re-read-every-published-CADENCE-verdict-against-its-own-PHASE-SPREAD_cloud.result.md,92,100,0.92,UNTYPED,"92 of 100
files"
research/backtests/2026-09-11_do-the-record-s-HAND-COPIED-CONSTANT-gates-fail-more-than-its-ARTEFACT-gates_B.result.md,43,151,0.2847682119205298,UNTYPED,43 of 151 scripts
research/backtests/2026-09-11_does-the-B136-SPY-SERIES-gap-ever-reach-a-published-verdict_cloud.result.md,181,792,0.22853535353535354,UNTYPED,181 of 792 files
research/backtests/2026-09-11_how-many-of-the-60-rc-0-scripts-SILENTLY-changed-their-own-published-numbers_B.result.md,27,36,0.75,BOOKS,"27 of
36 scripts"
research/backtests/2026-09-11_how-many-of-the-60-rc-0-scripts-SILENTLY-changed-their-own-published-numbers_B.result.md,13,26,0.5,BOOKS,13 of 26 artefacts
research/backtests/2026-09-11_how-many-of-the-record-s-520-ASSERT-CLAUSES-are-SELF-CONSISTENCY-gates_cloud.result.md,36,151,0.23841059602649006,UNTYPED,36 of 151 scripts
research/backtests/2026-09-11_how-many-published-PANEL-ORDERING-claims-survive-a-draw-level-noise-floor_B.result.md,69,133,0.518796992481203,UNTYPED,69 of 133 files
research/backtests/2026-09-11_is-the-MA-residual-DRIFT-a-regime-not-a-panel_cloud.result.md,2020,2022,0.9990108803165183,UNTYPED,2020/2022 artefact
research/backtests/2026-09-11_is-the-VINTAGE-INERT-DD-LEG-a-2020-2022-artefact_cloud.result.md,2020,2022,0.9990108803165183,UNTYPED,2020/2022 artefact
research/backtests/2026-09-12_re-sweep-the-record-s-TEN-most-cited-UNSWEPT-4b-passes-in-GROSS_cloud.result.md,283,397,0.7128463476070529,UNTYPED,283 of 397 scripts
research/backtests/2026-09-12_which-committed-artefacts-read-a-NIGHTLY-REWRITTEN-metadata-file_B.result.md,17,20,0.85,BOOKS,17 of 20 committed scripts
research/backtests/2026-09-14_how-many-committed-RULE-8-PICKS-CHOSE-a-DIAL-THAT-DID-NOT-EXIST-for-most-of-the-IS-WINDOW_C.result.md,73,543,0.13443830570902393,UNTYPED,73 of 543 files
research/backtests/2026-09-15_re-price-the-65-UNADJUDICABLE-placebo-files-by-RE-RUNNING-them_cloud.result.md,5,70,0.07142857142857142,PLACEBO,5 of 70 files
research/backtests/2026-09-15_should-a-4b-PASS-be-NON-CERTIFYING-above-a-WITHIN-FAMILY-PHASE-PASS-SHARE_B.result.md,44,84,0.5238095238095238,BOOKS,44 of 84 artifacts
research/backtests/2026-09-15_should-a-4b-PASS-be-NON-CERTIFYING-above-a-WITHIN-FAMILY-PHASE-PASS-SHARE_B.result.md,44,84,0.5238095238095238,BOOKS,44 of 84 committed artifacts
research/backtests/2026-09-16_should-every-RECORD-CENSUS-carry-its-FILE-LIST-SHA_C.result.md,2,456,0.0043859649122807015,UNTYPED,2 of 456 files
research/backtests/2026-09-17_should-a-REGIME-to-LENGTH-RATIO-FIX-its-FRACTION-LADDER-or-COUNT-MATCH-its-BETWEEN-TERM_cloud.result.md,22,26,0.8461538461538461,UNTYPED,"22 of 26
  files"
research/backtests/2026-09-18_does-the-GROSS-LADDER-belong-in-the-record-s-COMPARISON-SET-AT-ALL_C.result.md,467,1501,0.3111259160559627,UNTYPED,467 of 1501 artefacts
