panel,arm,gross,cost,window,offgrid,n_off,margin,spread,ratio,is_date,leg_pub,n_leg_pass,n_leg_fail,flips,sharpe_lo,sharpe_hi,spy_sharpe
SMALL,BAND03,0.1,0.0,IS,SHIFT5,5,0.06728143881145421,0.05851809749224435,1.149754378470204,False,True,5,0,False,0.8703976933185362,0.9289157908107806,0.8315589181254608
SMALL,BAND03,0.1,0.0,IS,PHASE5,5,0.06728143881145421,0.03960936887486244,1.698624358898924,False,True,5,0,False,0.8897337708963635,0.929343139771226,0.8315589181254608
SMALL,BAND03,0.1,0.0,IS,ALT3,3,0.06728143881145421,0.030075433873865576,2.2370895493520795,False,True,3,0,False,0.898840356936915,0.9289157908107806,0.8315589181254608
SMALL,BAND03,0.1,0.0,OOS,SHIFT5,5,-0.2776580095289285,0.021920771854113896,12.666433982196667,False,False,0,5,False,0.5860639411138544,0.6079847129679683,0.8767139845003631
SMALL,BAND03,0.1,0.0,OOS,PHASE5,5,-0.2776580095289285,0.05823820568339355,4.767626445058932,False,False,0,5,False,0.5654628162709453,0.6237010219543389,0.8767139845003631
SMALL,BAND03,0.1,0.0,OOS,ALT3,3,-0.2776580095289285,0.019080582574291016,14.55186226352659,False,False,0,3,False,0.5860639411138544,0.6051445236881454,0.8767139845003631
SMALL,BAND03,0.1,0.0,ISH1_HALF,SHIFT5,5,0.12223796785657537,0.0909721034902422,1.3436862858698961,False,True,5,0,False,1.020102855028121,1.1110749585183632,0.9337133598830508
SMALL,BAND03,0.1,0.0,ISH1_HALF,PHASE5,5,0.12223796785657537,0.06269948956972549,1.9495847365813022,False,True,5,0,False,1.0281260214833525,1.090825511053078,0.9337133598830508
SMALL,BAND03,0.1,0.0,ISH1_HALF,ALT3,3,0.12223796785657537,0.055123630778737054,2.217523884579215,False,True,3,0,False,1.0559513277396262,1.1110749585183632,0.9337133598830508
SMALL,BAND03,0.1,0.0,ISH2_HALF,SHIFT5,5,-0.003163214144617288,0.06430830944985855,0.04918826465316522,True,False,2,3,True,0.6921282075159415,0.7564365169658,0.7151717413207667
SMALL,BAND03,0.1,0.0,ISH2_HALF,PHASE5,5,-0.003163214144617288,0.03833800679139354,0.08250857072015007,True,False,4,1,True,0.6986228435423566,0.7369608503337501,0.7151717413207667
SMALL,BAND03,0.1,0.0,ISH2_HALF,ALT3,3,-0.003163214144617288,0.04737422081966769,0.06677078989136769,True,False,1,2,True,0.7090622961461324,0.7564365169658,0.7151717413207667
SMALL,BAND03,0.1,10.0,FULL,SHIFT5,5,-0.19502999278211886,0.03133458948266621,6.224111947916417,False,False,0,5,False,0.646077705007486,0.6774122944901522,0.85807570655756
SMALL,BAND03,0.1,10.0,FULL,PHASE5,5,-0.19502999278211886,0.04754437868576089,4.102062077015396,False,False,0,5,False,0.6385950709821256,0.6861394496678865,0.85807570655756
SMALL,BAND03,0.1,10.0,FULL,ALT3,3,-0.19502999278211886,0.01624488308968164,12.005626122726438,False,False,0,3,False,0.6611674114004705,0.6774122944901522,0.85807570655756
SMALL,BAND03,0.1,10.0,IS,SHIFT5,5,0.026493261687945413,0.058336884539102685,0.45414255315926616,True,True,4,1,True,0.8297556687268509,0.8880925532659536,0.8315589181254608
SMALL,BAND03,0.1,10.0,IS,PHASE5,5,0.026493261687945413,0.040128484767889216,0.6602108662010907,True,True,5,0,False,0.849510534864941,0.8896390196328302,0.8315589181254608
SMALL,BAND03,0.1,10.0,IS,ALT3,3,0.026493261687945413,0.030040373452547398,0.8819218486013465,True,True,3,0,False,0.8580521798134062,0.8880925532659536,0.8315589181254608
SMALL,BAND03,0.1,10.0,OOS,SHIFT5,5,-0.3162340869850383,0.021812084300705914,14.4981141015856,False,False,0,5,False,0.547762517809021,0.5695746021097269,0.8767139845003631
SMALL,BAND03,0.1,10.0,OOS,PHASE5,5,-0.3162340869850383,0.05832000835269857,5.422394404893901,False,False,0,5,False,0.5272633443488709,0.5855833527015695,0.8767139845003631
SMALL,BAND03,0.1,10.0,OOS,ALT3,3,-0.3162340869850383,0.019045183041462188,16.60441311047434,False,False,0,3,False,0.547762517809021,0.5668077008504832,0.8767139845003631
SMALL,BAND03,0.1,10.0,ISH1_HALF,SHIFT5,5,0.08412113693196999,0.09085095825923228,0.9259245972061234,True,True,5,0,False,0.982491213464175,1.0733421717234073,0.9337133598830508
SMALL,BAND03,0.1,10.0,ISH1_HALF,PHASE5,5,0.08412113693196999,0.06343036757469833,1.3261965860895464,False,True,5,0,False,0.9909416116518801,1.0543719792265784,0.9337133598830508
SMALL,BAND03,0.1,10.0,ISH1_HALF,ALT3,3,0.08412113693196999,0.055507674908386484,1.5154865893916298,False,True,3,0,False,1.0178344968150208,1.0733421717234073,0.9337133598830508
SMALL,BAND03,0.1,10.0,ISH2_HALF,SHIFT5,5,-0.048183041486360656,0.06450660166914124,0.7469474478518456,True,False,0,5,False,0.6467184502279414,0.7112250518970826,0.7151717413207667
SMALL,BAND03,0.1,10.0,ISH2_HALF,PHASE5,5,-0.048183041486360656,0.03929685306214892,1.2261297720241877,False,False,0,5,False,0.6529431635644283,0.6922400166265772,0.7151717413207667
SMALL,BAND03,0.1,10.0,ISH2_HALF,ALT3,3,-0.048183041486360656,0.047944722172975296,1.0049707100716019,False,False,0,3,False,0.6632803297241073,0.7112250518970826,0.7151717413207667
SMALL,BAND03,0.1,25.0,FULL,SHIFT5,5,-0.25392721996097767,0.03126428129268799,8.12195929226,False,False,0,5,False,0.5874528277686674,0.6187171090613554,0.85807570655756
SMALL,BAND03,0.1,25.0,FULL,PHASE5,5,-0.25392721996097767,0.047594360781187284,5.335237532202512,False,False,0,5,False,0.5803386540764863,0.6279330148576736,0.85807570655756
SMALL,BAND03,0.1,25.0,FULL,ALT3,3,-0.25392721996097767,0.01615076481425115,15.722303115758132,False,False,0,3,False,0.6025663442471042,0.6187171090613554,0.85807570655756
SMALL,BAND03,0.1,25.0,IS,SHIFT5,5,-0.034703847079857186,0.05807848901346213,0.5975335734339285,True,False,0,5,False,0.7687496986235112,0.8268281876369733,0.8315589181254608
SMALL,BAND03,0.1,25.0,IS,PHASE5,5,-0.034703847079857186,0.04086510504096397,0.8492293619475438,True,False,0,5,False,0.7891391716766591,0.8300042767176231,0.8315589181254608
SMALL,BAND03,0.1,25.0,IS,ALT3,3,-0.034703847079857186,0.029973116591369697,1.1578324520930743,False,False,0,3,False,0.7968550710456036,0.8268281876369733,0.8315589181254608
SMALL,BAND03,0.1,25.0,OOS,SHIFT5,5,-0.37413060347348714,0.02166403254026983,17.26966587490305,False,False,0,5,False,0.4902847841668373,0.5119488167071071,0.8767139845003631
SMALL,BAND03,0.1,25.0,OOS,PHASE5,5,-0.37413060347348714,0.05847775617335538,6.397827617810597,False,False,0,5,False,0.46991715813365287,0.5283949143070082,0.8767139845003631
SMALL,BAND03,0.1,25.0,OOS,ALT3,3,-0.37413060347348714,0.0190025560622622,19.68843571610271,False,False,0,3,False,0.4902847841668373,0.5092873402290995,0.8767139845003631
SMALL,BAND03,0.1,25.0,ISH1_HALF,SHIFT5,5,0.026939785053940013,0.09070346868185175,0.2970094247269974,True,True,4,1,True,0.9260350950686098,1.0167385637504616,0.9337133598830508
SMALL,BAND03,0.1,25.0,ISH1_HALF,PHASE5,5,0.026939785053940013,0.06450286365242697,0.4176525432902448,True,True,5,0,False,0.9351075498508012,0.9996104135032282,0.9337133598830508
SMALL,BAND03,0.1,25.0,ISH1_HALF,ALT3,3,0.026939785053940013,0.05608541881347073,0.48033491812794576,True,True,3,0,False,0.9606531449369908,1.0167385637504616,0.9337133598830508
SMALL,BAND03,0.1,25.0,ISH2_HALF,SHIFT5,5,-0.1157450688372339,0.06479654259291145,1.7862846412101014,False,False,0,5,False,0.5785530203303475,0.643349562923259,0.7151717413207667
SMALL,BAND03,0.1,25.0,ISH2_HALF,PHASE5,5,-0.1157450688372339,0.040721373308685194,2.8423665370968076,False,False,0,5,False,0.5843669614934852,0.6250883348021704,0.7151717413207667
SMALL,BAND03,0.1,25.0,ISH2_HALF,ALT3,3,-0.1157450688372339,0.04882269836944397,2.370722485705005,False,False,0,3,False,0.594526864553815,0.643349562923259,0.7151717413207667
SMALL,BAND03,0.1,50.0,FULL,SHIFT5,5,-0.3521348536984329,0.031211524967218074,11.282205982190403,False,False,0,5,False,0.48965457794241735,0.5208661029096354,0.85807570655756
SMALL,BAND03,0.1,50.0,FULL,PHASE5,5,-0.3521348536984329,0.04773985435824957,7.376119144728457,False,False,0,5,False,0.48315466427679254,0.5308945186350421,0.85807570655756
SMALL,BAND03,0.1,50.0,FULL,ALT3,3,-0.3521348536984329,0.016042335444704126,21.950348495840682,False,False,0,3,False,0.5048237674649313,0.5208661029096354,0.85807570655756
