family,panel,window,phase,mean_resid0,n_pos,mean_c_sd
MA-THRESH,B136,OOS,63bar+0,-0.4760781848484471,0,0.10523886225641925
MA-THRESH,B136,OOS,63bar+13,-0.37162996993595354,1,0.09727454526416887
MA-THRESH,B136,OOS,63bar+26,-0.17111236120971884,0,0.08413052222955625
MA-THRESH,B136,OOS,63bar+39,0.01235143044727316,7,0.07966740112867585
MA-THRESH,B136,OOS,63bar+52,-0.8861347975083746,1,0.120389411520534
MA-THRESH,SMALL439,FULL,calendarQ,-0.6871451294249967,0,0.12966380097576088
MA-THRESH,SMALL439,FULL,63bar+0,-0.5362151999895648,0,0.1325013212935027
MA-THRESH,SMALL439,FULL,63bar+13,-0.35796813030920904,0,0.12054418399373351
MA-THRESH,SMALL439,FULL,63bar+26,-0.45994874405019076,0,0.11885498177844028
MA-THRESH,SMALL439,FULL,63bar+39,-0.03897196859108397,3,0.11657264540967043
MA-THRESH,SMALL439,FULL,63bar+52,-0.7071171126079159,0,0.127959951775511
MA-THRESH,SMALL439,IS,calendarQ,-0.20499833848083415,3,0.1243702792303233
MA-THRESH,SMALL439,IS,63bar+0,-0.18124123833289404,2,0.12909663909491237
MA-THRESH,SMALL439,IS,63bar+13,0.05458505492395519,5,0.11807021771034824
MA-THRESH,SMALL439,IS,63bar+26,-0.4608808464247839,0,0.1255634181713057
MA-THRESH,SMALL439,IS,63bar+39,-0.18971036169086217,1,0.11387570004899611
MA-THRESH,SMALL439,IS,63bar+52,-0.02035357931066992,5,0.11122236211246234
MA-THRESH,SMALL439,OOS,calendarQ,-0.9572865018707812,0,0.12807411442813862
MA-THRESH,SMALL439,OOS,63bar+0,-0.7442092363002404,1,0.13056248854074043
MA-THRESH,SMALL439,OOS,63bar+13,-0.6072626766643475,0,0.11820943645447686
MA-THRESH,SMALL439,OOS,63bar+26,-0.4602978642339579,0,0.11072625575386712
MA-THRESH,SMALL439,OOS,63bar+39,0.05760293573462416,6,0.11343357102349207
MA-THRESH,SMALL439,OOS,63bar+52,-1.1027223190976194,0,0.13110236309547532
QUANTILE-M,U56,FULL,calendarQ,-0.04221608575056804,0,0.007404021185175457
QUANTILE-M,U56,FULL,63bar+0,-0.05394318205487725,0,0.007412806079753666
QUANTILE-M,U56,FULL,63bar+13,-0.056615105628113324,0,0.007052837228584106
QUANTILE-M,U56,FULL,63bar+26,-0.058502057177236604,0,0.0071959351965279845
QUANTILE-M,U56,FULL,63bar+39,-0.037974859827719615,0,0.007097801696123051
QUANTILE-M,U56,FULL,63bar+52,-0.0299317444081661,1,0.007169891893912876
QUANTILE-M,U56,IS,calendarQ,-0.03174690119674444,0,0.007469982663345146
QUANTILE-M,U56,IS,63bar+0,-0.03040374688594068,1,0.007636238183952056
QUANTILE-M,U56,IS,63bar+13,-0.032522143633498146,0,0.0071908078090195575
QUANTILE-M,U56,IS,63bar+26,-0.04146154072654736,0,0.006767480065545745
QUANTILE-M,U56,IS,63bar+39,-0.04312926400324487,0,0.006947831941567779
QUANTILE-M,U56,IS,63bar+52,-0.039347198073376215,0,0.007092179464571316
QUANTILE-M,U56,OOS,calendarQ,-0.05388626332039781,1,0.006519653126566084
QUANTILE-M,U56,OOS,63bar+0,-0.0746108410334304,0,0.006366823956297063
QUANTILE-M,U56,OOS,63bar+13,-0.07508154786819393,0,0.0060914554201185155
QUANTILE-M,U56,OOS,63bar+26,-0.06958455296637794,0,0.0066440418211187605
QUANTILE-M,U56,OOS,63bar+39,-0.03129731469849853,2,0.006358427232191998
QUANTILE-M,U56,OOS,63bar+52,-0.02536244483883908,4,0.006404699224584893
QUANTILE-M,B136,FULL,calendarQ,-0.04422427949014759,0,0.005709370986888129
QUANTILE-M,B136,FULL,63bar+0,-0.05340915409899852,0,0.005776461522821203
QUANTILE-M,B136,FULL,63bar+13,-0.05345709896566753,0,0.00542718519957731
QUANTILE-M,B136,FULL,63bar+26,-0.06009014955622563,0,0.005570790045006034
QUANTILE-M,B136,FULL,63bar+39,-0.05450847759251647,0,0.005376068574095162
QUANTILE-M,B136,FULL,63bar+52,-0.02731905722591242,0,0.005652524617227694
QUANTILE-M,B136,IS,calendarQ,-0.03750185114806589,0,0.005914276942943148
QUANTILE-M,B136,IS,63bar+0,-0.0369160851993815,1,0.006267298315094775
QUANTILE-M,B136,IS,63bar+13,-0.03405591751592999,0,0.005801104550072734
QUANTILE-M,B136,IS,63bar+26,-0.04626838448730878,0,0.005472387011365178
QUANTILE-M,B136,IS,63bar+39,-0.04280494793325021,0,0.005570786378730426
QUANTILE-M,B136,IS,63bar+52,-0.049058861345994825,0,0.005512250950449611
QUANTILE-M,B136,OOS,calendarQ,-0.049409931867170305,0,0.005026563418661975
QUANTILE-M,B136,OOS,63bar+0,-0.06697710933468769,0,0.004806454299764982
QUANTILE-M,B136,OOS,63bar+13,-0.06926329157767903,0,0.004588042249245544
QUANTILE-M,B136,OOS,63bar+26,-0.071169801949947,0,0.00503982291699592
QUANTILE-M,B136,OOS,63bar+39,-0.06393898008931516,0,0.004590393010607066
QUANTILE-M,B136,OOS,63bar+52,-0.008885354592578172,6,0.005193787235277325
QUANTILE-M,SMALL439,FULL,calendarQ,0.01135573193311353,9,0.009744273028688228
QUANTILE-M,SMALL439,FULL,63bar+0,-0.0018528105814116852,4,0.009466939690360242
QUANTILE-M,SMALL439,FULL,63bar+13,-0.03704079166191773,0,0.009866948572732445
QUANTILE-M,SMALL439,FULL,63bar+26,-0.017459261892861535,2,0.009849347059879996
QUANTILE-M,SMALL439,FULL,63bar+39,-0.06895686169455671,0,0.008701313462599614
QUANTILE-M,SMALL439,FULL,63bar+52,-0.0014560954128466363,5,0.00909024160277206
QUANTILE-M,SMALL439,IS,calendarQ,-0.023706913741058006,1,0.00770961934799454
QUANTILE-M,SMALL439,IS,63bar+0,-0.009900513282394089,3,0.007816123277760033
QUANTILE-M,SMALL439,IS,63bar+13,-0.054970552541498546,0,0.007981969900325013
QUANTILE-M,SMALL439,IS,63bar+26,-0.04708561861557451,0,0.006665055062745284
QUANTILE-M,SMALL439,IS,63bar+39,-0.05793144363123047,0,0.007482400218364642
QUANTILE-M,SMALL439,IS,63bar+52,-0.07969233751484851,0,0.00704487013942228
QUANTILE-M,SMALL439,OOS,calendarQ,0.03159061020657629,9,0.010760087979480042
QUANTILE-M,SMALL439,OOS,63bar+0,0.002389354289412794,5,0.010343697798452907
QUANTILE-M,SMALL439,OOS,63bar+13,-0.025692452988952102,1,0.010864467750827299
QUANTILE-M,SMALL439,OOS,63bar+26,0.0023801066851156546,6,0.011327017414407208
QUANTILE-M,SMALL439,OOS,63bar+39,-0.07544269170117889,0,0.009345517600445817
QUANTILE-M,SMALL439,OOS,63bar+52,0.045353623929517854,9,0.010079374654764385
