vi,vintage,commit_date,postfix,panel,reading,tape_blob,pick_N,pick_H,pick_is_Sharpe,pick_oos_Sharpe,pick_oos_CAGR,pick_oos_MaxDD,pick_keep4b,pick_keep4a,anchor_is_Sharpe,anchor_oos_Sharpe,anchor_oos_CAGR,anchor_oos_MaxDD,anchor_keep4b,anchor_keep4a,spy_oos_Sharpe,edge_oos,is_margin,n_keep4b,n_keep4a
4,f138ee9a,2026-09-07,True,SMALL,V_TRUNC,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219238,0.11213339,0.10688880,0,0
5,9ee888f4,2026-09-08,True,U56,V_RAW,048a4741,16,63,1.21207983,1.14390350,0.17657546,-0.26480030,False,False,1.11574975,1.18701792,0.17365128,-0.19127636,True,False,0.87882679,-0.04311442,0.09633007,1,0
5,9ee888f4,2026-09-08,True,BROAD,V_RAW,3b7482a2,10,63,1.29509973,1.07253727,0.21001285,-0.28155506,False,False,1.14517748,1.01765882,0.16172189,-0.20740302,False,False,0.88220532,0.05487845,0.14992224,2,0
5,9ee888f4,2026-09-08,True,SMALL,V_RAW,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219189,0.11213339,0.10688880,0,0
5,9ee888f4,2026-09-08,True,U56,V_TRUNC,048a4741,16,63,1.21207983,1.14440007,0.17673682,-0.26480030,False,False,1.11574975,1.18477374,0.17334390,-0.19127636,True,False,0.88460019,-0.04037367,0.09633007,1,0
5,9ee888f4,2026-09-08,True,BROAD,V_TRUNC,3b7482a2,10,63,1.29509973,1.07330782,0.21023692,-0.28155506,False,False,1.14517748,1.00993629,0.16027474,-0.20740302,False,False,0.88461371,0.06337154,0.14992224,1,0
5,9ee888f4,2026-09-08,True,SMALL,V_TRUNC,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219189,0.11213339,0.10688880,0,0
6,7a93b075,2026-09-09,True,U56,V_RAW,0b78a96f,16,63,1.21208057,1.14328348,0.17642855,-0.26480034,False,False,1.11575075,1.18513190,0.17330130,-0.19127635,True,False,0.87595834,-0.04184841,0.09632983,1,0
6,7a93b075,2026-09-09,True,BROAD,V_RAW,3b7482a2,10,63,1.29509973,1.07253727,0.21001285,-0.28155506,False,False,1.14517748,1.01765882,0.16172189,-0.20740302,False,False,0.88220532,0.05487845,0.14992224,2,0
6,7a93b075,2026-09-09,True,SMALL,V_RAW,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219209,0.11213339,0.10688880,0,0
6,7a93b075,2026-09-09,True,U56,V_TRUNC,0b78a96f,16,63,1.21208057,1.14440039,0.17673689,-0.26480034,False,False,1.11575075,1.18477363,0.17334388,-0.19127635,True,False,0.88460040,-0.04037323,0.09632983,1,0
6,7a93b075,2026-09-09,True,BROAD,V_TRUNC,3b7482a2,10,63,1.29509973,1.07330782,0.21023692,-0.28155506,False,False,1.14517748,1.00993629,0.16027474,-0.20740302,False,False,0.88461371,0.06337154,0.14992224,1,0
6,7a93b075,2026-09-09,True,SMALL,V_TRUNC,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219209,0.11213339,0.10688880,0,0
7,60e8c36a,2026-09-10,True,U56,V_RAW,aa8f39b9,16,63,1.21208096,1.14241232,0.17623711,-0.26480034,False,False,1.11574929,1.18300853,0.17291244,-0.19127644,True,False,0.87230181,-0.04059621,0.09633168,1,0
7,60e8c36a,2026-09-10,True,BROAD,V_RAW,3b7482a2,10,63,1.29509973,1.07253727,0.21001285,-0.28155506,False,False,1.14517748,1.01765882,0.16172189,-0.20740302,False,False,0.88220532,0.05487845,0.14992224,2,0
7,60e8c36a,2026-09-10,True,SMALL,V_RAW,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219208,0.11213339,0.10688880,0,0
7,60e8c36a,2026-09-10,True,U56,V_TRUNC,aa8f39b9,16,63,1.21208096,1.14440049,0.17673685,-0.26480034,False,False,1.11574929,1.18477386,0.17334388,-0.19127644,True,False,0.88460038,-0.04037337,0.09633168,1,0
7,60e8c36a,2026-09-10,True,BROAD,V_TRUNC,3b7482a2,10,63,1.29509973,1.07330782,0.21023692,-0.28155506,False,False,1.14517748,1.00993629,0.16027474,-0.20740302,False,False,0.88461371,0.06337154,0.14992224,1,0
7,60e8c36a,2026-09-10,True,SMALL,V_TRUNC,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219208,0.11213339,0.10688880,0,0
8,56e08b10,2026-09-11,True,U56,V_RAW,ee745fe4,16,63,1.21211557,1.14449639,0.17657674,-0.26480051,False,False,1.11576470,1.18510132,0.17323167,-0.19127569,True,False,0.87689442,-0.04060493,0.09635087,1,0
8,56e08b10,2026-09-11,True,BROAD,V_RAW,d165fde1,10,63,1.29506193,1.06186005,0.20738332,-0.28158902,False,False,1.14447705,1.02401507,0.16286655,-0.20740302,False,False,0.87690785,0.03784497,0.15058488,2,0
8,56e08b10,2026-09-11,True,SMALL,V_RAW,a6aa68b8,10,252,1.05427296,0.85895722,0.17350103,-0.42627922,False,False,0.61424945,0.46894748,0.07407649,-0.35259806,False,False,0.87689442,0.39000974,0.44002351,0,0
8,56e08b10,2026-09-11,True,U56,V_TRUNC,ee745fe4,16,63,1.21211557,1.14439839,0.17673651,-0.26480051,False,False,1.11576470,1.18477214,0.17334376,-0.19127569,True,False,0.88460049,-0.04037375,0.09635087,1,0
8,56e08b10,2026-09-11,True,BROAD,V_TRUNC,d165fde1,10,63,1.29506193,1.07331105,0.21024441,-0.28158902,False,False,1.14447705,1.01001901,0.16029745,-0.20740302,False,False,0.88461421,0.06329204,0.15058488,1,0
8,56e08b10,2026-09-11,True,SMALL,V_TRUNC,a6aa68b8,10,252,1.05427296,0.85293165,0.17209691,-0.42627922,False,False,0.61424945,0.46929426,0.07418022,-0.35259806,False,False,0.88219219,0.38363740,0.44002351,0,0
9,b2528b96,2026-09-14,True,U56,V_RAW,b20471d3,16,63,1.21211493,1.14108069,0.17593989,-0.26480046,False,False,1.11576442,1.17943388,0.17226993,-0.19127566,True,False,0.87413693,-0.03835319,0.09635052,1,0
9,b2528b96,2026-09-14,True,BROAD,V_RAW,d165fde1,10,63,1.29506193,1.06186005,0.20738332,-0.28158902,False,False,1.14447705,1.02401507,0.16286655,-0.20740302,False,False,0.87690785,0.03784497,0.15058488,2,0
9,b2528b96,2026-09-14,True,SMALL,V_RAW,a6aa68b8,10,252,1.05427296,0.85895722,0.17350103,-0.42627922,False,False,0.61424945,0.46894748,0.07407649,-0.35259806,False,False,0.87689399,0.39000974,0.44002351,0,0
9,b2528b96,2026-09-14,True,U56,V_TRUNC,b20471d3,16,63,1.21211493,1.14439893,0.17673657,-0.26480046,False,False,1.11576442,1.18477251,0.17334382,-0.19127566,True,False,0.88460005,-0.04037357,0.09635052,1,0
9,b2528b96,2026-09-14,True,BROAD,V_TRUNC,d165fde1,10,63,1.29506193,1.07331105,0.21024441,-0.28158902,False,False,1.14447705,1.01001901,0.16029745,-0.20740302,False,False,0.88461421,0.06329204,0.15058488,1,0
9,b2528b96,2026-09-14,True,SMALL,V_TRUNC,a6aa68b8,10,252,1.05427296,0.85293165,0.17209691,-0.42627922,False,False,0.61424945,0.46929426,0.07418022,-0.35259806,False,False,0.88219175,0.38363740,0.44002351,0,0
10,868b5c36,2026-09-15,True,U56,V_RAW,03c01511,16,63,1.21211456,1.14185621,0.17604260,-0.26480047,False,False,1.11576338,1.17875197,0.17211894,-0.19127569,True,False,0.87130847,-0.03689576,0.09635118,1,0
10,868b5c36,2026-09-15,True,BROAD,V_RAW,d165fde1,10,63,1.29506193,1.06186005,0.20738332,-0.28158902,False,False,1.14447705,1.02401507,0.16286655,-0.20740302,False,False,0.87690785,0.03784497,0.15058488,2,0
10,868b5c36,2026-09-15,True,SMALL,V_RAW,a6aa68b8,10,252,1.05427296,0.85895722,0.17350103,-0.42627922,False,False,0.61424945,0.46894748,0.07407649,-0.35259806,False,False,0.87689421,0.39000974,0.44002351,0,0
10,868b5c36,2026-09-15,True,U56,V_TRUNC,03c01511,16,63,1.21211456,1.14439892,0.17673655,-0.26480047,False,False,1.11576338,1.18477268,0.17334381,-0.19127569,True,False,0.88460028,-0.04037376,0.09635118,1,0
10,868b5c36,2026-09-15,True,BROAD,V_TRUNC,d165fde1,10,63,1.29506193,1.07331105,0.21024441,-0.28158902,False,False,1.14447705,1.01001901,0.16029745,-0.20740302,False,False,0.88461421,0.06329204,0.15058488,1,0
10,868b5c36,2026-09-15,True,SMALL,V_TRUNC,a6aa68b8,10,252,1.05427296,0.85293165,0.17209691,-0.42627922,False,False,0.61424945,0.46929426,0.07418022,-0.35259806,False,False,0.88219198,0.38363740,0.44002351,0,0
11,6f1fcb13,2026-09-16,True,U56,V_RAW,d29b35c3,16,63,1.21211459,1.13876287,0.17546282,-0.26480056,False,False,1.11576352,1.17594653,0.17161961,-0.19127562,True,False,0.86858430,-0.03718367,0.09635107,1,0
11,6f1fcb13,2026-09-16,True,BROAD,V_RAW,d165fde1,10,63,1.29506193,1.06186005,0.20738332,-0.28158902,False,False,1.14447705,1.02401507,0.16286655,-0.20740302,False,False,0.87690785,0.03784497,0.15058488,2,0
11,6f1fcb13,2026-09-16,True,SMALL,V_RAW,a6aa68b8,10,252,1.05427296,0.85895722,0.17350103,-0.42627922,False,False,0.61424945,0.46894748,0.07407649,-0.35259806,False,False,0.87689408,0.39000974,0.44002351,0,0
11,6f1fcb13,2026-09-16,True,U56,V_TRUNC,d29b35c3,16,63,1.21211459,1.14439854,0.17673656,-0.26480056,False,False,1.11576352,1.18477225,0.17334377,-0.19127562,True,False,0.88460014,-0.04037370,0.09635107,1,0
11,6f1fcb13,2026-09-16,True,BROAD,V_TRUNC,d165fde1,10,63,1.29506193,1.07331105,0.21024441,-0.28158902,False,False,1.14447705,1.01001901,0.16029745,-0.20740302,False,False,0.88461421,0.06329204,0.15058488,1,0
11,6f1fcb13,2026-09-16,True,SMALL,V_TRUNC,a6aa68b8,10,252,1.05427296,0.85293165,0.17209691,-0.42627922,False,False,0.61424945,0.46929426,0.07418022,-0.35259806,False,False,0.88219184,0.38363740,0.44002351,0,0
12,1a89f791,2026-09-17,True,U56,V_RAW,6126e970,16,63,1.21211505,1.14524762,0.17662263,-0.26480054,False,False,1.11576399,1.18318629,0.17284600,-0.19127564,True,False,0.87470332,-0.03793868,0.09635106,1,0
12,1a89f791,2026-09-17,True,BROAD,V_RAW,d165fde1,10,63,1.29506193,1.06186005,0.20738332,-0.28158902,False,False,1.14447705,1.02401507,0.16286655,-0.20740302,False,False,0.87690785,0.03784497,0.15058488,2,0
12,1a89f791,2026-09-17,True,SMALL,V_RAW,a6aa68b8,10,252,1.05427296,0.85895722,0.17350103,-0.42627922,False,False,0.61424945,0.46894748,0.07407649,-0.35259806,False,False,0.87689419,0.39000974,0.44002351,0,0
12,1a89f791,2026-09-17,True,U56,V_TRUNC,6126e970,16,63,1.21211505,1.14439888,0.17673653,-0.26480054,False,False,1.11576399,1.18477254,0.17334380,-0.19127564,True,False,0.88460026,-0.04037366,0.09635106,1,0
12,1a89f791,2026-09-17,True,BROAD,V_TRUNC,d165fde1,10,63,1.29506193,1.07331105,0.21024441,-0.28158902,False,False,1.14447705,1.01001901,0.16029745,-0.20740302,False,False,0.88461421,0.06329204,0.15058488,1,0
12,1a89f791,2026-09-17,True,SMALL,V_TRUNC,a6aa68b8,10,252,1.05427296,0.85293165,0.17209691,-0.42627922,False,False,0.61424945,0.46929426,0.07418022,-0.35259806,False,False,0.88219195,0.38363740,0.44002351,0,0
13,4e19a80d,2026-09-18,True,U56,V_RAW,f10724be,16,63,1.21211271,1.14620842,0.17675868,-0.26480053,False,False,1.11576317,1.18567770,0.17323365,-0.19127562,True,False,0.87384015,-0.03946928,0.09634955,1,0
13,4e19a80d,2026-09-18,True,BROAD,V_RAW,4eec90fc,10,63,1.29486748,1.05662502,0.20599947,-0.28158902,False,False,1.13911400,1.01795376,0.16187459,-0.20740188,False,False,0.87385114,0.03867126,0.15575348,2,0
13,4e19a80d,2026-09-18,True,SMALL,V_RAW,8ef3a799,10,252,1.07637593,0.92095207,0.18232960,-0.40782759,False,False,0.64014158,0.43984693,0.06698807,-0.36510517,False,False,0.87384015,0.48110514,0.43623435,0,0
13,4e19a80d,2026-09-18,True,U56,V_TRUNC,f10724be,16,63,1.21211271,1.14439881,0.17673656,-0.26480053,False,False,1.11576317,1.18477216,0.17334374,-0.19127562,True,False,0.88459981,-0.04037336,0.09634955,1,0
13,4e19a80d,2026-09-18,True,BROAD,V_TRUNC,4eec90fc,10,63,1.29486748,1.07332694,0.21024798,-0.28158902,False,False,1.13911400,1.01001878,0.16029786,-0.20740188,False,False,0.88461116,0.06330816,0.15575348,1,0
13,4e19a80d,2026-09-18,True,SMALL,V_TRUNC,8ef3a799,10,252,1.07637593,0.90942921,0.17972906,-0.40782759,False,False,0.64014158,0.43629294,0.06632896,-0.36510517,False,False,0.88219150,0.47313626,0.43623435,0,0
