instance,arm_col,conv,n_cells,n_arms,ladder,conc,corner_share,ctl,ch_mean,ch_hit,ch_skew,ch_sd,CONTROL_q,CONTROL_mean,CONTROL_hit,MEDIAN_arm,MEDIAN_mean,MEDIAN_hit,MEDIAN_q,LADMIN_arm,LADMIN_mean,LADMIN_hit,LADMIN_q,LADMAX_arm,LADMAX_mean,LADMAX_hit,LADMAX_q,n_DIVERGE,n_REVERSE,n_DOMINATE,n_LOSE,n_IDENTICAL,besthit_arm,besthit_mean,besthit_hit,q_besthit,n_alt_splits,alt,CONTROL_arm
2026-09-06_does-the-CORR-ordering-hold-off-q-0.5_cloud.walkforward.csv,k,POOLMEAN,78,3,20|40|80,0.3346482577251808,0.6410256410256411,None,-0.010682551702372442,0.5128205128205128,-0.42054380433401595,0.15284992671117104,,,,40,0.03385623908244749,0.7051282051282052,LOSE,20,-0.027698971934435688,0.47435897435897434,DOMINATE,80,-0.006157267148011804,0.5256410256410257,LOSE,0,0,1,2,0,40,0.03385623908244749,0.7051282051282052,LOSE,3,False,
2026-09-06_does-the-CORR-ordering-hold-off-q-0.5_cloud.walkforward.csv,q,POOLMEAN,78,3,0.25|0.5|0.75,0.6646942800788954,0.8205128205128205,None,0.09549879460277165,0.7435897435897436,-0.9632407314567073,0.1433151677062312,,,,0.5,-0.011253481678154596,0.4358974358974359,DOMINATE,0.25,0.16156519186792442,0.8974358974358975,LOSE,0.75,-0.1503117101897698,0.16666666666666666,DOMINATE,0,0,2,1,0,0.25,0.16156519186792442,0.8974358974358975,LOSE,3,True,
2026-09-06_does-the-CORR-ordering-hold-off-q-0.5_cloud.walkforward.csv,rule,POOLMEAN,18,6,S_BREADTH^rev|S_CORR^rev|S_DISP^rev|S_EVOL^rev|S_EWALL^rev|S_ISS^rev,0.30246913580246915,0.4444444444444444,None,0.02165607755102185,0.6111111111111112,-0.343382623652125,0.17169444057058447,,,,S_EVOL^rev,0.1002913174074601,0.8333333333333334,LOSE,S_BREADTH^rev,0.024054847613616273,0.6666666666666666,LOSE,S_ISS^rev,0.029752167849200595,0.5,REVERSE,0,1,3,2,0,S_EVOL^rev,0.1002913174074601,0.8333333333333334,LOSE,3,True,
2026-09-06_does-the-banded-slow-filter-survive-on-the-large-cap-panels_cloud.grid.csv,cad,POOLMEAN,48,3,M|Q|W,0.3446180555555556,0.6458333333333334,None,0.01968460648689594,0.5833333333333334,-0.0841648154893954,0.06736964857282668,,,,Q,-0.09274822344710111,0.020833333333333332,DOMINATE,M,0.047307169961119444,0.8958333333333334,LOSE,W,0.04544105348598165,0.875,LOSE,0,0,1,2,0,M,0.047307169961119444,0.8958333333333334,LOSE,2,False,
2026-09-06_does-the-banded-slow-filter-survive-on-the-large-cap-panels_cloud.grid.csv,band,POOLMEAN,24,6,0.0|0.02|0.03|0.05|0.08|0.12,0.39236111111111116,0.75,None,0.007387174965582143,0.4583333333333333,0.25632478673957826,0.05087583421763605,,,,0.05,-0.007512266784434257,0.20833333333333334,DOMINATE,0.0,-0.009280552309061676,0.4166666666666667,DOMINATE,0.12,0.03802456562608427,0.6666666666666666,LOSE,0,0,5,1,0,0.12,0.03802456562608427,0.6666666666666666,LOSE,2,True,
2026-09-06_does-the-buffer-beat-the-cadence-dial-at-matched-realised-turnover_cloud.grid.csv,cadence,POOLMEAN,288,3,M|Q|W,0.5929542824074074,0.2743055555555556,None,-0.04491421067730561,0.2708333333333333,0.31056133887173193,0.07969258513208777,,,,Q,-0.08940073953918908,0.03125,DOMINATE,M,0.04550408305995346,0.8368055555555556,LOSE,W,0.04389665647923564,0.7673611111111112,LOSE,0,0,1,2,0,M,0.04550408305995346,0.8368055555555556,LOSE,3,False,
2026-09-06_does-the-buffer-beat-the-cadence-dial-at-matched-realised-turnover_cloud.grid.csv,phase,POOLMEAN,108,8,0|1|2|3|4|5|6|7,0.1685528120713306,0.24074074074074073,None,0.018167363876090126,0.6759259259259259,-0.45564223383717123,0.05131341488594048,,,,4,-0.01630075265048054,0.25925925925925924,DOMINATE,0,0.013537580610376552,0.5185185185185185,DOMINATE,7,0.05222336208828709,0.9444444444444444,LOSE,0,0,7,1,0,7,0.05222336208828709,0.9444444444444444,LOSE,3,True,
2026-09-06_does-the-buffer-beat-the-cadence-dial-at-matched-realised-turnover_cloud.grid.csv,m,POOLMEAN,100,9,0|2|5|10|15|20|30|50|999,0.32160000000000005,0.41,None,0.020766857836404497,0.64,0.9141980618958568,0.042397067916565646,,,,15,0.011271030784579588,0.69,DIVERGE,0,-0.05117707625134363,0.19,DOMINATE,999,0.029573791415887757,0.76,LOSE,1,0,5,3,0,50,0.023982973219902472,0.76,LOSE,3,True,
2026-09-06_does-the-drawdown-phase-control-belong-on-every-cadence-row_C.phases.csv,cost,POOLMEAN,256,4,0.0|5.0|10.0|25.0,1.0,1.0,None,0.03244410401299345,1.0,0.10517932845612439,0.009869118426350104,,,,10.0,5.1135254637894e-05,0.9921875,DOMINATE,0.0,0.03244410401299345,1.0,IDENTICAL,25.0,-0.04875862712969661,0.0,DOMINATE,0,0,3,0,1,0.0,0.03244410401299345,1.0,IDENTICAL,3,False,
2026-09-06_does-the-drawdown-phase-control-belong-on-every-cadence-row_C.phases.csv,lag,POOLMEAN,172,3,1|5|7,0.36810438074634944,0.7674418604651163,None,0.007174447640477476,0.5813953488372093,0.04719410351405439,0.03870083544583571,,,,5,-0.0034476363870876176,0.4011627906976744,DOMINATE,1,0.017166352275803397,0.6686046511627907,LOSE,7,-0.013718715888715802,0.26744186046511625,DOMINATE,0,0,2,1,0,1,0.017166352275803397,0.6686046511627907,LOSE,3,True,
