book,family,panel,freq,label,full_CAGR,full_Sharpe,full_MaxDD,full_Vol,full_Sortino,full_WinRate,full_H1,full_H2,turn_yr,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_Vol,IS_Sortino,IS_WinRate,IS_H1,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b,fail4b,keep4a,fail4a,keep4b_OOSlocal,memo833,share_3y,n_3y,share_3y_OOS,n_3y_OOS,cost_surv,cost_surv_OOS,gross_band,gross_band_OOS,_CALMAR_full,_CALMAR_IS,_NEGVOL_full,_NEGVOL_IS,_NEGTURN
BANDW-b0.03,BANDW,U56,W,"u56 RULES v2 band 0.03, W, g1.00  [standing candidate]",0.11544485987825248,1.2016651077116542,-0.15910990262743974,0.09467667386959769,1.4883132919401216,0.567634481206392,1.2353972967586033,1.174935198833666,2.2299388150231896,0.10163037850119716,1.1047437219516025,-0.10451949838088237,0.09141837987827578,1.421484236212561,0.5625311410064773,0.9169122710144278,1.349996620585763,0.126956558390525,1.2775395947599435,-0.15910990262743996,PASS,-none-,FAIL,H2+DD,PASS,K5,0.3977272727272727,176.0,0.5375,80.0,40.0,75.0,0.125,0.25,0.7255667810228621,0.9723580774454458,-0.09467667386959769,-0.09141837987827578,-2.2299388150231896
BANDW-b0.06,BANDW,U56,W,"u56 band 0.06, W, g1.00",0.11106805907764716,1.1388434957757534,-0.17760028065002698,0.09660946511156403,1.3865168288771563,0.5714607247355391,1.191701719057458,1.0963657314963435,1.6223271971613615,0.0980076226558122,1.056054806411978,-0.11120945812490501,0.09261738223280797,1.3460167466649682,0.5665171898355755,0.8710139108862784,1.29434747208851,0.12194508309482432,1.2033513271980447,-0.1776002806500273,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.38636363636363635,176.0,0.5875,80.0,30.0,75.0,0.125,0.125,0.6253822272753841,0.8812885550232143,-0.09660946511156403,-0.09261738223280797,-1.6223271971613615
BANDW-b0.08,BANDW,U56,W,"u56 band 0.08, W, g1.00",0.11390601126292133,1.1460877446699917,-0.1905060857627321,0.09837806144150697,1.3755728990987504,0.5701102858428989,1.2436863556599573,1.0660114409061103,1.4053782360559448,0.1060919805130831,1.122611682702222,-0.11217296392361387,0.09375875865711325,1.4147682888252842,0.5635276532137519,0.8873631372053414,1.4379138529025426,0.12038538471401328,1.1654257169217488,-0.1905060857627323,PASS,-none-,FAIL,H2+DD,PASS,R1,0.32954545454545453,176.0,0.425,80.0,50.0,75.0,0.125,0.125,0.597912716577395,0.9457892240890442,-0.09837806144150697,-0.09375875865711325,-1.4053782360559448
BANDW-b0.12,BANDW,U56,W,"u56 band 0.12, W, g1.00",0.11613874572603433,1.1479488939910707,-0.1603891592958745,0.10011189220200781,1.38962240455492,0.5692099932478055,1.2402818318560462,1.0646476191590786,1.1462456144155182,0.11156458943636416,1.1206599743061558,-0.12954367007384449,0.09875806303994684,1.4153582226740384,0.5605381165919282,0.8496022971436012,1.451640436874747,0.11992149388264073,1.1698131067488267,-0.1603891592958745,PASS,-none-,FAIL,H2+DD,PASS,-,0.19886363636363635,176.0,0.4375,80.0,75.0,75.0,0.125,0.125,0.7241059572598036,0.8612122025936766,-0.10011189220200781,-0.09875806303994684,-1.1462456144155182
BANDM-b0.00,BANDM,U56,M,"u56 EW-all 200d-MA gate (band 0), M, g1.00",0.11921216196097117,1.2095309744401905,-0.15485495397691995,0.09703524554497012,1.518732306759842,0.5660589691649787,1.257639059962761,1.1655444635218315,1.8828228192002698,0.11048169206536596,1.1358894526372816,-0.1042215356541214,0.09636772338876234,1.466788200470954,0.5610363726955655,0.9870678252676951,1.341818898075915,0.12645666994169646,1.2692590432079591,-0.15485495397691995,PASS,-none-,FAIL,H2+DD,PASS,K4,0.4431818181818182,176.0,0.625,80.0,50.0,75.0,0.125,0.25,0.769831115501406,1.0600658623187058,-0.09703524554497012,-0.09636772338876234,-1.8828228192002698
BANDM-b0.03,BANDM,U56,M,"u56 band 0.03, M, g1.00",0.11913847740115924,1.1744153082311943,-0.18805265362302204,0.1001444529195759,1.4350685486916916,0.5721359441818591,1.221320143836368,1.1362591825081172,1.5574717741719601,0.10790660847025402,1.1075899232620523,-0.11096144426069277,0.09676896083205164,1.4048888660969814,0.5705032386646737,0.9316449906269291,1.3508804281683913,0.12847782333083746,1.226972569147966,-0.18805265362302215,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.3465909090909091,176.0,0.5,80.0,75.0,100.0,0.125,0.25,0.6335378688140666,0.9724693941143941,-0.1001444529195759,-0.09676896083205164,-1.5574717741719601
BANDRS-b0.03,BANDRS,U56,W,"u56 band 0.03 EW respread, W, g0.75",0.12205410378857962,1.1574773264019669,-0.17714738789425755,0.10421953196650861,1.4593954880821547,0.5671843349088453,1.2174602997276052,1.1163590400908963,4.18999277657651,0.10859267048677856,1.1087042138926166,-0.09939680131862616,0.09727355864849581,1.4901378994209595,0.5615346287992028,0.9322576060791253,1.3253968566974061,0.13326759324459903,1.1964562575775908,-0.17714738789425755,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.3181818181818182,176.0,0.7,80.0,40.0,50.0,0.25,0.25,0.6889974796661179,1.092516751506662,-0.10421953196650861,-0.09727355864849581,-4.18999277657651
BANDRS-b0.12,BANDRS,U56,W,"u56 wide band b=0.12 EW respread, W, g0.75",0.13974222525739366,1.223289109519813,-0.19419373034827148,0.11210212079789016,1.5444438498035085,0.5692099932478055,1.2668429201355855,1.1941485107573024,1.958404845420795,0.12655293371117082,1.1761982470648353,-0.11646311526627529,0.10612572029034588,1.5936606338340562,0.5605381165919282,0.9519452548557685,1.4788315737724054,0.15072471200384263,1.2607540303838713,-0.1941937303482717,PASS,-none-,FAIL,DD,PASS,K6,0.2784090909090909,176.0,0.6,80.0,100.0,100.0,0.25,0.375,0.7196021468189358,1.0866353130072701,-0.11210212079789016,-0.10612572029034588,-1.958404845420795
MARS-g0.50,MARS,U56,W,"u56 MA-RESPREAD, W, g0.50",0.07658004783346284,1.087557710934698,-0.12708676675300667,0.07012329058940955,1.360992662108901,0.5653837497186586,1.1735454473102247,1.0247421904602096,4.953494781903385,0.0698817732502317,1.0664977638898945,-0.07309307725808745,0.06534776892592734,1.4324131342552302,0.5630293971101146,0.9089834576960469,1.251277753505845,0.08213019721843207,1.1061559197009865,-0.12708676675300623,FAIL,CG,FAIL,H1+H2+DD,FAIL,-,0.056818181818181816,176.0,0.125,80.0,-1.0,-1.0,0.0,0.0,0.6025808177360927,0.9560655519192767,-0.07012329058940955,-0.06534776892592734,-4.953494781903385
MARS-g0.75,MARS,U56,W,"u56 MA-RESPREAD, W, g0.75",0.11508784364638625,1.087689994351135,-0.18647361198328027,0.10528224289906127,1.3603599755000606,0.5653837497186586,1.174030567702205,1.0247151989948562,7.357221295136218,0.10495158383104064,1.066957695536418,-0.10874609154291837,0.09806780843013563,1.432924485791606,0.5630293971101146,0.9091367863062915,1.2519246032453288,0.12350884936339579,1.1060790636851225,-0.1864736119832805,PASS,-none-,FAIL,H1+H2+DD,PASS,R2,0.17045454545454544,176.0,0.375,80.0,20.0,25.0,0.125,0.25,0.6171803207024559,0.9651067210044955,-0.10528224289906127,-0.09806780843013563,-7.357221295136218
