panel,cost,N,H,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
U56,0.0,20,63,0.55,W,0.1172702385459139,1.1686691828734657,-0.18791418933214932,1.2305404041632941,1.1328487504994282,0.13104365998339418,1.2092486673447336,-0.1879141893321491,False,True,True
U56,0.0,20,63,0.75,W,0.16051546039000697,1.1685287367116148,-0.2498137450689495,1.230721962405427,1.1326201339220139,0.17967697331482402,1.2090496731715732,-0.24981374506894982,False,False,False
U56,0.0,20,126,0.3,W,0.06119145458084008,1.1232991865404331,-0.08088414366228214,1.2553218637177532,1.027343930390811,0.06546213774592813,1.123872241351995,-0.08088414366228203,False,False,False
U56,0.0,20,126,0.35,W,0.07145922059052601,1.123451515780842,-0.09394645409473912,1.25546185102044,1.0275272348729114,0.07645300641343478,1.1240562104714285,-0.09394645409473934,False,False,False
U56,0.0,20,126,0.4,W,0.08174303705465591,1.1236021274992836,-0.10689029759014035,1.2556006830817363,1.0277091447955868,0.0874624076191377,1.1242381805246726,-0.1068902975901399,False,False,False
U56,0.0,20,126,0.45,W,0.09204146214373266,1.1237510427986015,-0.11971608109385656,1.2557383654343535,1.0278897082320249,0.09848860372105928,1.1244181881434294,-0.11971608109385612,False,False,False
U56,0.0,20,126,0.5,W,0.10235303309254662,1.1238982822498762,-0.1324242140124653,1.2558749034230499,1.0280689730609962,0.10952983018708284,1.1245962694168004,-0.1324242140124653,False,False,True
U56,0.0,20,126,0.55,W,0.1126762663026244,1.124043865890593,-0.1450151082002279,1.2560103022063827,1.0282469869871647,0.12058429572728313,1.1247724598965878,-0.14501510820022767,False,True,True
U56,0.0,20,126,0.6,W,0.12300965745170811,1.124187813221284,-0.15748917794564188,1.2561445667583722,1.0284237975602024,0.1316501824361489,1.1249467946006675,-0.157489177945642,False,True,True
U56,0.0,20,126,0.65,W,0.13335168161026867,1.1243301432005524,-0.1698468399580656,1.2562777018700906,1.028599452192638,0.14272564594475634,1.1251193080143072,-0.1698468399580655,False,True,True
U56,0.0,20,126,0.7,W,0.14370079336512132,1.1244708742383716,-0.18208851335441345,1.2564097121511693,1.028773998176347,0.15380881558295245,1.1252900340893148,-0.18208851335441345,False,True,True
U56,0.0,20,126,0.75,M,0.15238271414582627,1.1109567952114543,-0.237160481620326,1.1983284000338053,1.0619376376419605,0.16936945698177763,1.1313064217274558,-0.23716048162032655,False,False,False
U56,0.0,20,126,0.75,W,0.15405542695017793,1.124610024187557,-0.19421461964591857,1.2565406020312266,1.0289474826976048,0.1648977945516268,1.1254590062408527,-0.19421461964591846,False,True,True
U56,0.0,20,252,0.75,M,0.156191325469625,1.1202751552962138,-0.19671137885825163,1.1877220625859788,1.0770437245535345,0.1699366543914349,1.1420028752834628,-0.19671137885825118,False,True,True
U56,0.0,20,252,0.75,W,0.16364243168080161,1.1926803737749692,-0.21098916115481547,1.293443763150062,1.1197401416283137,0.17554600168469214,1.2033265813806626,-0.21098916115481503,False,False,False
U56,0.0,30,21,0.5,W,0.09536500910229417,1.2102998977866175,-0.13646182075064706,1.3151462378658683,1.1340751915744813,0.10148617585012665,1.2142785214444565,-0.13646182075064672,False,False,False
U56,0.0,30,21,0.75,M,0.1386840371308944,1.1426089135369952,-0.2293799136951159,1.1534379564604957,1.1441361894446174,0.15764662046078182,1.2140728145805175,-0.22937991369511634,False,False,False
U56,0.0,30,63,0.55,W,0.10898020474862635,1.2080081641522424,-0.1625634998089659,1.3419873982283754,1.1141448335384438,0.11404908769474886,1.1829539802723055,-0.1625634998089659,False,True,True
U56,0.0,30,63,0.75,M,0.13990527241090422,1.1248242582107617,-0.2661637320063902,1.2416141816809405,1.0452083867452364,0.1498515269538767,1.1239862481003802,-0.26616373200639,False,False,False
U56,0.0,30,126,0.75,M,0.13811706793933687,1.0967651337263657,-0.215199016841653,1.1898105732275266,1.035347524673119,0.15061949901491944,1.1140937276031524,-0.2151990168416531,False,False,False
U56,0.0,30,126,0.75,W,0.14232745932831747,1.1260571251689282,-0.22085843678318828,1.2367950465203368,1.0528256944813537,0.15261001832231091,1.1235187807556708,-0.2208584367831885,False,False,False
