tag,k,n_elig,breadth,disp,corr,evol,days,panel,source,kind,seed,etf_share,n_etf,n_elig_grid
IS,36,27.0,0.6867654914529915,0.1000453378963139,0.3724241704244479,0.24269188221815885,416,MIX~s0.000~2,MIX,MIX,2,0.0,0.0,27.0
FULL,36,26.0,0.6688080588732054,0.09533962243049064,0.35491495159481123,0.24250969050602453,921,MIX~s0.000~3,MIX,MIX,3,0.0,0.0,26.0
IS,36,26.0,0.6650641025641026,0.08933373333342921,0.3667688243467628,0.23629607719618703,416,MIX~s0.000~3,MIX,MIX,3,0.0,0.0,26.0
FULL,36,27.0,0.6883821932681867,0.09458921417425423,0.3561529562033225,0.2362113778775612,921,MIX~s0.000~4,MIX,MIX,4,0.0,0.0,27.0
IS,36,28.0,0.6856303418803418,0.08781498128824783,0.39181745460003553,0.230185470356063,416,MIX~s0.000~4,MIX,MIX,4,0.0,0.0,27.0
FULL,36,27.0,0.6888346000723851,0.10239668700699486,0.3774280507184439,0.24741871753441633,921,MIX~s0.000~5,MIX,MIX,5,0.0,0.0,27.0
IS,36,27.0,0.6682024572649572,0.09980717347711464,0.3861056640975944,0.24396938377938154,416,MIX~s0.000~5,MIX,MIX,5,0.0,0.0,27.0
FULL,36,26.0,0.6712510556158764,0.0920501053979748,0.33052033880423337,0.2272675782119712,921,MIX~s0.125~0,MIX,MIX,0,0.125,4.0,26.0
IS,36,26.0,0.672676282051282,0.0856457454361595,0.36312281744351216,0.21812897426767713,416,MIX~s0.125~0,MIX,MIX,0,0.125,4.0,26.0
FULL,36,27.0,0.6958016648570393,0.09474143498351677,0.35131396973708356,0.23774547084737607,921,MIX~s0.125~1,MIX,MIX,1,0.125,4.0,27.0
IS,36,28.0,0.6953792735042735,0.08978873256526627,0.3680620121621627,0.2322758323440931,416,MIX~s0.125~1,MIX,MIX,1,0.125,4.0,27.0
FULL,36,26.0,0.6614790686451923,0.09491010523777389,0.3585563868074482,0.22611910415920022,921,MIX~s0.125~2,MIX,MIX,2,0.125,4.0,26.0
IS,36,26.0,0.6492387820512822,0.08691912590596532,0.37984268104156976,0.2137678851845067,416,MIX~s0.125~2,MIX,MIX,2,0.125,4.0,26.0
FULL,36,26.0,0.6715224996983955,0.09676600076934531,0.3351862304840213,0.23393432417475576,921,MIX~s0.125~3,MIX,MIX,3,0.125,4.0,26.0
IS,36,26.0,0.6744791666666667,0.09036175633850119,0.3634855975273921,0.22711668361315818,416,MIX~s0.125~3,MIX,MIX,3,0.125,4.0,26.0
FULL,36,27.0,0.6872059355772712,0.0857724404222646,0.40039289815061063,0.22418442706577493,921,MIX~s0.125~4,MIX,MIX,4,0.125,4.0,27.0
IS,36,28.0,0.6864983974358976,0.07751458014928016,0.43388121893274123,0.21792145779250102,416,MIX~s0.125~4,MIX,MIX,4,0.125,4.0,27.0
FULL,36,27.0,0.6852455060924116,0.09330902378587007,0.34219606234743266,0.22833349348570522,921,MIX~s0.125~5,MIX,MIX,5,0.125,4.0,27.0
IS,36,27.0,0.6901041666666666,0.08468460421831475,0.37711426808797066,0.21752444306771526,416,MIX~s0.125~5,MIX,MIX,5,0.125,4.0,27.0
FULL,36,26.0,0.6597297623356255,0.09477561938171912,0.3083430737260989,0.21083596622769843,921,MIX~s0.250~0,MIX,MIX,0,0.25,9.0,26.0
IS,36,26.0,0.6600560897435899,0.08699816273471887,0.31543635615896204,0.19791166551220443,416,MIX~s0.250~0,MIX,MIX,0,0.25,9.0,26.0
FULL,36,26.0,0.6648570394498734,0.09745682215076797,0.31743553738151026,0.23235579469631798,921,MIX~s0.250~1,MIX,MIX,1,0.25,9.0,26.0
IS,36,25.0,0.6348824786324787,0.09626309352563832,0.3041379722703729,0.22589048976278428,416,MIX~s0.250~1,MIX,MIX,1,0.25,9.0,26.0
FULL,36,27.0,0.683797804318977,0.09241865873195235,0.367841672263313,0.22066823668268398,921,MIX~s0.250~2,MIX,MIX,2,0.25,9.0,27.0
IS,36,28.0,0.6820245726495726,0.08666454872866375,0.3901739976620961,0.21240696535280745,416,MIX~s0.250~2,MIX,MIX,2,0.25,9.0,27.0
FULL,36,26.0,0.6734226082760284,0.09380394591303652,0.3350739009234286,0.22634717855086325,921,MIX~s0.250~3,MIX,MIX,3,0.25,9.0,26.0
IS,36,26.0,0.663928952991453,0.09321682268008812,0.3644426714335358,0.21836443865875077,416,MIX~s0.250~3,MIX,MIX,3,0.25,9.0,26.0
FULL,36,28.0,0.6911569550006031,0.08466686852362829,0.358399524007731,0.20769245220538957,921,MIX~s0.250~4,MIX,MIX,4,0.25,9.0,28.0
IS,36,28.0,0.6961137820512822,0.07777178767599982,0.3648964654007265,0.19785940357886236,416,MIX~s0.250~4,MIX,MIX,4,0.25,9.0,28.0
FULL,36,26.0,0.6752623959464351,0.09595897104197601,0.3553159923345383,0.22263672564511283,921,MIX~s0.250~5,MIX,MIX,5,0.25,9.0,26.0
IS,36,26.0,0.672008547008547,0.09449706107709217,0.36976531809371704,0.21779392791195182,416,MIX~s0.250~5,MIX,MIX,5,0.25,9.0,26.0
FULL,36,26.0,0.6597599227892388,0.09277868143595565,0.39964349573419167,0.22946847783256877,921,MIX~s0.375~0,MIX,MIX,0,0.375,14.0,26.0
IS,36,25.0,0.6274706196581195,0.08507818261008476,0.4339938757669903,0.22263774887966886,416,MIX~s0.375~0,MIX,MIX,0,0.375,14.0,26.0
FULL,36,28.0,0.7004463747134757,0.07758882879085907,0.352714595884966,0.19134616713297767,921,MIX~s0.375~1,MIX,MIX,1,0.375,14.0,28.0
IS,36,29.0,0.7150106837606838,0.07231690030746339,0.3693859774760641,0.18315223401872935,416,MIX~s0.375~1,MIX,MIX,1,0.375,14.0,28.0
FULL,36,26.0,0.6346061044758113,0.09779899339768475,0.3760015327531841,0.22876452582050402,921,MIX~s0.375~2,MIX,MIX,2,0.375,14.0,26.0
IS,36,25.0,0.606971153846154,0.08961758497260022,0.38285581585879125,0.21759851326401033,416,MIX~s0.375~2,MIX,MIX,2,0.375,14.0,26.0
FULL,36,27.0,0.6809928821329472,0.0831686227228994,0.3526297119565715,0.20953786553886267,921,MIX~s0.375~3,MIX,MIX,3,0.375,14.0,27.0
IS,36,27.0,0.6744123931623931,0.08000294899831598,0.3540827688175151,0.20666814799755145,416,MIX~s0.375~3,MIX,MIX,3,0.375,14.0,27.0
FULL,36,26.0,0.6669381107491855,0.09334814775803363,0.28845695386672715,0.20376509098699389,921,MIX~s0.375~4,MIX,MIX,4,0.375,14.0,26.0
IS,36,26.0,0.6539129273504272,0.0939603909465342,0.2786464402151118,0.19583761194993404,416,MIX~s0.375~4,MIX,MIX,4,0.375,14.0,26.0
FULL,36,27.0,0.6856677524429967,0.08599808045290984,0.34370501774460444,0.2115812595149356,921,MIX~s0.375~5,MIX,MIX,5,0.375,14.0,27.0
IS,36,26.0,0.6639957264957265,0.08519159995106439,0.362808984964703,0.20281621858070537,416,MIX~s0.375~5,MIX,MIX,5,0.375,14.0,27.0
FULL,36,27.0,0.6836168415972976,0.08018627662429578,0.3453329068455505,0.19463401400606808,921,MIX~s0.500~0,MIX,MIX,0,0.5,18.0,27.0
IS,36,26.0,0.6576522435897437,0.07883631038015998,0.3394063311710235,0.19356001110387722,416,MIX~s0.500~0,MIX,MIX,0,0.5,18.0,27.0
FULL,36,26.0,0.6511641935094703,0.08499992471802294,0.32064974972104787,0.1990623678543656,921,MIX~s0.500~1,MIX,MIX,1,0.5,18.0,26.0
IS,36,26.0,0.6376201923076923,0.07811835433714963,0.33502432100079793,0.18855817445319564,416,MIX~s0.500~1,MIX,MIX,1,0.5,18.0,26.0
FULL,36,26.0,0.6610568222946074,0.07822275385317863,0.34005663792184554,0.19825463289238288,921,MIX~s0.500~2,MIX,MIX,2,0.5,18.0,26.0
IS,36,26.0,0.6441639957264957,0.07184072635117171,0.3333808694686646,0.190181584091562,416,MIX~s0.500~2,MIX,MIX,2,0.5,18.0,26.0
FULL,36,27.0,0.6800579080709375,0.08513184611497059,0.35377844462680835,0.19879157030212669,921,MIX~s0.500~3,MIX,MIX,3,0.5,18.0,27.0
IS,36,27.0,0.6685363247863247,0.07760971016302547,0.3524992621479487,0.19175690137479595,416,MIX~s0.500~3,MIX,MIX,3,0.5,18.0,27.0
FULL,36,26.0,0.6771625045240681,0.09388278677006731,0.3346428141802126,0.21165902304115053,921,MIX~s0.500~4,MIX,MIX,4,0.5,18.0,26.0
IS,36,26.0,0.6606570512820513,0.08658269868237795,0.3275869223971351,0.202024028035804,416,MIX~s0.500~4,MIX,MIX,4,0.5,18.0,26.0
FULL,36,28.0,0.6928157799493303,0.08386558580872337,0.428727945512649,0.2066498690444632,921,MIX~s0.500~5,MIX,MIX,5,0.5,18.0,28.0
IS,36,27.0,0.6738782051282051,0.08046278575843635,0.4342926071858365,0.19995300554049514,416,MIX~s0.500~5,MIX,MIX,5,0.5,18.0,28.0
FULL,36,26.0,0.6500784171793943,0.08831365403965345,0.36613792912819776,0.2043325366530219,921,MIX~s0.625~0,MIX,MIX,0,0.625,22.0,26.0
IS,36,25.0,0.6284054487179488,0.08174260347338473,0.3636444757151309,0.19253562724948517,416,MIX~s0.625~0,MIX,MIX,0,0.625,22.0,26.0
FULL,36,27.0,0.6841898902159489,0.08581201454495596,0.40377375438372376,0.20856010256091323,921,MIX~s0.625~1,MIX,MIX,1,0.625,22.0,27.0
IS,36,27.0,0.6728766025641026,0.08034691727448375,0.410369828360598,0.20333495991383627,416,MIX~s0.625~1,MIX,MIX,1,0.625,22.0,27.0
FULL,36,27.0,0.6837073229581373,0.07644712176465336,0.3043263212258876,0.1748246810763197,921,MIX~s0.625~2,MIX,MIX,2,0.625,22.0,27.0
IS,36,28.0,0.6879674145299146,0.0711114915099831,0.292792525265693,0.166888031406007,416,MIX~s0.625~2,MIX,MIX,2,0.625,22.0,27.0
FULL,36,26.0,0.6593678368922667,0.07920797957889812,0.3290068111278869,0.18686676533152383,921,MIX~s0.625~3,MIX,MIX,3,0.625,22.0,26.0
IS,36,25.0,0.6402911324786325,0.07175576691476696,0.3394065727876749,0.17903114081173596,416,MIX~s0.625~3,MIX,MIX,3,0.625,22.0,26.0
FULL,36,26.0,0.6574074074074073,0.07968997347160678,0.3594173271287784,0.19686124617813652,921,MIX~s0.625~4,MIX,MIX,4,0.625,22.0,26.0
IS,36,25.0,0.641159188034188,0.07613550198742722,0.3440389458456104,0.19174196016853978,416,MIX~s0.625~4,MIX,MIX,4,0.625,22.0,26.0
FULL,36,27.0,0.6715224996983954,0.08444605598431021,0.31579736128862845,0.18798491655765254,921,MIX~s0.625~5,MIX,MIX,5,0.625,22.0,27.0
IS,36,27.0,0.6828258547008547,0.07982560298428741,0.30805223113759544,0.185329814269379,416,MIX~s0.625~5,MIX,MIX,5,0.625,22.0,27.0
FULL,36,27.0,0.6844311738448546,0.08098179185364388,0.3836412312154916,0.18303776327554935,921,MIX~s0.750~0,MIX,MIX,0,0.75,27.0,27.0
IS,36,26.0,0.6525106837606838,0.0804776326039401,0.3788608809279915,0.1809405884241904,416,MIX~s0.750~0,MIX,MIX,0,0.75,27.0,27.0
FULL,36,27.0,0.6593979973458801,0.07983787336415109,0.36263698195479255,0.1803610684762491,921,MIX~s0.750~1,MIX,MIX,1,0.75,27.0,27.0
IS,36,26.0,0.6380208333333333,0.07835042543644945,0.35080172126870546,0.17376973592021924,416,MIX~s0.750~1,MIX,MIX,1,0.75,27.0,27.0
FULL,36,25.0,0.6548739293038968,0.06999287694032696,0.3150526228369988,0.17444967526359834,921,MIX~s0.750~2,MIX,MIX,2,0.75,27.0,25.0
IS,36,25.0,0.6398904914529915,0.06697776781198235,0.30667614585055974,0.1719324508618157,416,MIX~s0.750~2,MIX,MIX,2,0.75,27.0,25.0
FULL,36,28.0,0.6991494752081072,0.0788157665710848,0.34395505471719046,0.17893012542973077,921,MIX~s0.750~3,MIX,MIX,3,0.75,27.0,28.0
IS,36,27.0,0.7001201923076923,0.07980813433044066,0.3162409207611161,0.17448051161594672,416,MIX~s0.750~3,MIX,MIX,3,0.75,27.0,28.0
FULL,36,27.0,0.6785197249366631,0.0690524327374279,0.3598949378185128,0.17885526572087754,921,MIX~s0.750~4,MIX,MIX,4,0.75,27.0,27.0
IS,36,26.0,0.6683360042735043,0.0650712614383775,0.3534435234647548,0.1714727707345759,416,MIX~s0.750~4,MIX,MIX,4,0.75,27.0,27.0
FULL,36,28.0,0.6930872240318495,0.07262857193528152,0.36519164591361714,0.17954434157164698,921,MIX~s0.750~5,MIX,MIX,5,0.75,27.0,28.0
IS,36,28.0,0.6952457264957265,0.06800878305072983,0.37097286429717946,0.17557704050734071,416,MIX~s0.750~5,MIX,MIX,5,0.75,27.0,28.0
FULL,36,27.0,0.6765894559054169,0.06672157773688663,0.33884284109785406,0.16750040186663911,921,MIX~s0.875~0,MIX,MIX,0,0.875,32.0,27.0
IS,36,26.0,0.6616586538461539,0.060708979874661076,0.31711170419585805,0.1603365741086557,416,MIX~s0.875~0,MIX,MIX,0,0.875,32.0,27.0
FULL,36,27.0,0.6864820846905537,0.06595865294257124,0.37858144540622857,0.16989994528791738,921,MIX~s0.875~1,MIX,MIX,1,0.875,32.0,27.0
IS,36,27.0,0.6846955128205128,0.06065140848941789,0.37820874841042396,0.16242657533854415,416,MIX~s0.875~1,MIX,MIX,1,0.875,32.0,27.0
FULL,36,27.0,0.6754131982145012,0.06543875673502939,0.35406435944380227,0.17056644915151195,921,MIX~s0.875~2,MIX,MIX,2,0.875,32.0,27.0
IS,36,26.0,0.6573851495726496,0.06147143435079516,0.3449153104623387,0.16499149065136598,416,MIX~s0.875~2,MIX,MIX,2,0.875,32.0,27.0
FULL,36,27.0,0.6701954397394136,0.07212007520410497,0.31909745883460267,0.16629337916348655,921,MIX~s0.875~3,MIX,MIX,3,0.875,32.0,27.0
IS,36,26.0,0.6597889957264956,0.07094863738595149,0.29676029901340584,0.1647406044696533,416,MIX~s0.875~3,MIX,MIX,3,0.875,32.0,27.0
FULL,36,26.0,0.6653999276149114,0.07372420093399407,0.3371501696672268,0.17607701778679985,921,MIX~s0.875~4,MIX,MIX,4,0.875,32.0,26.0
IS,36,25.0,0.6438301282051283,0.06810450909024093,0.3250116723226523,0.16873206820163877,416,MIX~s0.875~4,MIX,MIX,4,0.875,32.0,26.0
FULL,36,26.0,0.6619314754493908,0.07190868937853966,0.35144189900826367,0.17773332215699092,921,MIX~s0.875~5,MIX,MIX,5,0.875,32.0,26.0
IS,36,25.0,0.6322115384615384,0.0673894211751374,0.3423385972521294,0.1731527162620494,416,MIX~s0.875~5,MIX,MIX,5,0.875,32.0,26.0
