statistic,share,k,jaccard,overlap,spearman,earlycore_DATA,latecore_DATA,leg,acted,cells,picks,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,CAGR,Sharpe,MaxDD,keep4a,fail4b,keep4b
CTRL,0.25,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
ALWAYS-ACT (control),,,,,,,,WF-B_OOS,,,-,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
FULL-STAND-DOWN (control),,,,,,,,WF-B_OOS,,,-,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
RULES v2 U56 (live book),,,,,,,,WF-B_OOS,,,-,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
SPY,,,,,,,,WF-B_OOS,,,-,0.15237187725667578,0.872122672456382,-0.33717256775620263,,,,,,
NAMED,0.02,,,,,,,WF-B_KEEP,,,,,,,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
NAMED,0.05,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
NAMED,0.1,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
NAMED,0.2,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
NAMED,0.25,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
ECHOED,0.02,,,,,,,WF-B_KEEP,,,,,,,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
ECHOED,0.05,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
ECHOED,0.1,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
ECHOED,0.2,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
ECHOED,0.25,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
SUM,0.02,,,,,,,WF-B_KEEP,,,,,,,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
SUM,0.05,,,,,,,WF-B_KEEP,,,,,,,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
SUM,0.1,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
SUM,0.2,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
SUM,0.25,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
MAXLEG,0.02,,,,,,,WF-B_KEEP,,,,,,,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
MAXLEG,0.05,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
MAXLEG,0.1,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
MAXLEG,0.2,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
MAXLEG,0.25,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
CTRL,0.02,,,,,,,WF-B_KEEP,,,,,,,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
CTRL,0.05,,,,,,,WF-B_KEEP,,,,,,,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
CTRL,0.1,,,,,,,WF-B_KEEP,,,,,,,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
CTRL,0.2,,,,,,,WF-B_KEEP,,,,,,,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
CTRL,0.25,,,,,,,WF-B_KEEP,,,,,,,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
