panel,p,window,d_mean_bp,se_bp,t,sharpe_p,sharpe_anchor,d_sharpe,dd_p,dd_anchor,d_dd_pp
B136,0.25,OOS,-0.22371403009900487,0.08900924147260693,-2.513379806386217,1.0166834221597498,1.017953764504917,-0.001270342345167208,-0.19638775009223786,-0.2074018763117903,1.1014126219552445
B136,0.5,FULL,-0.5062981258984344,0.12509408497789337,-4.047338657042876,1.0385700656804748,1.0653720113403453,-0.026801945659870485,-0.18548387765948426,-0.2074018763117902,2.1917998652305926
B136,0.5,OOS,-0.46168296028721584,0.17596452920981392,-2.6237274202957193,1.0097095838035928,1.017953764504917,-0.008244180701324266,-0.18548387765948426,-0.2074018763117903,2.1917998652306037
B136,0.75,FULL,-0.7555903616309905,0.18273795028685424,-4.134830014481922,1.020439832203121,1.0653720113403453,-0.04493217913722436,-0.18431230858448155,-0.2074018763117902,2.3089567727308635
B136,0.75,OOS,-0.6987265700406246,0.2605159335116855,-2.682087658217201,0.9989142936774976,1.017953764504917,-0.019039470827419414,-0.18431230858448167,-0.2074018763117903,2.3089567727308635
B136,1.0,FULL,-0.994917000036441,0.23748309874648865,-4.1894223432653925,1.0003372110538096,1.0653720113403453,-0.06503480028653574,-0.18312344500263567,-0.2074018763117902,2.4278431309154525
B136,1.0,OOS,-0.9306743245896913,0.3423989448863493,-2.7180992771417714,0.984767177270744,1.017953764504917,-0.033186587234173004,-0.1831234450026359,-0.2074018763117903,2.4278431309154413
B136,1.5,FULL,-1.4374591636692182,0.3388940751656335,-4.241617865306922,0.9561355615854715,1.0653720113403453,-0.10923644975487379,-0.18230513320973096,-0.2074018763117902,2.5096743102059227
B136,1.5,OOS,-1.3684538514150448,0.49750623580663333,-2.7506265307334243,0.9488008834099522,1.017953764504917,-0.06915288109496487,-0.1823051332097314,-0.2074018763117903,2.5096743102058894
SMALL,0.25,FULL,0.07587804794489297,0.0706699857889154,1.073695531389147,0.5299099281497277,0.5091735910765686,0.02073633707315914,-0.360897905811271,-0.3651051671527551,0.4207261341484081
SMALL,0.25,OOS,0.08924388596881846,0.09024358472259704,0.9889222180518251,0.4584595217458625,0.43984693026555094,0.01861259148031158,-0.36089790581126935,-0.365105167152756,0.42072613414866344
SMALL,0.5,FULL,0.1380560304867936,0.13793045292317357,1.0009104411749448,0.5488388589356538,0.5091735910765686,0.039665267859085196,-0.3569732643156941,-0.3651051671527551,0.8131902837061
SMALL,0.5,OOS,0.16556481887903335,0.17536763190629773,0.9441013548469298,0.47496631938431005,0.43984693026555094,0.035119389118759115,-0.35697326431569354,-0.365105167152756,0.8131902837062444
SMALL,0.75,FULL,0.19425499935966495,0.20292431753989285,0.9572780715227803,0.5670388091234094,0.5091735910765686,0.05786521804684086,-0.35283431616169125,-0.3651051671527551,1.2270850991063842
SMALL,0.75,OOS,0.23953055297778833,0.2560576976156017,0.9354553884077166,0.4907252279758538,0.43984693026555094,0.05087829771030283,-0.35283431616168903,-0.365105167152756,1.227085099106695
SMALL,1.0,FULL,0.24394582070593565,0.26646772199950036,0.9154798144984818,0.5842624904187239,0.5091735910765686,0.07508889934215535,-0.3482861206575575,-0.3651051671527551,1.681904649519761
SMALL,1.0,OOS,0.3128109620146857,0.3329518096502208,0.9395082199532303,0.5058897739921319,0.43984693026555094,0.06604284372658092,-0.3482861206575574,-0.365105167152756,1.6819046495198609
SMALL,1.5,FULL,0.3226185456676263,0.38993875930873817,0.8273569578965337,0.6137724811946703,0.5091735910765686,0.10459889011810175,-0.3381015359696673,-0.3651051671527551,2.7003631183087795
SMALL,1.5,OOS,0.45731169401303434,0.4783667630684015,0.9559855101129665,0.5340143227356229,0.43984693026555094,0.09416739247007194,-0.3381015359696654,-0.365105167152756,2.700363118309057
