book,panel,family,mode,theta,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,PASS_IS_4b,PASS_OOS_4b,PASS_IS_4a,PASS_OOS_4a,IS_4b_legs,mono_dd,mono_cg,gmin@0.25,gmax@0.25,W@0.25,state@0.25,gmin@0.10,gmax@0.10,W@0.10,state@0.10,gmin@0.05,gmax@0.05,W@0.05,state@0.05
U56|MOM|ROW|0.00,U56,MOM,ROW,0.0,0.0767508561139103,0.9875179286032851,-0.10288133831954938,0.10113600952213742,1.0781893250514203,-0.19672586881886067,False,False,False,False,HC,True,True,1.0244132230094354,0.972282363607594,-0.05213085940184137,interp/interp,1.024366926324179,0.9721373820689391,-0.05222954425523996,interp/interp,1.0243529929599509,0.9720888800540128,-0.05226411290593802,interp/interp
U56|MOM|ROW|0.20,U56,MOM,ROW,0.2,0.0767508561139103,0.9875179286032851,-0.10288133831954938,0.10113600952213742,1.0781893250514203,-0.19672586881886067,False,False,False,False,HC,True,True,1.0244132230094354,0.972282363607594,-0.05213085940184137,interp/interp,1.024366926324179,0.9721373820689391,-0.05222954425523996,interp/interp,1.0243529929599509,0.9720888800540128,-0.05226411290593802,interp/interp
U56|MOM|ROW|0.40,U56,MOM,ROW,0.4,0.0767508561139103,0.9875179286032851,-0.10288133831954938,0.10113600952213742,1.0781893250514203,-0.19672586881886067,False,False,False,False,HC,True,True,1.0244132230094354,0.972282363607594,-0.05213085940184137,interp/interp,1.024366926324179,0.9721373820689391,-0.05222954425523996,interp/interp,1.0243529929599509,0.9720888800540128,-0.05226411290593802,interp/interp
U56|MOM|ROW|0.60,U56,MOM,ROW,0.6,0.0767508561139103,0.9875179286032851,-0.10288133831954938,0.10113600952213742,1.0781893250514203,-0.19672586881886067,False,False,False,False,HC,True,True,1.0244132230094354,0.972282363607594,-0.05213085940184137,interp/interp,1.024366926324179,0.9721373820689391,-0.05222954425523996,interp/interp,1.0243529929599509,0.9720888800540128,-0.05226411290593802,interp/interp
U56|MOM|ROW|0.80,U56,MOM,ROW,0.8,0.0767508561139103,0.9875179286032851,-0.10288133831954938,0.10113600952213742,1.0781893250514203,-0.19672586881886067,False,False,False,False,HC,True,True,1.0244132230094354,0.972282363607594,-0.05213085940184137,interp/interp,1.024366926324179,0.9721373820689391,-0.05222954425523996,interp/interp,1.0243529929599509,0.9720888800540128,-0.05226411290593802,interp/interp
U56|MOM|AGG|0.00,U56,MOM,AGG,0.0,0.12609204770068705,1.1099760419372977,-0.12567791032443032,0.13701664432325344,1.128103058486071,-0.22525880022924205,True,False,False,False,-,True,True,0.6237688661027478,0.7927915892218501,0.16902272311910227,interp/interp,0.6239101303430462,0.7922370920532944,0.1683269617102482,interp/interp,0.6239215892506833,0.7922103231201212,0.16828873386943788,interp/interp
U56|MOM|AGG|0.20,U56,MOM,AGG,0.2,0.10057581086653156,1.0271336648561584,-0.11950116077672157,0.12512794512752934,1.0567011999782736,-0.22525880022924194,False,False,False,False,HC,True,True,0.7809046330116236,0.8334302227674325,0.0525255897558089,interp/interp,0.7808597450009239,0.8330221175105585,0.052162372509634625,interp/interp,0.7808542052706273,0.8329647068463353,0.05211050157570796,interp/interp
U56|MOM|AGG|0.40,U56,MOM,AGG,0.4,0.09060320531524169,0.950780718358799,-0.11950116077672202,0.12452918319019957,1.1204528801629354,-0.22525880022924238,False,False,False,False,C,True,True,0.8681709764566622,0.8334302227674308,-0.03474075368923135,interp/interp,0.8679187988826276,0.8330221175105516,-0.03489668137207602,interp/interp,0.8678896732366959,0.8329647068463323,-0.034924966390363577,interp/interp
U56|MOM|AGG|0.60,U56,MOM,AGG,0.6,0.06838359265315397,0.7864152580963625,-0.11950116077672224,0.11777464883159516,1.102171473261104,-0.22525880022924227,False,False,False,False,HHC,True,True,1.1679872650668166,0.8334302227674302,-0.33455704229938643,interp/interp,1.1673462863717652,0.8330221175105557,-0.3343241688612095,interp/interp,1.167255141057534,0.8329647068463352,-0.33429043421119886,interp/interp
U56|MOM|AGG|0.80,U56,MOM,AGG,0.8,0.008876365176192946,0.1643581876115012,-0.15312748631723838,0.050272668212012706,0.615313251297747,-0.22525880022924194,False,False,False,False,HHDC,True,True,,0.6468589075438098,-0.8531410924561902,none/interp,,0.6464289573724928,-0.8535710426275072,none/interp,,0.6463493094398236,-0.8536506905601764,none/interp
U56|MOM|HYB|0.00,U56,MOM,HYB,0.0,0.0767508561139103,0.9875179286032851,-0.10288133831954938,0.10113600952213742,1.0781893250514203,-0.19672586881886067,False,False,False,False,HC,True,True,1.0244132230094354,0.972282363607594,-0.05213085940184137,interp/interp,1.024366926324179,0.9721373820689391,-0.05222954425523996,interp/interp,1.0243529929599509,0.9720888800540128,-0.05226411290593802,interp/interp
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.07610129855052472,0.9806401362654168,-0.10288133831954949,0.09948044150880442,1.0625674462169687,-0.1967258688188609,False,False,False,False,HC,True,True,1.0334558255184116,0.9722823636075953,-0.061173461910816296,interp/interp,1.033388268108063,0.9721373820689407,-0.06125088603912232,interp/interp,1.0333678195342557,0.9720888800540164,-0.061278939480239325,interp/interp
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.07287623393558396,0.9449558627896787,-0.10288133831954871,0.10198721462997429,1.094034030797468,-0.196725868818861,False,False,False,False,HC,True,True,1.0810978840529686,0.9722823636075946,-0.10881552044537401,interp/interp,1.080881221648929,0.9721373820689374,-0.10874383957999156,interp/interp,1.0808653559888126,0.9720888800540105,-0.10877647593480211,interp/interp
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.06289284231378178,0.8449392843598339,-0.1028813383195496,0.09824613496376111,1.0718445044108242,-0.19672586881886067,False,False,False,False,HC,True,True,1.2629144051431846,0.9722823636075946,-0.2906320415355901,interp/interp,1.262884366338961,0.9721373820689387,-0.2907469842700223,interp/interp,1.2628216298652075,0.9720888800540133,-0.29073274981119424,interp/interp
