panel,book,gross,cadence,book_pass4b,book_pass4a,book_CAGR,book_Sharpe,book_MaxDD,book_OOS_Sharpe,book_turnover,null_base4b,base_L_H1,book_L_H1,base_L_H2,book_L_H2,base_L_OOS,book_L_OOS,base_L_DD,book_L_DD,base_L_CAGR,book_L_CAGR,pct_OOS_Sharpe,pct_Sharpe,pct_CAGR,pct_MaxDD,n_unpassable,n_unique_null,degenerate
B136,BAND03,0.75,M,False,False,0.08342180442618718,1.0859915596886773,-0.15687661157282973,1.0844057926375004,1.3913444365713235,0.0,1.0,True,1.0,True,1.0,True,1.0,True,0.0,False,93.5,71.0,73.5,100.0,1,200,False
B136,BAND03,0.75,Q,False,False,0.07815970228175284,0.9420751709942093,-0.21842850303993322,0.8874250166805555,0.8998451443149827,0.0,1.0,True,0.0,False,0.435,True,0.0,False,0.0,False,75.0,56.99999999999999,81.5,89.0,3,200,False
B136,BAND03,0.75,W,False,False,0.0797788392776686,1.0992531359665725,-0.12240985403190019,1.1058878697278782,2.0109291095246453,0.0,1.0,True,0.04,True,0.96,True,1.0,True,0.0,False,100.0,100.0,100.0,100.0,2,200,False
B136,BAND03,1.0,M,False,False,0.11168623276553302,1.0875879364734806,-0.20501364063176797,1.0850147956378027,1.84926871673456,0.0,1.0,True,1.0,True,1.0,True,0.0,False,0.98,True,92.5,70.5,74.0,100.0,1,200,False
B136,BAND03,1.0,Q,False,False,0.10404076973432863,0.9369629235662861,-0.28731908444190546,0.8791505610352727,1.196736608936274,0.0,1.0,True,0.0,False,0.275,True,0.0,False,0.025,False,75.5,61.0,81.5,95.0,3,200,False
B136,BAND03,1.0,W,True,False,0.10652976854836904,1.0991593874420873,-0.16157983013208965,1.1048029424254948,2.666067752269463,0.0,1.0,True,0.015,True,0.955,True,1.0,True,0.0,True,100.0,100.0,100.0,100.0,2,200,False
B136,EWELIG,0.5,M,False,False,0.0772798433946078,1.0629185768125176,-0.1479762889758537,1.0750846807633614,2.5373898524544143,0.0,1.0,True,1.0,True,1.0,True,1.0,True,0.0,False,0.0,0.0,100.0,0.0,1,1,True
B136,EWELIG,0.5,Q,False,False,0.0759711524805351,1.037093189892943,-0.16525544089125455,0.9766632052748527,1.3268462458316421,0.0,1.0,True,1.0,True,1.0,True,1.0,True,0.0,False,100.0,100.0,50.0,100.0,1,1,True
B136,EWELIG,0.5,W,False,False,0.07104412291154527,1.0210851465081279,-0.12041587838334888,1.0114174375073146,5.566515016682992,0.0,1.0,True,1.0,True,1.0,True,1.0,True,0.0,False,0.0,0.0,50.0,100.0,1,1,True
B136,EWELIG,0.65,M,False,False,0.10076836643695875,1.0635633723628077,-0.18957539213383667,1.074573218761615,3.27758944149382,0.0,1.0,True,1.0,True,1.0,True,1.0,True,0.0,False,100.0,100.0,50.0,0.0,1,1,True
B136,EWELIG,0.65,Q,False,False,0.09874794587188673,1.0343377661568527,-0.21298968474480529,0.9723410631502774,1.7131104749104376,0.0,1.0,True,1.0,True,1.0,True,0.0,False,0.0,False,100.0,100.0,100.0,100.0,2,1,True
