k,q,draw,k_real,Ebar,breadth,S2
80,0.5,5,80,36.45968712394705,0.4557460890493381,0.7682065217391305
80,0.75,0,80,32.5367027677497,0.40670878459687126,0.746993006993007
80,0.75,1,80,30.654632972322503,0.3831829121540313,0.7875000000000001
80,0.75,2,80,31.598074608904934,0.3949759326113117,0.7766526019690577
80,0.75,3,80,34.108303249097474,0.4263537906137184,0.7864697802197803
80,0.75,4,80,32.77617328519855,0.4097021660649819,0.7736514522821577
80,0.75,5,80,33.83995186522262,0.42299939831528277,0.749591836734694
80,1.0,0,80,27.684717208182914,0.3460589651022864,0.8594281298299846
80,1.0,1,80,24.63537906137184,0.307942238267148,0.8855721393034826
80,1.0,2,80,28.233453670276774,0.35291817087845967,0.860246533127889
80,1.0,3,80,25.501805054151625,0.3187725631768953,0.8800327332242227
80,1.0,4,80,26.91095066185319,0.33638688327316485,0.8686708860759493
80,1.0,5,80,26.750902527075812,0.33438628158844763,0.8667460317460317
120,0.0,0,120,82.53309265944645,0.6877757721620538,0.6087252475247525
120,0.0,1,120,80.97713598074608,0.6748094665062173,0.5944925742574257
120,0.0,2,120,82.6401925391095,0.6886682711592459,0.607549504950495
120,0.0,3,120,82.57882069795427,0.6881568391496189,0.6082301980198019
120,0.0,4,120,81.82310469314079,0.6818592057761733,0.6163164400494437
120,0.0,5,120,82.03128760529482,0.6835940633774569,0.6134900990099009
120,0.25,0,120,69.43922984356198,0.5786602486963498,0.6100376411543287
120,0.25,1,120,71.24548736462094,0.5937123947051746,0.6190000000000001
120,0.25,2,120,70.95306859205776,0.5912755716004814,0.5993804213135068
120,0.25,3,120,70.35379061371842,0.5862815884476534,0.5934538653366584
120,0.25,4,120,72.39590854392299,0.6032992378660249,0.5945409429280397
120,0.25,5,120,71.34175691937425,0.5945146409947853,0.6067701863354037
120,0.5,0,120,60.978339350180505,0.5081528279181708,0.621875
120,0.5,1,120,59.84476534296029,0.49870637785800237,0.6321744627054362
120,0.5,2,120,61.333333333333336,0.5111111111111112,0.5985570890840652
120,0.5,3,120,57.7797833935018,0.48149819494584833,0.6236675126903554
120,0.5,4,120,60.24789410348977,0.5020657841957481,0.6171284634760705
120,0.5,5,120,60.561973525872446,0.5046831127156037,0.5923514538558786
120,0.75,0,120,49.37785800240674,0.41148215002005617,0.6390524967989757
120,0.75,1,120,48.238267148014444,0.40198555956678705,0.6564578005115089
120,0.75,2,120,52.57521058965102,0.4381267549137585,0.623984771573604
120,0.75,3,120,47.583634175691934,0.3965302847974328,0.6599999999999999
120,0.75,4,120,48.96871239470517,0.40807260328920975,0.6267487046632124
120,0.75,5,120,49.75812274368231,0.4146510228640192,0.6535807291666665
120,1.0,0,120,38.05655836341757,0.3171379863618131,0.7857338820301782
120,1.0,1,120,36.38507821901324,0.30320898515844363,0.7928961748633879
120,1.0,2,120,39.22864019253911,0.3269053349378259,0.7826177285318558
120,1.0,3,120,41.79542719614922,0.34829522663457685,0.765079365079365
120,1.0,4,120,36.86883273164862,0.3072402727637385,0.7912863070539418
120,1.0,5,120,35.26714801444043,0.2938929001203369,0.7968265162200281
