panel,restate,rung,gross,family,level,depth,cadence,on_share,mean_mult,arm_MaxDD,ctrl_MaxDD,dMaxDD,arm_Calmar,ctrl_Calmar,dCalmar,BIND,switch_in_episode,struct,CAGR,Sharpe,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctrl_Sharpe,ctrl_CAGR,ctrl_OOS_Sharpe,p4a,p4b,fail4b
U56,round2,25,0.75,BREADTH,0.3,1.0,W,0.07363206485025896,0.926367935149741,-0.16030850908919714,-0.16118239832110182,0.0008738892319046787,0.5580006195218015,0.5623379696149051,-0.0043373500931036535,1.0,3.0,False,0.08945224738638835,0.9698392957336083,0.9821080145114421,0.959818517340004,0.8718462951815332,0.09837031202213997,1.0489416376786065,-0.16030850908919703,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,CAGR
U56,round2,25,0.75,BREADTH,0.4,0.25,D,0.1231704571042558,0.969207385723936,-0.1535910610575758,-0.16118239832110182,0.00759133726352601,0.5665303647301623,0.5623379696149051,0.004192395115257153,0.25,1.0,False,0.08701399984024105,0.9364827210835179,0.9577520388397445,0.919020761674783,0.8460697301116656,0.09587099214334116,1.008552656149185,-0.15359106105757558,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.4,0.25,W,0.12384598063499212,0.969038504841252,-0.16030850908919703,-0.16118239832110182,0.0008738892319047897,0.5483271201086765,0.5623379696149051,-0.014010849506228662,0.25,0.25,False,0.08790150311779499,0.9359305039015224,0.9455690127647424,0.9297809573421298,0.8334776602978985,0.09834593300376016,1.0167426600521534,-0.16030850908919692,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.4,0.5,D,0.1231704571042558,0.9384147714478721,-0.14700226931305826,-0.16118239832110182,0.014180129008043552,0.5662523348764118,0.5623379696149051,0.00391436526150668,0.5,2.0,False,0.08324037823065034,0.935025468977645,0.9451104020230691,0.9270964015680662,0.8270976047732217,0.09276520735293436,1.0217608749294906,-0.14700226931305815,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.4,0.5,W,0.12384598063499212,0.938077009682504,-0.16030850908919714,-0.16118239832110182,0.0008738892319046787,0.5304893932181259,0.5623379696149051,-0.03184857639677918,0.5,0.5,False,0.08504196371443062,0.9363089742527957,0.9207448985886233,0.9527115413529332,0.8018234925150493,0.09775796810866466,1.042159188705762,-0.16030850908919703,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.4,1.0,D,0.1231704571042558,0.8768295428957442,-0.1584570200139359,-0.16118239832110182,0.0027253783071659043,0.47492495069400825,0.5623379696149051,-0.08741301892089687,1.0,4.0,False,0.07525519241723799,0.8812992990344536,0.8758378072632017,0.8872929948519925,0.7478454644298841,0.08603223708962826,0.9893754521056192,-0.1584570200139357,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.4,1.0,W,0.12384598063499212,0.8761540193650079,-0.16521378540624165,-0.16118239832110182,-0.004031387085139837,0.47793243171069794,0.5623379696149051,-0.08440553790420718,1.0,1.0,False,0.0789610262113345,0.897860713525702,0.8300213126815436,0.9610418503421145,0.6998677035312778,0.09618203743884157,1.0532800899668113,-0.16030850908919725,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.5,0.25,D,0.16730466111236209,0.9581738347219095,-0.15141124204569845,-0.16118239832110182,0.00977115627540337,0.5600453815881008,0.5623379696149051,-0.002292588026804321,0.25,0.0,False,0.08479716682821148,0.9275140007254946,0.9341134962343638,0.9235208146292554,0.8181405471575245,0.09519015989891066,1.0143648979645743,-0.15141124204569878,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.5,0.25,W,0.1729340238684981,0.9567664940328755,-0.16329999673883955,-0.16118239832110182,-0.0021175984177377316,0.5300396085442107,0.5623379696149051,-0.03229836107069439,0.25,0.0,False,0.0865554663467254,0.9391309427259984,0.95933045089853,0.9231930499401267,0.8457958925872413,0.09591371522401082,1.0129856521446108,-0.16329999673883933,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,CAGR
U56,round2,25,0.75,BREADTH,0.5,0.5,D,0.16730466111236209,0.916347669443819,-0.14268956050275072,-0.16118239832110182,0.018492837818351093,0.5521369797857324,0.5623379696149051,-0.010200989829172724,0.5,0.0,False,0.07878418298294232,0.9128365205201605,0.8909420913510285,0.934388837832502,0.7639001752908318,0.0913706167584758,1.0317451482663482,-0.14268956050275117,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.5,0.5,W,0.1729340238684981,0.913532988065751,-0.16634672410971496,-0.16118239832110182,-0.005164325788613144,0.49477503927203925,0.5623379696149051,-0.06756293034286587,0.5,0.0,False,0.0823042069541593,0.9388473419863926,0.9452017960017,0.9351020169806242,0.8233897836466112,0.09283928435858768,1.0302730749023754,-0.16634672410971518,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.5,1.0,D,0.16730466111236209,0.8326953388876379,-0.1726598009085748,-0.16118239832110182,-0.011477402587472985,0.383755873770933,0.5623379696149051,-0.1785820958439721,1.0,0.0,False,0.06625921276278546,0.8141635807653129,0.7381743983824353,0.8855281065462918,0.5922509586385301,0.08311468075484041,0.9925880473835336,-0.1359309174666974,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,BREADTH,0.5,1.0,W,0.1729340238684981,0.8270659761315019,-0.17260485055145736,-0.16118239832110182,-0.01142245223035554,0.4247132674380081,0.5623379696149051,-0.13762470217689704,1.0,0.0,False,0.07330757005335853,0.8783347870666643,0.8580620067546866,0.8984714553515728,0.722978560068264,0.08613371391202151,1.0013562663142244,-0.17260485055145758,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,SPYTR,-0.05,0.25,D,0.08038730015762216,0.9799031749605944,-0.1535910610575757,-0.16118239832110182,0.007591337263526121,0.5710766670578546,0.5623379696149051,0.008738697442949528,0.25,2.75,False,0.08771227123863978,0.9304608043656857,0.9341969026928353,0.9288164309252803,0.8232258044139757,0.09800868618320302,1.0161628234273457,-0.1535910610575757,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,SPYTR,-0.05,0.25,W,0.07588380995271335,0.9810290475118216,-0.16030850908919725,-0.16118239832110182,0.0008738892319045677,0.5502319564897965,0.5623379696149051,-0.012106013125108617,0.25,1.25,False,0.08820686459811133,0.9260074353806661,0.9343909823882285,0.9206711915814579,0.8241751979639488,0.09851001549377991,1.0067235927359826,-0.16030850908919714,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,SPYTR,-0.05,0.5,D,0.08038730015762216,0.959806349921189,-0.14700226931305838,-0.16118239832110182,0.01418012900804344,0.5760085808105188,0.5623379696149051,0.013670611195613636,0.5,5.5,False,0.08467456852294042,0.9258356175680098,0.9008359870954532,0.9501323558105021,0.7841291542177175,0.09707344345507951,1.0403408516067074,-0.14700226931305815,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,SPYTR,-0.05,0.5,W,0.07588380995271335,0.9620580950236434,-0.16030850908919736,-0.16118239832110182,0.0008738892319044567,0.5345619214185079,0.5623379696149051,-0.02777604819639723,0.5,2.5,False,0.08569482463845768,0.9194838638997509,0.9029095486423795,0.9364632457184463,0.7876857508151784,0.09812425948519565,1.0242224144135574,-0.16030850908919703,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,SPYTR,-0.05,1.0,D,0.08038730015762216,0.9196126998423778,-0.1727734729919983,-0.16118239832110182,-0.011591074670896484,0.4530273061726559,0.5623379696149051,-0.10931066344224921,1.0,11.0,False,0.07827110104765911,0.8809716060209837,0.8057024306563849,0.952154840206854,0.6793360035293424,0.09477533617885259,1.0457676291503755,-0.15457564565657755,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
U56,round2,25,0.75,SPYTR,-0.05,1.0,W,0.07588380995271335,0.9241161900472866,-0.16672935037088532,-0.16118239832110182,-0.0055469520497835045,0.4824189749325582,0.5623379696149051,-0.07991899468234692,1.0,5.0,False,0.08043340229709384,0.8816977565649194,0.8170232619611514,0.9422247918277097,0.6932596981096064,0.09706647464576457,1.0318549543728321,-0.16030850908919692,0.9251778809623832,0.09063898260954928,0.9820401617929927,False,False,"H1,CAGR"
