panel,arm,dial,bps,turn,names,keep4a,keep4b,first_fail,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe
U56,MAB,0.0,10,10.996244092602641,19.10745663437711,False,True,,0.12788458697149974,1.0635392242670008,-0.18308348697878107,1.0681688586356108,1.0663899991214876,0.14453585654383216,1.1306969416161394,-0.1830834869787813,0.9759401521429143
U56,MAB,0.0,25,10.996244092602641,19.10745663437711,False,False,H1,0.10943762843851523,0.9258519118821691,-0.18440712200737264,0.9231772688851755,0.9340026251423675,0.12559120208679553,0.9985108040321351,-0.18440712200737253,0.8300711586462184
U56,MAB,0.03,0,10.087003984718475,19.088984005406623,False,True,,0.14250656626353275,1.1741757374062354,-0.1822003619415382,1.1313704484920348,1.2180077408578622,0.1658212759608697,1.2781886929206399,-0.1822003619415381,1.0362810950375867
U56,MAB,0.03,10,10.087003984718475,19.088984005406623,False,True,,0.13104801127121224,1.0900080661479357,-0.18308348697878118,1.04143135760864,1.1381342927238771,0.1540441394391856,1.1979480223081043,-0.18308348697878107,0.9462849370593548
U56,MAB,0.03,25,10.087003984718475,19.088984005406623,False,False,H1,0.11406990744311973,0.9634310212384698,-0.18440712200737264,0.9061736973333422,1.0180135983863803,0.13659542510664102,1.077250327478793,-0.18440712200737264,0.8109837021434994
U56,MAB,0.06,0,9.5365336881948,18.9074115791845,False,True,,0.14282400698510145,1.156983270469995,-0.18383289319023755,1.1122434989252958,1.201966497489401,0.16592445327721084,1.261856799906416,-0.18383289319023755,1.0183623319910362
U56,MAB,0.06,10,9.5365336881948,18.9074115791845,False,True,,0.1319864111864042,1.0789792397204894,-0.18535008592033075,1.0308170804207264,1.1263751191601268,0.15454194095823404,1.1856722991164845,-0.18535008592033075,0.9375641653436407
U56,MAB,0.06,25,9.5365336881948,18.9074115791845,False,False,H1,0.11591745896727068,0.9616576694935635,-0.18801064448726568,0.9084038155541769,1.0126429109382784,0.13767069589340108,1.071027079570701,-0.18801064448726568,0.8161327589524027
U56,MAB,0.12,0,8.691612246647392,19.22933093038973,False,True,,0.14876156594696166,1.2010508528371313,-0.18636044363887483,1.1528531458635214,1.2478142630548306,0.16969698788109966,1.3072571285805357,-0.18636044363887505,1.0635615550777267
U56,MAB,0.12,10,8.691612246647392,19.22933093038973,False,True,,0.1388268473328529,1.1297337430496086,-0.18723909026401653,1.077261677275849,1.1800049007819404,0.1595763020507659,1.238442160847435,-0.1872390902640163,0.9888432672320412
U56,MAB,0.12,25,8.691612246647392,19.22933093038973,False,True,,0.12408138694596649,1.0225087653868812,-0.18855597080815978,0.9636303929309465,1.0780375270017393,0.14455476756028807,1.1349407502691569,-0.18855597080815956,0.876560136866802
B136,NT,0.0,0,14.310741802245708,19.700382969137195,False,True,,0.14620897388850618,1.0454701923010825,-0.19983154054596752,1.208158640684983,0.9041382414427861,0.14134119698337289,0.9861110497210084,-0.19983154054596786,1.1247401783290516
B136,NT,0.0,10,14.310741802245708,19.700382969137195,False,False,H2,0.12992958836952506,0.9431848997615343,-0.2005204833110832,1.1047866702854354,0.8025166021122436,0.12454335283909401,0.8836022780725372,-0.20052048331108296,1.0226042049000195
B136,NT,0.0,25,14.310741802245708,19.700382969137195,False,False,"H1,H2,OOS,CAGR",0.10593330741535789,0.7894767167611467,-0.20155317029654185,0.9493769877220685,0.6498638573002592,0.09979856674461329,0.7295843836804319,-0.20155317029654185,0.869086472042202
B136,NT,5.0,0,9.519717108439082,19.700382969137195,False,True,,0.1470934347724504,1.0473639848704208,-0.20012025803207523,1.2336037346994948,0.8853354999186844,0.13951474138381292,0.9717353046001955,-0.20012025803207512,1.1479559325263748
B136,NT,5.0,10,9.519717108439082,19.700382969137195,False,False,H2,0.1362297040078051,0.97958345776935,-0.2007514237233995,1.1658257179459044,0.8173631452579981,0.128243881194128,0.9032816654497793,-0.20075142372339982,1.0809621557449822
B136,NT,5.0,25,9.519717108439082,19.700382969137195,False,False,"H2,OOS",0.12012149827863294,0.8777432503828663,-0.20169755225991304,1.0639445428266479,0.7152746367872184,0.1115405565041161,0.8004444583972461,-0.20169755225991348,0.9802870611211454
B136,NT,10.0,0,7.611805265051858,19.700382969137195,False,False,H2,0.14512497495931997,1.0302564989136005,-0.1988172885920907,1.2704512565464006,0.8227153812578749,0.1329536931090851,0.9241124287475756,-0.1988172885920907,1.1729296688001554
B136,NT,10.0,10,7.611805265051858,19.700382969137195,False,False,"H2,OOS",0.13644481251520646,0.9763463480939837,-0.1994524869161326,1.2176284643669495,0.7676479312901575,0.12382442929182047,0.8689732125161761,-0.19945248691613304,1.120529638914179
B136,NT,10.0,25,7.611805265051858,19.700382969137195,False,False,"H2,OOS",0.12354388376252623,0.8953518737394597,-0.20040465714700217,1.1382422607004645,0.6849412539283768,0.11026390978637757,0.7861406765163713,-0.20040465714700195,1.0417962734284225
B136,NT,20.0,0,6.201259355559795,19.700382969137195,False,False,DD,0.1497822242760125,1.0522249357020474,-0.2039136601732351,1.2776311214240241,0.8617508623952588,0.14260465573001135,0.9701524349866727,-0.2039136601732352,1.1658776505283273
B136,NT,20.0,10,6.201259355559795,19.700382969137195,False,False,"H2,DD",0.14267571537048496,1.0085763379054384,-0.2042990643223589,1.2349925606540537,0.8170244951422461,0.13506271313090923,0.9256202816542227,-0.20429906432235911,1.1232787105643096
B136,NT,20.0,25,6.201259355559795,19.700382969137195,False,False,"H2,OOS,DD",0.13209511336373825,0.9430022760017366,-0.20487699670089143,1.1709249384597804,0.7498471335099519,0.12383941459085168,0.858718662846498,-0.2048769967008912,1.0592861038203507
B136,NT,40.0,0,5.088078393812929,19.700382969137195,False,False,"H2,DD",0.14185268052573763,1.0131798177576665,-0.2100815821480927,1.2458765978729287,0.8141835055928217,0.13569575476535323,0.9406496168556809,-0.2100815821480927,1.1126075200469527
B136,NT,40.0,10,5.088078393812929,19.700382969137195,False,False,"H2,DD",0.13605719839439256,0.97690615828529,-0.21057223041690043,1.2104118325425806,0.777050071023298,0.12959504248700937,0.9038532423315181,-0.2105722304169001,1.0769382762387307
